 Energy_[eV], 10nm, 50nm, 100nm, 1um 
 2720.0, 4.911833E-4, 4.911833E-4, 4.911833E-4, 4.911833E-4
 2740.0, 4.911833E-4, 4.911833E-4, 4.911833E-4, 4.911833E-4
 2760.0, 4.911833E-4, 4.911833E-4, 4.911833E-4, 4.911833E-4
 2780.0, 4.911833E-4, 4.911833E-4, 4.911833E-4, 4.911833E-4
 2800.0, 4.911833E-4, 4.911833E-4, 4.911833E-4, 4.911833E-4
 2820.0, 4.911833E-4, 4.911833E-4, 4.911833E-4, 4.911833E-4
 2840.0, 4.911833E-4, 4.911833E-4, 4.911833E-4, 4.911833E-4
 2860.0, 4.911833E-4, 4.911833E-4, 4.911833E-4, 4.911833E-4
 2880.0, 4.911833E-4, 4.911833E-4, 4.911833E-4, 4.911833E-4
 2900.0, 4.911833E-4, 4.911833E-4, 4.911833E-4, 4.911833E-4
 2920.0, 4.911833E-4, 4.911833E-4, 4.911833E-4, 4.911833E-4
 2940.0, 4.911833E-4, 4.911833E-4, 4.911833E-4, 4.911833E-4
 2960.0, 4.911833E-4, 4.911833E-4, 4.911833E-4, 4.911833E-4
 2980.0, 4.911833E-4, 4.911833E-4, 4.911833E-4, 4.911833E-4
 3000.0, 4.911833E-4, 4.911833E-4, 4.911833E-4, 4.911833E-4
 3020.0, 4.911833E-4, 4.911833E-4, 4.911833E-4, 4.911833E-4
 3040.0, 4.911833E-4, 4.911833E-4, 4.911833E-4, 4.911833E-4
 3060.0, 4.911833E-4, 4.911833E-4, 4.911833E-4, 4.911833E-4
 3080.0, 4.911833E-4, 4.911833E-4, 4.911833E-4, 4.911833E-4
 3100.0, 4.911833E-4, 4.911833E-4, 4.911833E-4, 4.911833E-4
 3120.0, 4.911833E-4, 4.911833E-4, 4.911833E-4, 4.911833E-4
 3140.0, 4.911833E-4, 4.911833E-4, 4.911833E-4, 4.911833E-4
 3160.0, 4.911833E-4, 4.911833E-4, 4.911833E-4, 4.911833E-4
 3180.0, 4.911833E-4, 4.911833E-4, 4.911833E-4, 4.911833E-4
 3200.0, 4.911833E-4, 4.911833E-4, 4.911833E-4, 4.911833E-4
 3220.0, 4.911833E-4, 4.911833E-4, 4.911833E-4, 4.911833E-4
 3240.0, 4.911833E-4, 4.911833E-4, 4.911833E-4, 4.911833E-4
 3260.0, 4.911833E-4, 4.911833E-4, 4.911833E-4, 4.911833E-4
 3280.0, 4.911833E-4, 4.911833E-4, 4.911833E-4, 4.911833E-4
 3300.0, 4.911833E-4, 4.911833E-4, 4.911833E-4, 4.911833E-4
 3320.0, 4.911833E-4, 4.911833E-4, 4.911833E-4, 4.911833E-4
 3340.0, 4.911833E-4, 4.911833E-4, 4.911833E-4, 4.911833E-4
 3360.0, 4.911833E-4, 4.911833E-4, 4.911833E-4, 4.911833E-4
 3380.0, 4.911833E-4, 4.911833E-4, 4.911833E-4, 4.911833E-4
 3400.0, 4.911833E-4, 4.911833E-4, 4.911833E-4, 4.911833E-4
 3420.0, 4.911833E-4, 4.911833E-4, 4.911833E-4, 4.911833E-4
 3440.0, 4.911833E-4, 4.911833E-4, 4.911833E-4, 4.911833E-4
 3460.0, 4.911833E-4, 4.911833E-4, 4.911833E-4, 4.911833E-4
 3480.0, 4.911833E-4, 4.911833E-4, 4.911833E-4, 4.911833E-4
 3500.0, 4.911833E-4, 4.911833E-4, 4.911833E-4, 4.911833E-4
 3520.0, 4.911833E-4, 4.911833E-4, 4.911833E-4, 4.911833E-4
 3540.0, 4.911833E-4, 4.911833E-4, 4.911833E-4, 4.911833E-4
 3560.0, 4.911833E-4, 4.911833E-4, 4.911833E-4, 4.911833E-4
 3580.0, 4.911833E-4, 4.911833E-4, 4.911833E-4, 4.911833E-4
 3600.0, 4.911833E-4, 4.911833E-4, 4.911833E-4, 4.911833E-4
 3620.0, 4.911833E-4, 4.911833E-4, 4.911833E-4, 4.911833E-4
 3640.0, 4.911833E-4, 4.911833E-4, 4.911833E-4, 4.911833E-4
 3660.0, 4.911833E-4, 4.911833E-4, 4.911833E-4, 4.911833E-4
 3680.0, 4.911833E-4, 4.911833E-4, 4.911833E-4, 4.911833E-4
 3700.0, 4.911833E-4, 4.911833E-4, 4.911833E-4, 4.911833E-4
 3720.0, 4.911833E-4, 4.911833E-4, 4.911833E-4, 4.911833E-4
 3740.0, 4.911833E-4, 4.911833E-4, 4.911833E-4, 4.911833E-4
 3760.0, 4.911833E-4, 4.911833E-4, 4.911833E-4, 4.911833E-4
 3780.0, 4.911833E-4, 4.911833E-4, 4.911833E-4, 4.911833E-4
 3800.0, 4.911833E-4, 4.911833E-4, 4.911833E-4, 4.911833E-4
 3820.0, 4.911833E-4, 4.911833E-4, 4.911833E-4, 4.911833E-4
 3840.0, 4.911833E-4, 4.911833E-4, 4.911833E-4, 4.911833E-4
 3860.0, 4.911833E-4, 4.911833E-4, 4.911833E-4, 4.911833E-4
 3880.0, 4.911833E-4, 4.911833E-4, 4.911833E-4, 4.911833E-4
 3900.0, 4.911833E-4, 4.911833E-4, 4.911833E-4, 4.911833E-4
 3920.0, 4.911833E-4, 4.911833E-4, 4.911833E-4, 4.911833E-4
 3940.0, 4.911833E-4, 4.911833E-4, 4.911833E-4, 4.911833E-4
 3960.0, 4.911833E-4, 4.911833E-4, 4.911833E-4, 4.911833E-4
 3980.0, 4.911833E-4, 4.911833E-4, 4.911833E-4, 4.911833E-4
 4000.0, 4.911833E-4, 4.911833E-4, 4.911833E-4, 4.911833E-4
