Energy (in eV), backscattering yield of material al2k-NASCAP at incidence 60.0 degree
   X,       Y
3750.0, 0.42948487
3760.0, 0.42937496
3770.0, 0.42926526
3780.0, 0.42915577
3790.0, 0.42904645
3800.0, 0.42893732
3810.0, 0.4288284
3820.0, 0.42871964
3830.0, 0.4286111
3840.0, 0.42850274
3850.0, 0.42839456
3860.0, 0.42828655
3870.0, 0.4281788
3880.0, 0.42807117
3890.0, 0.42796373
3900.0, 0.4278565
3910.0, 0.42774945
3920.0, 0.4276426
3930.0, 0.42753592
3940.0, 0.42742944
3950.0, 0.42732313
3960.0, 0.42721704
3970.0, 0.4271111
3980.0, 0.42700535
3990.0, 0.4268998
4000.0, 0.42679444
4010.0, 0.42668924
4020.0, 0.42658424
4030.0, 0.42647943
4040.0, 0.4263748
4050.0, 0.42627034
4060.0, 0.42616606
4070.0, 0.426062
4080.0, 0.42595807
4090.0, 0.42585436
4100.0, 0.4257508
4110.0, 0.42564747
4120.0, 0.42554426
4130.0, 0.42544127
4140.0, 0.42533848
4150.0, 0.42523584
4160.0, 0.42513338
4170.0, 0.4250311
4180.0, 0.42492902
4190.0, 0.4248271
4200.0, 0.42472538
4210.0, 0.42462382
4220.0, 0.42452243
4230.0, 0.42442125
4240.0, 0.42432022
4250.0, 0.4242194
4260.0, 0.42411873
4270.0, 0.42401823
4280.0, 0.42391792
4290.0, 0.42381778
4300.0, 0.42371783
4310.0, 0.42361805
4320.0, 0.42351845
4330.0, 0.42341903
4340.0, 0.42331976
4350.0, 0.4232207
4360.0, 0.42312178
4370.0, 0.42302305
4380.0, 0.4229245
4390.0, 0.4228261
4400.0, 0.4227279
4410.0, 0.42262986
4420.0, 0.42253202
4430.0, 0.42243433
4440.0, 0.42233682
4450.0, 0.42223948
4460.0, 0.4221423
4470.0, 0.4220453
4480.0, 0.42194846
4490.0, 0.4218518
4500.0, 0.4217553
4510.0, 0.42165902
4520.0, 0.42156285
4530.0, 0.4214669
4540.0, 0.4213711
4550.0, 0.42127547
4560.0, 0.42118
4570.0, 0.4210847
4580.0, 0.42098957
4590.0, 0.42089462
4600.0, 0.42079982
4610.0, 0.4207052
4620.0, 0.42061076
4630.0, 0.42051646
4640.0, 0.42042235
4650.0, 0.4203284
4660.0, 0.4202346
4670.0, 0.420141
4680.0, 0.42004752
4690.0, 0.41995427
4700.0, 0.41986114
4710.0, 0.41976818
4720.0, 0.4196754
4730.0, 0.41958275
4740.0, 0.4194903
4750.0, 0.419398
4760.0, 0.4193059
4770.0, 0.41921392
4780.0, 0.4191221
4790.0, 0.41903046
4800.0, 0.418939
4810.0, 0.41884768
4820.0, 0.41875654
4830.0, 0.41866553
4840.0, 0.41857472
4850.0, 0.41848403
4860.0, 0.41839355
4870.0, 0.4183032
4880.0, 0.418213
4890.0, 0.41812298
4900.0, 0.41803312
4910.0, 0.41794342
4920.0, 0.4178539
4930.0, 0.4177645
4940.0, 0.4176753
4950.0, 0.41758624
4960.0, 0.4174973
4970.0, 0.4174086
4980.0, 0.41732
4990.0, 0.41723156
5000.0, 0.41714332
5010.0, 0.4170552
5020.0, 0.41696724
5030.0, 0.41687945
5040.0, 0.4167918
5050.0, 0.41670433
5060.0, 0.41661698
5070.0, 0.4165298
5080.0, 0.4164428
5090.0, 0.41635594
5100.0, 0.41626924
5110.0, 0.4161827
5120.0, 0.4160963
5130.0, 0.41601005
5140.0, 0.41592398
5150.0, 0.41583806
5160.0, 0.4157523
5170.0, 0.41566667
5180.0, 0.4155812
5190.0, 0.41549587
5200.0, 0.4154107
5210.0, 0.4153257
5220.0, 0.41524085
5230.0, 0.41515613
5240.0, 0.4150716
5250.0, 0.41498718
5260.0, 0.41490293
5270.0, 0.41481882
5280.0, 0.4147349
5290.0, 0.4146511
5300.0, 0.41456744
5310.0, 0.41448396
5320.0, 0.4144006
5330.0, 0.41431743
5340.0, 0.41423437
5350.0, 0.41415146
5360.0, 0.41406873
5370.0, 0.41398612
5380.0, 0.41390368
5390.0, 0.41382137
5400.0, 0.41373923
5410.0, 0.41365722
5420.0, 0.41357535
5430.0, 0.41349366
5440.0, 0.41341206
5450.0, 0.41333064
5460.0, 0.4132494
5470.0, 0.41316828
5480.0, 0.4130873
5490.0, 0.41300645
5500.0, 0.41292578
5510.0, 0.41284522
5520.0, 0.41276485
5530.0, 0.4126846
5540.0, 0.41260448
5550.0, 0.41252452
5560.0, 0.4124447
5570.0, 0.41236502
5580.0, 0.4122855
5590.0, 0.4122061
5600.0, 0.41212687
5610.0, 0.41204777
5620.0, 0.41196883
5630.0, 0.41189003
5640.0, 0.41181135
5650.0, 0.41173282
5660.0, 0.41165444
5670.0, 0.41157618
5680.0, 0.4114981
5690.0, 0.41142014
5700.0, 0.41134232
5710.0, 0.41126463
5720.0, 0.41118708
5730.0, 0.4111097
5740.0, 0.41103244
5750.0, 0.4109553
5760.0, 0.41087833
5770.0, 0.41080147
5780.0, 0.4107248
5790.0, 0.41064823
5800.0, 0.4105718
5810.0, 0.41049552
5820.0, 0.41041937
5830.0, 0.41034338
5840.0, 0.4102675
5850.0, 0.41019177
5860.0, 0.41011617
5870.0, 0.4100407
5880.0, 0.4099654
5890.0, 0.4098902
5900.0, 0.40981516
5910.0, 0.40974024
5920.0, 0.40966547
5930.0, 0.40959084
5940.0, 0.40951633
5950.0, 0.40944195
5960.0, 0.4093677
5970.0, 0.40929362
5980.0, 0.40921965
5990.0, 0.40914583
6000.0, 0.40907213
6010.0, 0.40899858
6020.0, 0.40892515
6030.0, 0.40885183
6040.0, 0.4087787
6050.0, 0.40870565
6060.0, 0.40863276
6070.0, 0.40856
6080.0, 0.40848738
6090.0, 0.40841487
6100.0, 0.4083425
6110.0, 0.40827027
6120.0, 0.40819818
6130.0, 0.4081262
6140.0, 0.40805435
6150.0, 0.40798265
6160.0, 0.4079111
6170.0, 0.40783963
6180.0, 0.4077683
6190.0, 0.4076971
6200.0, 0.40762606
6210.0, 0.40755513
6220.0, 0.40748435
6230.0, 0.40741366
6240.0, 0.40734312
6250.0, 0.40727273
6260.0, 0.40720242
6270.0, 0.40713227
6280.0, 0.40706226
6290.0, 0.40699235
6300.0, 0.4069226
6310.0, 0.40685293
6320.0, 0.40678343
6330.0, 0.40671402
6340.0, 0.4066448
6350.0, 0.40657565
6360.0, 0.40650663
6370.0, 0.40643775
6380.0, 0.406369
6390.0, 0.40630037
6400.0, 0.40623185
6410.0, 0.40616345
6420.0, 0.40609524
6430.0, 0.4060271
6440.0, 0.40595907
6450.0, 0.4058912
6460.0, 0.40582344
6470.0, 0.40575582
6480.0, 0.40568832
6490.0, 0.4056209
6500.0, 0.40555364
6510.0, 0.40548652
6520.0, 0.4054195
6530.0, 0.40535262
6540.0, 0.40528584
6550.0, 0.4052192
6560.0, 0.40515265
6570.0, 0.40508628
6580.0, 0.40501997
6590.0, 0.4049538
6600.0, 0.40488777
6610.0, 0.40482187
6620.0, 0.40475607
6630.0, 0.40469038
6640.0, 0.40462485
6650.0, 0.4045594
6660.0, 0.40449408
6670.0, 0.4044289
6680.0, 0.4043638
6690.0, 0.40429887
6700.0, 0.40423402
6710.0, 0.40416932
6720.0, 0.4041047
6730.0, 0.40404025
6740.0, 0.40397587
6750.0, 0.40391165
6760.0, 0.40384752
6770.0, 0.40378353
6780.0, 0.4037196
6790.0, 0.40365586
6800.0, 0.4035922
6810.0, 0.4035287
6820.0, 0.40346524
6830.0, 0.40340194
6840.0, 0.40333876
6850.0, 0.4032757
6860.0, 0.40321273
6870.0, 0.4031499
6880.0, 0.40308717
6890.0, 0.40302458
6900.0, 0.4029621
6910.0, 0.4028997
6920.0, 0.40283746
6930.0, 0.40277532
6940.0, 0.40271327
6950.0, 0.40265137
6960.0, 0.40258956
6970.0, 0.40252787
6980.0, 0.4024663
6990.0, 0.40240484
7000.0, 0.40234348
7010.0, 0.40228224
7020.0, 0.4022211
7030.0, 0.40216014
7040.0, 0.40209925
7050.0, 0.40203846
7060.0, 0.40197778
7070.0, 0.40191722
7080.0, 0.40185678
7090.0, 0.40179643
7100.0, 0.40173623
7110.0, 0.40167612
7120.0, 0.4016161
7130.0, 0.40155622
7140.0, 0.40149644
7150.0, 0.40143678
7160.0, 0.4013772
7170.0, 0.40131778
7180.0, 0.40125844
7190.0, 0.4011992
7200.0, 0.4011401
7210.0, 0.40108106
7220.0, 0.40102217
7230.0, 0.40096337
7240.0, 0.40090472
7250.0, 0.40084612
7260.0, 0.40078765
7270.0, 0.4007293
7280.0, 0.40067104
7290.0, 0.40061292
7300.0, 0.4005549
7310.0, 0.40049696
7320.0, 0.40043914
7330.0, 0.40038145
7340.0, 0.40032384
7350.0, 0.40026632
7360.0, 0.40020892
7370.0, 0.40015167
7380.0, 0.40009448
7390.0, 0.4000374
7400.0, 0.39998043
7410.0, 0.3999236
7420.0, 0.39986685
7430.0, 0.3998102
7440.0, 0.39975363
7450.0, 0.3996972
7460.0, 0.39964086
7470.0, 0.39958465
7480.0, 0.3995285
7490.0, 0.3994725
7500.0, 0.3994166
7510.0, 0.39936078
7520.0, 0.39930505
7530.0, 0.39924946
7540.0, 0.39919394
7550.0, 0.39913854
7560.0, 0.39908326
7570.0, 0.39902806
7580.0, 0.398973
7590.0, 0.398918
7600.0, 0.3988631
7610.0, 0.39880833
7620.0, 0.39875364
7630.0, 0.39869907
7640.0, 0.3986446
7650.0, 0.3985902
7660.0, 0.39853594
7670.0, 0.39848176
7680.0, 0.3984277
7690.0, 0.39837372
7700.0, 0.39831984
7710.0, 0.39826608
7720.0, 0.3982124
7730.0, 0.39815885
7740.0, 0.39810535
7750.0, 0.398052
7760.0, 0.39799872
7770.0, 0.39794555
7780.0, 0.39789248
7790.0, 0.3978395
7800.0, 0.39778662
7810.0, 0.39773384
7820.0, 0.39768115
7830.0, 0.39762858
7840.0, 0.3975761
7850.0, 0.3975237
7860.0, 0.39747143
7870.0, 0.39741924
7880.0, 0.39736715
7890.0, 0.39731514
7900.0, 0.39726326
7910.0, 0.39721146
7920.0, 0.39715976
7930.0, 0.39710814
7940.0, 0.39705664
7950.0, 0.39700523
7960.0, 0.3969539
7970.0, 0.39690268
7980.0, 0.39685157
7990.0, 0.39680055
8000.0, 0.3967496
8010.0, 0.39669874
8020.0, 0.396648
8030.0, 0.39659736
8040.0, 0.3965468
8050.0, 0.39649636
8060.0, 0.39644596
8070.0, 0.3963957
8080.0, 0.39634553
8090.0, 0.39629543
8100.0, 0.39624545
8110.0, 0.39619556
8120.0, 0.39614576
8130.0, 0.39609605
8140.0, 0.39604643
8150.0, 0.3959969
8160.0, 0.3959475
8170.0, 0.39589813
8180.0, 0.39584887
8190.0, 0.39579973
8200.0, 0.39575067
8210.0, 0.3957017
8220.0, 0.39565283
8230.0, 0.395604
8240.0, 0.39555535
8250.0, 0.39550674
8260.0, 0.39545822
8270.0, 0.39540982
8280.0, 0.39536148
8290.0, 0.39531323
8300.0, 0.3952651
8310.0, 0.39521703
8320.0, 0.39516905
8330.0, 0.3951212
8340.0, 0.39507338
8350.0, 0.39502567
8360.0, 0.39497808
8370.0, 0.39493054
8380.0, 0.39488313
