#    time,   allPop,  allPop, ions1, ions1, elec1, elec1, 
#        ,   allNodes,  node0,  allNodes,  node0,  allNodes,  node0, 
6.610554E-5, -4.4208306E-8, -4.4208306E-8, 0.0, 0.0, -4.4208306E-8, -4.4208306E-8, 
6.7150686E-5, -8.229863E-8, -8.229863E-8, 0.0, 0.0, -8.229863E-8, -8.229863E-8, 
6.819583E-5, -1.11685026E-7, -1.11685026E-7, 2.6894044E-8, 2.6894044E-8, -1.3857907E-7, -1.3857907E-7, 
6.924098E-5, -6.934764E-10, -6.934764E-10, 2.6894044E-8, 2.6894044E-8, -2.7587522E-8, -2.7587522E-8, 
7.002484E-5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
7.106999E-5, -4.007655E-8, -4.007655E-8, 2.6894044E-8, 2.6894044E-8, -6.69706E-8, -6.69706E-8, 
7.211513E-5, -8.509184E-8, -8.509184E-8, 5.378809E-8, 5.378809E-8, -1.3887993E-7, -1.3887993E-7, 
7.316028E-5, -6.3139034E-8, -6.3139034E-8, 0.0, 0.0, -6.3139034E-8, -6.3139034E-8, 
7.4205425E-5, -6.090633E-8, -6.090633E-8, 5.378809E-8, 5.378809E-8, -1.1469442E-7, -1.1469442E-7, 
7.525057E-5, -1.5127266E-7, -1.5127266E-7, 0.0, 0.0, -1.5127266E-7, -1.5127266E-7, 
7.6034434E-5, -1.5058147E-8, -1.5058147E-8, 3.5858726E-8, 3.5858726E-8, -5.0916874E-8, -5.0916874E-8, 
7.707958E-5, -1.0357067E-7, -1.0357067E-7, 0.0, 0.0, -1.0357067E-7, -1.0357067E-7, 
7.812473E-5, -7.02055E-8, -7.02055E-8, 0.0, 0.0, -7.02055E-8, -7.02055E-8, 
7.916988E-5, -7.9243385E-8, -7.9243385E-8, 2.6894044E-8, 2.6894044E-8, -1.06137435E-7, -1.06137435E-7, 
8.0215024E-5, -3.3021873E-8, -3.3021873E-8, 0.0, 0.0, -3.3021873E-8, -3.3021873E-8, 
8.1260165E-5, -7.307313E-8, -7.307313E-8, 0.0, 0.0, -7.307313E-8, -7.307313E-8, 
8.2044025E-5, -1.2676624E-7, -1.2676624E-7, 3.5858726E-8, 3.5858726E-8, -1.6262496E-7, -1.6262496E-7, 
8.308917E-5, -6.941108E-8, -6.941108E-8, 5.378809E-8, 5.378809E-8, -1.2319917E-7, -1.2319917E-7, 
8.413432E-5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
8.517947E-5, -4.6095632E-8, -4.6095632E-8, 0.0, 0.0, -4.6095632E-8, -4.6095632E-8, 
8.6224616E-5, -6.816816E-8, -6.816816E-8, 2.6894044E-8, 2.6894044E-8, -9.5062205E-8, -9.5062205E-8, 
8.700848E-5, -2.3069406E-7, -2.3069406E-7, 0.0, 0.0, -2.3069406E-7, -2.3069406E-7, 
8.8053624E-5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
