Energy (in eV), SEEP yield of material alox-reduced-PEY at isotropic incidence
   X,       Y
88600.0, 3.3247561
88800.0, 3.326428
89000.0, 3.3280945
89200.0, 3.3297539
89400.0, 3.3314073
89600.0, 3.3330538
89800.0, 3.3346949
90000.0, 3.3363295
90200.0, 3.3379586
90400.0, 3.3395805
90600.0, 3.3411973
90800.0, 3.3428075
91000.0, 3.3444114
91200.0, 3.3460095
91400.0, 3.3476014
91600.0, 3.3491879
91800.0, 3.3507679
92000.0, 3.3523417
92200.0, 3.35391
92400.0, 3.3554726
92600.0, 3.3570292
92800.0, 3.3585796
93000.0, 3.3601236
93200.0, 3.3616633
93400.0, 3.3631961
93600.0, 3.3647234
93800.0, 3.3662455
94000.0, 3.3677616
94200.0, 3.3692718
94400.0, 3.3707762
94600.0, 3.372275
94800.0, 3.3737686
95000.0, 3.3752563
95200.0, 3.3767385
95400.0, 3.3782146
95600.0, 3.3796859
95800.0, 3.3811517
96000.0, 3.3826115
96200.0, 3.384066
96400.0, 3.3855155
96600.0, 3.386959
96800.0, 3.3883972
97000.0, 3.3898304
97200.0, 3.3912578
97400.0, 3.3926804
97600.0, 3.3940973
97800.0, 3.395509
98000.0, 3.3969154
98200.0, 3.3983164
98400.0, 3.399712
98600.0, 3.4011028
98800.0, 3.402488
99000.0, 3.4038687
99200.0, 3.4052436
99400.0, 3.4066138
99600.0, 3.4079783
99800.0, 3.409338
100000.0, 3.4106927
