Energy (in eV), SEEP yield of material alox-reduced-PEY at incidence 0.0 degree
   X,       Y
19200.0, 0.9910702
19400.0, 0.9954198
19600.0, 0.9997359
19800.0, 1.0040193
20000.0, 1.0082699
20200.0, 1.0124887
20400.0, 1.0166761
20600.0, 1.0208323
20800.0, 1.0249577
21000.0, 1.0290531
21200.0, 1.0331185
21400.0, 1.0371546
21600.0, 1.0411614
21800.0, 1.0451397
22000.0, 1.0490898
22200.0, 1.0530118
22400.0, 1.0569063
22600.0, 1.0607736
22800.0, 1.0646139
23000.0, 1.0684279
23200.0, 1.0722156
23400.0, 1.0759773
23600.0, 1.0797136
23800.0, 1.0834246
24000.0, 1.0871106
24200.0, 1.0907719
24400.0, 1.0944089
24600.0, 1.0980219
24800.0, 1.101611
25000.0, 1.1051764
25200.0, 1.1087189
25400.0, 1.1122382
25600.0, 1.1157347
25800.0, 1.1192089
26000.0, 1.1226606
26200.0, 1.1260905
26400.0, 1.1294988
26600.0, 1.1328855
26800.0, 1.1362509
27000.0, 1.1395952
27200.0, 1.1429187
27400.0, 1.1462215
27600.0, 1.149504
27800.0, 1.1527665
28000.0, 1.1560087
28200.0, 1.1592314
28400.0, 1.1624345
28600.0, 1.1656182
28800.0, 1.1687827
29000.0, 1.1719284
29200.0, 1.1750551
29400.0, 1.1781633
29600.0, 1.1812532
29800.0, 1.1843249
30000.0, 1.1873782
30200.0, 1.190414
30400.0, 1.1934319
30600.0, 1.1964324
30800.0, 1.1994153
31000.0, 1.2023811
31200.0, 1.2053299
31400.0, 1.208262
31600.0, 1.211177
31800.0, 1.2140757
32000.0, 1.2169577
32200.0, 1.2198237
32400.0, 1.2226735
32600.0, 1.2255073
32800.0, 1.2283252
33000.0, 1.2311275
33200.0, 1.2339143
33400.0, 1.2366855
33600.0, 1.2394415
33800.0, 1.2421825
34000.0, 1.2449083
34200.0, 1.2476192
34400.0, 1.2503155
34600.0, 1.252997
34800.0, 1.2556641
35000.0, 1.2583168
35200.0, 1.2609551
35400.0, 1.2635792
35600.0, 1.2661897
35800.0, 1.2687858
36000.0, 1.2713685
36200.0, 1.2739372
36400.0, 1.2764926
36600.0, 1.2790344
36800.0, 1.2815629
37000.0, 1.284078
37200.0, 1.2865802
37400.0, 1.2890692
37600.0, 1.2915454
37800.0, 1.2940086
38000.0, 1.2964591
38200.0, 1.2988969
38400.0, 1.3013226
38600.0, 1.3037354
38800.0, 1.3061361
39000.0, 1.3085245
39200.0, 1.3109008
39400.0, 1.3132648
39600.0, 1.3156171
39800.0, 1.3179575
40000.0, 1.3202862
40200.0, 1.322603
40400.0, 1.3249084
