#    time,   allInteract,  allInteract,  allInteract,  allInteract, 0-photoemission, 0-photoemission, 0-photoemission, 0-photoemission, 1-secondary emission from electrons of Ambiant_Electrons, 1-secondary emission from electrons of Ambiant_Electrons, 1-secondary emission from electrons of Ambiant_Electrons, 1-secondary emission from electrons of Ambiant_Electrons, 2-secondary emission from protons of Ambiant_Protons, 2-secondary emission from protons of Ambiant_Protons, 2-secondary emission from protons of Ambiant_Protons, 2-secondary emission from protons of Ambiant_Protons, 
#        ,   allNodes,  node0,  node1,  node2,  allNodes,  node0,  node1,  node2,  allNodes,  node0,  node1,  node2,  allNodes,  node0,  node1,  node2, 
652.0032, -8.028682E-4, -1.6936772E-4, -1.862213E-4, -4.4727916E-4, 0.0, 0.0, 0.0, 0.0, -6.433594E-4, -1.3208333E-4, -1.034816E-4, -4.077945E-4, -1.5950877E-4, -3.7284386E-5, -8.2739694E-5, -3.9484694E-5, 
652.07684, -8.047362E-4, -1.6942281E-4, -1.8715461E-4, -4.4815885E-4, 0.0, 0.0, 0.0, 0.0, -6.4384576E-4, -1.3219529E-4, -1.03569284E-4, -4.0808113E-4, -1.6089054E-4, -3.7227517E-5, -8.358532E-5, -4.0077717E-5, 
664.26624, -8.01011E-4, -1.6894288E-4, -1.8642611E-4, -4.456419E-4, 0.0, 0.0, 0.0, 0.0, -6.394924E-4, -1.3131757E-4, -1.0288168E-4, -4.0529322E-4, -1.6151843E-4, -3.762529E-5, -8.354444E-5, -4.0348703E-5, 
701.12225, -8.029327E-4, -1.6903428E-4, -1.8806112E-4, -4.4583724E-4, 0.0, 0.0, 0.0, 0.0, -6.3885946E-4, -1.3110069E-4, -1.0271172E-4, -4.05047E-4, -1.6407321E-4, -3.7933583E-5, -8.534943E-5, -4.0790208E-5, 
750.2636, -8.019472E-4, -1.6878602E-4, -1.877757E-4, -4.453855E-4, 0.0, 0.0, 0.0, 0.0, -6.385801E-4, -1.3082578E-4, -1.0249638E-4, -4.0525795E-4, -1.633671E-4, -3.7960235E-5, -8.5279324E-5, -4.0127547E-5, 
750.34595, -8.016822E-4, -1.6864059E-4, -1.8652E-4, -4.4652165E-4, 0.0, 0.0, 0.0, 0.0, -6.3811004E-4, -1.304475E-4, -1.0220001E-4, -4.0546255E-4, -1.6357216E-4, -3.8193084E-5, -8.431998E-5, -4.1059087E-5, 
750.4313, -7.989317E-4, -1.6806269E-4, -1.8744399E-4, -4.4342497E-4, 0.0, 0.0, 0.0, 0.0, -6.3407375E-4, -1.2963855E-4, -1.0156619E-4, -4.0286905E-4, -1.6485789E-4, -3.842415E-5, -8.587781E-5, -4.0555933E-5, 
761.1814, -8.000806E-4, -1.6857414E-4, -1.8787658E-4, -4.4362966E-4, 0.0, 0.0, 0.0, 0.0, -6.3372846E-4, -1.2959845E-4, -1.015348E-4, -4.0259515E-4, -1.66352E-4, -3.8975715E-5, -8.6341766E-5, -4.10345E-5, 
793.94385, -7.98381E-4, -1.6809424E-4, -1.8717402E-4, -4.4311275E-4, 0.0, 0.0, 0.0, 0.0, -6.331222E-4, -1.2942692E-4, -1.0140032E-4, -4.0229497E-4, -1.6525884E-4, -3.8667324E-5, -8.57737E-5, -4.0817806E-5, 
837.6271, -7.9851144E-4, -1.6753915E-4, -1.8822854E-4, -4.427437E-4, 0.0, 0.0, 0.0, 0.0, -6.330264E-4, -1.2928345E-4, -1.0128799E-4, -4.0245499E-4, -1.6548496E-4, -3.8255697E-5, -8.6940556E-5, -4.0288724E-5, 
837.80743, -8.013911E-4, -1.6901032E-4, -1.8848728E-4, -4.438935E-4, 0.0, 0.0, 0.0, 0.0, -6.3248177E-4, -1.2892434E-4, -1.0100664E-4, -4.0255077E-4, -1.6890936E-4, -4.008598E-5, -8.7480636E-5, -4.1342748E-5, 
840.53516, -7.988015E-4, -1.674328E-4, -1.893043E-4, -4.420644E-4, 0.0, 0.0, 0.0, 0.0, -6.28741E-4, -1.2818733E-4, -1.0042925E-4, -4.001244E-4, -1.7006046E-4, -3.924545E-5, -8.887504E-5, -4.193998E-5, 
860.9017, -7.9965434E-4, -1.6796138E-4, -1.8984752E-4, -4.4184548E-4, 0.0, 0.0, 0.0, 0.0, -6.282527E-4, -1.2809057E-4, -1.0035347E-4, -3.9980863E-4, -1.7140168E-4, -3.98708E-5, -8.949404E-5, -4.2036845E-5, 
884.17773, -8.004644E-4, -1.6813056E-4, -1.8961431E-4, -4.4271958E-4, 0.0, 0.0, 0.0, 0.0, -6.283698E-4, -1.2807122E-4, -1.0033828E-4, -3.9996032E-4, -1.7209465E-4, -4.0059338E-5, -8.927603E-5, -4.275928E-5, 
930.72986, -7.985269E-4, -1.6807936E-4, -1.8927632E-4, -4.411712E-4, 0.0, 0.0, 0.0, 0.0, -6.283087E-4, -1.2797938E-4, -1.002664E-4, -4.0006294E-4, -1.7021816E-4, -4.0099985E-5, -8.900992E-5, -4.1108266E-5, 
1000.0, -8.012607E-4, -1.6826743E-4, -1.9117564E-4, -4.4181762E-4, 0.0, 0.0, 0.0, 0.0, -6.2775856E-4, -1.2762587E-4, -9.998947E-5, -4.0014327E-4, -1.735021E-4, -4.0641567E-5, -9.118619E-5, -4.167434E-5, 
