Energy (in eV), SEEE yield of material alox-reduced-PEY at incidence 90.0 degree
1050.0, 3.4129956
1060.0, 3.4031973
1070.0, 3.393276
1080.0, 3.3832417
1090.0, 3.373102
1100.0, 3.3628674
1110.0, 3.3525448
1120.0, 3.342143
1130.0, 3.3316696
1140.0, 3.3211317
1150.0, 3.3105366
1160.0, 3.2998912
1170.0, 3.289202
1180.0, 3.2784753
1190.0, 3.2677166
1200.0, 3.2569318
1210.0, 3.2461271
1220.0, 3.2353063
1230.0, 3.224475
1240.0, 3.2136374
1250.0, 3.202799
1260.0, 3.1919634
1270.0, 3.1811347
1280.0, 3.1703165
1290.0, 3.1595125
1300.0, 3.1487262
1310.0, 3.1379611
1320.0, 3.12722
1330.0, 3.1165054
1340.0, 3.105821
1350.0, 3.0951684
1360.0, 3.0845506
1370.0, 3.0739696
1380.0, 3.063428
1390.0, 3.0529268
1400.0, 3.042469
1410.0, 3.0320559
1420.0, 3.0216885
1430.0, 3.0113692
1440.0, 3.0010993
1450.0, 2.9908793
1460.0, 2.9807115
1470.0, 2.9705963
1480.0, 2.9605346
1490.0, 2.950528
1500.0, 2.9405766
1510.0, 2.9306817
1520.0, 2.9208434
1530.0, 2.9110632
1540.0, 2.9013407
1550.0, 2.8916771
1560.0, 2.8820727
1570.0, 2.8725274
1580.0, 2.8630419
1590.0, 2.8536165
1600.0, 2.8442512
1610.0, 2.8349462
1620.0, 2.8257017
1630.0, 2.8165178
1640.0, 2.8073943
1650.0, 2.7983315
1660.0, 2.789329
1670.0, 2.7803874
1680.0, 2.7715058
1690.0, 2.7626846
1700.0, 2.7539237
1710.0, 2.745222
1720.0, 2.7365808
1730.0, 2.7279985
1740.0, 2.7194757
1750.0, 2.7110116
1760.0, 2.7026062
1770.0, 2.6942594
1780.0, 2.6859703
1790.0, 2.677739
1800.0, 2.6695652
1810.0, 2.6614485
1820.0, 2.653388
1830.0, 2.6453838
1840.0, 2.6374357
1850.0, 2.6295433
1860.0, 2.6217053
1870.0, 2.613922
1880.0, 2.6061935
1890.0, 2.5985186
1900.0, 2.5908976
1910.0, 2.5833287
1920.0, 2.5758126
1930.0, 2.5683486
1940.0, 2.5609362
1950.0, 2.553575
1960.0, 2.546265
1970.0, 2.5390048
1980.0, 2.531795
1990.0, 2.5246346
2000.0, 2.5175228
2010.0, 2.5104594
2020.0, 2.5034447
2030.0, 2.4964776
2040.0, 2.4895573
2050.0, 2.4826841
2060.0, 2.4758575
2070.0, 2.4690769
2080.0, 2.462341
2090.0, 2.455651
2100.0, 2.4490051
2110.0, 2.4424038
2120.0, 2.4358463
2130.0, 2.429332
2140.0, 2.4228609
2150.0, 2.416432
2160.0, 2.4100459
2170.0, 2.4037008
2180.0, 2.3973978
2190.0, 2.3911352
2200.0, 2.3849132
2210.0, 2.3787315
2220.0, 2.3725896
2230.0, 2.366487
2240.0, 2.3604236
2250.0, 2.3543985
2260.0, 2.348412
2270.0, 2.3424635
2280.0, 2.3365521
2290.0, 2.3306782
2300.0, 2.3248408
2310.0, 2.3190403
2320.0, 2.3132758
2330.0, 2.307547
2340.0, 2.301854
2350.0, 2.2961955
2360.0, 2.290572
2370.0, 2.2849827
2380.0, 2.2794278
2390.0, 2.273907
2400.0, 2.2684188
2410.0, 2.2629642
2420.0, 2.2575424
2430.0, 2.2521534
2440.0, 2.2467964
2450.0, 2.2414713
2460.0, 2.2361777
2470.0, 2.2309155
2480.0, 2.2256846
2490.0, 2.2204845
2500.0, 2.2153144
2510.0, 2.2101746
2520.0, 2.205065
2530.0, 2.1999848
2540.0, 2.1949341
2550.0, 2.1899128
2560.0, 2.1849198
2570.0, 2.1799557
2580.0, 2.1750197
2590.0, 2.1701117
2600.0, 2.1652317
2610.0, 2.1603792
2620.0, 2.155554
2630.0, 2.1507554
2640.0, 2.1459844
2650.0, 2.1412396
2660.0, 2.1365213
2670.0, 2.1318293
2680.0, 2.127163
2690.0, 2.122522
2700.0, 2.117907
2710.0, 2.113317
2720.0, 2.108752
2730.0, 2.104212
2740.0, 2.0996966
2750.0, 2.0952053
2760.0, 2.0907383
2770.0, 2.086295
2780.0, 2.0818756
2790.0, 2.0774798
2800.0, 2.0731072
2810.0, 2.068758
2820.0, 2.0644317
2830.0, 2.060128
2840.0, 2.0558472
2850.0, 2.051588
2860.0, 2.0473518
2870.0, 2.0431376
2880.0, 2.0389445
2890.0, 2.0347738
2900.0, 2.0306242
2910.0, 2.0264962
2920.0, 2.0223892
2930.0, 2.0183027
2940.0, 2.0142374
2950.0, 2.0101926
2960.0, 2.0061681
2970.0, 2.0021644
2980.0, 1.9981804
2990.0, 1.9942162
3000.0, 1.9902722
