Energy (in eV), SEEE yield of material CERS-withBUCT at incidence 0.0 degree
1050.0, 4.9139457
1060.0, 4.9113655
1070.0, 4.90836
1080.0, 4.9049425
1090.0, 4.901127
1100.0, 4.896925
1110.0, 4.892349
1120.0, 4.887411
1130.0, 4.8821244
1140.0, 4.8764997
1150.0, 4.8705487
1160.0, 4.8642836
1170.0, 4.8577147
1180.0, 4.850853
1190.0, 4.8437095
1200.0, 4.8362937
1210.0, 4.828617
1220.0, 4.82069
1230.0, 4.812521
1240.0, 4.8041205
1250.0, 4.795497
1260.0, 4.78666
1270.0, 4.7776203
1280.0, 4.7683845
1290.0, 4.7589607
1300.0, 4.7493587
1310.0, 4.7395873
1320.0, 4.729652
1330.0, 4.7195635
1340.0, 4.709326
1350.0, 4.698949
1360.0, 4.688439
1370.0, 4.677803
1380.0, 4.667049
1390.0, 4.6561823
1400.0, 4.6452093
1410.0, 4.634136
1420.0, 4.6229696
1430.0, 4.611715
1440.0, 4.6003776
1450.0, 4.5889635
1460.0, 4.577479
1470.0, 4.565928
1480.0, 4.5543156
1490.0, 4.5426474
1500.0, 4.5309277
1510.0, 4.519161
1520.0, 4.507352
1530.0, 4.495505
1540.0, 4.483624
1550.0, 4.4717135
1560.0, 4.4597764
1570.0, 4.447817
1580.0, 4.435839
1590.0, 4.4238462
1600.0, 4.411842
1610.0, 4.399828
1620.0, 4.3878098
1630.0, 4.3757887
1640.0, 4.3637686
1650.0, 4.3517513
1660.0, 4.3397403
1670.0, 4.3277373
1680.0, 4.315746
1690.0, 4.3037686
1700.0, 4.291806
1710.0, 4.2798615
1720.0, 4.2679377
1730.0, 4.256036
1740.0, 4.244158
1750.0, 4.2323055
1760.0, 4.2204814
1770.0, 4.2086864
1780.0, 4.196922
1790.0, 4.1851897
1800.0, 4.1734924
1810.0, 4.1618295
1820.0, 4.150204
1830.0, 4.1386156
1840.0, 4.127067
1850.0, 4.115558
1860.0, 4.1040907
1870.0, 4.0926657
1880.0, 4.081284
1890.0, 4.069946
1900.0, 4.0586534
1910.0, 4.0474057
1920.0, 4.0362053
1930.0, 4.025052
1940.0, 4.013947
1950.0, 4.00289
1960.0, 3.9918823
1970.0, 3.980924
1980.0, 3.970016
1990.0, 3.9591584
2000.0, 3.9483519
2010.0, 3.9375968
2020.0, 3.9268928
2030.0, 3.9162416
2040.0, 3.9056423
2050.0, 3.8950949
2060.0, 3.884601
2070.0, 3.8741596
2080.0, 3.8637712
2090.0, 3.8534358
2100.0, 3.8431544
2110.0, 3.8329258
2120.0, 3.8227513
2130.0, 3.8126297
2140.0, 3.8025618
2150.0, 3.7925475
2160.0, 3.7825868
2170.0, 3.7726793
2180.0, 3.7628255
2190.0, 3.753025
2200.0, 3.7432783
2210.0, 3.7335842
2220.0, 3.723943
2230.0, 3.7143555
2240.0, 3.70482
2250.0, 3.6953378
2260.0, 3.6859076
2270.0, 3.6765301
2280.0, 3.6672046
2290.0, 3.657931
2300.0, 3.6487093
2310.0, 3.6395388
2320.0, 3.63042
2330.0, 3.6213522
2340.0, 3.6123352
2350.0, 3.6033688
2360.0, 3.5944526
2370.0, 3.5855868
2380.0, 3.5767705
2390.0, 3.5680037
2400.0, 3.5592864
2410.0, 3.550618
2420.0, 3.5419986
2430.0, 3.5334277
2440.0, 3.5249045
2450.0, 3.5164297
2460.0, 3.5080025
2470.0, 3.4996223
2480.0, 3.4912896
2490.0, 3.483003
2500.0, 3.4747632
2510.0, 3.4665692
2520.0, 3.458421
2530.0, 3.450318
2540.0, 3.4422612
2550.0, 3.4342482
2560.0, 3.4262805
2570.0, 3.4183564
2580.0, 3.410477
2590.0, 3.4026408
2600.0, 3.394848
2610.0, 3.3870983
2620.0, 3.3793907
2630.0, 3.371726
2640.0, 3.3641038
2650.0, 3.3565228
2660.0, 3.3489833
2670.0, 3.341485
2680.0, 3.3340278
2690.0, 3.3266106
2700.0, 3.3192341
2710.0, 3.3118978
2720.0, 3.304601
2730.0, 3.2973433
2740.0, 3.2901247
2750.0, 3.282945
2760.0, 3.2758036
2770.0, 3.2687004
2780.0, 3.2616348
2790.0, 3.2546074
2800.0, 3.247617
2810.0, 3.2406635
2820.0, 3.233747
2830.0, 3.2268667
2840.0, 3.2200227
2850.0, 3.2132146
2860.0, 3.206442
2870.0, 3.199705
2880.0, 3.193003
2890.0, 3.1863353
2900.0, 3.1797028
2910.0, 3.173104
2920.0, 3.1665394
2930.0, 3.160009
2940.0, 3.1535113
2950.0, 3.147047
2960.0, 3.1406162
2970.0, 3.1342175
2980.0, 3.1278517
2990.0, 3.1215177
3000.0, 3.115216
