Energy (in eV), SEEE yield of material CERS-withBUCT at isotropic incidence
   X,       Y
3880.0, 4.9900956
3890.0, 4.983562
3900.0, 4.977046
3910.0, 4.970549
3920.0, 4.9640703
3930.0, 4.9576087
3940.0, 4.9511657
3950.0, 4.94474
3960.0, 4.938332
3970.0, 4.931941
3980.0, 4.925569
3990.0, 4.9192142
4000.0, 4.9128766
4010.0, 4.906557
4020.0, 4.9002542
4030.0, 4.893969
4040.0, 4.887702
4050.0, 4.881452
4060.0, 4.875219
4070.0, 4.8690033
4080.0, 4.862805
4090.0, 4.8566227
4100.0, 4.850458
4110.0, 4.8443108
4120.0, 4.8381805
4130.0, 4.832067
4140.0, 4.82597
4150.0, 4.8198905
4160.0, 4.813827
4170.0, 4.8077803
4180.0, 4.80175
4190.0, 4.7957373
4200.0, 4.789741
4210.0, 4.78376
4220.0, 4.7777963
4230.0, 4.771849
4240.0, 4.765918
4250.0, 4.7600026
4260.0, 4.754103
4270.0, 4.748221
4280.0, 4.742355
4290.0, 4.7365046
4300.0, 4.7306705
4310.0, 4.7248516
4320.0, 4.7190495
4330.0, 4.7132626
4340.0, 4.7074914
4350.0, 4.701737
4360.0, 4.6959968
4370.0, 4.690273
4380.0, 4.684565
4390.0, 4.6788716
4400.0, 4.673195
4410.0, 4.6675334
4420.0, 4.6618867
4430.0, 4.6562552
4440.0, 4.65064
4450.0, 4.6450396
4460.0, 4.6394534
4470.0, 4.6338825
4480.0, 4.628327
4490.0, 4.622787
4500.0, 4.617262
4510.0, 4.611751
4520.0, 4.6062555
4530.0, 4.600775
4540.0, 4.5953093
4550.0, 4.5898576
4560.0, 4.5844207
4570.0, 4.5789986
4580.0, 4.573591
4590.0, 4.568198
4600.0, 4.562819
4610.0, 4.557455
4620.0, 4.5521054
4630.0, 4.5467696
4640.0, 4.541448
4650.0, 4.536141
4660.0, 4.5308475
4670.0, 4.525569
4680.0, 4.520304
4690.0, 4.5150533
4700.0, 4.509816
4710.0, 4.5045934
4720.0, 4.4993844
4730.0, 4.4941883
4740.0, 4.4890065
4750.0, 4.4838386
4760.0, 4.478684
4770.0, 4.473543
4780.0, 4.468416
4790.0, 4.463303
4800.0, 4.458202
4810.0, 4.4531155
4820.0, 4.4480424
4830.0, 4.4429827
4840.0, 4.437935
4850.0, 4.432901
4860.0, 4.427881
4870.0, 4.4228735
4880.0, 4.417879
4890.0, 4.412898
4900.0, 4.40793
4910.0, 4.4029746
4920.0, 4.3980317
4930.0, 4.3931026
4940.0, 4.3881855
4950.0, 4.383281
4960.0, 4.37839
4970.0, 4.3735113
4980.0, 4.368645
4990.0, 4.363792
5000.0, 4.3589506
5010.0, 4.354122
5020.0, 4.349305
5030.0, 4.344502
5040.0, 4.3397117
5050.0, 4.3349323
5060.0, 4.3301654
5070.0, 4.3254104
5080.0, 4.3206687
5090.0, 4.3159375
5100.0, 4.3112197
5110.0, 4.3065133
