Energy (in eV), backscattering yield of material alox-reduced-PEY at isotropic incidence
   X,       Y
4100.0, 0.349157
4110.0, 0.34906158
4120.0, 0.34896627
4130.0, 0.34887117
4140.0, 0.34877622
4150.0, 0.3486815
4160.0, 0.3485869
4170.0, 0.34849247
4180.0, 0.34839827
4190.0, 0.34830418
4200.0, 0.3482103
4210.0, 0.34811658
4220.0, 0.34802303
4230.0, 0.3479297
4240.0, 0.34783646
4250.0, 0.34774345
4260.0, 0.3476506
4270.0, 0.34755787
4280.0, 0.34746537
4290.0, 0.34737304
4300.0, 0.3472809
4310.0, 0.34718886
4320.0, 0.34709707
4330.0, 0.3470054
4340.0, 0.3469139
4350.0, 0.3468226
4360.0, 0.3467314
4370.0, 0.34664044
4380.0, 0.34654963
4390.0, 0.34645897
4400.0, 0.34636846
4410.0, 0.34627816
4420.0, 0.34618798
4430.0, 0.34609804
4440.0, 0.3460082
4450.0, 0.34591857
4460.0, 0.34582907
4470.0, 0.34573972
4480.0, 0.34565058
4490.0, 0.3455616
4500.0, 0.34547278
4510.0, 0.34538412
4520.0, 0.3452956
4530.0, 0.34520727
4540.0, 0.34511912
4550.0, 0.3450311
4560.0, 0.34494326
4570.0, 0.34485558
4580.0, 0.34476808
4590.0, 0.34468073
4600.0, 0.34459355
4610.0, 0.3445065
4620.0, 0.34441963
4630.0, 0.3443329
4640.0, 0.34424636
4650.0, 0.34416002
4660.0, 0.34407374
4670.0, 0.3439877
4680.0, 0.34390178
4690.0, 0.34381604
4700.0, 0.34373045
4710.0, 0.34364504
4720.0, 0.34355974
4730.0, 0.3434746
4740.0, 0.34338966
4750.0, 0.34330487
4760.0, 0.34322023
4770.0, 0.3431357
4780.0, 0.34305137
4790.0, 0.3429672
4800.0, 0.3428832
4810.0, 0.34279937
4820.0, 0.34271568
4830.0, 0.3426321
4840.0, 0.34254873
4850.0, 0.34246546
4860.0, 0.3423824
4870.0, 0.34229946
4880.0, 0.3422167
4890.0, 0.34213406
4900.0, 0.3420516
4910.0, 0.34196928
4920.0, 0.34188712
4930.0, 0.3418051
4940.0, 0.34172323
4950.0, 0.34164155
4960.0, 0.34155998
4970.0, 0.3414786
4980.0, 0.34139735
4990.0, 0.34131625
5000.0, 0.3412353
5010.0, 0.34115452
5020.0, 0.34107387
5030.0, 0.34099337
5040.0, 0.34091303
5050.0, 0.34083283
5060.0, 0.34075278
5070.0, 0.34067285
5080.0, 0.3405931
5090.0, 0.34051353
5100.0, 0.34043407
5110.0, 0.34035477
5120.0, 0.34027562
5130.0, 0.34019658
5140.0, 0.34011775
5150.0, 0.340039
5160.0, 0.33996043
5170.0, 0.33988205
5180.0, 0.33980379
5190.0, 0.3397256
5200.0, 0.33964762
5210.0, 0.3395698
5220.0, 0.3394921
5230.0, 0.33941457
5240.0, 0.33933714
5250.0, 0.3392599
5260.0, 0.3391828
5270.0, 0.33910578
5280.0, 0.33902898
5290.0, 0.3389523
5300.0, 0.33887574
5310.0, 0.33879936
5320.0, 0.33872312
5330.0, 0.338647
5340.0, 0.338571
5350.0, 0.3384952
5360.0, 0.3384195
5370.0, 0.33834395
5380.0, 0.33826852
5390.0, 0.3381933
5400.0, 0.33811817
5410.0, 0.33804315
5420.0, 0.33796832
5430.0, 0.33789364
5440.0, 0.33781907
5450.0, 0.33774462
5460.0, 0.33767036
5470.0, 0.3375962
5480.0, 0.3375222
5490.0, 0.33744836
5500.0, 0.33737463
5510.0, 0.33730102
5520.0, 0.33722755
5530.0, 0.33715424
5540.0, 0.33708107
5550.0, 0.33700803
5560.0, 0.33693513
5570.0, 0.33686233
5580.0, 0.3367897
5590.0, 0.3367172
5600.0, 0.33664483
5610.0, 0.33657262
5620.0, 0.33650056
5630.0, 0.33642858
5640.0, 0.33635676
5650.0, 0.33628505
5660.0, 0.33621353
5670.0, 0.33614206
5680.0, 0.3360708
5690.0, 0.33599967
5700.0, 0.33592865
5710.0, 0.33585775
5720.0, 0.33578703
5730.0, 0.33571637
5740.0, 0.33564588
5750.0, 0.33557552
5760.0, 0.3355053
5770.0, 0.3354352
5780.0, 0.33536527
5790.0, 0.33529547
5800.0, 0.33522573
5810.0, 0.33515617
5820.0, 0.33508673
5830.0, 0.3350174
5840.0, 0.33494827
5850.0, 0.33487925
5860.0, 0.33481032
5870.0, 0.3347415
5880.0, 0.33467284
5890.0, 0.33460432
5900.0, 0.33453596
5910.0, 0.33446768
5920.0, 0.33439952
5930.0, 0.3343315
5940.0, 0.3342636
5950.0, 0.33419585
5960.0, 0.33412823
5970.0, 0.33406076
5980.0, 0.33399338
5990.0, 0.33392608
6000.0, 0.333859
6010.0, 0.33379197
6020.0, 0.33372512
6030.0, 0.33365837
6040.0, 0.33359173
6050.0, 0.33352527
6060.0, 0.33345887
6070.0, 0.33339265
6080.0, 0.33332655
6090.0, 0.3332605
6100.0, 0.33319467
6110.0, 0.33312887
6120.0, 0.33306327
6130.0, 0.3329978
6140.0, 0.3329324
6150.0, 0.33286715
6160.0, 0.33280203
6170.0, 0.332737
6180.0, 0.33267212
6190.0, 0.33260736
6200.0, 0.33254272
6210.0, 0.3324782
6220.0, 0.33241382
6230.0, 0.3323495
6240.0, 0.33228534
6250.0, 0.33222136
6260.0, 0.3321574
6270.0, 0.3320936
6280.0, 0.33202994
6290.0, 0.3319664
6300.0, 0.33190295
6310.0, 0.33183962
6320.0, 0.33177644
6330.0, 0.33171335
6340.0, 0.3316504
6350.0, 0.3315876
6360.0, 0.33152485
6370.0, 0.33146223
6380.0, 0.3313998
6390.0, 0.33133742
6400.0, 0.33127517
6410.0, 0.33121306
6420.0, 0.33115104
6430.0, 0.33108914
6440.0, 0.33102733
6450.0, 0.3309657
6460.0, 0.33090416
6470.0, 0.33084273
6480.0, 0.33078143
6490.0, 0.33072022
6500.0, 0.3306591
6510.0, 0.33059818
6520.0, 0.33053732
6530.0, 0.3304766
6540.0, 0.33041596
6550.0, 0.33035544
6560.0, 0.33029503
6570.0, 0.3302348
6580.0, 0.33017462
6590.0, 0.33011457
6600.0, 0.3300546
6610.0, 0.32999483
6620.0, 0.3299351
6630.0, 0.3298755
6640.0, 0.329816
6650.0, 0.32975665
6660.0, 0.32969737
6670.0, 0.32963824
6680.0, 0.3295792
6690.0, 0.3295203
6700.0, 0.3294615
6710.0, 0.32940274
6720.0, 0.32934415
6730.0, 0.3292857
6740.0, 0.32922733
6750.0, 0.3291691
6760.0, 0.32911095
6770.0, 0.32905293
6780.0, 0.328995
6790.0, 0.32893717
6800.0, 0.32887948
6810.0, 0.32882187
6820.0, 0.32876435
6830.0, 0.328707
6840.0, 0.3286497
6850.0, 0.32859257
6860.0, 0.3285355
6870.0, 0.32847854
6880.0, 0.32842168
6890.0, 0.328365
6900.0, 0.32830837
6910.0, 0.32825187
6920.0, 0.32819545
6930.0, 0.32813913
6940.0, 0.32808292
6950.0, 0.32802686
6960.0, 0.3279709
6970.0, 0.327915
6980.0, 0.32785925
6990.0, 0.32780358
7000.0, 0.32774803
7010.0, 0.32769254
7020.0, 0.32763723
7030.0, 0.32758197
7040.0, 0.32752684
7050.0, 0.32747176
7060.0, 0.3274169
7070.0, 0.32736206
7080.0, 0.32730734
7090.0, 0.3272527
7100.0, 0.3271982
7110.0, 0.3271438
7120.0, 0.3270895
7130.0, 0.32703528
7140.0, 0.3269812
7150.0, 0.3269272
7160.0, 0.3268733
7170.0, 0.32681954
7180.0, 0.32676584
7190.0, 0.32671222
7200.0, 0.32665876
7210.0, 0.32660535
7220.0, 0.3265521
7230.0, 0.3264989
7240.0, 0.32644582
7250.0, 0.32639283
7260.0, 0.32634
7270.0, 0.32628718
7280.0, 0.32623455
7290.0, 0.32618195
7300.0, 0.32612947
7310.0, 0.3260771
7320.0, 0.3260248
7330.0, 0.32597265
7340.0, 0.32592058
7350.0, 0.32586858
7360.0, 0.32581672
7370.0, 0.32576495
7380.0, 0.32571328
7390.0, 0.3256617
7400.0, 0.32561016
7410.0, 0.32555878
7420.0, 0.32550752
7430.0, 0.32545632
7440.0, 0.3254052
7450.0, 0.32535422
7460.0, 0.32530332
7470.0, 0.32525253
7480.0, 0.3252018
7490.0, 0.3251512
7500.0, 0.3251007
7510.0, 0.32505026
7520.0, 0.32499996
7530.0, 0.3249497
7540.0, 0.3248996
7550.0, 0.32484958
7560.0, 0.32479963
7570.0, 0.3247498
7580.0, 0.32470003
7590.0, 0.32465038
7600.0, 0.32460082
7610.0, 0.32455137
7620.0, 0.324502
7630.0, 0.32445273
7640.0, 0.32440355
7650.0, 0.32435444
7660.0, 0.32430544
7670.0, 0.32425654
7680.0, 0.32420778
7690.0, 0.32415906
7700.0, 0.32411042
7710.0, 0.3240619
7720.0, 0.32401347
7730.0, 0.3239651
7740.0, 0.32391688
7750.0, 0.32386872
7760.0, 0.32382065
7770.0, 0.32377267
7780.0, 0.3237248
7790.0, 0.323677
7800.0, 0.3236293
7810.0, 0.3235817
7820.0, 0.32353416
7830.0, 0.32348675
7840.0, 0.3234394
7850.0, 0.32339215
7860.0, 0.323345
7870.0, 0.32329795
7880.0, 0.32325098
7890.0, 0.32320407
7900.0, 0.32315728
7910.0, 0.32311055
7920.0, 0.323064
7930.0, 0.32301742
7940.0, 0.32297102
7950.0, 0.32292464
7960.0, 0.3228784
7970.0, 0.3228322
7980.0, 0.32278615
7990.0, 0.32274014
8000.0, 0.32269424
8010.0, 0.32264844
8020.0, 0.32260266
8030.0, 0.32255703
8040.0, 0.3225115
8050.0, 0.32246602
8060.0, 0.3224206
8070.0, 0.32237533
8080.0, 0.32233012
8090.0, 0.322285
8100.0, 0.32223997
