Energy (in eV), SEEE yield of material CFRP-NASCAP at isotropic incidence
   X,       Y
3960.0, 0.966184
3970.0, 0.9646698
3980.0, 0.9631607
3990.0, 0.9616567
4000.0, 0.9601577
4010.0, 0.9586636
4020.0, 0.95717466
4030.0, 0.9556908
4040.0, 0.9542119
4050.0, 0.95273775
4060.0, 0.9512687
4070.0, 0.94980454
4080.0, 0.9483451
4090.0, 0.9468906
4100.0, 0.945441
4110.0, 0.94399595
4120.0, 0.9425559
4130.0, 0.94112045
4140.0, 0.9396898
4150.0, 0.9382637
4160.0, 0.9368425
4170.0, 0.93542576
4180.0, 0.93401366
4190.0, 0.9326062
4200.0, 0.9312033
4210.0, 0.92980504
4220.0, 0.92841125
4230.0, 0.92702186
4240.0, 0.9256371
4250.0, 0.9242568
4260.0, 0.9228809
4270.0, 0.9215095
4280.0, 0.9201423
4290.0, 0.91877955
4300.0, 0.91742116
4310.0, 0.91606724
4320.0, 0.9147175
4330.0, 0.91337204
4340.0, 0.91203094
4350.0, 0.910694
4360.0, 0.9093613
4370.0, 0.90803283
4380.0, 0.9067084
4390.0, 0.90538836
4400.0, 0.9040724
4410.0, 0.90276057
4420.0, 0.9014527
4430.0, 0.90014917
4440.0, 0.89884955
4450.0, 0.89755404
4460.0, 0.89626247
4470.0, 0.894975
4480.0, 0.8936914
4490.0, 0.89241195
4500.0, 0.8911363
4510.0, 0.8898646
4520.0, 0.88859683
4530.0, 0.88733286
4540.0, 0.88607293
4550.0, 0.8848168
4560.0, 0.88356453
4570.0, 0.882316
4580.0, 0.8810713
4590.0, 0.8798305
4600.0, 0.8785934
4610.0, 0.87736
4620.0, 0.87613034
4630.0, 0.8749044
4640.0, 0.8736822
4650.0, 0.87246364
4660.0, 0.87124884
4670.0, 0.87003744
4680.0, 0.8688299
4690.0, 0.86762583
4700.0, 0.8664256
4710.0, 0.8652288
4720.0, 0.8640355
4730.0, 0.8628458
4740.0, 0.86165965
4750.0, 0.860477
4760.0, 0.8592979
4770.0, 0.85812217
4780.0, 0.85694987
4790.0, 0.8557812
4800.0, 0.85461587
4810.0, 0.85345393
4820.0, 0.8522954
4830.0, 0.8511402
4840.0, 0.8499885
4850.0, 0.8488401
4860.0, 0.84769523
4870.0, 0.84655344
4880.0, 0.84541494
4890.0, 0.8442798
4900.0, 0.8431481
4910.0, 0.84201944
4920.0, 0.8408943
4930.0, 0.83977216
4940.0, 0.8386533
4950.0, 0.8375379
4960.0, 0.8364253
4970.0, 0.8353161
4980.0, 0.83421004
4990.0, 0.8331071
5000.0, 0.8320073
5010.0, 0.8309105
5020.0, 0.8298171
5030.0, 0.82872665
5040.0, 0.82763934
5050.0, 0.826555
5060.0, 0.82547385
5070.0, 0.82439566
5080.0, 0.8233205
5090.0, 0.82224834
5100.0, 0.8211793
5110.0, 0.8201132
5120.0, 0.81905
5130.0, 0.8179899
5140.0, 0.8169327
5150.0, 0.8158784
5160.0, 0.8148271
5170.0, 0.81377864
5180.0, 0.81273305
5190.0, 0.81169045
5200.0, 0.81065077
5210.0, 0.8096138
5220.0, 0.80857986
5230.0, 0.80754864
5240.0, 0.8065203
5250.0, 0.8054948
5260.0, 0.80447215
5270.0, 0.80345213
5280.0, 0.802435
5290.0, 0.80142075
5300.0, 0.8004089
5310.0, 0.7994001
5320.0, 0.79839396
5330.0, 0.7973906
5340.0, 0.7963898
5350.0, 0.7953919
5360.0, 0.7943967
5370.0, 0.7934041
5380.0, 0.7924141
5390.0, 0.79142684
5400.0, 0.7904422
5410.0, 0.7894602
5420.0, 0.78848076
5430.0, 0.78750396
5440.0, 0.78652984
5450.0, 0.7855583
5460.0, 0.78458935
5470.0, 0.7836229
5480.0, 0.782659
5490.0, 0.78169775
5500.0, 0.780739
5510.0, 0.77978283
5520.0, 0.7788291
5530.0, 0.77787805
5540.0, 0.7769293
5550.0, 0.77598304
5560.0, 0.7750393
5570.0, 0.77409816
5580.0, 0.7731593
5590.0, 0.7722229
5600.0, 0.77128905
5610.0, 0.77035755
5620.0, 0.7694286
5630.0, 0.7685018
5640.0, 0.76757765
5650.0, 0.7666558
5660.0, 0.7657364
5670.0, 0.7648192
5680.0, 0.7639044
5690.0, 0.76299214
5700.0, 0.762082
5710.0, 0.7611744
5720.0, 0.7602689
5730.0, 0.75936586
5740.0, 0.75846523
5750.0, 0.7575667
5760.0, 0.7566705
5770.0, 0.7557765
5780.0, 0.75488496
5790.0, 0.75399566
5800.0, 0.7531085
5810.0, 0.7522236
5820.0, 0.751341
5830.0, 0.7504606
5840.0, 0.7495824
5850.0, 0.74870646
5860.0, 0.74783266
5870.0, 0.7469611
5880.0, 0.7460917
5890.0, 0.7452245
5900.0, 0.74435943
5910.0, 0.74349666
5920.0, 0.74263585
5930.0, 0.74177724
5940.0, 0.7409207
5950.0, 0.7400665
5960.0, 0.7392142
5970.0, 0.73836404
5980.0, 0.7375161
5990.0, 0.7366702
