Energy (in eV), backscattering yield of material alox-reduced-PEY at incidence 0.0 degree
   X,       Y
4520.0, 0.17771523
4530.0, 0.17763433
4540.0, 0.17755358
4550.0, 0.177473
4560.0, 0.17739257
4570.0, 0.1773123
4580.0, 0.1772322
4590.0, 0.17715226
4600.0, 0.17707248
4610.0, 0.17699285
4620.0, 0.17691338
4630.0, 0.17683408
4640.0, 0.17675494
4650.0, 0.17667595
4660.0, 0.1765971
4670.0, 0.17651844
4680.0, 0.17643991
4690.0, 0.17636156
4700.0, 0.17628336
4710.0, 0.1762053
4720.0, 0.17612742
4730.0, 0.17604968
4740.0, 0.1759721
4750.0, 0.17589468
4760.0, 0.1758174
4770.0, 0.17574029
4780.0, 0.17566332
4790.0, 0.1755865
4800.0, 0.17550986
4810.0, 0.17543335
4820.0, 0.17535701
4830.0, 0.17528081
4840.0, 0.17520477
4850.0, 0.17512888
4860.0, 0.17505313
4870.0, 0.17497754
4880.0, 0.17490211
4890.0, 0.17482682
4900.0, 0.17475168
4910.0, 0.17467669
4920.0, 0.17460185
4930.0, 0.17452717
4940.0, 0.17445263
4950.0, 0.17437825
4960.0, 0.174304
4970.0, 0.1742299
4980.0, 0.17415597
4990.0, 0.17408216
5000.0, 0.17400852
5010.0, 0.17393501
5020.0, 0.17386165
5030.0, 0.17378844
5040.0, 0.17371538
5050.0, 0.17364247
5060.0, 0.1735697
5070.0, 0.17349707
5080.0, 0.17342459
5090.0, 0.17335226
5100.0, 0.17328006
5110.0, 0.17320801
5120.0, 0.17313612
5130.0, 0.17306435
5140.0, 0.17299274
5150.0, 0.17292127
5160.0, 0.17284994
5170.0, 0.17277876
5180.0, 0.1727077
5190.0, 0.1726368
5200.0, 0.17256604
5210.0, 0.17249542
5220.0, 0.17242494
5230.0, 0.1723546
5240.0, 0.17228441
5250.0, 0.17221434
5260.0, 0.17214443
5270.0, 0.17207465
5280.0, 0.17200501
5290.0, 0.17193551
5300.0, 0.17186615
5310.0, 0.17179693
5320.0, 0.17172785
5330.0, 0.1716589
5340.0, 0.17159009
5350.0, 0.17152143
5360.0, 0.1714529
5370.0, 0.1713845
5380.0, 0.17131624
5390.0, 0.17124811
5400.0, 0.17118013
5410.0, 0.17111227
5420.0, 0.17104456
5430.0, 0.17097698
5440.0, 0.17090952
5450.0, 0.17084222
5460.0, 0.17077504
5470.0, 0.170708
5480.0, 0.1706411
5490.0, 0.17057432
5500.0, 0.17050768
5510.0, 0.17044117
5520.0, 0.1703748
5530.0, 0.17030856
5540.0, 0.17024244
5550.0, 0.17017646
5560.0, 0.17011061
5570.0, 0.1700449
5580.0, 0.16997932
5590.0, 0.16991387
5600.0, 0.16984855
5610.0, 0.16978335
5620.0, 0.1697183
5630.0, 0.16965337
5640.0, 0.16958857
5650.0, 0.1695239
5660.0, 0.16945936
5670.0, 0.16939494
5680.0, 0.16933066
5690.0, 0.1692665
5700.0, 0.16920248
5710.0, 0.16913857
5720.0, 0.1690748
5730.0, 0.16901116
5740.0, 0.16894764
5750.0, 0.16888425
5760.0, 0.16882098
5770.0, 0.16875784
5780.0, 0.16869484
5790.0, 0.16863194
5800.0, 0.16856919
5810.0, 0.16850655
5820.0, 0.16844404
5830.0, 0.16838166
5840.0, 0.1683194
5850.0, 0.16825727
5860.0, 0.16819525
5870.0, 0.16813336
5880.0, 0.1680716
5890.0, 0.16800997
5900.0, 0.16794844
5910.0, 0.16788705
5920.0, 0.16782577
5930.0, 0.16776463
5940.0, 0.1677036
5950.0, 0.1676427
5960.0, 0.16758192
5970.0, 0.16752125
5980.0, 0.16746071
5990.0, 0.16740029
6000.0, 0.16734
6010.0, 0.16727981
6020.0, 0.16721976
6030.0, 0.16715981
6040.0, 0.1671
6050.0, 0.1670403
6060.0, 0.16698071
6070.0, 0.16692126
6080.0, 0.16686192
6090.0, 0.16680269
6100.0, 0.16674359
6110.0, 0.1666846
6120.0, 0.16662574
6130.0, 0.16656698
6140.0, 0.16650835
6150.0, 0.16644983
6160.0, 0.16639143
6170.0, 0.16633314
6180.0, 0.16627498
6190.0, 0.16621692
6200.0, 0.16615899
6210.0, 0.16610117
6220.0, 0.16604348
6230.0, 0.16598588
6240.0, 0.16592841
6250.0, 0.16587105
6260.0, 0.1658138
6270.0, 0.16575667
6280.0, 0.16569966
6290.0, 0.16564275
6300.0, 0.16558598
6310.0, 0.1655293
6320.0, 0.16547273
6330.0, 0.16541629
6340.0, 0.16535996
6350.0, 0.16530374
6360.0, 0.16524762
6370.0, 0.16519162
6380.0, 0.16513574
6390.0, 0.16507997
6400.0, 0.1650243
6410.0, 0.16496874
6420.0, 0.16491331
6430.0, 0.16485798
6440.0, 0.16480276
6450.0, 0.16474766
6460.0, 0.16469266
6470.0, 0.16463776
6480.0, 0.16458298
6490.0, 0.16452831
6500.0, 0.16447374
6510.0, 0.1644193
6520.0, 0.16436495
6530.0, 0.16431072
6540.0, 0.16425659
6550.0, 0.16420257
6560.0, 0.16414866
6570.0, 0.16409487
6580.0, 0.16404116
6590.0, 0.16398758
6600.0, 0.1639341
6610.0, 0.16388072
6620.0, 0.16382746
6630.0, 0.1637743
6640.0, 0.16372125
6650.0, 0.16366829
6660.0, 0.16361545
6670.0, 0.16356272
6680.0, 0.16351008
6690.0, 0.16345756
6700.0, 0.16340514
6710.0, 0.16335282
6720.0, 0.1633006
6730.0, 0.1632485
6740.0, 0.16319649
6750.0, 0.1631446
6760.0, 0.1630928
6770.0, 0.16304111
6780.0, 0.16298951
6790.0, 0.16293803
6800.0, 0.16288665
6810.0, 0.16283537
6820.0, 0.16278419
6830.0, 0.16273311
6840.0, 0.16268215
6850.0, 0.16263127
6860.0, 0.16258049
6870.0, 0.16252983
6880.0, 0.16247925
6890.0, 0.1624288
6900.0, 0.16237843
6910.0, 0.16232815
6920.0, 0.162278
6930.0, 0.16222793
6940.0, 0.16217797
6950.0, 0.1621281
6960.0, 0.16207834
6970.0, 0.16202867
6980.0, 0.16197911
6990.0, 0.16192964
7000.0, 0.16188027
7010.0, 0.16183099
7020.0, 0.16178182
7030.0, 0.16173275
7040.0, 0.16168378
7050.0, 0.16163489
7060.0, 0.16158612
7070.0, 0.16153744
7080.0, 0.16148885
7090.0, 0.16144036
7100.0, 0.16139197
7110.0, 0.16134368
7120.0, 0.16129547
7130.0, 0.16124737
7140.0, 0.16119938
7150.0, 0.16115147
7160.0, 0.16110365
7170.0, 0.16105594
7180.0, 0.16100831
7190.0, 0.16096078
7200.0, 0.16091335
7210.0, 0.160866
7220.0, 0.16081877
7230.0, 0.16077161
7240.0, 0.16072457
7250.0, 0.1606776
7260.0, 0.16063073
7270.0, 0.16058396
7280.0, 0.16053727
7290.0, 0.16049069
7300.0, 0.1604442
7310.0, 0.1603978
7320.0, 0.16035149
7330.0, 0.16030528
7340.0, 0.16025916
7350.0, 0.16021311
7360.0, 0.16016717
7370.0, 0.16012134
7380.0, 0.16007558
7390.0, 0.16002992
7400.0, 0.15998434
7410.0, 0.15993886
7420.0, 0.15989347
7430.0, 0.15984817
7440.0, 0.15980296
7450.0, 0.15975784
7460.0, 0.1597128
7470.0, 0.15966786
7480.0, 0.15962301
7490.0, 0.15957826
7500.0, 0.15953359
7510.0, 0.159489
7520.0, 0.15944451
7530.0, 0.1594001
7540.0, 0.15935579
7550.0, 0.15931156
7560.0, 0.15926743
7570.0, 0.15922338
7580.0, 0.15917942
7590.0, 0.15913555
7600.0, 0.15909176
7610.0, 0.15904807
7620.0, 0.15900445
7630.0, 0.15896092
7640.0, 0.15891749
7650.0, 0.15887414
7660.0, 0.15883087
7670.0, 0.1587877
7680.0, 0.1587446
7690.0, 0.1587016
7700.0, 0.15865868
7710.0, 0.15861584
7720.0, 0.1585731
7730.0, 0.15853044
7740.0, 0.15848786
7750.0, 0.15844537
7760.0, 0.15840296
7770.0, 0.15836065
7780.0, 0.1583184
7790.0, 0.15827624
7800.0, 0.15823418
7810.0, 0.15819219
7820.0, 0.15815029
7830.0, 0.15810847
7840.0, 0.15806673
7850.0, 0.15802509
7860.0, 0.15798353
7870.0, 0.15794204
7880.0, 0.15790063
7890.0, 0.15785931
7900.0, 0.15781808
7910.0, 0.15777692
7920.0, 0.15773585
7930.0, 0.15769486
7940.0, 0.15765396
7950.0, 0.15761313
7960.0, 0.15757239
7970.0, 0.15753172
7980.0, 0.15749115
7990.0, 0.15745065
8000.0, 0.15741022
8010.0, 0.15736988
8020.0, 0.15732962
8030.0, 0.15728945
8040.0, 0.15724935
8050.0, 0.15720934
8060.0, 0.15716939
8070.0, 0.15712954
8080.0, 0.15708975
8090.0, 0.15705006
8100.0, 0.15701044
8110.0, 0.1569709
8120.0, 0.15693145
8130.0, 0.15689206
8140.0, 0.15685275
8150.0, 0.15681353
8160.0, 0.15677439
8170.0, 0.15673532
8180.0, 0.15669632
8190.0, 0.15665741
8200.0, 0.15661858
8210.0, 0.15657982
8220.0, 0.15654114
8230.0, 0.15650253
8240.0, 0.15646401
8250.0, 0.15642557
8260.0, 0.1563872
8270.0, 0.1563489
8280.0, 0.15631068
8290.0, 0.15627253
8300.0, 0.15623447
8310.0, 0.15619648
8320.0, 0.15615857
8330.0, 0.15612073
8340.0, 0.15608296
8350.0, 0.15604527
8360.0, 0.15600766
8370.0, 0.15597013
8380.0, 0.15593266
8390.0, 0.15589528
8400.0, 0.15585797
8410.0, 0.15582073
8420.0, 0.15578356
8430.0, 0.15574647
8440.0, 0.15570946
8450.0, 0.15567252
8460.0, 0.15563565
8470.0, 0.15559886
8480.0, 0.15556215
8490.0, 0.15552549
8500.0, 0.15548892
8510.0, 0.15545242
8520.0, 0.155416
8530.0, 0.15537964
8540.0, 0.15534335
8550.0, 0.15530714
8560.0, 0.15527101
8570.0, 0.15523495
8580.0, 0.15519896
8590.0, 0.15516303
8600.0, 0.15512718
8610.0, 0.1550914
8620.0, 0.1550557
8630.0, 0.15502007
8640.0, 0.1549845
8650.0, 0.15494901
8660.0, 0.15491359
8670.0, 0.15487824
8680.0, 0.15484296
8690.0, 0.15480775
8700.0, 0.15477261
8710.0, 0.15473755
8720.0, 0.15470254
8730.0, 0.15466762
8740.0, 0.15463275
8750.0, 0.15459797
8760.0, 0.15456325
8770.0, 0.15452859
8780.0, 0.15449402
8790.0, 0.1544595
8800.0, 0.15442505
8810.0, 0.15439068
8820.0, 0.15435638
8830.0, 0.15432213
8840.0, 0.15428796
8850.0, 0.15425387
8860.0, 0.15421984
8870.0, 0.15418588
8880.0, 0.15415198
8890.0, 0.15411815
8900.0, 0.15408438
8910.0, 0.1540507
8920.0, 0.15401706
8930.0, 0.1539835
8940.0, 0.15395
8950.0, 0.15391658
8960.0, 0.15388323
8970.0, 0.15384993
8980.0, 0.15381671
8990.0, 0.15378354
9000.0, 0.15375046
9010.0, 0.15371743
9020.0, 0.15368447
9030.0, 0.15365158
9040.0, 0.15361875
9050.0, 0.15358599
9060.0, 0.15355329
9070.0, 0.15352066
9080.0, 0.15348808
9090.0, 0.15345559
9100.0, 0.15342315
9110.0, 0.15339078
9120.0, 0.15335846
9130.0, 0.15332623
9140.0, 0.15329404
9150.0, 0.15326193
9160.0, 0.15322988
9170.0, 0.15319788
9180.0, 0.15316597
9190.0, 0.15313411
9200.0, 0.15310231
9210.0, 0.15307058
9220.0, 0.15303892
9230.0, 0.15300731
9240.0, 0.15297577
9250.0, 0.15294428
9260.0, 0.15291287
9270.0, 0.15288152
9280.0, 0.15285023
9290.0, 0.152819
9300.0, 0.15278783
9310.0, 0.15275674
9320.0, 0.15272568
9330.0, 0.1526947
9340.0, 0.1526638
9350.0, 0.15263294
9360.0, 0.15260214
9370.0, 0.15257141
9380.0, 0.15254074
9390.0, 0.15251014
9400.0, 0.15247957
9410.0, 0.15244909
9420.0, 0.15241867
9430.0, 0.1523883
9440.0, 0.152358
9450.0, 0.15232775
9460.0, 0.15229757
9470.0, 0.15226744
9480.0, 0.15223739
9490.0, 0.15220737
9500.0, 0.15217744
9510.0, 0.15214755
9520.0, 0.15211773
9530.0, 0.15208796
9540.0, 0.15205826
9550.0, 0.1520286
9560.0, 0.15199903
9570.0, 0.15196949
9580.0, 0.15194003
9590.0, 0.15191062
9600.0, 0.15188126
9610.0, 0.15185198
9620.0, 0.15182275
9630.0, 0.15179357
9640.0, 0.15176445
9650.0, 0.1517354
9660.0, 0.15170638
9670.0, 0.15167744
9680.0, 0.15164857
9690.0, 0.15161973
9700.0, 0.15159096
9710.0, 0.15156226
9720.0, 0.1515336
9730.0, 0.15150501
9740.0, 0.15147646
9750.0, 0.15144798
9760.0, 0.15141955
9770.0, 0.15139118
9780.0, 0.15136287
9790.0, 0.15133461
9800.0, 0.1513064
9810.0, 0.15127827
9820.0, 0.15125018
9830.0, 0.15122215
9840.0, 0.15119417
9850.0, 0.15116626
9860.0, 0.1511384
9870.0, 0.15111059
9880.0, 0.15108283
9890.0, 0.15105514
9900.0, 0.1510275
9910.0, 0.1509999
9920.0, 0.15097238
9930.0, 0.1509449
9940.0, 0.15091749
9950.0, 0.15089011
9960.0, 0.1508628
9970.0, 0.15083554
9980.0, 0.15080833
9990.0, 0.1507812
10000.0, 0.1507541
10010.0, 0.15072706
10020.0, 0.15070008
10030.0, 0.15067314
10040.0, 0.15064627
10050.0, 0.15061943
10060.0, 0.15059267
10070.0, 0.15056595
10080.0, 0.15053928
10090.0, 0.15051268
10100.0, 0.15048611
10110.0, 0.15045962
10120.0, 0.15043317
10130.0, 0.15040676
10140.0, 0.15038042
10150.0, 0.15035412
10160.0, 0.15032788
10170.0, 0.1503017
10180.0, 0.15027556
10190.0, 0.15024947
10200.0, 0.15022345
10210.0, 0.15019746
10220.0, 0.15017153
10230.0, 0.15014566
10240.0, 0.15011983
10250.0, 0.15009406
10260.0, 0.15006834
10270.0, 0.15004267
10280.0, 0.15001705
10290.0, 0.14999148
10300.0, 0.14996597
10310.0, 0.1499405
10320.0, 0.14991508
10330.0, 0.14988972
10340.0, 0.1498644
10350.0, 0.14983915
10360.0, 0.14981394
10370.0, 0.14978878
10380.0, 0.14976366
10390.0, 0.14973861
10400.0, 0.14971359
10410.0, 0.14968863
10420.0, 0.14966372
10430.0, 0.14963886
10440.0, 0.14961405
10450.0, 0.14958929
10460.0, 0.14956456
10470.0, 0.1495399
10480.0, 0.1495153
10490.0, 0.14949073
10500.0, 0.14946622
10510.0, 0.14944175
10520.0, 0.14941733
10530.0, 0.14939296
10540.0, 0.14936864
10550.0, 0.14934437
10560.0, 0.14932014
10570.0, 0.14929597
10580.0, 0.14927185
10590.0, 0.14924777
10600.0, 0.14922373
10610.0, 0.14919975
10620.0, 0.14917582
10630.0, 0.14915194
10640.0, 0.1491281
10650.0, 0.1491043
10660.0, 0.14908056
10670.0, 0.14905687
10680.0, 0.1490332
10690.0, 0.14900962
10700.0, 0.14898606
10710.0, 0.14896254
10720.0, 0.14893909
10730.0, 0.14891568
10740.0, 0.14889231
10750.0, 0.148869
10760.0, 0.14884572
10770.0, 0.14882249
10780.0, 0.1487993
10790.0, 0.14877617
10800.0, 0.14875308
10810.0, 0.14873004
10820.0, 0.14870705
10830.0, 0.1486841
10840.0, 0.1486612
10850.0, 0.14863834
10860.0, 0.14861552
10870.0, 0.14859276
10880.0, 0.14857003
10890.0, 0.14854735
10900.0, 0.14852472
10910.0, 0.14850214
10920.0, 0.1484796
10930.0, 0.1484571
10940.0, 0.14843465
10950.0, 0.14841224
10960.0, 0.14838989
10970.0, 0.14836757
10980.0, 0.14834529
10990.0, 0.14832307
11000.0, 0.14830089
11010.0, 0.14827874
11020.0, 0.14825666
11030.0, 0.1482346
11040.0, 0.1482126
11050.0, 0.14819063
11060.0, 0.14816871
11070.0, 0.14814684
11080.0, 0.14812501
11090.0, 0.14810322
11100.0, 0.14808148
11110.0, 0.14805979
11120.0, 0.14803812
11130.0, 0.14801651
11140.0, 0.14799494
11150.0, 0.14797342
11160.0, 0.14795193
11170.0, 0.14793049
11180.0, 0.14790909
11190.0, 0.14788774
11200.0, 0.14786643
11210.0, 0.14784515
11220.0, 0.14782393
11230.0, 0.14780274
11240.0, 0.1477816
11250.0, 0.1477605
11260.0, 0.14773944
11270.0, 0.14771841
11280.0, 0.14769745
11290.0, 0.14767651
11300.0, 0.14765562
11310.0, 0.14763477
11320.0, 0.14761396
11330.0, 0.1475932
11340.0, 0.14757247
11350.0, 0.14755179
11360.0, 0.14753115
11370.0, 0.14751054
11380.0, 0.14748998
11390.0, 0.14746946
11400.0, 0.14744899
11410.0, 0.14742856
11420.0, 0.14740816
11430.0, 0.1473878
11440.0, 0.14736749
11450.0, 0.14734721
11460.0, 0.14732698
11470.0, 0.14730678
11480.0, 0.14728664
11490.0, 0.14726652
11500.0, 0.14724645
11510.0, 0.14722642
11520.0, 0.14720643
