Energy (in eV), SEEE yield of material CFRP-NASCAP at incidence 0.0 degree
1040.0, 0.96470916
1050.0, 0.9610894
1060.0, 0.9575018
1070.0, 0.953946
1080.0, 0.9504215
1090.0, 0.9469278
1100.0, 0.9434643
1110.0, 0.9400309
1120.0, 0.93662673
1130.0, 0.93325174
1140.0, 0.92990535
1150.0, 0.9265872
1160.0, 0.92329687
1170.0, 0.9200338
1180.0, 0.916798
1190.0, 0.91358864
1200.0, 0.91040576
1210.0, 0.90724874
1220.0, 0.9041173
1230.0, 0.9010111
1240.0, 0.89792985
1250.0, 0.8948731
1260.0, 0.89184064
1270.0, 0.888832
1280.0, 0.885847
1290.0, 0.8828854
1300.0, 0.8799467
1310.0, 0.8770308
1320.0, 0.87413716
1330.0, 0.8712658
1340.0, 0.86841613
1350.0, 0.8655882
1360.0, 0.8627815
1370.0, 0.85999584
1380.0, 0.85723084
1390.0, 0.85448647
1400.0, 0.8517625
1410.0, 0.84905845
1420.0, 0.8463742
1430.0, 0.8437093
1440.0, 0.8410639
1450.0, 0.83843756
1460.0, 0.83583
1470.0, 0.8332412
1480.0, 0.83067065
1490.0, 0.82811844
1500.0, 0.8255841
1510.0, 0.8230677
1520.0, 0.8205688
1530.0, 0.8180872
1540.0, 0.81562287
1550.0, 0.81317556
1560.0, 0.81074494
1570.0, 0.80833083
1580.0, 0.80593336
1590.0, 0.80355203
1600.0, 0.8011868
1610.0, 0.79883736
1620.0, 0.7965038
1630.0, 0.79418564
1640.0, 0.7918828
1650.0, 0.7895953
1660.0, 0.78732276
1670.0, 0.7850652
1680.0, 0.78282225
1690.0, 0.7805939
1700.0, 0.77837986
1710.0, 0.7761802
1720.0, 0.7739947
1730.0, 0.7718231
1740.0, 0.76966536
1750.0, 0.7675212
1760.0, 0.7653907
1770.0, 0.7632734
1780.0, 0.7611697
1790.0, 0.7590788
1800.0, 0.7570011
1810.0, 0.7549362
1820.0, 0.75288403
1830.0, 0.7508445
1840.0, 0.74881744
1850.0, 0.7468027
1860.0, 0.74480027
1870.0, 0.7428099
1880.0, 0.7408316
1890.0, 0.7388652
1900.0, 0.73691046
1910.0, 0.7349674
1920.0, 0.73303586
1930.0, 0.73111594
1940.0, 0.7292072
1950.0, 0.72730976
1960.0, 0.72542334
1970.0, 0.72354794
1980.0, 0.72168344
1990.0, 0.7198298
2000.0, 0.71798694
2010.0, 0.71615446
2020.0, 0.71433264
2030.0, 0.71252126
2040.0, 0.7107201
2050.0, 0.7089292
2060.0, 0.7071485
2070.0, 0.7053777
2080.0, 0.70361686
2090.0, 0.70186603
2100.0, 0.7001248
2110.0, 0.69839334
2120.0, 0.6966715
2130.0, 0.69495904
2140.0, 0.693256
2150.0, 0.6915625
2160.0, 0.6898781
2170.0, 0.68820286
2180.0, 0.68653685
2190.0, 0.6848797
2200.0, 0.68323165
2210.0, 0.68159235
2220.0, 0.6799619
2230.0, 0.6783402
2240.0, 0.67672706
2250.0, 0.6751225
2260.0, 0.6735265
2270.0, 0.67193884
2280.0, 0.6703596
2290.0, 0.6687885
2300.0, 0.6672258
2310.0, 0.66567105
2320.0, 0.6641245
2330.0, 0.662586
2340.0, 0.6610553
2350.0, 0.6595326
2360.0, 0.6580177
2370.0, 0.65651053
2380.0, 0.655011
2390.0, 0.65351915
2400.0, 0.65203476
2410.0, 0.650558
2420.0, 0.6490886
2430.0, 0.6476267
2440.0, 0.646172
2450.0, 0.6447246
2460.0, 0.64328444
2470.0, 0.6418514
2480.0, 0.64042544
2490.0, 0.63900656
2500.0, 0.63759464
2510.0, 0.63618964
2520.0, 0.6347915
2530.0, 0.63340014
2540.0, 0.63201565
2550.0, 0.6306378
2560.0, 0.6292667
2570.0, 0.6279021
2580.0, 0.62654406
2590.0, 0.6251927
2600.0, 0.62384766
2610.0, 0.6225091
2620.0, 0.6211769
2630.0, 0.61985093
2640.0, 0.6185313
2650.0, 0.61721784
2660.0, 0.61591065
2670.0, 0.61460954
2680.0, 0.6133145
2690.0, 0.6120255
2700.0, 0.6107425
2710.0, 0.60946554
2720.0, 0.6081944
2730.0, 0.6069291
2740.0, 0.6056697
2750.0, 0.604416
2760.0, 0.6031681
2770.0, 0.60192585
2780.0, 0.6006893
2790.0, 0.59945834
2800.0, 0.5982329
2810.0, 0.5970131
2820.0, 0.59579873
2830.0, 0.5945898
2840.0, 0.5933864
2850.0, 0.5921882
2860.0, 0.59099543
2870.0, 0.58980805
2880.0, 0.58862585
2890.0, 0.58744884
2900.0, 0.586277
2910.0, 0.5851104
2920.0, 0.58394897
2930.0, 0.5827925
2940.0, 0.58164114
2950.0, 0.58049476
2960.0, 0.57935345
2970.0, 0.578217
2980.0, 0.5770855
2990.0, 0.57595885
3000.0, 0.5748371
