Energy (in eV), SEEE yield of material alox-reduced-PEY at isotropic incidence
   X,       Y
4870.0, 1.4641356
4880.0, 1.4623578
4890.0, 1.460585
4900.0, 1.4588176
4910.0, 1.4570556
4920.0, 1.4552988
4930.0, 1.4535476
4940.0, 1.4518011
4950.0, 1.4500602
4960.0, 1.4483244
4970.0, 1.4465936
4980.0, 1.444868
4990.0, 1.4431475
5000.0, 1.4414322
5010.0, 1.4397218
5020.0, 1.4380165
5030.0, 1.4363161
5040.0, 1.434621
5050.0, 1.4329307
5060.0, 1.4312456
5070.0, 1.4295646
5080.0, 1.4278893
5090.0, 1.4262185
5100.0, 1.4245526
5110.0, 1.4228916
5120.0, 1.4212357
5130.0, 1.419584
5140.0, 1.4179376
5150.0, 1.4162956
5160.0, 1.4146585
5170.0, 1.413026
5180.0, 1.4113982
5190.0, 1.409775
5200.0, 1.4081563
5210.0, 1.4065424
5220.0, 1.4049335
5230.0, 1.4033287
5240.0, 1.4017285
5250.0, 1.4001329
5260.0, 1.3985417
5270.0, 1.396955
5280.0, 1.3953729
5290.0, 1.393795
5300.0, 1.392222
5310.0, 1.3906533
5320.0, 1.3890887
5330.0, 1.3875289
5340.0, 1.385973
5350.0, 1.3844218
5360.0, 1.3828746
5370.0, 1.381332
5380.0, 1.3797934
5390.0, 1.3782593
5400.0, 1.3767294
5410.0, 1.3752036
5420.0, 1.3736821
5430.0, 1.3721647
5440.0, 1.3706516
5450.0, 1.3691428
5460.0, 1.3676378
5470.0, 1.3661371
5480.0, 1.3646406
5490.0, 1.3631481
5500.0, 1.3616594
5510.0, 1.3601749
5520.0, 1.3586947
5530.0, 1.3572181
5540.0, 1.3557458
5550.0, 1.3542773
5560.0, 1.3528128
5570.0, 1.3513523
5580.0, 1.349896
5590.0, 1.348443
5600.0, 1.3469942
5610.0, 1.3455495
5620.0, 1.3441083
5630.0, 1.3426712
5640.0, 1.3412378
5650.0, 1.3398082
5660.0, 1.3383825
5670.0, 1.3369604
5680.0, 1.3355423
5690.0, 1.3341279
5700.0, 1.3327172
5710.0, 1.3313102
5720.0, 1.3299068
5730.0, 1.3285074
5740.0, 1.3271115
5750.0, 1.325719
5760.0, 1.3243304
5770.0, 1.3229454
5780.0, 1.321564
5790.0, 1.3201861
5800.0, 1.318812
5810.0, 1.3174413
5820.0, 1.3160743
5830.0, 1.3147107
5840.0, 1.3133509
5850.0, 1.3119942
5860.0, 1.3106412
5870.0, 1.3092916
5880.0, 1.3079455
5890.0, 1.306603
5900.0, 1.305264
5910.0, 1.3039281
5920.0, 1.3025956
5930.0, 1.3012667
5940.0, 1.2999412
5950.0, 1.2986192
5960.0, 1.2973002
5970.0, 1.2959847
5980.0, 1.2946725
5990.0, 1.2933637
6000.0, 1.2920582
6010.0, 1.290756
6020.0, 1.2894572
6030.0, 1.2881612
6040.0, 1.2868688
6050.0, 1.2855797
6060.0, 1.2842938
6070.0, 1.283011
6080.0, 1.2817315
6090.0, 1.2804549
6100.0, 1.2791818
6110.0, 1.2779119
6120.0, 1.2766447
6130.0, 1.2753811
6140.0, 1.2741205
6150.0, 1.2728629
6160.0, 1.2716086
6170.0, 1.2703573
6180.0, 1.2691092
6190.0, 1.267864
6200.0, 1.2666217
6210.0, 1.2653826
6220.0, 1.2641466
6230.0, 1.2629137
6240.0, 1.2616835
6250.0, 1.2604566
