Energy (in eV), SEEP yield of material CFRP-NASCAP at isotropic incidence
   X,       Y
86600.0, 4.7120047
86800.0, 4.7132
87000.0, 4.714387
87200.0, 4.7155657
87400.0, 4.7167354
87600.0, 4.717898
87800.0, 4.719052
88000.0, 4.720197
88200.0, 4.7213345
88400.0, 4.722464
88600.0, 4.7235856
88800.0, 4.724698
89000.0, 4.7258034
89200.0, 4.7269
89400.0, 4.7279906
89600.0, 4.729072
89800.0, 4.730145
90000.0, 4.7312107
90200.0, 4.7322683
90400.0, 4.733319
90600.0, 4.734362
90800.0, 4.7353973
91000.0, 4.7364244
91200.0, 4.737445
91400.0, 4.7384567
91600.0, 4.739462
91800.0, 4.7404604
92000.0, 4.7414503
92200.0, 4.742433
92400.0, 4.7434087
92600.0, 4.7443767
92800.0, 4.745337
93000.0, 4.7462916
93200.0, 4.747238
93400.0, 4.7481775
93600.0, 4.7491097
93800.0, 4.7500343
94000.0, 4.7509527
94200.0, 4.7518644
94400.0, 4.752769
94600.0, 4.753666
94800.0, 4.7545567
95000.0, 4.75544
95200.0, 4.7563176
95400.0, 4.757188
95600.0, 4.7580504
95800.0, 4.758908
96000.0, 4.759758
96200.0, 4.7606006
96400.0, 4.761438
96600.0, 4.7622676
96800.0, 4.7630916
97000.0, 4.763909
97200.0, 4.7647195
97400.0, 4.765523
97600.0, 4.766321
97800.0, 4.7671123
98000.0, 4.7678976
98200.0, 4.7686753
98400.0, 4.7694488
98600.0, 4.7702146
98800.0, 4.770975
99000.0, 4.771728
99200.0, 4.7724767
99400.0, 4.7732177
99600.0, 4.7739525
99800.0, 4.7746816
100000.0, 4.775405
