Energy (in eV), SEEP yield of material CERS-withBUCT at isotropic incidence
   X,       Y
69800.0, 3.134976
70000.0, 3.1373851
70200.0, 3.139784
70400.0, 3.1421735
70600.0, 3.1445534
70800.0, 3.146924
71000.0, 3.149285
71200.0, 3.151637
71400.0, 3.1539793
71600.0, 3.1563125
71800.0, 3.158636
72000.0, 3.1609504
72200.0, 3.1632562
72400.0, 3.1655521
72600.0, 3.167839
72800.0, 3.1701176
73000.0, 3.1723864
73200.0, 3.1746466
73400.0, 3.176898
73600.0, 3.1791399
73800.0, 3.1813736
74000.0, 3.183598
74200.0, 3.185814
74400.0, 3.1880212
74600.0, 3.1902199
74800.0, 3.1924098
75000.0, 3.1945908
75200.0, 3.1967638
75400.0, 3.1989276
75600.0, 3.2010837
75800.0, 3.2032318
76000.0, 3.2053697
76200.0, 3.207501
76400.0, 3.2096229
76600.0, 3.2117372
76800.0, 3.2138433
77000.0, 3.2159405
77200.0, 3.21803
77400.0, 3.2201111
77600.0, 3.2221844
77800.0, 3.2242491
78000.0, 3.226307
78200.0, 3.2283554
78400.0, 3.2303972
78600.0, 3.23243
78800.0, 3.2344556
79000.0, 3.236473
79200.0, 3.2384834
79400.0, 3.240485
79600.0, 3.2424788
79800.0, 3.2444656
80000.0, 3.2464442
80200.0, 3.2484155
80400.0, 3.2503796
80600.0, 3.2523353
80800.0, 3.2542837
81000.0, 3.2562249
81200.0, 3.2581577
81400.0, 3.2600844
81600.0, 3.262003
81800.0, 3.263914
82000.0, 3.2658184
82200.0, 3.2677147
82400.0, 3.2696044
82600.0, 3.271487
82800.0, 3.2733612
83000.0, 3.2752287
83200.0, 3.2770898
83400.0, 3.2789433
83600.0, 3.2807899
83800.0, 3.282629
84000.0, 3.2844615
84200.0, 3.2862864
84400.0, 3.2881048
84600.0, 3.2899163
84800.0, 3.291721
85000.0, 3.2935188
85200.0, 3.2953093
85400.0, 3.2970934
85600.0, 3.2988706
85800.0, 3.3006408
86000.0, 3.3024044
86200.0, 3.3041613
86400.0, 3.3059118
