Energy (in eV), backscattering yield of material CFRP-NASCAP at isotropic incidence
   X,       Y
4080.0, 0.2703594
4090.0, 0.27024734
4100.0, 0.27013552
4110.0, 0.27002388
4120.0, 0.26991242
4130.0, 0.26980117
4140.0, 0.2696901
4150.0, 0.26957923
4160.0, 0.26946855
4170.0, 0.26935807
4180.0, 0.26924777
4190.0, 0.26913765
4200.0, 0.26902774
4210.0, 0.268918
4220.0, 0.26880848
4230.0, 0.26869914
4240.0, 0.26858997
4250.0, 0.26848102
4260.0, 0.26837227
4270.0, 0.26826367
4280.0, 0.26815525
4290.0, 0.26804706
4300.0, 0.26793903
4310.0, 0.26783118
4320.0, 0.26772353
4330.0, 0.2676161
4340.0, 0.2675088
4350.0, 0.26740173
4360.0, 0.2672948
4370.0, 0.2671881
4380.0, 0.26708156
4390.0, 0.26697522
4400.0, 0.26686907
4410.0, 0.26676306
4420.0, 0.2666573
4430.0, 0.2665517
4440.0, 0.26644626
4450.0, 0.266341
4460.0, 0.26623595
4470.0, 0.26613107
4480.0, 0.2660264
4490.0, 0.2659219
4500.0, 0.26581752
4510.0, 0.2657134
4520.0, 0.2656094
4530.0, 0.26550567
4540.0, 0.26540205
4550.0, 0.2652986
4560.0, 0.2651954
4570.0, 0.2650923
4580.0, 0.26498944
4590.0, 0.26488674
4600.0, 0.26478422
4610.0, 0.26468188
4620.0, 0.2645797
4630.0, 0.2644777
4640.0, 0.2643759
4650.0, 0.26427427
4660.0, 0.2641728
4670.0, 0.26407152
4680.0, 0.26397043
4690.0, 0.26386952
4700.0, 0.26376876
4710.0, 0.2636682
4720.0, 0.2635678
4730.0, 0.26346758
4740.0, 0.26336753
4750.0, 0.26326764
4760.0, 0.26316798
4770.0, 0.26306844
4780.0, 0.2629691
4790.0, 0.26286992
4800.0, 0.26277092
4810.0, 0.2626721
4820.0, 0.26257345
4830.0, 0.26247495
4840.0, 0.26237667
4850.0, 0.26227853
4860.0, 0.26218057
4870.0, 0.26208276
4880.0, 0.26198515
4890.0, 0.2618877
4900.0, 0.26179042
4910.0, 0.26169333
4920.0, 0.26159638
4930.0, 0.2614996
4940.0, 0.26140302
4950.0, 0.26130658
4960.0, 0.26121032
4970.0, 0.26111424
4980.0, 0.2610183
4990.0, 0.26092258
5000.0, 0.260827
5010.0, 0.26073158
5020.0, 0.26063633
5030.0, 0.26054123
5040.0, 0.2604463
5050.0, 0.26035157
5060.0, 0.260257
5070.0, 0.26016256
5080.0, 0.26006833
5090.0, 0.25997424
5100.0, 0.25988033
5110.0, 0.25978658
5120.0, 0.259693
5130.0, 0.25959957
5140.0, 0.25950631
5150.0, 0.2594132
5160.0, 0.2593203
5170.0, 0.2592275
5180.0, 0.25913492
5190.0, 0.25904247
5200.0, 0.2589502
5210.0, 0.25885808
5220.0, 0.25876614
5230.0, 0.25867435
5240.0, 0.25858274
5250.0, 0.25849125
5260.0, 0.25839996
5270.0, 0.25830883
5280.0, 0.2582178
5290.0, 0.258127
5300.0, 0.25803635
5310.0, 0.25794584
5320.0, 0.25785547
5330.0, 0.25776532
5340.0, 0.2576753
5350.0, 0.25758544
5360.0, 0.2574957
5370.0, 0.25740618
5380.0, 0.2573168
5390.0, 0.25722757
5400.0, 0.25713846
5410.0, 0.25704956
5420.0, 0.2569608
5430.0, 0.2568722
5440.0, 0.25678375
5450.0, 0.25669548
5460.0, 0.25660735
5470.0, 0.25651935
5480.0, 0.25643155
5490.0, 0.25634387
5500.0, 0.25625637
5510.0, 0.25616902
5520.0, 0.25608182
5530.0, 0.25599477
5540.0, 0.2559079
5550.0, 0.25582114
5560.0, 0.25573456
5570.0, 0.25564814
5580.0, 0.25556186
5590.0, 0.25547576
5600.0, 0.25538975
5610.0, 0.25530395
5620.0, 0.2552183
5630.0, 0.25513276
5640.0, 0.25504738
5650.0, 0.25496218
5660.0, 0.25487715
5670.0, 0.25479224
5680.0, 0.25470746
5690.0, 0.25462288
5700.0, 0.25453842
5710.0, 0.2544541
5720.0, 0.25436994
5730.0, 0.25428593
