Energy (in eV), backscattering yield of material CFRP-NASCAP at incidence 40.0 degree
   X,       Y
5480.0, 0.17513672
5490.0, 0.17504962
5500.0, 0.17496268
5510.0, 0.17487593
5520.0, 0.17478931
5530.0, 0.17470285
5540.0, 0.17461658
5550.0, 0.17453045
5560.0, 0.17444447
5570.0, 0.17435865
5580.0, 0.17427301
5590.0, 0.17418751
5600.0, 0.17410217
5610.0, 0.174017
5620.0, 0.17393197
5630.0, 0.17384711
5640.0, 0.1737624
5650.0, 0.17367785
5660.0, 0.17359345
5670.0, 0.17350921
5680.0, 0.17342512
5690.0, 0.1733412
5700.0, 0.17325743
5710.0, 0.17317382
5720.0, 0.17309035
5730.0, 0.17300704
5740.0, 0.17292388
5750.0, 0.1728409
5760.0, 0.17275804
5770.0, 0.17267536
5780.0, 0.1725928
5790.0, 0.17251042
5800.0, 0.17242819
5810.0, 0.17234612
5820.0, 0.17226417
5830.0, 0.1721824
5840.0, 0.17210078
5850.0, 0.1720193
5860.0, 0.17193797
5870.0, 0.1718568
5880.0, 0.17177579
5890.0, 0.1716949
5900.0, 0.17161418
5910.0, 0.17153361
5920.0, 0.1714532
5930.0, 0.17137292
5940.0, 0.1712928
5950.0, 0.17121282
5960.0, 0.171133
5970.0, 0.1710533
5980.0, 0.17097378
5990.0, 0.1708944
6000.0, 0.17081515
6010.0, 0.17073607
6020.0, 0.17065713
6030.0, 0.17057833
6040.0, 0.17049968
6050.0, 0.17042117
6060.0, 0.17034282
6070.0, 0.1702646
6080.0, 0.17018653
6090.0, 0.17010862
6100.0, 0.17003085
6110.0, 0.1699532
6120.0, 0.16987571
6130.0, 0.16979837
6140.0, 0.16972117
6150.0, 0.16964412
6160.0, 0.16956721
6170.0, 0.16949044
6180.0, 0.1694138
6190.0, 0.16933732
6200.0, 0.16926098
6210.0, 0.16918477
6220.0, 0.16910872
6230.0, 0.1690328
6240.0, 0.16895702
6250.0, 0.1688814
6260.0, 0.1688059
6270.0, 0.16873054
6280.0, 0.16865532
6290.0, 0.16858026
