Energy (in eV), SEEP yield of material CFRP-NASCAP at incidence 0.0 degree
   X,       Y
69800.0, 2.2913249
70000.0, 2.2923667
70200.0, 2.2934017
70400.0, 2.29443
70600.0, 2.2954519
70800.0, 2.296467
71000.0, 2.2974756
71200.0, 2.2984776
71400.0, 2.2994733
71600.0, 2.3004625
71800.0, 2.3014452
72000.0, 2.3024213
72200.0, 2.3033917
72400.0, 2.3043554
72600.0, 2.3053129
72800.0, 2.3062644
73000.0, 2.3072095
73200.0, 2.3081486
73400.0, 2.3090816
73600.0, 2.3100085
73800.0, 2.3109293
74000.0, 2.3118439
74200.0, 2.312753
74400.0, 2.3136556
74600.0, 2.3145525
74800.0, 2.3154438
75000.0, 2.316329
75200.0, 2.3172085
75400.0, 2.3180823
75600.0, 2.3189502
75800.0, 2.3198128
76000.0, 2.3206694
76200.0, 2.3215203
76400.0, 2.322366
76600.0, 2.3232057
76800.0, 2.3240402
77000.0, 2.3248687
77200.0, 2.3256922
77400.0, 2.32651
77600.0, 2.3273225
77800.0, 2.3281295
78000.0, 2.328931
78200.0, 2.3297276
78400.0, 2.3305185
78600.0, 2.3313046
78800.0, 2.332085
79000.0, 2.3328602
79200.0, 2.3336303
79400.0, 2.3343954
79600.0, 2.3351552
79800.0, 2.3359098
80000.0, 2.3366594
80200.0, 2.3374045
80400.0, 2.338144
80600.0, 2.3388786
80800.0, 2.3396082
81000.0, 2.340333
81200.0, 2.341053
81400.0, 2.3417683
81600.0, 2.3424783
81800.0, 2.3431833
82000.0, 2.343884
82200.0, 2.34458
82400.0, 2.3452709
82600.0, 2.3459573
82800.0, 2.3466387
83000.0, 2.3473155
83200.0, 2.347988
83400.0, 2.3486555
83600.0, 2.349319
83800.0, 2.3499773
84000.0, 2.3506312
84200.0, 2.3512805
84400.0, 2.3519256
84600.0, 2.352566
84800.0, 2.3532019
85000.0, 2.3538332
85200.0, 2.3544605
85400.0, 2.3550835
85600.0, 2.355702
85800.0, 2.356316
86000.0, 2.3569257
86200.0, 2.357531
86400.0, 2.3581324
86600.0, 2.3587291
86800.0, 2.359322
87000.0, 2.3599107
87200.0, 2.3604953
87400.0, 2.3610754
87600.0, 2.3616514
87800.0, 2.3622239
88000.0, 2.3627915
88200.0, 2.3633556
88400.0, 2.3639152
88600.0, 2.364471
88800.0, 2.365023
89000.0, 2.3655705
89200.0, 2.3661144
89400.0, 2.3666544
89600.0, 2.3671904
89800.0, 2.3677227
90000.0, 2.3682504
90200.0, 2.368775
90400.0, 2.3692956
90600.0, 2.3698123
90800.0, 2.3703253
91000.0, 2.370834
91200.0, 2.3713396
91400.0, 2.3718414
91600.0, 2.3723392
91800.0, 2.3728333
92000.0, 2.373324
92200.0, 2.3738105
92400.0, 2.374294
92600.0, 2.3747735
92800.0, 2.3752491
93000.0, 2.3757215
93200.0, 2.3761907
93400.0, 2.3766558
93600.0, 2.3771174
93800.0, 2.3775754
94000.0, 2.3780303
94200.0, 2.3784814
94400.0, 2.3789294
94600.0, 2.3793736
94800.0, 2.3798144
95000.0, 2.380252
95200.0, 2.3806858
95400.0, 2.3811166
95600.0, 2.3815436
95800.0, 2.3819678
96000.0, 2.3823884
96200.0, 2.3828056
96400.0, 2.38322
96600.0, 2.3836305
96800.0, 2.3840382
97000.0, 2.3844423
97200.0, 2.3848436
97400.0, 2.3852413
97600.0, 2.3856359
97800.0, 2.386027
98000.0, 2.3864155
98200.0, 2.3868005
98400.0, 2.3871827
98600.0, 2.3875616
98800.0, 2.3879373
99000.0, 2.3883097
99200.0, 2.3886795
99400.0, 2.389046
99600.0, 2.3894095
99800.0, 2.38977
100000.0, 2.3901274
