Energy (in eV), SEEP yield of material CFRP-NASCAP at isotropic incidence
   X,       Y
73800.0, 4.601578
74000.0, 4.6034465
74200.0, 4.6053023
74400.0, 4.607147
74600.0, 4.6089797
74800.0, 4.6108003
75000.0, 4.612609
75200.0, 4.614406
75400.0, 4.616191
75600.0, 4.6179657
75800.0, 4.619728
76000.0, 4.6214795
76200.0, 4.623219
76400.0, 4.624948
76600.0, 4.626664
76800.0, 4.6283703
77000.0, 4.6300645
77200.0, 4.631748
77400.0, 4.633421
77600.0, 4.6350827
77800.0, 4.636734
78000.0, 4.6383743
78200.0, 4.6400027
78400.0, 4.6416216
78600.0, 4.6432295
78800.0, 4.6448264
79000.0, 4.646414
79200.0, 4.6479897
79400.0, 4.6495566
79600.0, 4.6511116
79800.0, 4.6526575
80000.0, 4.6541915
80200.0, 4.655717
80400.0, 4.6572313
80600.0, 4.6587358
80800.0, 4.66023
81000.0, 4.6617155
81200.0, 4.663191
81400.0, 4.6646557
81600.0, 4.666111
81800.0, 4.6675553
82000.0, 4.668991
82200.0, 4.6704173
82400.0, 4.6718335
82600.0, 4.673241
82800.0, 4.6746387
83000.0, 4.6760263
83200.0, 4.6774054
83400.0, 4.678775
83600.0, 4.680135
83800.0, 4.681485
84000.0, 4.6828265
84200.0, 4.6841593
84400.0, 4.6854825
84600.0, 4.6867976
84800.0, 4.6881022
85000.0, 4.6893983
85200.0, 4.6906857
85400.0, 4.6919646
85600.0, 4.693235
85800.0, 4.694496
86000.0, 4.6957483
86200.0, 4.696992
86400.0, 4.698228
86600.0, 4.6994534
86800.0, 4.700672
87000.0, 4.701881
87200.0, 4.703083
87400.0, 4.704275
87600.0, 4.7054596
87800.0, 4.7066355
88000.0, 4.7078037
88200.0, 4.708964
88400.0, 4.710114
88600.0, 4.711258
88800.0, 4.712393
89000.0, 4.7135196
89200.0, 4.714639
89400.0, 4.7157497
89600.0, 4.7168536
89800.0, 4.7179494
90000.0, 4.7190366
90200.0, 4.7201157
90400.0, 4.721188
90600.0, 4.7222524
90800.0, 4.723309
91000.0, 4.7243576
91200.0, 4.7253995
91400.0, 4.726433
91600.0, 4.727459
91800.0, 4.728477
92000.0, 4.7294893
92200.0, 4.7304926
92400.0, 4.731489
92600.0, 4.7324786
92800.0, 4.7334604
93000.0, 4.734434
93200.0, 4.7354026
93400.0, 4.7363625
93600.0, 4.737315
93800.0, 4.7382607
94000.0, 4.7392006
94200.0, 4.7401323
94400.0, 4.741057
94600.0, 4.7419744
94800.0, 4.7428856
95000.0, 4.743789
95200.0, 4.7446866
95400.0, 4.7455773
95600.0, 4.746461
95800.0, 4.7473373
96000.0, 4.7482076
96200.0, 4.749071
96400.0, 4.749927
96600.0, 4.750777
96800.0, 4.7516203
97000.0, 4.7524586
97200.0, 4.7532883
97400.0, 4.7541122
97600.0, 4.754929
97800.0, 4.7557397
98000.0, 4.7565446
98200.0, 4.757343
98400.0, 4.7581344
98600.0, 4.7589197
98800.0, 4.7597
99000.0, 4.760473
99200.0, 4.7612395
99400.0, 4.762
99600.0, 4.762754
99800.0, 4.763502
100000.0, 4.764244
