Energy (in eV), SEEE yield of material CERS-NASCAP at isotropic incidence
   X,       Y
3810.0, 5.0894976
3820.0, 5.082285
3830.0, 5.075096
3840.0, 5.06793
3850.0, 5.0607877
3860.0, 5.0536685
3870.0, 5.0465713
3880.0, 5.039499
3890.0, 5.0324473
3900.0, 5.0254188
3910.0, 5.018414
3920.0, 5.0114307
3930.0, 5.0044694
3940.0, 4.997532
3950.0, 4.9906163
3960.0, 4.983722
3970.0, 4.9768496
3980.0, 4.9700003
3990.0, 4.963171
4000.0, 4.9563646
4010.0, 4.9495797
4020.0, 4.9428167
4030.0, 4.9360743
4040.0, 4.9293547
4050.0, 4.9226537
4060.0, 4.9159756
4070.0, 4.909319
4080.0, 4.9026823
4090.0, 4.896067
4100.0, 4.889472
4110.0, 4.8828983
4120.0, 4.8763447
4130.0, 4.869812
4140.0, 4.8632994
4150.0, 4.856807
4160.0, 4.850336
4170.0, 4.843884
4180.0, 4.8374515
4190.0, 4.8310394
4200.0, 4.824648
4210.0, 4.8182755
4220.0, 4.811923
4230.0, 4.80559
4240.0, 4.799277
4250.0, 4.792983
4260.0, 4.7867084
4270.0, 4.780453
4280.0, 4.774218
4290.0, 4.7680016
4300.0, 4.7618036
4310.0, 4.7556243
4320.0, 4.749464
4330.0, 4.7433233
4340.0, 4.7372003
4350.0, 4.7310963
4360.0, 4.7250113
4370.0, 4.718945
4380.0, 4.712896
4390.0, 4.706866
4400.0, 4.700854
4410.0, 4.69486
4420.0, 4.688884
4430.0, 4.682926
4440.0, 4.6769867
4450.0, 4.6710644
4460.0, 4.6651597
4470.0, 4.6592727
4480.0, 4.6534033
4490.0, 4.647552
4500.0, 4.641718
4510.0, 4.635901
4520.0, 4.6301007
4530.0, 4.6243186
4540.0, 4.6185536
4550.0, 4.612806
4560.0, 4.6070743
4570.0, 4.60136
4580.0, 4.595663
4590.0, 4.589982
4600.0, 4.584318
4610.0, 4.578671
4620.0, 4.5730405
4630.0, 4.5674267
4640.0, 4.561828
4650.0, 4.5562468
4660.0, 4.550681
4670.0, 4.5451326
4680.0, 4.5396
4690.0, 4.5340824
4700.0, 4.5285816
4710.0, 4.523097
4720.0, 4.5176277
4730.0, 4.512175
4740.0, 4.5067377
4750.0, 4.501315
4760.0, 4.4959087
4770.0, 4.490517
4780.0, 4.485142
4790.0, 4.479783
4800.0, 4.474438
4810.0, 4.469108
4820.0, 4.463795
4830.0, 4.4584956
4840.0, 4.4532113
4850.0, 4.447943
4860.0, 4.442689
4870.0, 4.4374495
4880.0, 4.432225
4890.0, 4.427016
4900.0, 4.4218216
4910.0, 4.416641
4920.0, 4.411475
4930.0, 4.406324
4940.0, 4.4011874
4950.0, 4.3960657
4960.0, 4.3909574
4970.0, 4.385864
4980.0, 4.3807845
4990.0, 4.375718
5000.0, 4.370667
5010.0, 4.3656297
5020.0, 4.3606067
5030.0, 4.3555975
5040.0, 4.3506017
5050.0, 4.3456197
5060.0, 4.340652
5070.0, 4.335698
5080.0, 4.3307576
5090.0, 4.3258295
5100.0, 4.3209167
5110.0, 4.3160167
5120.0, 4.31113
5130.0, 4.3062572
5140.0, 4.3013964
5150.0, 4.2965493
5160.0, 4.291716
5170.0, 4.286896
5180.0, 4.2820883
5190.0, 4.2772937
5200.0, 4.272513
5210.0, 4.267744
5220.0, 4.262988
5230.0, 4.2582455
5240.0, 4.2535157
5250.0, 4.2487984
5260.0, 4.244094
5270.0, 4.239402
5280.0, 4.234722
5290.0, 4.2300553
5300.0, 4.225401
5310.0, 4.220759
5320.0, 4.216129
5330.0, 4.211511
5340.0, 4.2069054
5350.0, 4.2023125
5360.0, 4.1977324
5370.0, 4.1931634
5380.0, 4.1886063
5390.0, 4.1840615
5400.0, 4.1795287
5410.0, 4.175008
5420.0, 4.1704993
5430.0, 4.1660023
5440.0, 4.161517
5450.0, 4.157043
5460.0, 4.152581
5470.0, 4.148131
5480.0, 4.143692
5490.0, 4.1392655
5500.0, 4.134849
5510.0, 4.130445
5520.0, 4.1260524
5530.0, 4.1216707
