Energy (in eV), SEEP yield of material CFRP-NASCAP at incidence 0.0 degree
   X,       Y
36800.0, 1.9833059
37000.0, 1.9863753
37200.0, 1.9894235
37400.0, 1.9924501
37600.0, 1.9954557
37800.0, 1.99844
38000.0, 2.0014033
38200.0, 2.004346
38400.0, 2.0072684
38600.0, 2.0101702
38800.0, 2.0130522
39000.0, 2.015914
39200.0, 2.0187562
39400.0, 2.0215786
39600.0, 2.0243812
39800.0, 2.0271647
40000.0, 2.0299294
40200.0, 2.0326746
40400.0, 2.0354013
40600.0, 2.0381093
40800.0, 2.0407987
41000.0, 2.04347
41200.0, 2.0461226
41400.0, 2.048757
41600.0, 2.0513742
41800.0, 2.0539737
42000.0, 2.0565553
42200.0, 2.059119
42400.0, 2.0616655
42600.0, 2.0641954
42800.0, 2.0667078
43000.0, 2.0692034
43200.0, 2.0716822
43400.0, 2.0741441
43600.0, 2.0765898
43800.0, 2.079019
44000.0, 2.081432
44200.0, 2.083829
44400.0, 2.0862098
44600.0, 2.088575
44800.0, 2.090924
45000.0, 2.0932577
45200.0, 2.0955758
45400.0, 2.0978787
45600.0, 2.1001658
45800.0, 2.1024384
46000.0, 2.1046956
46200.0, 2.106938
46400.0, 2.1091654
46600.0, 2.1113784
46800.0, 2.1135767
47000.0, 2.1157603
47200.0, 2.11793
47400.0, 2.1200852
47600.0, 2.1222262
47800.0, 2.124353
48000.0, 2.126466
48200.0, 2.1285653
48400.0, 2.130651
48600.0, 2.1327229
48800.0, 2.1347811
49000.0, 2.136826
49200.0, 2.1388574
49400.0, 2.140876
49600.0, 2.1428812
49800.0, 2.1448734
50000.0, 2.1468525
50200.0, 2.148819
50400.0, 2.1507726
50600.0, 2.1527135
50800.0, 2.1546419
51000.0, 2.1565576
51200.0, 2.158461
51400.0, 2.1603525
51600.0, 2.1622312
51800.0, 2.164098
52000.0, 2.165953
52200.0, 2.1677954
52400.0, 2.1696265
52600.0, 2.1714456
52800.0, 2.173253
53000.0, 2.1750488
53200.0, 2.1768332
53400.0, 2.1786058
53600.0, 2.180367
53800.0, 2.1821175
54000.0, 2.1838562
54200.0, 2.1855838
54400.0, 2.1873002
54600.0, 2.1890059
54800.0, 2.1907005
55000.0, 2.1923842
55200.0, 2.1940575
55400.0, 2.1957197
55600.0, 2.1973715
55800.0, 2.1990125
56000.0, 2.2006428
56200.0, 2.202263
56400.0, 2.2038732
56600.0, 2.2054727
56800.0, 2.2070618
57000.0, 2.208641
57200.0, 2.2102103
57400.0, 2.2117693
57600.0, 2.213318
57800.0, 2.2148578
58000.0, 2.2163873
58200.0, 2.217907
58400.0, 2.2194169
58600.0, 2.2209175
58800.0, 2.222408
59000.0, 2.2238896
59200.0, 2.2253616
59400.0, 2.226824
59600.0, 2.2282772
59800.0, 2.2297213
60000.0, 2.2311563
60200.0, 2.2325819
60400.0, 2.2339985
60600.0, 2.2354062
60800.0, 2.2368045
61000.0, 2.2381945
61200.0, 2.2395751
61400.0, 2.2409472
61600.0, 2.2423108
61800.0, 2.2436655
62000.0, 2.2450116
62200.0, 2.2463489
62400.0, 2.247678
62600.0, 2.2489984
62800.0, 2.2503107
63000.0, 2.2516143
63200.0, 2.25291
63400.0, 2.2541974
63600.0, 2.2554762
63800.0, 2.256747
64000.0, 2.25801
64200.0, 2.2592647
64400.0, 2.2605114
64600.0, 2.2617505
64800.0, 2.2629812
65000.0, 2.2642045
65200.0, 2.2654197
65400.0, 2.266627
65600.0, 2.267827
65800.0, 2.2690194
66000.0, 2.270204
66200.0, 2.271381
66400.0, 2.2725503
66600.0, 2.2737124
66800.0, 2.274867
67000.0, 2.2760143
67200.0, 2.2771542
67400.0, 2.2782867
67600.0, 2.279412
67800.0, 2.2805305
68000.0, 2.2816412
68200.0, 2.2827451
68400.0, 2.283842
68600.0, 2.2849317
68800.0, 2.2860143
69000.0, 2.2870903
69200.0, 2.2881594
69400.0, 2.2892215
69600.0, 2.2902768
69800.0, 2.291325
70000.0, 2.2923667
70200.0, 2.2934017
70400.0, 2.29443
70600.0, 2.2954519
70800.0, 2.296467
71000.0, 2.2974756
71200.0, 2.2984776
71400.0, 2.2994733
71600.0, 2.3004625
71800.0, 2.3014452
72000.0, 2.3024216
72200.0, 2.3033917
72400.0, 2.3043554
72600.0, 2.305313
72800.0, 2.3062644
73000.0, 2.3072095
73200.0, 2.3081486
73400.0, 2.3090813
73600.0, 2.3100083
73800.0, 2.310929
74000.0, 2.311844
74200.0, 2.3127527
74400.0, 2.3136556
74600.0, 2.3145528
74800.0, 2.3154438
75000.0, 2.316329
75200.0, 2.3172088
75400.0, 2.3180823
75600.0, 2.3189504
75800.0, 2.3198128
76000.0, 2.3206694
76200.0, 2.3215203
76400.0, 2.322366
76600.0, 2.3232057
76800.0, 2.3240402
77000.0, 2.3248687
77200.0, 2.3256922
77400.0, 2.32651
77600.0, 2.3273225
77800.0, 2.3281295
78000.0, 2.328931
78200.0, 2.3297276
78400.0, 2.3305187
78600.0, 2.3313043
78800.0, 2.332085
79000.0, 2.3328602
79200.0, 2.3336303
79400.0, 2.3343954
79600.0, 2.3351552
79800.0, 2.33591
80000.0, 2.3366594
80200.0, 2.3374045
80400.0, 2.338144
80600.0, 2.3388786
80800.0, 2.3396084
81000.0, 2.340333
81200.0, 2.341053
81400.0, 2.3417683
81600.0, 2.3424783
81800.0, 2.3431835
82000.0, 2.343884
82200.0, 2.34458
82400.0, 2.3452709
82600.0, 2.345957
82800.0, 2.3466387
83000.0, 2.3473155
83200.0, 2.347988
83400.0, 2.3486557
83600.0, 2.3493187
83800.0, 2.3499773
84000.0, 2.350631
84200.0, 2.3512807
84400.0, 2.3519254
84600.0, 2.352566
84800.0, 2.3532016
85000.0, 2.3538332
85200.0, 2.3544605
85400.0, 2.3550835
85600.0, 2.355702
85800.0, 2.356316
86000.0, 2.3569257
