Energy (in eV), SEEE yield of material CFRP-NASCAP at isotropic incidence
   X,       Y
4870.0, 0.4512907
4880.0, 0.4506882
4890.0, 0.45008743
4900.0, 0.4494884
4910.0, 0.448891
4920.0, 0.44829544
4930.0, 0.44770145
4940.0, 0.4471092
4950.0, 0.44651866
4960.0, 0.44592974
4970.0, 0.44534248
4980.0, 0.44475687
4990.0, 0.444173
5000.0, 0.4435907
5010.0, 0.44300994
5020.0, 0.44243097
5030.0, 0.44185358
5040.0, 0.4412778
5050.0, 0.44070354
5060.0, 0.4401311
5070.0, 0.43956006
5080.0, 0.43899065
5090.0, 0.43842286
5100.0, 0.4378566
5110.0, 0.43729192
5120.0, 0.43672878
5130.0, 0.4361672
5140.0, 0.4356072
5150.0, 0.4350487
5160.0, 0.4344918
5170.0, 0.4339364
5180.0, 0.43338248
5190.0, 0.4328301
5200.0, 0.43227923
5210.0, 0.43172982
5220.0, 0.43118197
5230.0, 0.43063563
5240.0, 0.4300907
5250.0, 0.42954725
5260.0, 0.4290053
5270.0, 0.42846486
5280.0, 0.42792585
5290.0, 0.42738828
5300.0, 0.4268521
5310.0, 0.42631742
5320.0, 0.42578414
5330.0, 0.42525238
5340.0, 0.4247219
5350.0, 0.42419297
5360.0, 0.42366537
5370.0, 0.4231393
5380.0, 0.42261446
5390.0, 0.42209116
5400.0, 0.42156914
5410.0, 0.42104858
5420.0, 0.4205293
5430.0, 0.4200115
5440.0, 0.41949496
5450.0, 0.41897985
5460.0, 0.41846606
5470.0, 0.41795376
5480.0, 0.41744262
5490.0, 0.41693288
5500.0, 0.41642454
5510.0, 0.41591743
5520.0, 0.41541165
5530.0, 0.41490725
5540.0, 0.41440418
5550.0, 0.41390228
5560.0, 0.4134018
5570.0, 0.41290265
5580.0, 0.41240475
5590.0, 0.41190806
5600.0, 0.41141272
5610.0, 0.41091868
5620.0, 0.41042587
5630.0, 0.40993425
5640.0, 0.40944406
5650.0, 0.408955
5660.0, 0.40846723
5670.0, 0.40798068
5680.0, 0.40749547
5690.0, 0.40701142
5700.0, 0.4065286
5710.0, 0.40604702
5720.0, 0.40556663
5730.0, 0.40508747
5740.0, 0.40460956
5750.0, 0.40413287
5760.0, 0.4036573
5770.0, 0.40318295
5780.0, 0.40270987
5790.0, 0.40223795
5800.0, 0.40176713
5810.0, 0.40129763
