Energy (in eV), SEEE yield of material ITOC-NASCAP at isotropic incidence
   X,       Y
3760.0, 1.786627
3770.0, 1.7840779
3780.0, 1.781538
3790.0, 1.7790078
3800.0, 1.776487
3810.0, 1.7739755
3820.0, 1.7714733
3830.0, 1.7689803
3840.0, 1.7664964
3850.0, 1.7640219
3860.0, 1.7615561
3870.0, 1.7590998
3880.0, 1.7566521
3890.0, 1.7542135
3900.0, 1.7517837
3910.0, 1.7493627
3920.0, 1.7469506
3930.0, 1.744547
3940.0, 1.7421523
3950.0, 1.7397661
3960.0, 1.7373888
3970.0, 1.7350196
3980.0, 1.732659
3990.0, 1.7303066
4000.0, 1.7279629
4010.0, 1.7256275
4020.0, 1.7233003
4030.0, 1.7209811
4040.0, 1.7186704
4050.0, 1.7163681
4060.0, 1.7140733
4070.0, 1.7117867
4080.0, 1.7095083
4090.0, 1.7072378
4100.0, 1.7049752
4110.0, 1.7027204
4120.0, 1.7004738
4130.0, 1.6982344
4140.0, 1.6960032
4150.0, 1.6937791
4160.0, 1.6915637
4170.0, 1.6893549
4180.0, 1.6871542
4190.0, 1.6849607
4200.0, 1.6827753
4210.0, 1.6805967
4220.0, 1.6784257
4230.0, 1.6762623
4240.0, 1.6741058
4250.0, 1.6719569
4260.0, 1.669815
4270.0, 1.6676806
4280.0, 1.6655533
4290.0, 1.663433
4300.0, 1.6613201
4310.0, 1.659214
4320.0, 1.6571149
4330.0, 1.6550227
4340.0, 1.6529374
4350.0, 1.6508594
4360.0, 1.6487881
4370.0, 1.6467237
4380.0, 1.6446658
4390.0, 1.6426151
4400.0, 1.6405706
4410.0, 1.6385332
4420.0, 1.6365019
4430.0, 1.6344781
4440.0, 1.6324602
4450.0, 1.6304494
4460.0, 1.6284447
4470.0, 1.6264466
4480.0, 1.6244547
4490.0, 1.6224694
4500.0, 1.6204909
4510.0, 1.6185182
4520.0, 1.6165519
4530.0, 1.614592
4540.0, 1.6126386
4550.0, 1.610691
4560.0, 1.6087495
4570.0, 1.6068146
4580.0, 1.6048857
4590.0, 1.602963
4600.0, 1.6010461
4610.0, 1.599135
4620.0, 1.5972307
4630.0, 1.5953317
4640.0, 1.5934389
4650.0, 1.5915519
4660.0, 1.5896709
4670.0, 1.5877956
4680.0, 1.5859264
4690.0, 1.5840627
4700.0, 1.5822052
4710.0, 1.5803528
4720.0, 1.5785066
4730.0, 1.576666
4740.0, 1.5748311
4750.0, 1.5730017
4760.0, 1.5711775
4770.0, 1.5693594
4780.0, 1.5675468
4790.0, 1.5657398
4800.0, 1.5639379
4810.0, 1.5621417
4820.0, 1.5603509
4830.0, 1.5585659
4840.0, 1.556786
4850.0, 1.5550112
4860.0, 1.5532417
4870.0, 1.5514778
4880.0, 1.5497192
4890.0, 1.5479656
4900.0, 1.5462176
4910.0, 1.5444746
4920.0, 1.5427368
4930.0, 1.5410042
4940.0, 1.5392765
4950.0, 1.537554
4960.0, 1.5358366
4970.0, 1.5341246
4980.0, 1.5324172
4990.0, 1.5307151
5000.0, 1.5290177
5010.0, 1.5273254
5020.0, 1.525638
5030.0, 1.5239555
5040.0, 1.5222781
5050.0, 1.5206053
5060.0, 1.5189376
5070.0, 1.5172745
5080.0, 1.5156164
5090.0, 1.5139629
5100.0, 1.5123143
5110.0, 1.5106704
5120.0, 1.5090313
5130.0, 1.5073966
5140.0, 1.5057667
5150.0, 1.5041417
5160.0, 1.502521
5170.0, 1.5009052
5180.0, 1.4992938
5190.0, 1.4976871
5200.0, 1.4960847
5210.0, 1.4944872
5220.0, 1.4928937
5230.0, 1.491305
5240.0, 1.4897207
5250.0, 1.4881408
5260.0, 1.4865655
5270.0, 1.4849945
5280.0, 1.4834278
5290.0, 1.4818656
5300.0, 1.4803077
5310.0, 1.4787543
5320.0, 1.4772047
5330.0, 1.4756597
5340.0, 1.474119
5350.0, 1.4725825
5360.0, 1.4710501
5370.0, 1.4695224
