Energy (in eV), SEEP yield of material CERS-NASCAP at incidence 90.0 degree
20800.0, 327.04483
21000.0, 328.3516
21200.0, 332.4663
21400.0, 336.59366
21600.0, 337.89404
21800.0, 342.03537
22000.0, 346.1892
22200.0, 347.4834
22400.0, 351.65097
22600.0, 355.83057
22800.0, 357.11884
23000.0, 361.31204
23200.0, 365.51703
23400.0, 366.79944
23600.0, 371.0177
23800.0, 372.2929
24000.0, 376.52423
24200.0, 380.76712
24400.0, 382.03668
24600.0, 386.29242
24800.0, 390.55945
25000.0, 391.82352
25200.0, 396.1031
25400.0, 397.36044
25600.0, 401.65237
25800.0, 405.9553
26000.0, 407.2074
26200.0, 411.52255
26400.0, 415.84842
26600.0, 417.09528
26800.0, 421.43307
27000.0, 422.67346
27200.0, 427.02313
27400.0, 431.38315
27600.0, 432.61847
27800.0, 436.99008
28000.0, 438.21918
28200.0, 442.6023
28400.0, 446.99545
28600.0, 448.21967
28800.0, 452.62408
29000.0, 453.84222
29200.0, 458.25778
29400.0, 462.68298
29600.0, 463.8964
29800.0, 468.33252
30000.0, 469.53998
30200.0, 473.9869
30400.0, 478.44327
30600.0, 479.64612
30800.0, 484.11304
31000.0, 485.31018
31200.0, 489.78754
31400.0, 494.2741
31600.0, 495.4666
31800.0, 499.96338
32000.0, 501.15024
32200.0, 505.65723
32400.0, 510.17294
32600.0, 511.35538
32800.0, 515.88104
33000.0, 517.058
33200.0, 521.59357
33400.0, 522.76495
33600.0, 527.3102
33800.0, 531.86395
34000.0, 533.03107
34200.0, 537.5943
34400.0, 538.7561
34600.0, 543.32874
34800.0, 547.90967
35000.0, 549.06714
35200.0, 553.6572
35400.0, 554.8095
35600.0, 559.4088
35800.0, 560.55585
36000.0, 565.1641
36200.0, 569.7802
36400.0, 570.92316
36600.0, 575.54816
36800.0, 576.686
37000.0, 581.31964
37200.0, 582.4524
37400.0, 587.09467
37600.0, 591.7448
37800.0, 592.87335
38000.0, 597.5318
38200.0, 598.65546
38400.0, 603.3222
38600.0, 604.4409
38800.0, 609.1161
39000.0, 613.79846
39200.0, 614.9131
39400.0, 619.6036
39600.0, 620.7134
39800.0, 625.41187
40000.0, 626.51697
40200.0, 631.2233
40400.0, 635.9368
40600.0, 637.0378
40800.0, 641.75903
41000.0, 642.85535
41200.0, 647.58417
41400.0, 648.6757
41600.0, 653.4122
41800.0, 654.4991
42000.0, 659.2431
42200.0, 663.9938
42400.0, 665.0767
42600.0, 669.8347
42800.0, 670.913
43000.0, 675.6783
43200.0, 676.7521
43400.0, 681.5245
43600.0, 686.3035
43800.0, 687.37335
44000.0, 692.15924
44200.0, 693.22455
44400.0, 698.0175
44600.0, 699.0783
44800.0, 703.8782
45000.0, 704.93445
45200.0, 709.741
45400.0, 714.5538
45600.0, 715.6062
45800.0, 720.4256
46000.0, 721.47375
46200.0, 726.29974
46400.0, 727.3433
46600.0, 732.17596
46800.0, 733.21533
47000.0, 738.05414
47200.0, 742.8989
47400.0, 743.93445
47600.0, 748.78546
47800.0, 749.8166
48000.0, 754.67395
48200.0, 755.7009
48400.0, 760.5644
48600.0, 761.587
48800.0, 766.4566
49000.0, 767.47504
49200.0, 772.3506
49400.0, 777.2317
49600.0, 778.24634
49800.0, 783.13324
50000.0, 784.14374
50200.0, 789.03644
50400.0, 790.0428
50600.0, 794.94135
50800.0, 795.9435
51000.0, 800.8477
51200.0, 801.84576
51400.0, 806.75574
51600.0, 811.6707
51800.0, 812.665
52000.0, 817.58563
52200.0, 818.5758
52400.0, 823.5018
52600.0, 824.4879
52800.0, 829.4193
53000.0, 830.4014
53200.0, 835.33826
53400.0, 840.2798
53600.0, 841.2583
53800.0, 846.2052
54000.0, 847.1796
54200.0, 852.1316
54400.0, 853.10205
54600.0, 858.059
54800.0, 859.0255
55000.0, 863.9877
55200.0, 864.9502
55400.0, 869.9172
55600.0, 870.8758
55800.0, 875.8479
56000.0, 880.8245
56200.0, 881.77936
56400.0, 886.761
56600.0, 887.712
56800.0, 892.69806
57000.0, 893.64514
57200.0, 898.6361
57400.0, 899.57935
57600.0, 904.5748
57800.0, 905.51434
58000.0, 910.5145
58200.0, 915.519
58400.0, 916.4547
58600.0, 921.4637
58800.0, 922.3956
59000.0, 927.4091
59200.0, 928.3373
59400.0, 933.35504
59600.0, 934.27936
59800.0, 939.30145
60000.0, 940.22205
60200.0, 945.2485
60400.0, 950.2791
60600.0, 951.19604
60800.0, 956.2308
61000.0, 957.14386
61200.0, 962.1828
61400.0, 963.0922
61600.0, 968.1352
61800.0, 969.04095
62000.0, 974.08795
62200.0, 974.9899
62400.0, 980.041
62600.0, 980.9394
62800.0, 985.9944
63000.0, 991.0531
63200.0, 991.9479
63400.0, 997.01056
63600.0, 997.9016
63800.0, 1002.96814
64000.0, 1003.85547
64200.0, 1008.9257
64400.0, 1009.8096
64600.0, 1014.8836
64800.0, 1015.76373
65000.0, 1020.8414
65200.0, 1021.7181
65400.0, 1026.7992
65600.0, 1031.8842
65800.0, 1032.7571
66000.0, 1037.8455
66200.0, 1038.715
66400.0, 1043.8068
66600.0, 1044.6726
66800.0, 1049.7681
67000.0, 1050.6304
67200.0, 1055.729
67400.0, 1056.588
67600.0, 1061.6901
67800.0, 1062.5454
68000.0, 1067.6508
68200.0, 1072.7596
68400.0, 1073.6113
68600.0, 1078.7234
68800.0, 1079.5717
69000.0, 1084.6869
69200.0, 1085.5316
69400.0, 1090.6501
69600.0, 1091.4913
69800.0, 1096.6129
70000.0, 1097.4508
70200.0, 1102.5754
70400.0, 1103.4099
70600.0, 1108.5375
70800.0, 1109.3685
71000.0, 1114.4993
71200.0, 1119.633
71400.0, 1120.4606
71600.0, 1125.5972
71800.0, 1126.4213
72000.0, 1131.561
72200.0, 1132.3816
72400.0, 1137.5239
72600.0, 1138.3412
72800.0, 1143.4866
73000.0, 1144.3004
73200.0, 1149.4486
73400.0, 1150.259
73600.0, 1155.4099
73800.0, 1160.5637
74000.0, 1161.3707
74200.0, 1166.5271
74400.0, 1167.3308
74600.0, 1172.4899
74800.0, 1173.2902
75000.0, 1178.4519
75200.0, 1179.2488
75400.0, 1184.4133
75600.0, 1185.2069
75800.0, 1190.3739
76000.0, 1191.1641
76200.0, 1196.3336
76400.0, 1201.5056
76600.0, 1202.2926
76800.0, 1207.4672
77000.0, 1208.2507
77200.0, 1213.4275
77400.0, 1214.2076
77600.0, 1219.3872
77800.0, 1220.1641
78000.0, 1225.3458
78200.0, 1226.1196
78400.0, 1231.3037
78600.0, 1232.0742
78800.0, 1237.2605
79000.0, 1238.028
79200.0, 1243.2166
79400.0, 1248.4076
79600.0, 1249.1714
79800.0, 1254.3647
80000.0, 1255.1251
80200.0, 1260.3206
80400.0, 1261.0782
80600.0, 1266.2756
80800.0, 1267.0299
81000.0, 1272.2296
81200.0, 1272.9806
81400.0, 1278.1824
81600.0, 1278.9303
81800.0, 1284.134
82000.0, 1289.34
82200.0, 1290.0845
82400.0, 1295.2926
82600.0, 1296.0339
82800.0, 1301.2439
83000.0, 1301.9819
83200.0, 1307.1941
83400.0, 1307.9291
83600.0, 1313.1431
83800.0, 1313.8749
84000.0, 1319.0907
84200.0, 1319.8195
84400.0, 1325.037
84600.0, 1330.2567
84800.0, 1330.9822
85000.0, 1336.2039
85200.0, 1336.9259
85400.0, 1342.1493
85600.0, 1342.8685
85800.0, 1348.0936
86000.0, 1348.8097
86200.0, 1354.0364
86400.0, 1354.7495
86600.0, 1359.9778
86800.0, 1360.6879
87000.0, 1365.9178
87200.0, 1371.1501
87400.0, 1371.8567
87600.0, 1377.0905
87800.0, 1377.794
88000.0, 1383.0293
88200.0, 1383.7297
88400.0, 1388.9667
88600.0, 1389.6641
88800.0, 1394.9025
89000.0, 1395.5969
89200.0, 1400.8369
89400.0, 1401.5283
89600.0, 1406.7698
89800.0, 1412.0131
90000.0, 1412.701
90200.0, 1417.946
90400.0, 1418.631
90600.0, 1423.8772
90800.0, 1424.5592
91000.0, 1429.8066
91200.0, 1430.486
91400.0, 1435.7346
91600.0, 1436.4108
91800.0, 1441.661
92000.0, 1442.3342
92200.0, 1447.5858
92400.0, 1452.8392
92600.0, 1453.5089
92800.0, 1458.7637
93000.0, 1459.4304
93200.0, 1464.6863
93400.0, 1465.3502
93600.0, 1470.6072
93800.0, 1471.2682
94000.0, 1476.5266
94200.0, 1477.1848
94400.0, 1482.4442
94600.0, 1483.0994
94800.0, 1488.3601
95000.0, 1493.6223
95200.0, 1494.2743
95400.0, 1499.5376
95600.0, 1500.1864
95800.0, 1505.4509
96000.0, 1506.097
96200.0, 1511.3625
96400.0, 1512.0057
96600.0, 1517.2723
96800.0, 1517.9126
97000.0, 1523.1804
97200.0, 1523.8177
97400.0, 1529.0864
97600.0, 1534.3566
97800.0, 1534.9908
98000.0, 1540.262
98200.0, 1540.8934
98400.0, 1546.1654
98600.0, 1546.794
98800.0, 1552.0669
99000.0, 1552.6926
99200.0, 1557.9666
99400.0, 1558.5895
99600.0, 1563.8644
99800.0, 1564.4844
100000.0, 1569.7601
