Energy (in eV), SEEE yield of material CERS-NASCAP at incidence 0.0 degree
1070.0, 5.2730446
1080.0, 5.258934
1090.0, 5.244599
1100.0, 5.230052
1110.0, 5.215309
1120.0, 5.200382
1130.0, 5.185287
1140.0, 5.1700344
1150.0, 5.1546364
1160.0, 5.1391077
1170.0, 5.123456
1180.0, 5.1076946
1190.0, 5.0918326
1200.0, 5.0758815
1210.0, 5.05985
1220.0, 5.0437484
1230.0, 5.027585
1240.0, 5.011369
1250.0, 4.9951077
1260.0, 4.978809
1270.0, 4.962482
1280.0, 4.9461327
1290.0, 4.929767
1300.0, 4.913393
1310.0, 4.897017
1320.0, 4.8806434
1330.0, 4.86428
1340.0, 4.8479304
1350.0, 4.8316007
1360.0, 4.8152966
1370.0, 4.799021
1380.0, 4.7827787
1390.0, 4.766575
1400.0, 4.750413
1410.0, 4.7342954
1420.0, 4.7182283
1430.0, 4.702213
1440.0, 4.686253
1450.0, 4.670352
1460.0, 4.6545115
1470.0, 4.6387353
1480.0, 4.6230245
1490.0, 4.6073833
1500.0, 4.5918117
1510.0, 4.5763135
1520.0, 4.5608892
1530.0, 4.545541
1540.0, 4.5302706
1550.0, 4.515079
1560.0, 4.499968
1570.0, 4.4849386
1580.0, 4.4699917
1590.0, 4.455129
1600.0, 4.4403505
1610.0, 4.4256577
1620.0, 4.411051
1630.0, 4.396531
1640.0, 4.3820977
1650.0, 4.3677535
1660.0, 4.3534966
1670.0, 4.3393283
1680.0, 4.325249
1690.0, 4.3112593
1700.0, 4.2973576
1710.0, 4.2835455
1720.0, 4.269823
1730.0, 4.2561903
1740.0, 4.2426457
1750.0, 4.229191
1760.0, 4.2158246
1770.0, 4.2025485
1780.0, 4.189359
1790.0, 4.1762586
1800.0, 4.1632466
1810.0, 4.150322
1820.0, 4.137485
1830.0, 4.124734
1840.0, 4.1120706
1850.0, 4.099493
1860.0, 4.087001
1870.0, 4.0745945
1880.0, 4.062273
1890.0, 4.0500345
1900.0, 4.037881
1910.0, 4.02581
1920.0, 4.013822
1930.0, 4.0019155
1940.0, 3.9900908
1950.0, 3.9783473
1960.0, 3.966684
1970.0, 3.9551008
1980.0, 3.9435956
1990.0, 3.9321702
2000.0, 3.920822
2010.0, 3.9095516
2020.0, 3.8983574
2030.0, 3.8872397
2040.0, 3.876197
2050.0, 3.865229
2060.0, 3.8543353
2070.0, 3.8435152
2080.0, 3.8327684
2090.0, 3.8220935
2100.0, 3.8114896
2110.0, 3.8009572
2120.0, 3.7904956
2130.0, 3.7801032
2140.0, 3.76978
2150.0, 3.759525
2160.0, 3.7493386
2170.0, 3.7392187
2180.0, 3.7291656
2190.0, 3.7191784
2200.0, 3.709257
2210.0, 3.6994
2220.0, 3.6896074
2230.0, 3.6798785
2240.0, 3.6702125
2250.0, 3.6606085
2260.0, 3.6510668
2270.0, 3.6415865
2280.0, 3.6321666
2290.0, 3.6228068
2300.0, 3.6135063
2310.0, 3.6042647
2320.0, 3.595082
2330.0, 3.585957
2340.0, 3.5768898
2350.0, 3.5678787
2360.0, 3.5589242
2370.0, 3.550025
2380.0, 3.5411808
2390.0, 3.5323923
2400.0, 3.523657
2410.0, 3.514976
2420.0, 3.5063477
2430.0, 3.4977722
2440.0, 3.489249
2450.0, 3.4807773
2460.0, 3.472357
2470.0, 3.4639876
2480.0, 3.4556684
2490.0, 3.4473984
2500.0, 3.4391782
2510.0, 3.4310067
2520.0, 3.422884
2530.0, 3.4148088
2540.0, 3.4067812
2550.0, 3.3988006
2560.0, 3.3908675
2570.0, 3.3829799
2580.0, 3.375138
2590.0, 3.3673422
2600.0, 3.3595908
2610.0, 3.3518844
2620.0, 3.3442218
2630.0, 3.336603
2640.0, 3.3290277
2650.0, 3.3214953
2660.0, 3.3140056
2670.0, 3.3065586
2680.0, 3.299153
2690.0, 3.2917888
2700.0, 3.284466
2710.0, 3.2771838
2720.0, 3.2699425
2730.0, 3.2627409
2740.0, 3.2555788
2750.0, 3.2484567
2760.0, 3.2413728
2770.0, 3.2343283
2780.0, 3.2273219
2790.0, 3.2203534
2800.0, 3.2134225
2810.0, 3.2065294
2820.0, 3.1996732
2830.0, 3.1928535
2840.0, 3.1860704
2850.0, 3.1793232
2860.0, 3.1726124
2870.0, 3.1659365
2880.0, 3.1592965
2890.0, 3.1526906
2900.0, 3.1461198
2910.0, 3.1395833
2920.0, 3.133081
2930.0, 3.1266122
2940.0, 3.1201773
2950.0, 3.113775
2960.0, 3.1074061
2970.0, 3.1010695
2980.0, 3.0947657
2990.0, 3.0884943
3000.0, 3.0822544
