Energy (in eV), backscattering yield of material CFRP-NASCAP at incidence 60.0 degree
   X,       Y
4180.0, 0.3358512
4190.0, 0.33572224
4200.0, 0.3355935
4210.0, 0.33546495
4220.0, 0.33533663
4230.0, 0.3352085
4240.0, 0.3350806
4250.0, 0.33495286
4260.0, 0.3348254
4270.0, 0.33469808
4280.0, 0.33457097
4290.0, 0.3344441
4300.0, 0.33431745
4310.0, 0.33419096
4320.0, 0.3340647
4330.0, 0.33393863
4340.0, 0.33381277
4350.0, 0.33368713
4360.0, 0.33356166
4370.0, 0.33343643
4380.0, 0.33331138
4390.0, 0.33318654
4400.0, 0.3330619
4410.0, 0.33293745
4420.0, 0.33281323
4430.0, 0.3326892
4440.0, 0.33256537
4450.0, 0.33244175
4460.0, 0.3323183
4470.0, 0.3321951
4480.0, 0.33207205
4490.0, 0.33194923
4500.0, 0.33182663
4510.0, 0.3317042
4520.0, 0.33158198
4530.0, 0.33145994
4540.0, 0.3313381
4550.0, 0.33121648
4560.0, 0.33109507
4570.0, 0.33097383
4580.0, 0.33085278
4590.0, 0.33073196
4600.0, 0.33061132
4610.0, 0.33049086
4620.0, 0.33037063
4630.0, 0.33025056
4640.0, 0.33013073
4650.0, 0.33001107
4660.0, 0.32989162
4670.0, 0.32977235
4680.0, 0.3296533
4690.0, 0.3295344
4700.0, 0.3294157
4710.0, 0.32929724
4720.0, 0.32917896
4730.0, 0.32906085
4740.0, 0.32894295
4750.0, 0.32882524
4760.0, 0.32870772
4770.0, 0.3285904
4780.0, 0.32847327
4790.0, 0.32835633
4800.0, 0.3282396
4810.0, 0.32812303
4820.0, 0.32800665
4830.0, 0.3278905
4840.0, 0.32777452
4850.0, 0.32765874
4860.0, 0.32754314
4870.0, 0.32742772
4880.0, 0.3273125
4890.0, 0.32719746
4900.0, 0.32708263
4910.0, 0.32696798
4920.0, 0.3268535
4930.0, 0.32673925
4940.0, 0.32662517
4950.0, 0.32651126
4960.0, 0.32639757
4970.0, 0.32628402
4980.0, 0.32617068
4990.0, 0.32605755
5000.0, 0.3259446
5010.0, 0.32583183
5020.0, 0.32571924
5030.0, 0.32560685
5040.0, 0.32549462
5050.0, 0.3253826
5060.0, 0.32527077
5070.0, 0.3251591
5080.0, 0.32504764
5090.0, 0.32493633
5100.0, 0.32482523
5110.0, 0.3247143
5120.0, 0.3246036
5130.0, 0.32449302
5140.0, 0.32438266
5150.0, 0.32427248
5160.0, 0.32416245
5170.0, 0.32405263
5180.0, 0.32394302
5190.0, 0.32383355
5200.0, 0.32372427
5210.0, 0.32361516
5220.0, 0.32350627
5230.0, 0.32339755
5240.0, 0.32328898
5250.0, 0.32318062
5260.0, 0.32307243
5270.0, 0.32296443
5280.0, 0.3228566
5290.0, 0.32274893
5300.0, 0.32264146
5310.0, 0.32253417
5320.0, 0.32242706
5330.0, 0.32232013
5340.0, 0.32221338
5350.0, 0.3221068
5360.0, 0.32200038
5370.0, 0.32189417
5380.0, 0.32178813
5390.0, 0.32168224
5400.0, 0.32157657
5410.0, 0.32147104
5420.0, 0.3213657
5430.0, 0.32126054
5440.0, 0.32115558
5450.0, 0.32105076
5460.0, 0.3209461
5470.0, 0.32084164
5480.0, 0.32073736
5490.0, 0.32063326
5500.0, 0.3205293
5510.0, 0.32042557
5520.0, 0.32032198
5530.0, 0.32021853
5540.0, 0.3201153
5550.0, 0.32001224
5560.0, 0.31990933
5570.0, 0.3198066
5580.0, 0.31970406
5590.0, 0.31960168
5600.0, 0.3194995
5610.0, 0.31939745
5620.0, 0.3192956
5630.0, 0.3191939
5640.0, 0.31909236
5650.0, 0.318991
5660.0, 0.31888983
5670.0, 0.3187888
5680.0, 0.31868798
5690.0, 0.3185873
5700.0, 0.3184868
5710.0, 0.31838647
5720.0, 0.3182863
5730.0, 0.31818628
5740.0, 0.31808648
5750.0, 0.31798682
5760.0, 0.31788734
5770.0, 0.317788
5780.0, 0.31768882
5790.0, 0.31758985
5800.0, 0.31749102
5810.0, 0.31739238
5820.0, 0.31729388
5830.0, 0.31719556
5840.0, 0.31709743
5850.0, 0.3169994
5860.0, 0.3169016
5870.0, 0.31680393
5880.0, 0.31670645
5890.0, 0.3166091
5900.0, 0.31651196
5910.0, 0.31641492
5920.0, 0.3163181
5930.0, 0.31622142
5940.0, 0.31612492
5950.0, 0.31602857
5960.0, 0.3159324
5970.0, 0.31583637
5980.0, 0.31574053
5990.0, 0.31564483
6000.0, 0.3155493
6010.0, 0.31545392
6020.0, 0.31535873
6030.0, 0.31526366
6040.0, 0.3151688
6050.0, 0.31507406
6060.0, 0.3149795
6070.0, 0.3148851
6080.0, 0.31479084
6090.0, 0.31469676
6100.0, 0.31460285
6110.0, 0.3145091
6120.0, 0.31441548
6130.0, 0.31432205
6140.0, 0.31422874
6150.0, 0.31413564
6160.0, 0.31404266
6170.0, 0.31394985
6180.0, 0.3138572
6190.0, 0.3137647
6200.0, 0.3136724
6210.0, 0.3135802
6220.0, 0.3134882
6230.0, 0.3133963
6240.0, 0.3133046
6250.0, 0.31321305
6260.0, 0.31312165
6270.0, 0.31303042
6280.0, 0.31293935
6290.0, 0.31284842
6300.0, 0.31275764
6310.0, 0.312667
6320.0, 0.31257656
6330.0, 0.31248626
6340.0, 0.3123961
6350.0, 0.3123061
6360.0, 0.31221625
6370.0, 0.31212658
6380.0, 0.31203702
6390.0, 0.31194764
6400.0, 0.31185842
6410.0, 0.31176934
6420.0, 0.3116804
6430.0, 0.31159163
6440.0, 0.31150302
6450.0, 0.31141454
6460.0, 0.3113262
6470.0, 0.31123805
6480.0, 0.31115004
6490.0, 0.3110622
6500.0, 0.31097445
6510.0, 0.3108869
6520.0, 0.31079948
6530.0, 0.31071222
6540.0, 0.3106251
6550.0, 0.31053814
6560.0, 0.31045133
6570.0, 0.31036466
6580.0, 0.31027815
6590.0, 0.31019178
6600.0, 0.3101056
6610.0, 0.3100195
6620.0, 0.3099336
6630.0, 0.3098478
6640.0, 0.30976218
6650.0, 0.3096767
6660.0, 0.30959138
6670.0, 0.30950618
6680.0, 0.30942115
6690.0, 0.30933627
6700.0, 0.30925152
6710.0, 0.30916694
6720.0, 0.30908248
6730.0, 0.30899817
6740.0, 0.308914
6750.0, 0.30883
6760.0, 0.30874613
6770.0, 0.30866238
6780.0, 0.30857882
6790.0, 0.30849537
6800.0, 0.30841208
6810.0, 0.30832893
6820.0, 0.30824593
6830.0, 0.30816308
6840.0, 0.30808035
6850.0, 0.30799776
6860.0, 0.30791536
6870.0, 0.30783305
6880.0, 0.3077509
6890.0, 0.3076689
6900.0, 0.30758703
6910.0, 0.30750534
6920.0, 0.30742374
6930.0, 0.30734232
6940.0, 0.30726102
6950.0, 0.30717987
6960.0, 0.30709884
6970.0, 0.30701798
6980.0, 0.30693725
6990.0, 0.30685666
7000.0, 0.3067762
7010.0, 0.30669588
7020.0, 0.3066157
7030.0, 0.30653566
7040.0, 0.30645576
7050.0, 0.306376
7060.0, 0.3062964
7070.0, 0.30621693
7080.0, 0.3061376
7090.0, 0.30605838
7100.0, 0.3059793
7110.0, 0.3059004
7120.0, 0.3058216
7130.0, 0.30574295
7140.0, 0.30566442
7150.0, 0.30558604
7160.0, 0.3055078
7170.0, 0.3054297
7180.0, 0.3053517
7190.0, 0.3052739
7200.0, 0.3051962
7210.0, 0.30511862
7220.0, 0.3050412
7230.0, 0.3049639
7240.0, 0.30488673
7250.0, 0.30480972
7260.0, 0.30473283
7270.0, 0.30465606
7280.0, 0.30457947
7290.0, 0.30450296
7300.0, 0.3044266
7310.0, 0.3043504
7320.0, 0.30427432
7330.0, 0.30419835
7340.0, 0.30412254
7350.0, 0.30404684
7360.0, 0.3039713
7370.0, 0.30389586
7380.0, 0.30382058
7390.0, 0.30374542
7400.0, 0.3036704
7410.0, 0.30359548
7420.0, 0.30352074
7430.0, 0.30344608
7440.0, 0.30337158
7450.0, 0.30329722
7460.0, 0.30322298
7470.0, 0.30314887
7480.0, 0.3030749
7490.0, 0.30300102
7500.0, 0.30292732
7510.0, 0.3028537
7520.0, 0.30278024
7530.0, 0.30270693
7540.0, 0.3026337
7550.0, 0.30256063
7560.0, 0.30248767
7570.0, 0.30241486
7580.0, 0.30234218
7590.0, 0.3022696
7600.0, 0.30219716
7610.0, 0.30212486
