Energy (in eV), backscattering yield of material ITOC-NASCAP at incidence 30.0 degree
   X,       Y
4760.0, 0.3110332
4770.0, 0.31095317
4780.0, 0.31087333
4790.0, 0.31079364
4800.0, 0.3107141
4810.0, 0.3106347
4820.0, 0.3105555
4830.0, 0.3104764
4840.0, 0.31039745
4850.0, 0.3103187
4860.0, 0.3102401
4870.0, 0.31016162
4880.0, 0.31008333
4890.0, 0.31000516
4900.0, 0.30992717
4910.0, 0.30984932
4920.0, 0.30977166
4930.0, 0.3096941
4940.0, 0.3096167
4950.0, 0.3095395
4960.0, 0.3094624
4970.0, 0.30938545
4980.0, 0.30930868
4990.0, 0.30923206
5000.0, 0.30915558
5010.0, 0.30907923
5020.0, 0.30900306
5030.0, 0.30892703
5040.0, 0.30885112
5050.0, 0.3087754
5060.0, 0.3086998
5070.0, 0.3086244
5080.0, 0.30854908
5090.0, 0.3084739
5100.0, 0.30839893
5110.0, 0.3083241
5120.0, 0.30824938
5130.0, 0.30817482
5140.0, 0.3081004
5150.0, 0.30802616
5160.0, 0.30795202
5170.0, 0.30787808
5180.0, 0.30780423
5190.0, 0.30773056
5200.0, 0.307657
5210.0, 0.30758363
5220.0, 0.30751038
5230.0, 0.30743727
5240.0, 0.30736428
5250.0, 0.30729145
5260.0, 0.3072188
5270.0, 0.30714625
5280.0, 0.30707386
5290.0, 0.3070016
5300.0, 0.3069295
5310.0, 0.30685753
5320.0, 0.3067857
5330.0, 0.30671403
5340.0, 0.30664247
5350.0, 0.3065711
5360.0, 0.3064998
5370.0, 0.30642867
5380.0, 0.3063577
5390.0, 0.30628687
5400.0, 0.30621615
5410.0, 0.30614558
5420.0, 0.30607516
5430.0, 0.30600485
5440.0, 0.3059347
5450.0, 0.30586472
5460.0, 0.3057948
5470.0, 0.30572507
5480.0, 0.30565548
5490.0, 0.30558598
5500.0, 0.30551666
5510.0, 0.3054475
5520.0, 0.3053784
5530.0, 0.3053095
5540.0, 0.3052407
5550.0, 0.30517206
5560.0, 0.30510354
5570.0, 0.30503514
5580.0, 0.30496693
5590.0, 0.30489877
5600.0, 0.30483082
5610.0, 0.30476296
5620.0, 0.30469525
5630.0, 0.30462766
5640.0, 0.3045602
5650.0, 0.3044929
5660.0, 0.3044257
5670.0, 0.30435866
5680.0, 0.30429173
5690.0, 0.30422494
5700.0, 0.3041583
5710.0, 0.30409175
5720.0, 0.30402535
5730.0, 0.30395907
5740.0, 0.30389294
5750.0, 0.30382696
5760.0, 0.30376107
5770.0, 0.30369532
5780.0, 0.3036297
5790.0, 0.30356422
5800.0, 0.30349883
5810.0, 0.30343363
5820.0, 0.3033685
5830.0, 0.30330354
5840.0, 0.3032387
5850.0, 0.303174
5860.0, 0.30310938
5870.0, 0.3030449
5880.0, 0.30298057
5890.0, 0.30291638
5900.0, 0.30285227
5910.0, 0.3027883
5920.0, 0.30272448
5930.0, 0.30266076
5940.0, 0.30259717
5950.0, 0.30253372
5960.0, 0.3024704
5970.0, 0.30240715
5980.0, 0.30234408
5990.0, 0.30228114
6000.0, 0.30221826
6010.0, 0.30215555
6020.0, 0.30209297
6030.0, 0.3020305
6040.0, 0.30196816
6050.0, 0.30190593
6060.0, 0.30184382
6070.0, 0.30178186
6080.0, 0.30172
6090.0, 0.30165824
6100.0, 0.30159664
6110.0, 0.30153516
6120.0, 0.3014738
6130.0, 0.30141252
6140.0, 0.3013514
6150.0, 0.30129036
6160.0, 0.3012295
6170.0, 0.3011687
6180.0, 0.30110806
6190.0, 0.30104753
6200.0, 0.30098712
6210.0, 0.30092683
6220.0, 0.30086666
6230.0, 0.3008066
6240.0, 0.30074665
6250.0, 0.30068684
6260.0, 0.30062714
6270.0, 0.30056754
6280.0, 0.30050808
6290.0, 0.30044872
6300.0, 0.3003895
6310.0, 0.30033037
6320.0, 0.30027136
6330.0, 0.30021247
6340.0, 0.30015373
6350.0, 0.30009505
6360.0, 0.30003652
6370.0, 0.2999781
6380.0, 0.29991978
6390.0, 0.2998616
6400.0, 0.29980353
6410.0, 0.29974556
6420.0, 0.2996877
6430.0, 0.29962996
6440.0, 0.29957235
6450.0, 0.29951483
6460.0, 0.29945743
6470.0, 0.29940015
6480.0, 0.299343
6490.0, 0.29928592
6500.0, 0.29922897
6510.0, 0.29917213
6520.0, 0.29911542
6530.0, 0.2990588
6540.0, 0.2990023
6550.0, 0.2989459
6560.0, 0.29888964
6570.0, 0.29883346
6580.0, 0.2987774
6590.0, 0.29872146
6600.0, 0.2986656
6610.0, 0.2986099
6620.0, 0.29855427
6630.0, 0.29849878
6640.0, 0.29844338
6650.0, 0.2983881
6660.0, 0.29833293
6670.0, 0.29827785
6680.0, 0.2982229
6690.0, 0.29816803
6700.0, 0.2981133
6710.0, 0.29805866
6720.0, 0.29800412
6730.0, 0.2979497
6740.0, 0.29789537
6750.0, 0.29784116
6760.0, 0.29778707
6770.0, 0.29773307
6780.0, 0.2976792
6790.0, 0.2976254
6800.0, 0.29757175
6810.0, 0.29751816
6820.0, 0.2974647
6830.0, 0.29741132
6840.0, 0.29735807
6850.0, 0.29730493
6860.0, 0.29725188
6870.0, 0.29719895
6880.0, 0.2971461
6890.0, 0.29709336
6900.0, 0.29704073
6910.0, 0.29698822
6920.0, 0.2969358
6930.0, 0.2968835
6940.0, 0.29683128
6950.0, 0.29677916
6960.0, 0.29672715
6970.0, 0.29667524
6980.0, 0.29662344
6990.0, 0.29657173
7000.0, 0.29652014
7010.0, 0.29646865
7020.0, 0.29641724
7030.0, 0.29636595
7040.0, 0.29631475
7050.0, 0.29626366
7060.0, 0.29621267
7070.0, 0.29616177
7080.0, 0.296111
7090.0, 0.2960603
7100.0, 0.2960097
7110.0, 0.2959592
7120.0, 0.2959088
7130.0, 0.2958585
7140.0, 0.29580835
7150.0, 0.29575822
7160.0, 0.29570824
7170.0, 0.29565832
7180.0, 0.29560852
7190.0, 0.29555884
7200.0, 0.29550925
7210.0, 0.29545972
7220.0, 0.2954103
7230.0, 0.295361
7240.0, 0.29531178
7250.0, 0.2952627
7260.0, 0.29521367
7270.0, 0.29516473
7280.0, 0.29511592
7290.0, 0.2950672
7300.0, 0.29501855
7310.0, 0.29497
7320.0, 0.29492158
7330.0, 0.29487324
7340.0, 0.29482496
7350.0, 0.29477683
7360.0, 0.29472876
7370.0, 0.29468077
7380.0, 0.2946329
7390.0, 0.29458514
7400.0, 0.29453745
7410.0, 0.2944899
7420.0, 0.2944424
7430.0, 0.294395
7440.0, 0.29434767
7450.0, 0.29430047
7460.0, 0.29425335
7470.0, 0.29420632
7480.0, 0.29415938
7490.0, 0.29411253
7500.0, 0.2940658
7510.0, 0.29401913
7520.0, 0.29397255
7530.0, 0.2939261
7540.0, 0.29387972
7550.0, 0.2938334
7560.0, 0.2937872
7570.0, 0.2937411
7580.0, 0.2936951
7590.0, 0.29364917
7600.0, 0.29360333
7610.0, 0.29355758
7620.0, 0.29351193
7630.0, 0.29346636
7640.0, 0.29342088
7650.0, 0.29337552
7660.0, 0.29333022
7670.0, 0.293285
7680.0, 0.2932399
7690.0, 0.29319486
7700.0, 0.29314992
7710.0, 0.29310507
7720.0, 0.2930603
7730.0, 0.29301563
7740.0, 0.29297104
7750.0, 0.29292655
7760.0, 0.29288214
7770.0, 0.29283783
7780.0, 0.2927936
7790.0, 0.29274946
7800.0, 0.2927054
7810.0, 0.29266143
7820.0, 0.29261753
7830.0, 0.29257375
7840.0, 0.29253003
7850.0, 0.2924864
7860.0, 0.29244286
7870.0, 0.2923994
7880.0, 0.29235604
7890.0, 0.29231274
7900.0, 0.29226956
7910.0, 0.29222643
7920.0, 0.29218343
7930.0, 0.29214048
7940.0, 0.29209763
7950.0, 0.29205486
7960.0, 0.29201218
7970.0, 0.29196957
7980.0, 0.29192704
7990.0, 0.2918846
8000.0, 0.29184225
8010.0, 0.2918
8020.0, 0.29175782
8030.0, 0.2917157
8040.0, 0.2916737
8050.0, 0.29163176
8060.0, 0.29158992
8070.0, 0.29154813
8080.0, 0.29150644
8090.0, 0.29146487
8100.0, 0.29142332
8110.0, 0.2913819
8120.0, 0.29134053
8130.0, 0.29129925
8140.0, 0.29125807
8150.0, 0.29121694
8160.0, 0.2911759
8170.0, 0.29113498
8180.0, 0.2910941
8190.0, 0.29105332
8200.0, 0.2910126
8210.0, 0.29097196
8220.0, 0.29093143
8230.0, 0.29089096
8240.0, 0.29085058
8250.0, 0.29081026
8260.0, 0.29077002
8270.0, 0.29072988
8280.0, 0.29068983
8290.0, 0.29064983
8300.0, 0.29060993
8310.0, 0.29057008
8320.0, 0.29053035
8330.0, 0.29049066
8340.0, 0.29045105
8350.0, 0.29041153
8360.0, 0.2903721
8370.0, 0.29033273
8380.0, 0.29029346
8390.0, 0.29025427
8400.0, 0.29021513
8410.0, 0.29017606
8420.0, 0.2901371
8430.0, 0.29009822
8440.0, 0.2900594
8450.0, 0.29002064
8460.0, 0.289982
8470.0, 0.2899434
8480.0, 0.28990486
8490.0, 0.28986645
8500.0, 0.2898281
8510.0, 0.2897898
8520.0, 0.2897516
8530.0, 0.28971344
8540.0, 0.28967538
8550.0, 0.2896374
8560.0, 0.28959948
8570.0, 0.28956166
8580.0, 0.2895239
8590.0, 0.28948623
8600.0, 0.28944862
8610.0, 0.28941107
8620.0, 0.2893736
8630.0, 0.2893362
8640.0, 0.28929892
8650.0, 0.28926167
8660.0, 0.2892245
8670.0, 0.2891874
8680.0, 0.2891504
8690.0, 0.28911346
8700.0, 0.28907657
8710.0, 0.28903976
8720.0, 0.28900304
8730.0, 0.2889664
8740.0, 0.28892982
8750.0, 0.2888933
8760.0, 0.28885686
8770.0, 0.2888205
8780.0, 0.2887842
8790.0, 0.288748
8800.0, 0.28871185
8810.0, 0.28867576
8820.0, 0.28863975
8830.0, 0.2886038
8840.0, 0.28856796
8850.0, 0.28853217
8860.0, 0.28849643
8870.0, 0.2884608
8880.0, 0.2884252
8890.0, 0.2883897
8900.0, 0.28835428
8910.0, 0.2883189
8920.0, 0.2882836
8930.0, 0.28824836
8940.0, 0.2882132
8950.0, 0.28817812
8960.0, 0.28814307
8970.0, 0.28810814
8980.0, 0.28807327
8990.0, 0.28803843
9000.0, 0.28800368
9010.0, 0.28796902
9020.0, 0.28793442
9030.0, 0.28789988
9040.0, 0.2878654
9050.0, 0.287831
9060.0, 0.28779665
9070.0, 0.2877624
9080.0, 0.2877282
9090.0, 0.28769407
9100.0, 0.28766
9110.0, 0.287626
9120.0, 0.28759208
9130.0, 0.28755823
9140.0, 0.28752443
9150.0, 0.2874907
9160.0, 0.28745705
9170.0, 0.28742343
9180.0, 0.2873899
9190.0, 0.28735647
9200.0, 0.28732306
9210.0, 0.28728974
9220.0, 0.28725645
9230.0, 0.28722325
9240.0, 0.28719014
9250.0, 0.28715706
9260.0, 0.28712407
9270.0, 0.28709114
9280.0, 0.28705826
9290.0, 0.28702545
9300.0, 0.28699273
9310.0, 0.28696004
9320.0, 0.28692743
9330.0, 0.2868949
9340.0, 0.2868624
9350.0, 0.28683
9360.0, 0.28679764
9370.0, 0.28676537
9380.0, 0.28673312
9390.0, 0.28670096
9400.0, 0.28666887
9410.0, 0.28663683
9420.0, 0.28660488
9430.0, 0.28657296
9440.0, 0.28654113
9450.0, 0.28650934
9460.0, 0.28647763
9470.0, 0.28644598
9480.0, 0.28641438
9490.0, 0.28638285
9500.0, 0.28635138
9510.0, 0.28631997
9520.0, 0.28628862
9530.0, 0.28625736
9540.0, 0.28622615
9550.0, 0.28619498
9560.0, 0.2861639
9570.0, 0.28613287
9580.0, 0.28610188
9590.0, 0.28607097
9600.0, 0.28604013
9610.0, 0.28600934
9620.0, 0.28597862
9630.0, 0.28594795
9640.0, 0.28591734
9650.0, 0.2858868
9660.0, 0.2858563
9670.0, 0.28582588
9680.0, 0.2857955
9690.0, 0.28576523
9700.0, 0.28573498
9710.0, 0.2857048
9720.0, 0.28567466
9730.0, 0.28564462
9740.0, 0.2856146
9750.0, 0.28558466
9760.0, 0.28555477
9770.0, 0.28552496
9780.0, 0.2854952
9790.0, 0.28546548
9800.0, 0.28543583
9810.0, 0.28540623
9820.0, 0.28537673
9830.0, 0.28534725
9840.0, 0.2853178
9850.0, 0.28528845
9860.0, 0.2852592
9870.0, 0.28522992
9880.0, 0.28520074
9890.0, 0.28517163
9900.0, 0.28514254
9910.0, 0.28511354
9920.0, 0.28508458
9930.0, 0.2850557
9940.0, 0.28502685
9950.0, 0.2849981
9960.0, 0.28496936
9970.0, 0.2849407
9980.0, 0.28491208
9990.0, 0.28488353
10000.0, 0.28485504
10010.0, 0.2848266
10020.0, 0.2847982
10030.0, 0.2847699
10040.0, 0.2847416
10050.0, 0.28471342
10060.0, 0.28468525
10070.0, 0.28465715
10080.0, 0.2846291
10090.0, 0.2846011
10100.0, 0.28457317
10110.0, 0.2845453
10120.0, 0.28451747
10130.0, 0.28448972
10140.0, 0.284462
10150.0, 0.28443432
10160.0, 0.28440672
10170.0, 0.28437918
10180.0, 0.28435168
10190.0, 0.28432423
10200.0, 0.28429684
10210.0, 0.2842695
10220.0, 0.28424224
10230.0, 0.284215
10240.0, 0.28418785
10250.0, 0.28416073
10260.0, 0.28413367
10270.0, 0.28410667
10280.0, 0.2840797
10290.0, 0.28405282
10300.0, 0.28402597
10310.0, 0.28399917
10320.0, 0.2839724
10330.0, 0.28394574
10340.0, 0.2839191
10350.0, 0.2838925
10360.0, 0.283866
10370.0, 0.2838395
10380.0, 0.2838131
10390.0, 0.2837867
10400.0, 0.2837604
10410.0, 0.28373414
10420.0, 0.28370792
10430.0, 0.28368175
10440.0, 0.2836556
10450.0, 0.28362957
10460.0, 0.28360355
10470.0, 0.2835776
10480.0, 0.2835517
10490.0, 0.28352585
10500.0, 0.28350005
10510.0, 0.2834743
10520.0, 0.2834486
10530.0, 0.28342295
10540.0, 0.28339735
10550.0, 0.2833718
10560.0, 0.2833463
10570.0, 0.28332087
10580.0, 0.28329545
10590.0, 0.28327012
10600.0, 0.28324482
10610.0, 0.28321958
10620.0, 0.28319436
10630.0, 0.28316924
10640.0, 0.28314415
10650.0, 0.28311908
10660.0, 0.2830941
10670.0, 0.28306913
10680.0, 0.28304425
10690.0, 0.2830194
10700.0, 0.28299463
10710.0, 0.28296986
10720.0, 0.28294516
10730.0, 0.2829205
10740.0, 0.2828959
10750.0, 0.28287137
10760.0, 0.28284684
10770.0, 0.2828224
10780.0, 0.282798
10790.0, 0.28277364
10800.0, 0.28274933
10810.0, 0.28272507
10820.0, 0.28270087
10830.0, 0.28267667
10840.0, 0.28265256
10850.0, 0.28262848
10860.0, 0.28260446
10870.0, 0.2825805
10880.0, 0.28255656
10890.0, 0.2825327
10900.0, 0.28250885
10910.0, 0.2824851
10920.0, 0.28246135
10930.0, 0.28243765
10940.0, 0.28241402
10950.0, 0.28239042
10960.0, 0.28236684
10970.0, 0.28234336
10980.0, 0.2823199
10990.0, 0.28229648
11000.0, 0.28227314
11010.0, 0.2822498
11020.0, 0.28222653
11030.0, 0.28220332
11040.0, 0.28218013
11050.0, 0.282157
11060.0, 0.28213394
11070.0, 0.28211087
11080.0, 0.2820879
11090.0, 0.28206494
11100.0, 0.28204206
11110.0, 0.28201917
11120.0, 0.28199637
11130.0, 0.2819736
11140.0, 0.2819509
11150.0, 0.28192818
11160.0, 0.28190556
11170.0, 0.281883
11180.0, 0.28186044
11190.0, 0.28183794
11200.0, 0.2818155
11210.0, 0.2817931
11220.0, 0.2817707
11230.0, 0.2817484
11240.0, 0.28172612
11250.0, 0.2817039
11260.0, 0.28168172
11270.0, 0.28165957
11280.0, 0.28163746
11290.0, 0.28161544
11300.0, 0.2815934
11310.0, 0.28157142
11320.0, 0.2815495
11330.0, 0.28152764
11340.0, 0.2815058
11350.0, 0.281484
11360.0, 0.28146225
11370.0, 0.28144056
11380.0, 0.2814189
11390.0, 0.28139725
11400.0, 0.28137568
11410.0, 0.28135416
11420.0, 0.28133267
11430.0, 0.2813112
11440.0, 0.28128982
11450.0, 0.28126845
11460.0, 0.2812471
11470.0, 0.28122583
11480.0, 0.2812046
11490.0, 0.28118342
11500.0, 0.28116226
11510.0, 0.28114116
11520.0, 0.2811201
11530.0, 0.28109905
11540.0, 0.28107807
11550.0, 0.28105712
11560.0, 0.28103623
11570.0, 0.28101537
11580.0, 0.28099456
11590.0, 0.28097376
11600.0, 0.28095302
11610.0, 0.28093234
11620.0, 0.28091168
11630.0, 0.28089106
11640.0, 0.2808705
11650.0, 0.28084996
11660.0, 0.28082946
