Energy (in eV), backscattering yield of material CERS-NASCAP at incidence 70.0 degree
   X,       Y
6300.0, 0.50503004
6310.0, 0.50495785
6320.0, 0.50488585
6330.0, 0.50481397
6340.0, 0.50474215
6350.0, 0.5046705
6360.0, 0.504599
6370.0, 0.50452757
6380.0, 0.5044563
6390.0, 0.5043851
6400.0, 0.50431406
6410.0, 0.50424314
6420.0, 0.5041723
6430.0, 0.5041017
6440.0, 0.5040311
6450.0, 0.5039607
6460.0, 0.5038904
6470.0, 0.5038202
6480.0, 0.50375015
6490.0, 0.50368017
6500.0, 0.5036104
6510.0, 0.5035407
6520.0, 0.50347114
6530.0, 0.50340164
6540.0, 0.5033323
6550.0, 0.5032631
6560.0, 0.503194
6570.0, 0.503125
6580.0, 0.50305617
6590.0, 0.5029874
6600.0, 0.5029188
6610.0, 0.5028503
6620.0, 0.5027819
6630.0, 0.5027136
6640.0, 0.5026455
6650.0, 0.5025775
6660.0, 0.50250953
6670.0, 0.50244176
6680.0, 0.5023741
6690.0, 0.5023065
6700.0, 0.5022391
6710.0, 0.5021718
6720.0, 0.5021046
6730.0, 0.5020375
6740.0, 0.5019705
6750.0, 0.5019037
6760.0, 0.50183696
6770.0, 0.5017703
6780.0, 0.50170386
6790.0, 0.50163746
6800.0, 0.5015712
6810.0, 0.501505
6820.0, 0.501439
6830.0, 0.50137305
6840.0, 0.50130725
6850.0, 0.50124156
6860.0, 0.501176
6870.0, 0.5011105
6880.0, 0.50104517
6890.0, 0.5009799
6900.0, 0.5009148
6910.0, 0.5008498
6920.0, 0.5007849
6930.0, 0.5007201
6940.0, 0.5006554
6950.0, 0.5005909
6960.0, 0.5005264
6970.0, 0.5004621
6980.0, 0.5003979
6990.0, 0.5003338
7000.0, 0.50026983
7010.0, 0.50020593
7020.0, 0.50014216
7030.0, 0.5000785
7040.0, 0.50001496
7050.0, 0.49995154
7060.0, 0.4998882
7070.0, 0.499825
7080.0, 0.4997619
7090.0, 0.4996989
7100.0, 0.49963602
7110.0, 0.49957326
7120.0, 0.49951062
7130.0, 0.49944806
7140.0, 0.49938563
7150.0, 0.4993233
7160.0, 0.49926108
7170.0, 0.49919897
7180.0, 0.49913698
7190.0, 0.49907508
7200.0, 0.4990133
7210.0, 0.4989516
7220.0, 0.49889007
7230.0, 0.49882862
7240.0, 0.49876726
7250.0, 0.498706
7260.0, 0.4986449
7270.0, 0.49858388
7280.0, 0.49852297
7290.0, 0.49846214
7300.0, 0.49840146
7310.0, 0.49834085
7320.0, 0.49828035
7330.0, 0.49822
7340.0, 0.49815974
7350.0, 0.49809957
7360.0, 0.49803948
7370.0, 0.49797952
7380.0, 0.49791968
7390.0, 0.49785995
7400.0, 0.4978003
7410.0, 0.49774078
7420.0, 0.49768135
7430.0, 0.497622
7440.0, 0.4975628
7450.0, 0.4975037
7460.0, 0.4974447
7470.0, 0.49738577
7480.0, 0.497327
7490.0, 0.4972683
7500.0, 0.4972097
7510.0, 0.49715123
7520.0, 0.49709284
7530.0, 0.49703455
7540.0, 0.4969764
7550.0, 0.49691832
7560.0, 0.49686036
7570.0, 0.49680248
7580.0, 0.4967447
7590.0, 0.49668705
7600.0, 0.49662948
7610.0, 0.49657205
7620.0, 0.49651468
7630.0, 0.49645743
7640.0, 0.49640027
7650.0, 0.49634323
7660.0, 0.49628627
7670.0, 0.49622944
7680.0, 0.49617267
7690.0, 0.49611604
7700.0, 0.4960595
7710.0, 0.49600306
7720.0, 0.4959467
7730.0, 0.49589047
7740.0, 0.49583432
7750.0, 0.4957783
7760.0, 0.49572232
7770.0, 0.4956665
7780.0, 0.49561074
7790.0, 0.4955551
7800.0, 0.49549955
7810.0, 0.49544412
7820.0, 0.49538878
7830.0, 0.49533352
7840.0, 0.4952784
7850.0, 0.4952233
7860.0, 0.49516836
7870.0, 0.49511352
7880.0, 0.49505875
7890.0, 0.4950041
7900.0, 0.49494952
7910.0, 0.49489504
