Energy (in eV), SEEP yield of material CERS-NASCAP at isotropic incidence
   X,       Y
90600.0, 3.3428829
90800.0, 3.3444905
91000.0, 3.3460925
91200.0, 3.3476884
91400.0, 3.3492787
91600.0, 3.3508623
91800.0, 3.3524404
92000.0, 3.3540127
92200.0, 3.355579
92400.0, 3.3571393
92600.0, 3.3586936
92800.0, 3.360242
93000.0, 3.3617845
93200.0, 3.3633218
93400.0, 3.3648527
93600.0, 3.3663778
93800.0, 3.3678975
94000.0, 3.3694117
94200.0, 3.37092
94400.0, 3.3724222
94600.0, 3.3739192
94800.0, 3.3754108
95000.0, 3.3768964
95200.0, 3.378377
95400.0, 3.3798516
95600.0, 3.3813202
95800.0, 3.382784
96000.0, 3.3842418
96200.0, 3.3856945
96400.0, 3.387142
96600.0, 3.3885834
96800.0, 3.39002
97000.0, 3.3914506
97200.0, 3.392876
97400.0, 3.3942964
97600.0, 3.3957114
97800.0, 3.397121
98000.0, 3.3985252
98200.0, 3.3999243
98400.0, 3.401318
98600.0, 3.402707
98800.0, 3.4040904
99000.0, 3.4054687
99200.0, 3.4068415
99400.0, 3.4082098
99600.0, 3.4095728
99800.0, 3.4109306
100000.0, 3.4122834
