Energy (in eV), SEEP yield of material ITOC-NASCAP at incidence 0.0 degree
19200.0, 1.8722714
19400.0, 1.8793545
19600.0, 1.8863673
19800.0, 1.8933121
20000.0, 1.9001888
20200.0, 1.9069989
20400.0, 1.9137434
20600.0, 1.9204233
20800.0, 1.9270393
21000.0, 1.9335923
21200.0, 1.9400836
21400.0, 1.9465135
21600.0, 1.9528835
21800.0, 1.959194
22000.0, 1.9654461
22200.0, 1.9716401
22400.0, 1.9777772
22600.0, 1.9838581
22800.0, 1.9898837
23000.0, 1.9958544
23200.0, 2.001771
23400.0, 2.0076344
23600.0, 2.0134451
23800.0, 2.0192041
24000.0, 2.0249116
24200.0, 2.0305684
24400.0, 2.0361755
24600.0, 2.041733
24800.0, 2.0472422
25000.0, 2.0527027
25200.0, 2.058116
25400.0, 2.0634825
25600.0, 2.068802
25800.0, 2.0740762
26000.0, 2.0793047
26200.0, 2.0844889
26400.0, 2.0896287
26600.0, 2.0947251
26800.0, 2.099778
27000.0, 2.104788
27200.0, 2.1097562
27400.0, 2.1146827
27600.0, 2.1195679
27800.0, 2.1244125
28000.0, 2.1292162
28200.0, 2.133981
28400.0, 2.138706
28600.0, 2.1433918
28800.0, 2.1480396
29000.0, 2.1526487
29200.0, 2.1572208
29400.0, 2.161755
29600.0, 2.1662526
29800.0, 2.170714
30000.0, 2.1751387
30200.0, 2.179528
30400.0, 2.1838822
30600.0, 2.1882014
30800.0, 2.1924858
31000.0, 2.196736
31200.0, 2.2009525
31400.0, 2.2051356
31600.0, 2.2092855
31800.0, 2.2134027
32000.0, 2.2174869
32200.0, 2.2215395
32400.0, 2.2255597
32600.0, 2.2295487
32800.0, 2.2335064
33000.0, 2.2374337
33200.0, 2.24133
33400.0, 2.245196
33600.0, 2.249032
33800.0, 2.2528386
34000.0, 2.2566154
34200.0, 2.2603633
34400.0, 2.2640827
34600.0, 2.2677732
34800.0, 2.2714353
35000.0, 2.2750697
35200.0, 2.2786763
35400.0, 2.2822552
35600.0, 2.2858071
35800.0, 2.2893322
36000.0, 2.2928305
36200.0, 2.2963018
36400.0, 2.2997475
36600.0, 2.303167
36800.0, 2.306561
37000.0, 2.3099291
37200.0, 2.313272
37400.0, 2.31659
37600.0, 2.3198833
37800.0, 2.3231518
38000.0, 2.3263962
38200.0, 2.329616
38400.0, 2.3328128
38600.0, 2.3359852
38800.0, 2.3391342
39000.0, 2.34226
39200.0, 2.3453624
39400.0, 2.3484423
39600.0, 2.351499
39800.0, 2.3545337
40000.0, 2.357546
40200.0, 2.3605359
40400.0, 2.3635044
40600.0, 2.3664508
40800.0, 2.369376
41000.0, 2.3722796
41200.0, 2.375162
41400.0, 2.3780234
41600.0, 2.3808641
41800.0, 2.3836842
42000.0, 2.3864837
42200.0, 2.389263
42400.0, 2.3920221
42600.0, 2.3947613
42800.0, 2.3974807
43000.0, 2.4001806
43200.0, 2.4028609
43400.0, 2.4055219
43600.0, 2.408164
43800.0, 2.4107866
44000.0, 2.4133906
44200.0, 2.415976
44400.0, 2.418543
44600.0, 2.4210916
44800.0, 2.4236217
45000.0, 2.4261339
45200.0, 2.428628
45400.0, 2.4311047
45600.0, 2.4335632
45800.0, 2.4360042
46000.0, 2.4384282
46200.0, 2.440835
46400.0, 2.4432244
46600.0, 2.445597
46800.0, 2.4479527
47000.0, 2.4502914
47200.0, 2.452614
47400.0, 2.45492
47600.0, 2.4572098
47800.0, 2.459483
48000.0, 2.4617405
48200.0, 2.4639819
48400.0, 2.4662077
48600.0, 2.4684174
48800.0, 2.470612
49000.0, 2.4727907
49200.0, 2.4749541
49400.0, 2.4771025
49600.0, 2.479236
49800.0, 2.481354
50000.0, 2.483457
50200.0, 2.4855456
50400.0, 2.4876196
50600.0, 2.4896786
50800.0, 2.4917233
51000.0, 2.4937541
51200.0, 2.4957702
51400.0, 2.4977725
51600.0, 2.4997604
51800.0, 2.5017345
52000.0, 2.503695
52200.0, 2.5056415
52400.0, 2.5075743
52600.0, 2.5094938
52800.0, 2.5113997
53000.0, 2.5132926
53200.0, 2.515172
53400.0, 2.517038
53600.0, 2.5188913
53800.0, 2.520732
54000.0, 2.5225596
54200.0, 2.524374
54400.0, 2.5261762
54600.0, 2.5279653
54800.0, 2.5297422
55000.0, 2.531507
55200.0, 2.5332592
55400.0, 2.534999
55600.0, 2.536727
55800.0, 2.5384429
56000.0, 2.5401464
56200.0, 2.5418384
56400.0, 2.5435185
56600.0, 2.5451868
56800.0, 2.5468435
57000.0, 2.5484886
57200.0, 2.550122
57400.0, 2.5517445
57600.0, 2.5533552
57800.0, 2.5549552
58000.0, 2.5565438
58200.0, 2.5581207
58400.0, 2.5596871
58600.0, 2.5612426
58800.0, 2.5627873
59000.0, 2.564321
59200.0, 2.565844
59400.0, 2.5673566
59600.0, 2.5688581
59800.0, 2.5703495
60000.0, 2.5718305
60200.0, 2.5733006
60400.0, 2.574761
60600.0, 2.576211
60800.0, 2.5776508
61000.0, 2.57908
61200.0, 2.5805
61400.0, 2.5819097
61600.0, 2.5833094
61800.0, 2.5846994
62000.0, 2.5860796
62200.0, 2.58745
62400.0, 2.588811
62600.0, 2.5901623
62800.0, 2.591504
63000.0, 2.5928364
63200.0, 2.5941594
63400.0, 2.5954726
63600.0, 2.5967772
63800.0, 2.5980723
64000.0, 2.599358
64200.0, 2.6006353
64400.0, 2.601903
64600.0, 2.6031623
64800.0, 2.6044118
65000.0, 2.6056533
65200.0, 2.6068857
65400.0, 2.6081088
65600.0, 2.6093242
65800.0, 2.6105301
66000.0, 2.611728
66200.0, 2.6129174
66400.0, 2.6140978
66600.0, 2.6152701
66800.0, 2.6164339
67000.0, 2.6175895
67200.0, 2.6187372
67400.0, 2.6198761
67600.0, 2.6210072
67800.0, 2.6221302
68000.0, 2.623245
68200.0, 2.624352
68400.0, 2.6254508
68600.0, 2.626542
68800.0, 2.627625
69000.0, 2.6287003
69200.0, 2.629768
69400.0, 2.630828
69600.0, 2.63188
69800.0, 2.6329248
70000.0, 2.6339617
70200.0, 2.6349912
70400.0, 2.6360135
70600.0, 2.6370282
70800.0, 2.6380355
71000.0, 2.6390355
71200.0, 2.6400282
71400.0, 2.6410134
71600.0, 2.6419916
71800.0, 2.642963
72000.0, 2.6439266
72200.0, 2.6448836
72400.0, 2.6458335
72600.0, 2.6467762
72800.0, 2.6477125
73000.0, 2.648641
73200.0, 2.6495636
73400.0, 2.6504786
73600.0, 2.6513875
73800.0, 2.6522894
74000.0, 2.6531842
74200.0, 2.6540725
74400.0, 2.6549547
74600.0, 2.65583
74800.0, 2.6566985
75000.0, 2.6575608
75200.0, 2.6584165
75400.0, 2.6592658
75600.0, 2.6601088
75800.0, 2.6609457
76000.0, 2.6617758
76200.0, 2.6626
76400.0, 2.6634176
76600.0, 2.6642292
76800.0, 2.6650348
77000.0, 2.6658342
77200.0, 2.6666276
77400.0, 2.6674147
77600.0, 2.6681957
77800.0, 2.668971
78000.0, 2.6697404
78200.0, 2.6705036
78400.0, 2.671261
78600.0, 2.6720126
78800.0, 2.6727586
79000.0, 2.6734986
79200.0, 2.6742327
79400.0, 2.6749616
79600.0, 2.675684
79800.0, 2.6764014
80000.0, 2.677113
80200.0, 2.677819
80400.0, 2.67852
80600.0, 2.679215
80800.0, 2.6799042
81000.0, 2.6805882
81200.0, 2.681267
81400.0, 2.6819403
81600.0, 2.6826081
81800.0, 2.6832707
82000.0, 2.6839278
82200.0, 2.6845796
82400.0, 2.6852264
82600.0, 2.6858683
82800.0, 2.6865044
83000.0, 2.6871357
83200.0, 2.6877618
83400.0, 2.6883829
83600.0, 2.688999
83800.0, 2.6896098
84000.0, 2.6902156
84200.0, 2.6908162
84400.0, 2.6914122
84600.0, 2.6920035
84800.0, 2.6925893
85000.0, 2.6931708
85200.0, 2.693747
85400.0, 2.6943188
85600.0, 2.694886
85800.0, 2.695448
86000.0, 2.696005
86200.0, 2.6965578
86400.0, 2.697106
86600.0, 2.697649
86800.0, 2.6981878
87000.0, 2.6987216
87200.0, 2.6992512
87400.0, 2.699776
87600.0, 2.7002966
87800.0, 2.7008126
88000.0, 2.701324
88200.0, 2.7018309
88400.0, 2.702333
88600.0, 2.7028313
88800.0, 2.7033253
89000.0, 2.703815
89200.0, 2.7042997
89400.0, 2.7047803
89600.0, 2.7052567
89800.0, 2.7057292
90000.0, 2.706197
90200.0, 2.7066607
90400.0, 2.7071204
90600.0, 2.7075758
90800.0, 2.708027
91000.0, 2.7084742
91200.0, 2.7089171
91400.0, 2.7093563
91600.0, 2.709791
91800.0, 2.7102218
92000.0, 2.7106488
92200.0, 2.7110717
92400.0, 2.7114902
92600.0, 2.7119052
92800.0, 2.712316
93000.0, 2.7127233
93200.0, 2.7131264
93400.0, 2.7135258
93600.0, 2.7139213
93800.0, 2.7143128
94000.0, 2.714701
94200.0, 2.7150848
94400.0, 2.7154648
94600.0, 2.7158418
94800.0, 2.7162144
95000.0, 2.7165835
95200.0, 2.7169492
95400.0, 2.717311
95600.0, 2.7176688
95800.0, 2.7180233
96000.0, 2.7183743
96200.0, 2.7187216
96400.0, 2.7190652
96600.0, 2.719406
96800.0, 2.7197423
97000.0, 2.7200758
97200.0, 2.7204053
97400.0, 2.7207313
97600.0, 2.721054
97800.0, 2.7213733
98000.0, 2.7216895
98200.0, 2.7220016
98400.0, 2.7223108
98600.0, 2.722617
98800.0, 2.722919
99000.0, 2.723218
99200.0, 2.7235134
99400.0, 2.723806
99600.0, 2.7240953
99800.0, 2.7243812
100000.0, 2.7246637
