Energy (in eV), SEEE yield of material al2k-NASCAP at isotropic incidence
   X,       Y
6320.0, 0.3948021
6330.0, 0.39436257
6340.0, 0.3939241
6350.0, 0.39348677
6360.0, 0.39305052
6370.0, 0.3926154
6380.0, 0.39218143
6390.0, 0.39174852
6400.0, 0.3913167
6410.0, 0.390886
6420.0, 0.39045644
6430.0, 0.3900279
6440.0, 0.38960052
6450.0, 0.3891741
6460.0, 0.3887488
6470.0, 0.38832465
6480.0, 0.3879015
6490.0, 0.38747942
6500.0, 0.3870584
6510.0, 0.38663846
6520.0, 0.38621944
6530.0, 0.38580164
6540.0, 0.38538483
6550.0, 0.38496903
6560.0, 0.38455433
6570.0, 0.38414055
6580.0, 0.3837279
6590.0, 0.38331622
6600.0, 0.38290554
6610.0, 0.38249588
6620.0, 0.38208726
6630.0, 0.38167968
6640.0, 0.3812731
6650.0, 0.38086745
6660.0, 0.38046286
6670.0, 0.3800592
6680.0, 0.37965652
6690.0, 0.3792549
6700.0, 0.3788542
6710.0, 0.37845448
6720.0, 0.37805575
6730.0, 0.377658
6740.0, 0.3772612
6750.0, 0.37686533
6760.0, 0.37647048
6770.0, 0.37607652
6780.0, 0.37568355
6790.0, 0.3752915
6800.0, 0.37490046
6810.0, 0.3745103
6820.0, 0.37412107
6830.0, 0.37373284
6840.0, 0.37334543
6850.0, 0.372959
6860.0, 0.37257355
6870.0, 0.37218893
6880.0, 0.3718053
6890.0, 0.37142253
6900.0, 0.3710407
6910.0, 0.3706598
6920.0, 0.3702797
6930.0, 0.36990058
6940.0, 0.36952236
6950.0, 0.369145
6960.0, 0.36876854
6970.0, 0.36839294
6980.0, 0.36801827
6990.0, 0.36764443
7000.0, 0.36727148
7010.0, 0.36689946
7020.0, 0.36652827
7030.0, 0.3661579
7040.0, 0.36578846
7050.0, 0.36541986
7060.0, 0.3650521
7070.0, 0.36468518
7080.0, 0.36431915
7090.0, 0.36395398
7100.0, 0.36358958
7110.0, 0.3632261
7120.0, 0.36286342
7130.0, 0.3625016
7140.0, 0.36214057
7150.0, 0.3617804
7160.0, 0.36142108
7170.0, 0.36106256
7180.0, 0.36070484
7190.0, 0.3603479
7200.0, 0.35999188
7210.0, 0.35963663
7220.0, 0.3592822
7230.0, 0.35892853
7240.0, 0.3585757
7250.0, 0.35822362
7260.0, 0.35787237
7270.0, 0.35752192
7280.0, 0.35717225
7290.0, 0.3568234
7300.0, 0.3564753
7310.0, 0.356128
7320.0, 0.35578144
7330.0, 0.35543582
7340.0, 0.35509077
7350.0, 0.3547466
7360.0, 0.35440317
7370.0, 0.3540605
7380.0, 0.35371864
7390.0, 0.3533775
7400.0, 0.35303715
7410.0, 0.35269752
7420.0, 0.3523586
7430.0, 0.35202053
7440.0, 0.3516832
7450.0, 0.3513466
7460.0, 0.35101074
7470.0, 0.35067558
7480.0, 0.3503412
7490.0, 0.35000753
7500.0, 0.3496746
7510.0, 0.34934238
7520.0, 0.34901094
7530.0, 0.3486802
7540.0, 0.3483502
7550.0, 0.34802094
7560.0, 0.34769237
7570.0, 0.3473645
7580.0, 0.34703735
7590.0, 0.34671086
7600.0, 0.34638518
7610.0, 0.34606016
7620.0, 0.34573582
7630.0, 0.3454122
7640.0, 0.34508932
7650.0, 0.34476706
7660.0, 0.34444562
7670.0, 0.34412476
7680.0, 0.34380463
7690.0, 0.34348515
7700.0, 0.34316638
7710.0, 0.3428483
7720.0, 0.3425309
7730.0, 0.34221414
7740.0, 0.3418981
7750.0, 0.34158272
7760.0, 0.34126803
7770.0, 0.340954
7780.0, 0.34064063
7790.0, 0.34032795
7800.0, 0.34001586
7810.0, 0.33970454
7820.0, 0.33939376
7830.0, 0.33908373
7840.0, 0.3387743
7850.0, 0.33846554
7860.0, 0.33815742
7870.0, 0.33784992
7880.0, 0.3375432
7890.0, 0.33723697
7900.0, 0.33693144
7910.0, 0.33662656
7920.0, 0.33632225
7930.0, 0.33601868
7940.0, 0.33571565
7950.0, 0.3354133
7960.0, 0.33511156
7970.0, 0.33481047
7980.0, 0.33450997
7990.0, 0.3342102
8000.0, 0.33391094
8010.0, 0.33361232
8020.0, 0.3333143
8030.0, 0.33301693
8040.0, 0.3327201
8050.0, 0.33242396
8060.0, 0.33212838
8070.0, 0.33183345
8080.0, 0.33153912
8090.0, 0.33124536
8100.0, 0.33095223
8110.0, 0.33065975
8120.0, 0.33036777
8130.0, 0.3300764
8140.0, 0.32978567
8150.0, 0.32949552
8160.0, 0.32920593
8170.0, 0.32891694
8180.0, 0.32862854
8190.0, 0.32834068
8200.0, 0.32805344
8210.0, 0.32776687
8220.0, 0.32748073
8230.0, 0.32719526
8240.0, 0.32691038
8250.0, 0.32662597
8260.0, 0.3263422
8270.0, 0.326059
8280.0, 0.32577637
8290.0, 0.32549423
8300.0, 0.32521275
8310.0, 0.32493177
8320.0, 0.32465142
8330.0, 0.32437155
8340.0, 0.32409233
8350.0, 0.32381362
8360.0, 0.3235354
8370.0, 0.3232578
8380.0, 0.32298073
8390.0, 0.3227042
8400.0, 0.32242826
8410.0, 0.32215282
8420.0, 0.32187796
8430.0, 0.3216036
8440.0, 0.32132986
8450.0, 0.32105657
8460.0, 0.3207838
8470.0, 0.32051164
8480.0, 0.32024002
8490.0, 0.31996888
8500.0, 0.3196982
8510.0, 0.31942818
8520.0, 0.31915864
8530.0, 0.31888965
8540.0, 0.3186212
8550.0, 0.31835318
8560.0, 0.31808573
8570.0, 0.31781885
8580.0, 0.3175524
8590.0, 0.3172865
8600.0, 0.3170211
8610.0, 0.31675625
8620.0, 0.3164919
8630.0, 0.31622803
8640.0, 0.3159647
8650.0, 0.31570193
8660.0, 0.31543955
8670.0, 0.31517774
8680.0, 0.3149164
8690.0, 0.3146556
8700.0, 0.31439522
