Energy (in eV), SEEE yield of material ITOC-TabulatedSEEE at incidence 0.0 degree
1050.0, 1.7272514
1060.0, 1.7199147
1070.0, 1.7126577
1080.0, 1.70548
1090.0, 1.6983796
1100.0, 1.6913557
1110.0, 1.6844066
1120.0, 1.6775312
1130.0, 1.6707284
1140.0, 1.6639969
1150.0, 1.6573359
1160.0, 1.6507435
1170.0, 1.644219
1180.0, 1.6377614
1190.0, 1.6313695
1200.0, 1.6250422
1210.0, 1.6187786
1220.0, 1.6125778
1230.0, 1.6064384
1240.0, 1.6003602
1250.0, 1.5943413
1260.0, 1.5883813
1270.0, 1.5824792
1280.0, 1.5766346
1290.0, 1.5708458
1300.0, 1.5651122
1310.0, 1.5594333
1320.0, 1.5538082
1330.0, 1.5482357
1340.0, 1.5427155
1350.0, 1.5372466
1360.0, 1.531828
1370.0, 1.5264596
1380.0, 1.5211401
1390.0, 1.515869
1400.0, 1.5106456
1410.0, 1.5054693
1420.0, 1.5003394
1430.0, 1.4952551
1440.0, 1.4902157
1450.0, 1.4852208
1460.0, 1.4802696
1470.0, 1.4753617
1480.0, 1.4704964
1490.0, 1.465673
1500.0, 1.460891
1510.0, 1.4561499
1520.0, 1.4514493
1530.0, 1.4467882
1540.0, 1.4421663
1550.0, 1.4375832
1560.0, 1.4330384
1570.0, 1.428531
1580.0, 1.4240608
1590.0, 1.4196274
1600.0, 1.4152302
1610.0, 1.4108686
1620.0, 1.4065423
1630.0, 1.402251
1640.0, 1.397994
1650.0, 1.3937708
1660.0, 1.3895812
1670.0, 1.3854246
1680.0, 1.3813008
1690.0, 1.3772091
1700.0, 1.3731493
1710.0, 1.3691208
1720.0, 1.3651235
1730.0, 1.3611568
1740.0, 1.3572208
1750.0, 1.3533142
1760.0, 1.3494375
1770.0, 1.3455898
1780.0, 1.341771
1790.0, 1.3379806
1800.0, 1.3342186
1810.0, 1.3304845
1820.0, 1.3267776
1830.0, 1.323098
1840.0, 1.3194453
1850.0, 1.3158191
1860.0, 1.3122193
1870.0, 1.3086452
1880.0, 1.3050969
1890.0, 1.3015739
1900.0, 1.2980759
1910.0, 1.2946028
1920.0, 1.291154
1930.0, 1.2877295
1940.0, 1.2843289
1950.0, 1.280952
1960.0, 1.2775985
1970.0, 1.274268
1980.0, 1.2709607
1990.0, 1.2676758
2000.0, 1.2644134
2010.0, 1.2611731
2020.0, 1.2579546
2030.0, 1.2547579
2040.0, 1.2515825
2050.0, 1.2484285
2060.0, 1.2452952
2070.0, 1.2421829
2080.0, 1.2390909
2090.0, 1.2360194
2100.0, 1.2329679
2110.0, 1.2299362
2120.0, 1.2269244
2130.0, 1.2239318
2140.0, 1.2209586
2150.0, 1.2180045
2160.0, 1.2150693
2170.0, 1.2121526
2180.0, 1.2092546
2190.0, 1.2063748
2200.0, 1.203513
2210.0, 1.2006693
2220.0, 1.1978433
2230.0, 1.195035
2240.0, 1.1922438
2250.0, 1.1894699
2260.0, 1.1867133
2270.0, 1.1839734
2280.0, 1.1812502
2290.0, 1.1785437
2300.0, 1.1758535
2310.0, 1.1731794
2320.0, 1.1705215
2330.0, 1.1678795
2340.0, 1.1652533
2350.0, 1.1626426
2360.0, 1.1600474
2370.0, 1.1574675
2380.0, 1.1549029
2390.0, 1.1523532
2400.0, 1.1498184
2410.0, 1.1472985
2420.0, 1.1447929
2430.0, 1.1423019
2440.0, 1.1398253
2450.0, 1.1373631
2460.0, 1.1349146
2470.0, 1.1324801
2480.0, 1.1300597
2490.0, 1.1276529
2500.0, 1.1252593
2510.0, 1.1228796
2520.0, 1.120513
2530.0, 1.1181597
2540.0, 1.1158193
2550.0, 1.113492
2560.0, 1.1111776
2570.0, 1.1088758
2580.0, 1.1065866
2590.0, 1.10431
2600.0, 1.1020457
2610.0, 1.0997937
2620.0, 1.097554
2630.0, 1.0953263
2640.0, 1.0931106
2650.0, 1.0909066
2660.0, 1.0887147
2670.0, 1.0865341
2680.0, 1.0843654
2690.0, 1.0822079
2700.0, 1.0800619
2710.0, 1.0779271
2720.0, 1.0758035
2730.0, 1.0736911
2740.0, 1.0715896
2750.0, 1.0694989
2760.0, 1.067419
2770.0, 1.0653499
2780.0, 1.0632914
2790.0, 1.0612435
2800.0, 1.059206
2810.0, 1.0571789
2820.0, 1.055162
2830.0, 1.0531554
2840.0, 1.0511589
2850.0, 1.0491722
2860.0, 1.0471957
2870.0, 1.0452288
2880.0, 1.043272
2890.0, 1.0413247
2900.0, 1.0393871
2910.0, 1.0374591
2920.0, 1.0355406
2930.0, 1.0336314
2940.0, 1.0317317
2950.0, 1.0298411
2960.0, 1.0279596
2970.0, 1.0260873
2980.0, 1.024224
2990.0, 1.02237
3000.0, 1.0205245
