Energy (in eV), backscattering yield of material ITOC-TabulatedSEEE at incidence 40.0 degree
   X,       Y
4430.0, 0.3586895
4440.0, 0.35860318
4450.0, 0.35851702
4460.0, 0.35843104
4470.0, 0.35834524
4480.0, 0.35825956
4490.0, 0.3581741
4500.0, 0.3580888
4510.0, 0.35800362
4520.0, 0.35791865
4530.0, 0.3578338
4540.0, 0.35774913
4550.0, 0.35766461
4560.0, 0.3575803
4570.0, 0.3574961
4580.0, 0.3574121
4590.0, 0.35732824
4600.0, 0.35724455
4610.0, 0.35716102
4620.0, 0.35707766
4630.0, 0.35699445
4640.0, 0.3569114
4650.0, 0.3568285
4660.0, 0.3567458
4670.0, 0.35666323
4680.0, 0.3565808
4690.0, 0.35649857
4700.0, 0.35641646
4710.0, 0.35633454
4720.0, 0.35625276
4730.0, 0.35617113
4740.0, 0.35608968
4750.0, 0.35600838
4760.0, 0.35592723
4770.0, 0.35584623
4780.0, 0.3557654
4790.0, 0.35568473
4800.0, 0.3556042
4810.0, 0.35552385
4820.0, 0.35544363
4830.0, 0.35536355
4840.0, 0.35528365
4850.0, 0.35520393
4860.0, 0.3551243
4870.0, 0.35504487
4880.0, 0.3549656
4890.0, 0.35488644
4900.0, 0.35480747
4910.0, 0.35472864
4920.0, 0.35464996
4930.0, 0.35457143
4940.0, 0.35449305
4950.0, 0.35441485
4960.0, 0.35433677
4970.0, 0.35425884
4980.0, 0.35418105
4990.0, 0.35410345
5000.0, 0.354026
5010.0, 0.35394865
5020.0, 0.3538715
5030.0, 0.3537945
5040.0, 0.3537176
5050.0, 0.35364085
5060.0, 0.35356426
5070.0, 0.35348788
5080.0, 0.35341159
5090.0, 0.35333544
5100.0, 0.35325944
5110.0, 0.35318363
5120.0, 0.35310793
5130.0, 0.35303238
5140.0, 0.35295698
5150.0, 0.35288173
5160.0, 0.3528066
5170.0, 0.35273165
5180.0, 0.35265684
5190.0, 0.35258216
5200.0, 0.35250762
5210.0, 0.35243323
5220.0, 0.352359
5230.0, 0.3522849
5240.0, 0.35221094
5250.0, 0.35213712
5260.0, 0.35206345
5270.0, 0.35198992
5280.0, 0.35191652
5290.0, 0.35184327
5300.0, 0.3517702
5310.0, 0.35169724
5320.0, 0.3516244
5330.0, 0.35155174
5340.0, 0.3514792
5350.0, 0.3514068
5360.0, 0.35133454
5370.0, 0.35126242
5380.0, 0.35119045
5390.0, 0.3511186
5400.0, 0.35104692
5410.0, 0.35097533
5420.0, 0.35090393
5430.0, 0.35083264
5440.0, 0.3507615
5450.0, 0.3506905
5460.0, 0.3506196
5470.0, 0.3505489
5480.0, 0.3504783
5490.0, 0.3504078
5500.0, 0.3503375
5510.0, 0.35026732
5520.0, 0.35019726
5530.0, 0.35012737
5540.0, 0.35005757
5550.0, 0.34998795
5560.0, 0.34991843
5570.0, 0.34984905
5580.0, 0.3497798
5590.0, 0.34971067
5600.0, 0.34964174
5610.0, 0.34957287
5620.0, 0.34950417
5630.0, 0.3494356
5640.0, 0.34936717
5650.0, 0.34929886
5660.0, 0.34923068
5670.0, 0.34916264
5680.0, 0.34909475
5690.0, 0.34902695
5700.0, 0.34895933
5710.0, 0.3488918
5720.0, 0.3488244
5730.0, 0.34875715
5740.0, 0.34869003
5750.0, 0.34862304
5760.0, 0.34855616
5770.0, 0.34848946
5780.0, 0.34842283
5790.0, 0.34835634
5800.0, 0.34829
5810.0, 0.3482238
5820.0, 0.3481577
5830.0, 0.34809175
5840.0, 0.34802592
5850.0, 0.3479602
5860.0, 0.3478946
5870.0, 0.34782916
5880.0, 0.34776384
5890.0, 0.34769866
5900.0, 0.3476336
5910.0, 0.34756863
5920.0, 0.34750384
5930.0, 0.34743914
5940.0, 0.34737456
5950.0, 0.3473101
5960.0, 0.3472458
5970.0, 0.3471816
5980.0, 0.34711754
5990.0, 0.34705362
6000.0, 0.34698978
6010.0, 0.3469261
6020.0, 0.34686252
6030.0, 0.34679908
6040.0, 0.34673575
6050.0, 0.34667253
6060.0, 0.34660947
6070.0, 0.34654653
6080.0, 0.3464837
6090.0, 0.34642094
6100.0, 0.3463584
6110.0, 0.34629592
6120.0, 0.34623358
6130.0, 0.34617135
6140.0, 0.34610924
6150.0, 0.34604725
6160.0, 0.3459854
6170.0, 0.34592366
6180.0, 0.34586203
6190.0, 0.34580052
6200.0, 0.34573916
6210.0, 0.34567788
6220.0, 0.34561673
6230.0, 0.34555572
6240.0, 0.3454948
6250.0, 0.345434
6260.0, 0.34537333
6270.0, 0.34531277
6280.0, 0.34525236
6290.0, 0.34519202
6300.0, 0.3451318
6310.0, 0.34507176
6320.0, 0.34501177
6330.0, 0.34495193
6340.0, 0.3448922
6350.0, 0.34483257
6360.0, 0.34477308
6370.0, 0.3447137
6380.0, 0.34465444
6390.0, 0.34459528
6400.0, 0.34453624
6410.0, 0.3444773
6420.0, 0.3444185
6430.0, 0.3443598
6440.0, 0.34430122
6450.0, 0.34424275
6460.0, 0.3441844
6470.0, 0.34412616
6480.0, 0.34406805
6490.0, 0.34401003
6500.0, 0.34395212
6510.0, 0.34389433
6520.0, 0.34383667
6530.0, 0.34377912
6540.0, 0.34372163
6550.0, 0.34366432
6560.0, 0.34360707
6570.0, 0.34354997
6580.0, 0.34349295
6590.0, 0.34343606
6600.0, 0.3433793
6610.0, 0.3433226
6620.0, 0.34326604
6630.0, 0.3432096
6640.0, 0.34315327
6650.0, 0.34309703
6660.0, 0.3430409
6670.0, 0.34298488
6680.0, 0.34292898
6690.0, 0.3428732
6700.0, 0.34281752
6710.0, 0.34276193
6720.0, 0.34270644
6730.0, 0.3426511
6740.0, 0.34259585
6750.0, 0.34254068
6760.0, 0.34248567
6770.0, 0.3424307
6780.0, 0.3423759
6790.0, 0.3423212
6800.0, 0.3422666
6810.0, 0.34221208
6820.0, 0.3421577
6830.0, 0.3421034
6840.0, 0.34204918
6850.0, 0.34199512
6860.0, 0.34194115
6870.0, 0.34188727
6880.0, 0.3418335
6890.0, 0.34177983
6900.0, 0.34172627
6910.0, 0.34167284
6920.0, 0.3416195
6930.0, 0.34156626
6940.0, 0.34151313
6950.0, 0.34146008
6960.0, 0.34140715
6970.0, 0.3413543
6980.0, 0.3413016
6990.0, 0.341249
7000.0, 0.34119645
7010.0, 0.34114403
7020.0, 0.34109172
7030.0, 0.3410395
7040.0, 0.34098738
7050.0, 0.34093538
7060.0, 0.3408835
7070.0, 0.3408317
7080.0, 0.34077996
7090.0, 0.34072837
7100.0, 0.34067687
7110.0, 0.34062546
7120.0, 0.34057415
7130.0, 0.34052294
7140.0, 0.34047186
7150.0, 0.34042084
7160.0, 0.34036994
7170.0, 0.34031913
7180.0, 0.34026843
7190.0, 0.34021783
7200.0, 0.34016734
7210.0, 0.34011692
7220.0, 0.3400666
7230.0, 0.3400164
7240.0, 0.33996627
7250.0, 0.33991626
7260.0, 0.33986637
7270.0, 0.33981654
7280.0, 0.3397668
7290.0, 0.33971718
7300.0, 0.33966765
7310.0, 0.33961824
7320.0, 0.33956888
7330.0, 0.33951965
7340.0, 0.3394705
7350.0, 0.33942145
7360.0, 0.33937252
7370.0, 0.33932364
7380.0, 0.33927488
7390.0, 0.33922622
7400.0, 0.33917767
7410.0, 0.33912918
7420.0, 0.3390808
7430.0, 0.33903253
7440.0, 0.33898434
7450.0, 0.33893624
7460.0, 0.33888823
7470.0, 0.3388403
7480.0, 0.3387925
7490.0, 0.3387448
7500.0, 0.33869717
7510.0, 0.33864963
7520.0, 0.3386022
7530.0, 0.33855483
7540.0, 0.33850756
7550.0, 0.33846042
7560.0, 0.33841333
7570.0, 0.33836636
7580.0, 0.33831948
7590.0, 0.33827266
7600.0, 0.33822596
7610.0, 0.33817935
7620.0, 0.33813283
7630.0, 0.3380864
7640.0, 0.33804005
7650.0, 0.3379938
7660.0, 0.33794764
7670.0, 0.3379016
7680.0, 0.3378556
7690.0, 0.3378097
7700.0, 0.3377639
7710.0, 0.3377182
7720.0, 0.33767256
7730.0, 0.33762705
7740.0, 0.3375816
7750.0, 0.33753625
7760.0, 0.337491
7770.0, 0.3374458
7780.0, 0.33740073
7790.0, 0.33735573
7800.0, 0.33731082
7810.0, 0.337266
7820.0, 0.33722124
7830.0, 0.33717662
7840.0, 0.33713204
7850.0, 0.33708757
7860.0, 0.33704317
7870.0, 0.33699888
7880.0, 0.33695468
7890.0, 0.33691055
7900.0, 0.3368665
7910.0, 0.33682254
7920.0, 0.3367787
7930.0, 0.3367349
7940.0, 0.3366912
7950.0, 0.3366476
7960.0, 0.3366041
7970.0, 0.33656064
7980.0, 0.33651727
7990.0, 0.336474
8000.0, 0.33643082
8010.0, 0.33638772
8020.0, 0.33634472
8030.0, 0.33630177
8040.0, 0.33625895
8050.0, 0.33621615
8060.0, 0.33617347
8070.0, 0.3361309
8080.0, 0.3360884
8090.0, 0.33604595
8100.0, 0.3360036
8110.0, 0.33596134
8120.0, 0.33591917
8130.0, 0.33587706
8140.0, 0.33583507
8150.0, 0.3357931
8160.0, 0.33575127
8170.0, 0.3357095
8180.0, 0.33566782
8190.0, 0.3356262
8200.0, 0.33558467
8210.0, 0.33554325
8220.0, 0.33550188
8230.0, 0.3354606
8240.0, 0.33541942
8250.0, 0.3353783
8260.0, 0.33533725
8270.0, 0.3352963
8280.0, 0.3352554
8290.0, 0.3352146
8300.0, 0.3351739
8310.0, 0.33513328
8320.0, 0.33509272
8330.0, 0.33505222
8340.0, 0.33501184
8350.0, 0.33497152
8360.0, 0.33493128
8370.0, 0.3348911
8380.0, 0.33485103
8390.0, 0.33481103
8400.0, 0.33477113
8410.0, 0.33473128
8420.0, 0.3346915
8430.0, 0.3346518
8440.0, 0.3346122
8450.0, 0.33457267
8460.0, 0.3345332
8470.0, 0.33449382
8480.0, 0.3344545
8490.0, 0.3344153
8500.0, 0.33437616
8510.0, 0.3343371
8520.0, 0.33429807
8530.0, 0.33425915
8540.0, 0.33422032
8550.0, 0.33418155
8560.0, 0.33414286
8570.0, 0.33410427
8580.0, 0.3340657
8590.0, 0.33402726
8600.0, 0.33398888
8610.0, 0.33395055
8620.0, 0.3339123
8630.0, 0.33387417
8640.0, 0.33383608
8650.0, 0.33379805
8660.0, 0.33376014
8670.0, 0.33372226
8680.0, 0.33368447
8690.0, 0.33364677
8700.0, 0.33360913
8710.0, 0.33357155
8720.0, 0.33353406
8730.0, 0.33349666
8740.0, 0.3334593
8750.0, 0.33342203
8760.0, 0.33338484
8770.0, 0.3333477
8780.0, 0.33331063
8790.0, 0.33327368
8800.0, 0.33323675
8810.0, 0.33319992
8820.0, 0.33316317
8830.0, 0.3331265
8840.0, 0.33308986
8850.0, 0.33305332
8860.0, 0.33301684
8870.0, 0.33298042
8880.0, 0.33294412
8890.0, 0.33290786
8900.0, 0.33287168
8910.0, 0.33283556
8920.0, 0.3327995
8930.0, 0.33276352
8940.0, 0.3327276
8950.0, 0.3326918
8960.0, 0.33265603
8970.0, 0.33262032
8980.0, 0.3325847
8990.0, 0.33254915
9000.0, 0.33251366
9010.0, 0.33247826
9020.0, 0.3324429
9030.0, 0.33240765
9040.0, 0.33237243
9050.0, 0.3323373
9060.0, 0.3323022
9070.0, 0.33226722
9080.0, 0.3322323
9090.0, 0.33219746
9100.0, 0.33216265
9110.0, 0.33212793
9120.0, 0.33209327
9130.0, 0.33205867
9140.0, 0.33202416
9150.0, 0.3319897
9160.0, 0.33195534
9170.0, 0.331921
9180.0, 0.33188677
9190.0, 0.33185259
9200.0, 0.33181846
9210.0, 0.33178443
9220.0, 0.33175045
9230.0, 0.33171654
9240.0, 0.33168268
9250.0, 0.33164892
9260.0, 0.33161518
9270.0, 0.33158156
9280.0, 0.33154798
9290.0, 0.33151445
9300.0, 0.331481
9310.0, 0.3314476
9320.0, 0.33141428
9330.0, 0.33138105
9340.0, 0.33134785
9350.0, 0.33131474
9360.0, 0.3312817
9370.0, 0.3312487
9380.0, 0.33121577
9390.0, 0.3311829
9400.0, 0.3311501
9410.0, 0.33111736
9420.0, 0.3310847
9430.0, 0.33105212
9440.0, 0.33101958
9450.0, 0.3309871
9460.0, 0.33095467
9470.0, 0.33092234
9480.0, 0.33089006
9490.0, 0.33085784
9500.0, 0.33082566
9510.0, 0.3307936
9520.0, 0.33076155
9530.0, 0.33072957
9540.0, 0.3306977
9550.0, 0.33066583
9560.0, 0.33063406
9570.0, 0.33060235
9580.0, 0.3305707
9590.0, 0.3305391
9600.0, 0.33050758
9610.0, 0.3304761
9620.0, 0.3304447
9630.0, 0.33041337
9640.0, 0.33038208
9650.0, 0.33035085
9660.0, 0.3303197
9670.0, 0.3302886
9680.0, 0.33025756
9690.0, 0.3302266
9700.0, 0.33019567
9710.0, 0.33016482
9720.0, 0.33013403
9730.0, 0.3301033
9740.0, 0.33007264
9750.0, 0.33004203
9760.0, 0.33001146
9770.0, 0.32998097
9780.0, 0.32995054
9790.0, 0.32992017
9800.0, 0.32988986
9810.0, 0.3298596
9820.0, 0.32982942
9830.0, 0.3297993
9840.0, 0.32976922
9850.0, 0.3297392
9860.0, 0.32970926
9870.0, 0.32967934
9880.0, 0.32964954
9890.0, 0.32961974
9900.0, 0.32959002
9910.0, 0.32956037
9920.0, 0.32953078
9930.0, 0.32950124
9940.0, 0.32947174
9950.0, 0.32944232
9960.0, 0.32941294
9970.0, 0.32938364
9980.0, 0.32935438
9990.0, 0.32932517
10000.0, 0.32929605
10010.0, 0.32926697
10020.0, 0.32923794
10030.0, 0.32920897
10040.0, 0.32918006
10050.0, 0.3291512
10060.0, 0.32912242
10070.0, 0.3290937
10080.0, 0.329065
10090.0, 0.32903638
10100.0, 0.3290078
10110.0, 0.32897928
10120.0, 0.32895085
10130.0, 0.32892245
10140.0, 0.3288941
10150.0, 0.3288658
10160.0, 0.32883757
10170.0, 0.3288094
10180.0, 0.32878128
10190.0, 0.3287532
10200.0, 0.3287252
10210.0, 0.32869726
10220.0, 0.32866937
10230.0, 0.3286415
10240.0, 0.32861373
10250.0, 0.32858598
10260.0, 0.3285583
10270.0, 0.32853067
10280.0, 0.3285031
10290.0, 0.3284756
10300.0, 0.32844812
10310.0, 0.32842073
10320.0, 0.32839337
10330.0, 0.32836607
10340.0, 0.3283388
10350.0, 0.32831162
10360.0, 0.3282845
10370.0, 0.32825738
10380.0, 0.32823038
10390.0, 0.32820338
10400.0, 0.32817647
10410.0, 0.3281496
10420.0, 0.32812276
10430.0, 0.328096
10440.0, 0.3280693
10450.0, 0.32804263
10460.0, 0.328016
10470.0, 0.32798946
10480.0, 0.32796296
10490.0, 0.32793653
10500.0, 0.32791013
10510.0, 0.32788378
10520.0, 0.32785746
10530.0, 0.32783124
10540.0, 0.32780504
10550.0, 0.3277789
10560.0, 0.3277528
10570.0, 0.32772678
10580.0, 0.3277008
10590.0, 0.32767487
10600.0, 0.32764897
10610.0, 0.32762316
10620.0, 0.32759735
10630.0, 0.32757163
10640.0, 0.32754597
10650.0, 0.3275203
10660.0, 0.32749474
10670.0, 0.32746923
10680.0, 0.32744375
10690.0, 0.3274183
10700.0, 0.32739294
10710.0, 0.3273676
10720.0, 0.32734233
10730.0, 0.32731712
10740.0, 0.32729194
10750.0, 0.3272668
10760.0, 0.32724172
10770.0, 0.3272167
10780.0, 0.32719174
10790.0, 0.3271668
10800.0, 0.3271419
10810.0, 0.3271171
10820.0, 0.32709232
10830.0, 0.32706755
10840.0, 0.32704288
10850.0, 0.32701826
10860.0, 0.32699367
10870.0, 0.32696915
10880.0, 0.32694465
10890.0, 0.3269202
10900.0, 0.3268958
10910.0, 0.32687148
10920.0, 0.32684717
10930.0, 0.3268229
10940.0, 0.32679874
10950.0, 0.32677457
10960.0, 0.32675046
10970.0, 0.3267264
10980.0, 0.3267024
10990.0, 0.32667843
11000.0, 0.32665452
11010.0, 0.32663065
11020.0, 0.32660684
11030.0, 0.32658306
11040.0, 0.32655933
11050.0, 0.32653564
11060.0, 0.326512
11070.0, 0.32648844
11080.0, 0.3264649
11090.0, 0.3264414
11100.0, 0.32641795
11110.0, 0.32639456
11120.0, 0.3263712
11130.0, 0.3263479
11140.0, 0.32632464
11150.0, 0.32630143
11160.0, 0.32627827
11170.0, 0.32625514
11180.0, 0.32623205
11190.0, 0.326209
11200.0, 0.32618603
11210.0, 0.32616308
11220.0, 0.3261402
11230.0, 0.32611734
11240.0, 0.32609454
11250.0, 0.32607177
11260.0, 0.32604906
11270.0, 0.32602638
11280.0, 0.32600376
11290.0, 0.32598117
11300.0, 0.32595864
11310.0, 0.32593614
11320.0, 0.3259137
11330.0, 0.3258913
11340.0, 0.32586893
11350.0, 0.32584664
11360.0, 0.32582435
11370.0, 0.32580212
11380.0, 0.32577994
11390.0, 0.3257578
11400.0, 0.32573572
11410.0, 0.32571366
11420.0, 0.32569164
11430.0, 0.32566968
11440.0, 0.32564777
11450.0, 0.3256259
11460.0, 0.32560405
11470.0, 0.32558227
11480.0, 0.3255605
11490.0, 0.3255388
11500.0, 0.32551715
11510.0, 0.32549554
11520.0, 0.32547393
11530.0, 0.32545242
11540.0, 0.32543093
11550.0, 0.32540947
11560.0, 0.32538807
11570.0, 0.3253667
11580.0, 0.3253454
11590.0, 0.32532412
11600.0, 0.32530287
11610.0, 0.32528168
11620.0, 0.32526052
11630.0, 0.32523942
11640.0, 0.32521832
11650.0, 0.3251973
