Energy (in eV), backscattering yield of material ITOC-TabulatedSEEE at isotropic incidence
   X,       Y
4040.0, 0.43498796
4050.0, 0.43490228
4060.0, 0.4348167
4070.0, 0.43473136
4080.0, 0.43464616
4090.0, 0.43456107
4100.0, 0.4344763
4110.0, 0.43439153
4120.0, 0.434307
4130.0, 0.43422258
4140.0, 0.43413836
4150.0, 0.43405426
4160.0, 0.43397033
4170.0, 0.43388656
4180.0, 0.43380293
4190.0, 0.43371958
4200.0, 0.43363628
4210.0, 0.4335531
4220.0, 0.43347016
4230.0, 0.43338737
4240.0, 0.43330467
4250.0, 0.43322223
4260.0, 0.43313986
4270.0, 0.43305767
4280.0, 0.43297565
4290.0, 0.43289378
4300.0, 0.4328121
4310.0, 0.4327306
4320.0, 0.43264914
4330.0, 0.4325679
4340.0, 0.43248677
4350.0, 0.43240586
4360.0, 0.4323251
4370.0, 0.43224445
4380.0, 0.43216392
4390.0, 0.4320836
4400.0, 0.43200344
4410.0, 0.43192345
4420.0, 0.43184355
4430.0, 0.43176383
4440.0, 0.43168426
4450.0, 0.43160486
4460.0, 0.4315256
4470.0, 0.43144652
4480.0, 0.4313675
4490.0, 0.4312887
4500.0, 0.43121
4510.0, 0.43113157
4520.0, 0.4310532
4530.0, 0.43097496
4540.0, 0.43089688
4550.0, 0.43081895
4560.0, 0.4307412
4570.0, 0.43066362
4580.0, 0.43058616
4590.0, 0.43050876
4600.0, 0.43043163
4610.0, 0.4303546
4620.0, 0.43027765
4630.0, 0.43020096
4640.0, 0.43012434
4650.0, 0.43004793
4660.0, 0.4299716
4670.0, 0.42989543
4680.0, 0.42981946
4690.0, 0.42974356
4700.0, 0.42966786
4710.0, 0.4295923
4720.0, 0.42951685
4730.0, 0.42944157
4740.0, 0.4293664
4750.0, 0.4292915
4760.0, 0.4292166
4770.0, 0.42914185
4780.0, 0.42906728
4790.0, 0.4289929
4800.0, 0.42891863
4810.0, 0.42884445
4820.0, 0.42877042
4830.0, 0.42869654
4840.0, 0.4286228
4850.0, 0.4285493
4860.0, 0.42847577
4870.0, 0.42840248
4880.0, 0.42832938
4890.0, 0.42825636
4900.0, 0.42818344
4910.0, 0.42811072
4920.0, 0.42803815
4930.0, 0.4279656
4940.0, 0.4278933
4950.0, 0.42782113
4960.0, 0.42774907
4970.0, 0.42767715
4980.0, 0.42760536
4990.0, 0.42753372
5000.0, 0.42746225
5010.0, 0.4273909
5020.0, 0.42731965
5030.0, 0.42724857
5040.0, 0.4271776
5050.0, 0.4271068
5060.0, 0.42703605
5070.0, 0.42696553
5080.0, 0.4268951
5090.0, 0.4268248
5100.0, 0.42675474
5110.0, 0.4266847
5120.0, 0.4266148
5130.0, 0.42654502
5140.0, 0.42647544
5150.0, 0.42640597
5160.0, 0.42633662
5170.0, 0.42626742
5180.0, 0.42619833
5190.0, 0.42612943
5200.0, 0.42606056
5210.0, 0.42599192
5220.0, 0.42592335
5230.0, 0.42585492
5240.0, 0.4257866
5250.0, 0.4257185
5260.0, 0.4256504
5270.0, 0.42558253
5280.0, 0.4255148
5290.0, 0.42544714
5300.0, 0.4253796
5310.0, 0.4253122
5320.0, 0.425245
5330.0, 0.42517784
5340.0, 0.42511082
5350.0, 0.42504397
5360.0, 0.4249772
5370.0, 0.42491063
5380.0, 0.42484415
5390.0, 0.4247778
5400.0, 0.42471156
5410.0, 0.42464545
5420.0, 0.4245795
5430.0, 0.42451364
5440.0, 0.4244479
5450.0, 0.42438236
5460.0, 0.42431685
5470.0, 0.42425156
5480.0, 0.4241863
5490.0, 0.42412114
5500.0, 0.42405617
5510.0, 0.42399138
5520.0, 0.42392665
5530.0, 0.42386207
5540.0, 0.42379755
5550.0, 0.42373326
5560.0, 0.423669
5570.0, 0.42360488
5580.0, 0.42354092
5590.0, 0.42347705
5600.0, 0.42341334
5610.0, 0.4233497
5620.0, 0.42328623
5630.0, 0.4232229
5640.0, 0.4231596
5650.0, 0.42309654
5660.0, 0.42303345
5670.0, 0.42297062
5680.0, 0.4229079
5690.0, 0.4228452
5700.0, 0.4227827
5710.0, 0.4227203
5720.0, 0.42265803
5730.0, 0.42259583
5740.0, 0.42253384
5750.0, 0.42247188
5760.0, 0.42241004
5770.0, 0.42234844
5780.0, 0.4222868
5790.0, 0.4222254
5800.0, 0.42216402
5810.0, 0.42210287
5820.0, 0.4220417
5830.0, 0.42198077
5840.0, 0.42191994
5850.0, 0.42185917
5860.0, 0.4217985
5870.0, 0.421738
5880.0, 0.42167762
5890.0, 0.42161736
5900.0, 0.4215572
5910.0, 0.42149717
5920.0, 0.42143723
5930.0, 0.4213774
5940.0, 0.4213177
5950.0, 0.4212581
5960.0, 0.4211986
5970.0, 0.42113924
5980.0, 0.42108005
5990.0, 0.42102095
6000.0, 0.42096192
6010.0, 0.420903
6020.0, 0.4208442
6030.0, 0.42078555
6040.0, 0.42072695
6050.0, 0.42066854
6060.0, 0.4206102
6070.0, 0.42055193
6080.0, 0.42049387
6090.0, 0.42043585
6100.0, 0.420378
6110.0, 0.42032018
6120.0, 0.42026252
6130.0, 0.42020494
6140.0, 0.42014754
6150.0, 0.4200902
6160.0, 0.420033
6170.0, 0.41997588
6180.0, 0.4199189
6190.0, 0.41986197
6200.0, 0.41980517
6210.0, 0.41974849
6220.0, 0.41969198
6230.0, 0.41963553
6240.0, 0.41957918
6250.0, 0.4195229
6260.0, 0.41946673
6270.0, 0.41941077
6280.0, 0.4193549
6290.0, 0.419299
6300.0, 0.41924334
6310.0, 0.41918775
6320.0, 0.4191323
6330.0, 0.41907692
6340.0, 0.41902164
6350.0, 0.41896644
6360.0, 0.41891143
6370.0, 0.41885644
6380.0, 0.41880158
6390.0, 0.41874686
6400.0, 0.41869223
6410.0, 0.4186377
6420.0, 0.41858327
6430.0, 0.41852897
6440.0, 0.41847476
6450.0, 0.41842067
6460.0, 0.4183666
6470.0, 0.41831273
6480.0, 0.41825894
6490.0, 0.4182053
6500.0, 0.41815168
6510.0, 0.41809815
6520.0, 0.4180448
6530.0, 0.41799155
6540.0, 0.41793835
6550.0, 0.41788524
6560.0, 0.41783231
6570.0, 0.41777948
6580.0, 0.41772664
6590.0, 0.41767403
