Energy (in eV), backscattering yield of material sc2k-NASCAP at incidence 50.000004 degree
   X,       Y
6490.0, 0.27557138
6500.0, 0.2754996
6510.0, 0.27542794
6520.0, 0.27535644
6530.0, 0.27528504
6540.0, 0.27521378
6550.0, 0.27514267
6560.0, 0.27507165
6570.0, 0.27500078
6580.0, 0.27493006
6590.0, 0.27485946
6600.0, 0.27478898
6610.0, 0.27471867
6620.0, 0.27464846
6630.0, 0.27457836
6640.0, 0.27450845
6650.0, 0.27443862
6660.0, 0.2743689
6670.0, 0.27429935
6680.0, 0.27422994
6690.0, 0.27416062
6700.0, 0.27409145
6710.0, 0.27402243
6720.0, 0.2739535
6730.0, 0.27388474
6740.0, 0.27381608
6750.0, 0.27374753
6760.0, 0.27367914
6770.0, 0.27361086
6780.0, 0.27354273
6790.0, 0.2734747
6800.0, 0.2734068
6810.0, 0.27333903
6820.0, 0.27327138
6830.0, 0.27320388
6840.0, 0.2731365
6850.0, 0.2730692
6860.0, 0.2730021
6870.0, 0.27293506
6880.0, 0.27286816
6890.0, 0.2728014
6900.0, 0.27273476
6910.0, 0.27266824
6920.0, 0.27260184
6930.0, 0.27253556
6940.0, 0.27246943
6950.0, 0.27240342
6960.0, 0.2723375
6970.0, 0.27227172
6980.0, 0.27220607
6990.0, 0.27214053
7000.0, 0.27207512
7010.0, 0.27200985
7020.0, 0.27194467
7030.0, 0.2718796
7040.0, 0.2718147
7050.0, 0.2717499
7060.0, 0.2716852
7070.0, 0.27162066
7080.0, 0.27155623
7090.0, 0.27149191
7100.0, 0.2714277
7110.0, 0.27136362
7120.0, 0.27129966
7130.0, 0.27123582
7140.0, 0.27117208
7150.0, 0.27110848
7160.0, 0.271045
7170.0, 0.27098164
7180.0, 0.2709184
7190.0, 0.27085525
7200.0, 0.27079225
7210.0, 0.27072936
7220.0, 0.2706666
7230.0, 0.27060392
7240.0, 0.27054137
7250.0, 0.27047896
7260.0, 0.27041665
7270.0, 0.27035445
7280.0, 0.2702924
7290.0, 0.2702304
7300.0, 0.27016857
7310.0, 0.27010685
7320.0, 0.27004522
7330.0, 0.26998374
7340.0, 0.26992238
7350.0, 0.2698611
7360.0, 0.26979995
7370.0, 0.2697389
7380.0, 0.269678
7390.0, 0.26961717
7400.0, 0.26955646
7410.0, 0.2694959
7420.0, 0.26943544
7430.0, 0.2693751
7440.0, 0.26931486
7450.0, 0.2692547
7460.0, 0.2691947
7470.0, 0.2691348
7480.0, 0.269075
7490.0, 0.26901534
7500.0, 0.26895577
7510.0, 0.2688963
7520.0, 0.26883695
7530.0, 0.26877773
7540.0, 0.26871863
7550.0, 0.2686596
7560.0, 0.2686007
7570.0, 0.2685419
7580.0, 0.26848322
7590.0, 0.26842466
7600.0, 0.2683662
7610.0, 0.26830786
7620.0, 0.2682496
7630.0, 0.2681915
7640.0, 0.26813346
7650.0, 0.26807556
7660.0, 0.26801777
7670.0, 0.26796004
7680.0, 0.26790246
7690.0, 0.26784497
7700.0, 0.26778764
7710.0, 0.26773039
7720.0, 0.26767322
7730.0, 0.26761615
7740.0, 0.2675592
7750.0, 0.2675024
7760.0, 0.26744565
7770.0, 0.26738906
7780.0, 0.26733252
7790.0, 0.2672761
7800.0, 0.2672198
7810.0, 0.26716363
7820.0, 0.26710755
7830.0, 0.26705155
7840.0, 0.2669957
7850.0, 0.2669399
7860.0, 0.26688424
7870.0, 0.2668287
7880.0, 0.26677322
7890.0, 0.26671788
7900.0, 0.2666626
7910.0, 0.26660746
7920.0, 0.26655242
7930.0, 0.2664975
7940.0, 0.26644266
7950.0, 0.2663879
7960.0, 0.26633328
7970.0, 0.26627877
7980.0, 0.26622435
7990.0, 0.26617002
8000.0, 0.2661158
8010.0, 0.2660617
8020.0, 0.2660077
8030.0, 0.26595378
8040.0, 0.26589996
8050.0, 0.26584625
8060.0, 0.26579267
8070.0, 0.26573914
8080.0, 0.26568574
8090.0, 0.26563242
8100.0, 0.26557922
8110.0, 0.26552612
8120.0, 0.26547313
8130.0, 0.26542023
8140.0, 0.26536742
8150.0, 0.26531473
8160.0, 0.26526213
8170.0, 0.26520962
8180.0, 0.2651572
8190.0, 0.2651049
8200.0, 0.2650527
8210.0, 0.26500058
