Energy (in eV), backscattering yield of material bk2k-NASCAP at incidence 70.0 degree
   X,       Y
4570.0, 0.4475025
4580.0, 0.44737378
4590.0, 0.44724524
4600.0, 0.4471169
4610.0, 0.44698876
4620.0, 0.4468608
4630.0, 0.446733
4640.0, 0.4466054
4650.0, 0.44647798
4660.0, 0.44635075
4670.0, 0.4462237
4680.0, 0.44609684
4690.0, 0.44597018
4700.0, 0.4458437
4710.0, 0.44571736
4720.0, 0.44559124
4730.0, 0.4454653
4740.0, 0.44533956
4750.0, 0.44521397
4760.0, 0.4450886
4770.0, 0.44496337
4780.0, 0.44483835
4790.0, 0.4447135
4800.0, 0.44458884
4810.0, 0.44446436
4820.0, 0.44434005
4830.0, 0.44421595
4840.0, 0.444092
4850.0, 0.44396824
4860.0, 0.44384468
4870.0, 0.4437213
4880.0, 0.4435981
4890.0, 0.44347504
4900.0, 0.4433522
4910.0, 0.44322953
4920.0, 0.44310704
4930.0, 0.44298473
4940.0, 0.4428626
4950.0, 0.44274062
4960.0, 0.44261888
4970.0, 0.44249725
4980.0, 0.44237587
4990.0, 0.44225463
5000.0, 0.44213358
5010.0, 0.44201267
5020.0, 0.44189197
5030.0, 0.44177145
5040.0, 0.4416511
5050.0, 0.44153094
5060.0, 0.44141096
5070.0, 0.44129112
5080.0, 0.4411715
5090.0, 0.44105205
5100.0, 0.44093275
5110.0, 0.44081366
5120.0, 0.44069472
5130.0, 0.44057596
5140.0, 0.44045737
5150.0, 0.44033897
5160.0, 0.44022074
5170.0, 0.4401027
5180.0, 0.43998483
5190.0, 0.4398671
5200.0, 0.4397496
5210.0, 0.43963224
5220.0, 0.43951505
5230.0, 0.43939805
5240.0, 0.43928123
5250.0, 0.43916455
5260.0, 0.43904808
5270.0, 0.43893176
5280.0, 0.43881562
5290.0, 0.43869966
5300.0, 0.43858388
5310.0, 0.43846825
5320.0, 0.43835282
5330.0, 0.43823755
5340.0, 0.43812245
5350.0, 0.4380075
5360.0, 0.43789276
5370.0, 0.43777817
5380.0, 0.43766376
5390.0, 0.4375495
5400.0, 0.43743542
5410.0, 0.43732154
5420.0, 0.43720782
5430.0, 0.43709424
5440.0, 0.43698084
5450.0, 0.43686762
5460.0, 0.43675458
5470.0, 0.4366417
5480.0, 0.43652898
5490.0, 0.43641645
5500.0, 0.4363041
5510.0, 0.4361919
5520.0, 0.43607983
5530.0, 0.43596798
5540.0, 0.43585628
5550.0, 0.43574473
5560.0, 0.4356334
5570.0, 0.4355222
5580.0, 0.43541116
5590.0, 0.43530032
5600.0, 0.43518963
5610.0, 0.4350791
5620.0, 0.43496874
5630.0, 0.43485856
5640.0, 0.43474853
5650.0, 0.43463865
5660.0, 0.43452898
5670.0, 0.43441945
5680.0, 0.43431008
5690.0, 0.43420088
5700.0, 0.43409187
5710.0, 0.433983
5720.0, 0.4338743
5730.0, 0.43376577
5740.0, 0.4336574
5750.0, 0.4335492
5760.0, 0.43344116
5770.0, 0.4333333
5780.0, 0.43322557
5790.0, 0.43311805
5800.0, 0.43301067
5810.0, 0.43290344
5820.0, 0.43279636
5830.0, 0.4326895
5840.0, 0.43258277
5850.0, 0.4324762
5860.0, 0.43236977
5870.0, 0.43226355
5880.0, 0.43215746
5890.0, 0.43205154
5900.0, 0.43194577
5910.0, 0.43184018
5920.0, 0.43173474
5930.0, 0.43162948
5940.0, 0.43152437
5950.0, 0.4314194
5960.0, 0.43131462
5970.0, 0.43120998
5980.0, 0.43110552
5990.0, 0.43100122
6000.0, 0.43089706
6010.0, 0.43079308
6020.0, 0.43068925
6030.0, 0.43058556
6040.0, 0.43048206
6050.0, 0.4303787
6060.0, 0.43027553
6070.0, 0.43017247
6080.0, 0.43006963
6090.0, 0.4299669
6100.0, 0.42986435
6110.0, 0.42976195
6120.0, 0.4296597
6130.0, 0.4295576
6140.0, 0.42945567
6150.0, 0.4293539
6160.0, 0.4292523
6170.0, 0.42915082
6180.0, 0.42904952
6190.0, 0.4289484
6200.0, 0.4288474
6210.0, 0.42874655
6220.0, 0.42864588
6230.0, 0.42854536
6240.0, 0.428445
6250.0, 0.4283448
6260.0, 0.42824474
6270.0, 0.42814484
6280.0, 0.4280451
6290.0, 0.4279455
6300.0, 0.42784607
6310.0, 0.4277468
6320.0, 0.42764765
6330.0, 0.4275487
6340.0, 0.42744988
6350.0, 0.4273512
6360.0, 0.4272527
6370.0, 0.42715433
6380.0, 0.42705613
6390.0, 0.42695808
6400.0, 0.42686018
6410.0, 0.42676243
6420.0, 0.42666483
6430.0, 0.42656738
6440.0, 0.4264701
6450.0, 0.42637298
6460.0, 0.426276
6470.0, 0.42617914
6480.0, 0.42608246
6490.0, 0.42598593
6500.0, 0.42588955
6510.0, 0.42579332
6520.0, 0.42569724
6530.0, 0.4256013
6540.0, 0.42550552
6550.0, 0.42540988
6560.0, 0.4253144
6570.0, 0.42521906
6580.0, 0.4251239
6590.0, 0.42502886
6600.0, 0.42493397
6610.0, 0.42483923
6620.0, 0.42474467
6630.0, 0.42465022
6640.0, 0.42455593
6650.0, 0.42446178
6660.0, 0.4243678
6670.0, 0.42427397
6680.0, 0.42418024
6690.0, 0.4240867
6700.0, 0.42399332
6710.0, 0.42390004
6720.0, 0.42380694
6730.0, 0.42371398
6740.0, 0.42362115
6750.0, 0.4235285
6760.0, 0.42343596
6770.0, 0.4233436
6780.0, 0.42325136
6790.0, 0.42315927
6800.0, 0.42306733
6810.0, 0.42297554
6820.0, 0.4228839
6830.0, 0.4227924
6840.0, 0.42270103
6850.0, 0.4226098
6860.0, 0.42251876
6870.0, 0.42242783
6880.0, 0.42233706
6890.0, 0.42224643
6900.0, 0.42215592
6910.0, 0.42206556
6920.0, 0.42197534
6930.0, 0.4218853
6940.0, 0.42179537
6950.0, 0.4217056
6960.0, 0.42161596
6970.0, 0.42152646
6980.0, 0.4214371
6990.0, 0.42134792
7000.0, 0.42125884
7010.0, 0.42116994
7020.0, 0.42108113
7030.0, 0.4209925
7040.0, 0.420904
7050.0, 0.42081565
7060.0, 0.42072743
7070.0, 0.42063934
7080.0, 0.42055142
7090.0, 0.42046362
7100.0, 0.42037597
7110.0, 0.42028844
7120.0, 0.42020106
7130.0, 0.42011383
7140.0, 0.42002675
7150.0, 0.4199398
7160.0, 0.41985297
7170.0, 0.41976628
7180.0, 0.41967973
7190.0, 0.41959333
7200.0, 0.4195071
7210.0, 0.41942096
7220.0, 0.41933498
7230.0, 0.41924912
7240.0, 0.41916344
7250.0, 0.41907784
7260.0, 0.4189924
7270.0, 0.4189071
7280.0, 0.41882196
7290.0, 0.41873693
7300.0, 0.41865203
7310.0, 0.4185673
7320.0, 0.41848266
7330.0, 0.4183982
7340.0, 0.41831386
7350.0, 0.41822964
7360.0, 0.41814557
7370.0, 0.41806164
7380.0, 0.41797784
7390.0, 0.41789418
7400.0, 0.41781065
7410.0, 0.41772726
7420.0, 0.417644
7430.0, 0.41756088
7440.0, 0.41747788
7450.0, 0.41739503
7460.0, 0.4173123
7470.0, 0.4172297
7480.0, 0.41714725
7490.0, 0.41706493
7500.0, 0.41698274
7510.0, 0.4169007
7520.0, 0.41681877
7530.0, 0.416737
7540.0, 0.41665533
7550.0, 0.4165738
7560.0, 0.4164924
7570.0, 0.41641116
7580.0, 0.41633
7590.0, 0.41624904
7600.0, 0.41616815
7610.0, 0.41608742
7620.0, 0.4160068
7630.0, 0.41592634
