#    time,   allInteract,  allInteract,  allInteract,  allInteract,  allInteract,  allInteract,  allInteract,  allInteract,  allInteract, 0-photoemission, 0-photoemission, 0-photoemission, 0-photoemission, 0-photoemission, 0-photoemission, 0-photoemission, 0-photoemission, 0-photoemission, 1-secondary emission from electrons of Ambiant_Electrons, 1-secondary emission from electrons of Ambiant_Electrons, 1-secondary emission from electrons of Ambiant_Electrons, 1-secondary emission from electrons of Ambiant_Electrons, 1-secondary emission from electrons of Ambiant_Electrons, 1-secondary emission from electrons of Ambiant_Electrons, 1-secondary emission from electrons of Ambiant_Electrons, 1-secondary emission from electrons of Ambiant_Electrons, 1-secondary emission from electrons of Ambiant_Electrons, 2-secondary emission from protons of Ambiant_Protons, 2-secondary emission from protons of Ambiant_Protons, 2-secondary emission from protons of Ambiant_Protons, 2-secondary emission from protons of Ambiant_Protons, 2-secondary emission from protons of Ambiant_Protons, 2-secondary emission from protons of Ambiant_Protons, 2-secondary emission from protons of Ambiant_Protons, 2-secondary emission from protons of Ambiant_Protons, 2-secondary emission from protons of Ambiant_Protons, 
#        ,   allNodes,  node0,  node1,  node2,  node3,  node4,  node5,  node6,  node7,  allNodes,  node0,  node1,  node2,  node3,  node4,  node5,  node6,  node7,  allNodes,  node0,  node1,  node2,  node3,  node4,  node5,  node6,  node7,  allNodes,  node0,  node1,  node2,  node3,  node4,  node5,  node6,  node7, 
212.46864, -0.0018862223, -1.9866781E-4, -1.0332453E-5, -3.64829E-6, -1.8902896E-5, -1.3542387E-5, -0.001553942, -6.6864355E-5, -2.0322144E-5, -0.0013343339, -1.605437E-4, -2.3596435E-7, 0.0, -1.683278E-5, -4.578783E-6, -0.0011399165, 0.0, -1.2226179E-5, -5.3266087E-4, -3.551235E-5, -9.040557E-6, -3.4737518E-6, -1.7510555E-6, -7.4642844E-6, -4.0934305E-4, -5.884153E-5, -7.234262E-6, -1.9227566E-5, -2.611741E-6, -1.0559318E-6, -1.7453826E-7, -3.190592E-7, -1.4993191E-6, -4.6824507E-6, -8.022821E-6, -8.617039E-7, 
220.14735, -0.0018805369, -1.9836133E-4, -1.0194486E-5, -3.6278436E-6, -1.8920999E-5, -1.3486724E-5, -0.0015495013, -6.6191635E-5, -2.025234E-5, -0.001334334, -1.605437E-4, -2.3596435E-7, 0.0, -1.683278E-5, -4.578783E-6, -0.0011399165, 0.0, -1.2226179E-5, -5.2709953E-4, -3.5154895E-5, -8.953055E-6, -3.4398165E-6, -1.7350143E-6, -7.3920432E-6, -4.0504153E-4, -5.822143E-5, -7.161678E-6, -1.9103232E-5, -2.6627363E-6, -1.0054655E-6, -1.8802723E-7, -3.5320315E-7, -1.515899E-6, -4.5432066E-6, -7.970209E-6, -8.644836E-7, 
230.72926, -0.001872482, -1.9778682E-4, -1.0089069E-5, -3.5804944E-6, -1.8881743E-5, -1.33795165E-5, -0.0015434658, -6.511956E-5, -2.0179243E-5, -0.0013343339, -1.605437E-4, -2.3596435E-7, 0.0, -1.683278E-5, -4.578783E-6, -0.0011399165, 0.0, -1.2226179E-5, -5.189578E-4, -3.460645E-5, -8.812796E-6, -3.3853669E-6, -1.7107152E-6, -7.276237E-6, -3.9895417E-4, -5.7167126E-5, -7.044877E-6, -1.9190658E-5, -2.636681E-6, -1.040309E-6, -1.9512763E-7, -3.3824801E-7, -1.5244975E-6, -4.59518E-6, -7.952428E-6, -9.0818725E-7, 
240.47717, -0.0018659977, -1.9734417E-4, -9.946018E-6, -3.5269607E-6, -1.885563E-5, -1.3284604E-5, -0.0015388399, -6.4142005E-5, -2.0058438E-5, -0.0013343338, -1.605437E-4, -2.3596435E-7, 0.0, -1.6832782E-5, -4.578783E-6, -0.0011399165, 0.0, -1.2226179E-5, -5.1246013E-4, -3.415094E-5, -8.686232E-6, -3.3355147E-6, -1.6894068E-6, -7.171741E-6, -3.943764E-4, -5.611747E-5, -6.932384E-6, -1.9203715E-5, -2.6495184E-6, -1.0238214E-6, -1.9144632E-7, -3.3344296E-7, -1.5340798E-6, -4.5469983E-6, -8.024532E-6, -8.99877E-7, 
322.2836, -0.0018624938, -1.9704251E-4, -9.84357E-6, -3.4652137E-6, -1.8839575E-5, -1.3281866E-5, -0.0015366278, -6.3407424E-5, -1.9985748E-5, -0.0013343339, -1.605437E-4, -2.3596435E-7, 0.0, -1.683278E-5, -4.578783E-6, -0.0011399165, 0.0, -1.2226179E-5, -5.088534E-4, -3.3823748E-5, -8.610035E-6, -3.3050662E-6, -1.6768574E-6, -7.1088275E-6, -3.9201943E-4, -5.5443117E-5, -6.8663608E-6, -1.9306257E-5, -2.6750663E-6, -9.975716E-7, -1.6014735E-7, -3.2993762E-7, -1.5942554E-6, -4.69176E-6, -7.9643105E-6, -8.93208E-7, 
322.52728, -0.0018574075, -1.961955E-4, -9.546335E-6, -3.3594354E-6, -1.8826258E-5, -1.290393E-5, -0.0015365321, -6.040269E-5, -1.9641393E-5, -0.0013343339, -1.605437E-4, -2.3596435E-7, 0.0, -1.683278E-5, -4.578783E-6, -0.0011399165, 0.0, -1.2226179E-5, -5.032775E-4, -3.2815155E-5, -8.283304E-6, -3.1491704E-6, -1.6306633E-6, -6.839066E-6, -3.9217345E-4, -5.185714E-5, -6.5295644E-6, -1.9796133E-5, -2.8366346E-6, -1.0270668E-6, -2.1026486E-7, -3.6281378E-7, -1.4860815E-6, -4.442073E-6, -8.54555E-6, -8.8564946E-7, 
322.78928, -0.00185403, -1.9588812E-4, -9.475056E-6, -3.3592935E-6, -1.8800596E-5, -1.2889068E-5, -0.001534278, -5.9747905E-5, -1.9591685E-5, -0.0013343339, -1.605437E-4, -2.3596435E-7, 0.0, -1.683278E-5, -4.578783E-6, -0.0011399165, 0.0, -1.2226179E-5, -5.0010864E-4, -3.2587854E-5, -8.235069E-6, -3.127629E-6, -1.6222489E-6, -6.799242E-6, -3.8975294E-4, -5.1536455E-5, -6.44721E-6, -1.958716E-5, -2.7565611E-6, -1.0040224E-6, -2.3166467E-7, -3.4556646E-7, -1.5110438E-6, -4.6085574E-6, -8.211447E-6, -9.182962E-7, 
323.03845, -0.0018523383, -1.9583164E-4, -9.453908E-6, -3.2809846E-6, -1.879568E-5, -1.2923925E-5, -0.0015327116, -5.9775597E-5, -1.956512E-5, -0.0013343339, -1.605437E-4, -2.3596435E-7, 0.0, -1.683278E-5, -4.578783E-6, -0.0011399165, 0.0, -1.2226179E-5, -4.9807806E-4, -3.2453707E-5, -8.205587E-6, -3.1153666E-6, -1.6169021E-6, -6.7748974E-6, -3.8814987E-4, -5.134414E-5, -6.4176093E-6, -1.992635E-5, -2.8342301E-6, -1.0123567E-6, -1.656181E-7, -3.4599643E-7, -1.5702448E-6, -4.645122E-6, -8.431451E-6, -9.213321E-7, 
323.44504, -0.0018500404, -1.9558435E-4, -9.393879E-6, -3.3158356E-6, -1.877504E-5, -1.28676065E-5, -0.0015311945, -5.9358208E-5, -1.9550831E-5, -0.0013343339, -1.605437E-4, -2.3596435E-7, 0.0, -1.683278E-5, -4.578783E-6, -0.0011399165, 0.0, -1.2226179E-5, -4.960502E-4, -3.232154E-5, -8.175683E-6, -3.1034976E-6, -1.6111636E-6, -6.7502106E-6, -3.865459E-4, -5.1151615E-5, -6.390593E-6, -1.9656178E-5, -2.719104E-6, -9.82231E-7, -2.1233775E-7, -3.310954E-7, -1.5386128E-6, -4.7321455E-6, -8.206593E-6, -9.340592E-7, 
323.89612, -0.0018469163, -1.9531172E-4, -9.407883E-6, -3.2714563E-6, -1.8770666E-5, -1.28048505E-5, -0.0015287681, -5.9089976E-5, -1.9491566E-5, -0.0013343339, -1.605437E-4, -2.3596435E-7, 0.0, -1.683278E-5, -4.578783E-6, -0.0011399165, 0.0, -1.2226179E-5, -4.9308507E-4, -3.212712E-5, -8.130247E-6, -3.0859842E-6, -1.6024134E-6, -6.7126975E-6, -3.8421422E-4, -5.085983E-5, -6.3525176E-6, -1.9497229E-5, -2.6408936E-6, -1.0416718E-6, -1.8547229E-7, -3.3547218E-7, -1.5133702E-6, -4.637333E-6, -8.230145E-6, -9.128712E-7, 
324.3312, -0.0018440054, -1.9508506E-4, -9.326655E-6, -3.260287E-6, -1.8781011E-5, -1.2858685E-5, -0.0015263284, -5.8927206E-5, -1.943812E-5, -0.0013343339, -1.605437E-4, -2.3596435E-7, 0.0, -1.683278E-5, -4.578783E-6, -0.0011399165, 0.0, -1.2226179E-5, -4.90026E-4, -3.192967E-5, -8.0844475E-6, -3.0684087E-6, -1.5935535E-6, -6.6748776E-6, -3.8179493E-4, -5.0565344E-5, -6.3147577E-6, -1.9645375E-5, -2.611689E-6, -1.0062437E-6, -1.9187853E-7, -3.546774E-7, -1.6050258E-6, -4.616821E-6, -8.361859E-6, -8.971816E-7, 
324.7736, -0.001841196, -1.9499478E-4, -9.35414E-6, -3.2312232E-6, -1.877965E-5, -1.28237825E-5, -0.0015238515, -5.8756268E-5, -1.9404724E-5, -0.0013343339, -1.605437E-4, -2.3596435E-7, 0.0, -1.683278E-5, -4.578783E-6, -0.0011399165, 0.0, -1.2226179E-5, -4.8689585E-4, -3.1729443E-5, -8.037945E-6, -3.0506853E-6, -1.5845338E-6, -6.636487E-6, -3.7931296E-4, -5.0267E-5, -6.276765E-6, -1.9966319E-5, -2.721644E-6, -1.0802316E-6, -1.8053787E-7, -3.623366E-7, -1.6085125E-6, -4.6220093E-6, -8.489267E-6, -9.017819E-7, 
335.1345, -0.0018347017, -1.9459882E-4, -9.227261E-6, -3.1992597E-6, -1.8742441E-5, -1.2716777E-5, -0.0015188116, -5.8037964E-5, -1.9367191E-5, -0.001334334, -1.605437E-4, -2.3596435E-7, 0.0, -1.683278E-5, -4.578783E-6, -0.0011399165, 0.0, -1.2226179E-5, -4.803255E-4, -3.1311596E-5, -7.941557E-6, -3.01391E-6, -1.5660338E-6, -6.5569043E-6, -3.7409604E-4, -4.9641458E-5, -6.1980254E-6, -2.0042104E-5, -2.7435285E-6, -1.049741E-6, -1.8535022E-7, -3.4362736E-7, -1.5810897E-6, -4.7992753E-6, -8.396504E-6, -9.4298736E-7, 
