Energy (in eV), SEEP yield of material te2k-NASCAP at incidence 90.0 degree
   X,       Y
80600.0, 1801.4761
80800.0, 1809.1991
81000.0, 1809.7974
81200.0, 1817.5195
81400.0, 1818.1124
81600.0, 1825.834
81800.0, 1826.4219
82000.0, 1834.1426
82200.0, 1841.864
82400.0, 1842.445
82600.0, 1850.1656
82800.0, 1850.7415
83000.0, 1858.4613
83200.0, 1859.0317
83400.0, 1866.751
83600.0, 1867.3163
83800.0, 1875.0342
84000.0, 1875.5944
84200.0, 1883.3118
84400.0, 1891.0293
84600.0, 1891.5826
84800.0, 1899.2997
85000.0, 1899.8479
85200.0, 1907.5636
85400.0, 1908.1068
85600.0, 1915.8215
85800.0, 1916.3594
86000.0, 1924.073
86200.0, 1924.6058
86400.0, 1932.3186
86600.0, 1940.0316
86800.0, 1940.5577
87000.0, 1948.2695
87200.0, 1948.7906
87400.0, 1956.5015
87600.0, 1957.0175
87800.0, 1964.7268
88000.0, 1965.238
88200.0, 1972.946
88400.0, 1973.4521
88600.0, 1981.159
88800.0, 1988.8658
89000.0, 1989.3656
89200.0, 1997.0714
89400.0, 1997.5659
89600.0, 2005.2704
89800.0, 2005.7599
90000.0, 2013.4628
90200.0, 2013.9475
90400.0, 2021.6492
90600.0, 2029.351
90800.0, 2029.829
91000.0, 2037.5292
91200.0, 2038.0026
91400.0, 2045.7012
91600.0, 2046.1697
91800.0, 2053.867
92000.0, 2054.3303
92200.0, 2062.0256
92400.0, 2069.7214
92600.0, 2070.1787
92800.0, 2077.8726
93000.0, 2078.325
93200.0, 2086.0173
93400.0, 2086.4648
93600.0, 2094.1555
93800.0, 2094.5984
94000.0, 2102.2874
94200.0, 2109.9763
94400.0, 2110.4126
94600.0, 2118.0999
94800.0, 2118.5315
95000.0, 2126.217
95200.0, 2126.644
95400.0, 2134.3276
95600.0, 2134.7498
95800.0, 2142.4314
96000.0, 2150.113
96200.0, 2150.5293
96400.0, 2158.209
96600.0, 2158.6204
96800.0, 2166.298
97000.0, 2166.705
97200.0, 2174.3809
97400.0, 2174.7832
97600.0, 2182.457
97800.0, 2190.131
98000.0, 2190.5269
98200.0, 2198.1987
98400.0, 2198.5898
98600.0, 2206.2598
98800.0, 2206.6465
99000.0, 2214.3142
99200.0, 2221.982
99400.0, 2222.3625
99600.0, 2230.0278
99800.0, 2230.4038
100000.0, 2238.0671
