Energy (in eV), backscattering yield of material te2k-NASCAP at isotropic incidence
   X,       Y
5680.0, 0.26376122
5690.0, 0.26367858
5700.0, 0.26359606
5710.0, 0.26351365
5720.0, 0.26343146
5730.0, 0.26334938
5740.0, 0.26326743
5750.0, 0.26318565
5760.0, 0.263104
5770.0, 0.26302254
5780.0, 0.26294118
5790.0, 0.26285997
5800.0, 0.26277894
5810.0, 0.26269802
5820.0, 0.26261723
5830.0, 0.26253664
5840.0, 0.26245615
5850.0, 0.26237583
5860.0, 0.26229563
5870.0, 0.26221558
5880.0, 0.2621357
5890.0, 0.26205596
5900.0, 0.26197636
5910.0, 0.26189688
5920.0, 0.26181754
5930.0, 0.2617384
5940.0, 0.26165935
5950.0, 0.26158044
5960.0, 0.26150167
5970.0, 0.26142308
5980.0, 0.2613446
5990.0, 0.2612663
6000.0, 0.2611881
6010.0, 0.26111004
6020.0, 0.26103213
6030.0, 0.26095438
6040.0, 0.26087674
6050.0, 0.26079926
6060.0, 0.26072192
6070.0, 0.2606447
6080.0, 0.26056764
6090.0, 0.26049072
6100.0, 0.26041391
6110.0, 0.26033726
6120.0, 0.26026073
6130.0, 0.26018438
6140.0, 0.26010814
6150.0, 0.26003206
6160.0, 0.25995606
6170.0, 0.25988024
6180.0, 0.25980455
6190.0, 0.259729
6200.0, 0.2596536
6210.0, 0.25957832
6220.0, 0.25950316
6230.0, 0.25942814
6240.0, 0.25935328
6250.0, 0.25927857
6260.0, 0.25920394
6270.0, 0.2591295
6280.0, 0.25905514
6290.0, 0.25898096
6300.0, 0.2589069
6310.0, 0.25883296
6320.0, 0.25875914
6330.0, 0.2586855
6340.0, 0.25861198
6350.0, 0.25853857
6360.0, 0.25846532
6370.0, 0.25839218
6380.0, 0.25831917
6390.0, 0.2582463
6400.0, 0.25817358
6410.0, 0.258101
6420.0, 0.2580285
6430.0, 0.25795618
6440.0, 0.25788397
6450.0, 0.25781187
6460.0, 0.25773993
6470.0, 0.25766814
6480.0, 0.25759643
6490.0, 0.25752488
6500.0, 0.25745347
6510.0, 0.25738215
6520.0, 0.257311
6530.0, 0.25723997
6540.0, 0.25716904
6550.0, 0.25709826
6560.0, 0.25702763
6570.0, 0.25695708
6580.0, 0.2568867
6590.0, 0.25681642
6600.0, 0.25674626
6610.0, 0.25667626
6620.0, 0.2566064
6630.0, 0.25653663
6640.0, 0.256467
6650.0, 0.2563975
6660.0, 0.2563281
6670.0, 0.25625885
6680.0, 0.25618973
6690.0, 0.25612074
6700.0, 0.25605187
6710.0, 0.2559831
6720.0, 0.25591448
6730.0, 0.255846
6740.0, 0.25577763
6750.0, 0.25570935
6760.0, 0.25564122
6770.0, 0.2555732
6780.0, 0.25550535
6790.0, 0.2554376
6800.0, 0.25536996
6810.0, 0.25530243
6820.0, 0.25523508
6830.0, 0.2551678
6840.0, 0.25510067
6850.0, 0.25503364
6860.0, 0.25496674
6870.0, 0.25489995
6880.0, 0.2548333
6890.0, 0.2547668
6900.0, 0.25470036
6910.0, 0.25463408
6920.0, 0.25456792
6930.0, 0.25450188
6940.0, 0.25443596
6950.0, 0.25437015
6960.0, 0.25430447
6970.0, 0.25423887
6980.0, 0.25417346
6990.0, 0.25410813
7000.0, 0.25404292
7010.0, 0.25397784
7020.0, 0.25391287
7030.0, 0.25384802
7040.0, 0.2537833
7050.0, 0.25371867
7060.0, 0.25365415
7070.0, 0.2535898
7080.0, 0.25352553
7090.0, 0.2534614
7100.0, 0.25339735
7110.0, 0.25333348
7120.0, 0.25326967
7130.0, 0.25320598
7140.0, 0.25314245
7150.0, 0.253079
7160.0, 0.25301567
7170.0, 0.25295246
7180.0, 0.25288936
7190.0, 0.2528264
7200.0, 0.2527635
7210.0, 0.25270078
7220.0, 0.25263816
7230.0, 0.2525756
7240.0, 0.25251323
7250.0, 0.25245094
7260.0, 0.25238878
7270.0, 0.2523267
7280.0, 0.25226477
7290.0, 0.2522029
7300.0, 0.25214118
7310.0, 0.2520796
7320.0, 0.2520181
7330.0, 0.2519567
7340.0, 0.25189546
7350.0, 0.25183427
7360.0, 0.25177324
7370.0, 0.25171232
7380.0, 0.2516515
7390.0, 0.2515908
7400.0, 0.25153017
7410.0, 0.2514697
7420.0, 0.25140932
7430.0, 0.25134906
7440.0, 0.25128892
7450.0, 0.25122887
7460.0, 0.25116894
7470.0, 0.25110912
7480.0, 0.2510494
7490.0, 0.2509898
7500.0, 0.2509303
7510.0, 0.25087094
7520.0, 0.25081167
7530.0, 0.25075248
7540.0, 0.25069344
7550.0, 0.2506345
7560.0, 0.25057563
7570.0, 0.25051692
7580.0, 0.2504583
7590.0, 0.2503998
7600.0, 0.2503414
7610.0, 0.2502831
7620.0, 0.25022486
7630.0, 0.2501668
7640.0, 0.2501088
7650.0, 0.25005096
7660.0, 0.24999318
7670.0, 0.24993552
7680.0, 0.24987799
7690.0, 0.24982053
7700.0, 0.24976318
7710.0, 0.24970596
7720.0, 0.24964882
7730.0, 0.24959181
7740.0, 0.24953488
7750.0, 0.24947807
7760.0, 0.24942137
7770.0, 0.24936476
7780.0, 0.24930824
7790.0, 0.24925189
7800.0, 0.24919556
7810.0, 0.2491394
7820.0, 0.24908331
7830.0, 0.24902733
7840.0, 0.24897143
7850.0, 0.24891567
7860.0, 0.24886002
7870.0, 0.24880445
7880.0, 0.24874897
7890.0, 0.2486936
7900.0, 0.24863835
7910.0, 0.2485832
7920.0, 0.24852814
7930.0, 0.2484732
7940.0, 0.24841833
7950.0, 0.24836358
7960.0, 0.24830891
7970.0, 0.24825437
7980.0, 0.24819992
7990.0, 0.2481456
8000.0, 0.24809134
8010.0, 0.2480372
8020.0, 0.24798314
8030.0, 0.2479292
8040.0, 0.24787536
8050.0, 0.2478216
8060.0, 0.24776797
8070.0, 0.24771442
8080.0, 0.24766098
8090.0, 0.24760763
8100.0, 0.24755436
8110.0, 0.24750122
8120.0, 0.24744818
8130.0, 0.2473952
8140.0, 0.24734235
8150.0, 0.24728958
8160.0, 0.24723694
8170.0, 0.24718435
8180.0, 0.2471319
8190.0, 0.24707952
8200.0, 0.24702726
8210.0, 0.24697508
8220.0, 0.246923
8230.0, 0.24687102
8240.0, 0.24681914
8250.0, 0.24676734
8260.0, 0.24671566
8270.0, 0.24666405
8280.0, 0.24661255
8290.0, 0.24656114
8300.0, 0.24650985
8310.0, 0.24645862
8320.0, 0.2464075
8330.0, 0.24635649
8340.0, 0.24630556
8350.0, 0.24625471
8360.0, 0.24620397
8370.0, 0.24615334
8380.0, 0.24610278
8390.0, 0.24605232
8400.0, 0.24600196
8410.0, 0.24595168
8420.0, 0.24590151
8430.0, 0.24585143
8440.0, 0.24580143
8450.0, 0.24575154
8460.0, 0.24570173
8470.0, 0.24565202
8480.0, 0.2456024
8490.0, 0.24555287
8500.0, 0.24550343
8510.0, 0.24545409
8520.0, 0.24540484
8530.0, 0.24535567
8540.0, 0.2453066
8550.0, 0.24525763
8560.0, 0.24520874
8570.0, 0.24515994
