Energy (in eV), SEEP yield of material ka2k-NASCAP at incidence 90.0 degree
20800.0, 798.9461
21000.0, 806.76086
21200.0, 814.58527
21400.0, 822.4191
21600.0, 830.2626
21800.0, 838.1155
22000.0, 845.9775
22200.0, 853.8487
22400.0, 861.72894
22600.0, 869.61816
22800.0, 877.5163
23000.0, 885.42303
23200.0, 888.1745
23400.0, 896.0825
23600.0, 903.999
23800.0, 911.9241
24000.0, 919.8573
24200.0, 927.7988
24400.0, 935.7485
24600.0, 943.7061
24800.0, 951.67175
25000.0, 959.6451
25200.0, 967.6263
25400.0, 975.61505
25600.0, 983.61127
25800.0, 991.615
26000.0, 999.626
26200.0, 1007.6443
26400.0, 1015.66974
26600.0, 1023.7022
26800.0, 1026.3115
27000.0, 1034.3441
27200.0, 1042.3837
27400.0, 1050.4299
27600.0, 1058.483
27800.0, 1066.5425
28000.0, 1074.6088
28200.0, 1082.6813
28400.0, 1090.7604
28600.0, 1098.8456
28800.0, 1106.9371
29000.0, 1115.0347
29200.0, 1123.1381
29400.0, 1131.2476
29600.0, 1133.7502
29800.0, 1141.8591
30000.0, 1149.9738
30200.0, 1158.0941
30400.0, 1166.2201
30600.0, 1174.3513
30800.0, 1182.4883
31000.0, 1190.6306
31200.0, 1198.7782
31400.0, 1206.9312
31600.0, 1215.0891
31800.0, 1223.2523
32000.0, 1225.6661
32200.0, 1233.828
32400.0, 1241.9945
32600.0, 1250.1663
32800.0, 1258.3428
33000.0, 1266.524
33200.0, 1274.7097
33400.0, 1282.9
33600.0, 1291.0951
33800.0, 1299.2944
34000.0, 1307.498
34200.0, 1315.7062
34400.0, 1318.0344
34600.0, 1326.2407
34800.0, 1334.451
35000.0, 1342.6656
35200.0, 1350.8842
35400.0, 1359.1067
35600.0, 1367.3331
35800.0, 1375.5635
36000.0, 1383.7976
36200.0, 1392.0354
36400.0, 1400.2771
36600.0, 1402.5286
36800.0, 1410.768
37000.0, 1419.0106
37200.0, 1427.2568
37400.0, 1435.5066
37600.0, 1443.7598
37800.0, 1452.0162
38000.0, 1460.2756
38200.0, 1468.5386
38400.0, 1476.8048
38600.0, 1478.9875
38800.0, 1487.2509
39000.0, 1495.5171
39200.0, 1503.7866
39400.0, 1512.0587
39600.0, 1520.3339
39800.0, 1528.6119
40000.0, 1536.8926
40200.0, 1545.1761
40400.0, 1553.4624
40600.0, 1555.5782
40800.0, 1563.8615
41000.0, 1572.1469
41200.0, 1580.4349
41400.0, 1588.7255
41600.0, 1597.0186
41800.0, 1605.3142
42000.0, 1613.6119
42200.0, 1621.9117
42400.0, 1630.214
42600.0, 1638.5186
42800.0, 1640.5635
43000.0, 1648.8643
43200.0, 1657.1672
43400.0, 1665.4723
43600.0, 1673.7794
43800.0, 1682.0885
44000.0, 1690.3994
44200.0, 1698.7122
44400.0, 1707.027
44600.0, 1715.3433
44800.0, 1717.3246
45000.0, 1725.6371
45200.0, 1733.9514
45400.0, 1742.2673
45600.0, 1750.585
45800.0, 1758.9039
46000.0, 1767.2246
46200.0, 1775.547
46400.0, 1783.8705
46600.0, 1792.1954
46800.0, 1794.1144
47000.0, 1802.4352
47200.0, 1810.7577
47400.0, 1819.081
47600.0, 1827.406
47800.0, 1835.7318
48000.0, 1844.0592
48200.0, 1852.3875
48400.0, 1860.7169
48600.0, 1862.5801
48800.0, 1870.9056
49000.0, 1879.2314
49200.0, 1887.5586
49400.0, 1895.8866
49600.0, 1904.2158
49800.0, 1912.5455
50000.0, 1920.8763
50200.0, 1929.2081
50400.0, 1937.5408
50600.0, 1939.3439
50800.0, 1947.6716
51000.0, 1956.0005
51200.0, 1964.3296
51400.0, 1972.6598
51600.0, 1980.9904
51800.0, 1989.3212
52000.0, 1997.653
52200.0, 2005.9852
52400.0, 2014.3182
52600.0, 2016.0627
52800.0, 2024.3905
53000.0, 2032.7191
53200.0, 2041.0477
53400.0, 2049.377
53600.0, 2057.7065
53800.0, 2066.0364
54000.0, 2074.3667
54200.0, 2082.697
54400.0, 2091.0278
54600.0, 2099.3584
54800.0, 2101.0405
55000.0, 2109.3665
55200.0, 2117.6926
55400.0, 2126.0186
55600.0, 2134.345
55800.0, 2142.671
56000.0, 2150.997
56200.0, 2159.3235
56400.0, 2167.65
56600.0, 2175.9758
56800.0, 2177.6016
57000.0, 2185.9229
57200.0, 2194.244
57400.0, 2202.5647
57600.0, 2210.8853
57800.0, 2219.206
58000.0, 2227.5261
58200.0, 2235.8464
58400.0, 2244.166
58600.0, 2252.4858
58800.0, 2254.0562
59000.0, 2262.3708
59200.0, 2270.6848
59400.0, 2278.9983
59600.0, 2287.3115
59800.0, 2295.6245
60000.0, 2303.9368
60200.0, 2312.249
60400.0, 2320.5605
60600.0, 2328.8713
60800.0, 2337.1821
61000.0, 2338.6938
61200.0, 2346.9988
61400.0, 2355.3035
61600.0, 2363.6072
61800.0, 2371.9106
62000.0, 2380.2136
62200.0, 2388.5159
62400.0, 2396.8171
62600.0, 2405.1182
62800.0, 2413.4185
63000.0, 2421.7178
63200.0, 2423.1716
63400.0, 2431.4653
63600.0, 2439.7583
63800.0, 2448.0508
64000.0, 2456.3423
64200.0, 2464.6328
64400.0, 2472.9226
64600.0, 2481.212
64800.0, 2489.5
65000.0, 2497.7874
65200.0, 2506.0737
65400.0, 2507.4707
65600.0, 2515.7512
65800.0, 2524.031
66000.0, 2532.3098
66200.0, 2540.588
66400.0, 2548.8643
66600.0, 2557.1404
66800.0, 2565.4153
67000.0, 2573.6887
67200.0, 2581.9612
67400.0, 2590.233
67600.0, 2598.5037
67800.0, 2599.8398
68000.0, 2608.1045
68200.0, 2616.3682
68400.0, 2624.6306
68600.0, 2632.8918
68800.0, 2641.1516
69000.0, 2649.4106
69200.0, 2657.6682
69400.0, 2665.9248
69600.0, 2674.1797
69800.0, 2682.4336
70000.0, 2690.6863
70200.0, 2691.9636
70400.0, 2700.2102
70600.0, 2708.4556
70800.0, 2716.7002
71000.0, 2724.9426
71200.0, 2733.184
71400.0, 2741.424
71600.0, 2749.6628
71800.0, 2757.9001
72000.0, 2766.136
72200.0, 2774.3704
72400.0, 2782.6038
72600.0, 2783.823
72800.0, 2792.0498
73000.0, 2800.2754
73200.0, 2808.4998
73400.0, 2816.7222
73600.0, 2824.9434
73800.0, 2833.163
74000.0, 2841.381
74200.0, 2849.5974
74400.0, 2857.8127
74600.0, 2866.0261
74800.0, 2874.238
75000.0, 2882.4482
75200.0, 2883.6064
75400.0, 2891.8105
75600.0, 2900.0132
75800.0, 2908.2144
76000.0, 2916.4136
76200.0, 2924.6113
76400.0, 2932.8074
76600.0, 2941.002
76800.0, 2949.1946
77000.0, 2957.3855
77200.0, 2965.5745
77400.0, 2973.7625
77600.0, 2981.9487
77800.0, 2990.1323
78000.0, 2991.2266
78200.0, 2999.4045
78400.0, 3007.5808
78600.0, 3015.755
78800.0, 3023.9275
79000.0, 3032.0989
79200.0, 3040.2678
79400.0, 3048.435
79600.0, 3056.6003
79800.0, 3064.7642
80000.0, 3072.9258
80200.0, 3081.0857
80400.0, 3089.244
80600.0, 3097.4001
80800.0, 3098.4314
81000.0, 3106.5815
81200.0, 3114.73
81400.0, 3122.876
81600.0, 3131.0205
81800.0, 3139.1626
82000.0, 3147.3032
82200.0, 3155.4417
82400.0, 3163.5781
82600.0, 3171.713
82800.0, 3179.8455
83000.0, 3187.976
83200.0, 3196.1047
83400.0, 3204.2314
83600.0, 3212.3564
83800.0, 3220.4788
84000.0, 3221.441
84200.0, 3229.5574
84400.0, 3237.6716
84600.0, 3245.7842
84800.0, 3253.8953
85000.0, 3262.003
85200.0, 3270.1094
85400.0, 3278.2139
85600.0, 3286.316
85800.0, 3294.416
86000.0, 3302.5137
86200.0, 3310.6094
86400.0, 3318.7036
86600.0, 3326.7954
86800.0, 3334.8845
87000.0, 3342.9724
87200.0, 3351.0571
87400.0, 3351.9473
87600.0, 3360.0266
87800.0, 3368.1033
88000.0, 3376.1782
88200.0, 3384.251
88400.0, 3392.3213
88600.0, 3400.39
88800.0, 3408.4556
89000.0, 3416.519
89200.0, 3424.581
89400.0, 3432.6406
89600.0, 3440.6978
89800.0, 3448.753
90000.0, 3456.8052
90200.0, 3464.8562
90400.0, 3472.9048
90600.0, 3480.9507
90800.0, 3488.9949
91000.0, 3497.036
91200.0, 3497.8486
91400.0, 3505.884
91600.0, 3513.917
91800.0, 3521.9478
92000.0, 3529.9763
92200.0, 3538.0022
92400.0, 3546.0264
92600.0, 3554.048
92800.0, 3562.0674
93000.0, 3570.0847
93200.0, 3578.0994
93400.0, 3586.1116
93600.0, 3594.122
93800.0, 3602.1294
94000.0, 3610.1353
94200.0, 3618.1384
94400.0, 3626.1387
94600.0, 3634.1375
94800.0, 3642.1333
95000.0, 3650.1272
95200.0, 3658.1182
95400.0, 3666.1074
95600.0, 3666.8325
95800.0, 3674.8152
96000.0, 3682.7952
96200.0, 3690.7732
96400.0, 3698.7488
96600.0, 3706.7222
96800.0, 3714.6929
97000.0, 3722.6614
97200.0, 3730.6267
97400.0, 3738.5908
97600.0, 3746.5515
97800.0, 3754.5107
98000.0, 3762.4668
98200.0, 3770.4204
98400.0, 3778.3713
98600.0, 3786.3203
98800.0, 3794.267
99000.0, 3802.2112
99200.0, 3810.1526
99400.0, 3818.092
99600.0, 3826.0286
99800.0, 3833.9624
100000.0, 3841.894
