Energy (in eV), backscattering yield of material te2k-NASCAP at incidence 80.0 degree
   X,       Y
4900.0, 0.6857833
4910.0, 0.68570495
4920.0, 0.6856266
4930.0, 0.6855485
4940.0, 0.6854704
4950.0, 0.68539244
4960.0, 0.6853146
4970.0, 0.68523693
4980.0, 0.6851593
4990.0, 0.6850818
5000.0, 0.6850044
5010.0, 0.68492717
5020.0, 0.68485004
5030.0, 0.68477297
5040.0, 0.684696
5050.0, 0.68461925
5060.0, 0.68454254
5070.0, 0.68446594
5080.0, 0.6843895
5090.0, 0.6843131
5100.0, 0.6842368
5110.0, 0.6841607
5120.0, 0.68408465
5130.0, 0.6840088
5140.0, 0.68393296
5150.0, 0.68385726
5160.0, 0.6837817
5170.0, 0.6837062
5180.0, 0.6836308
5190.0, 0.6835556
5200.0, 0.68348044
5210.0, 0.68340546
5220.0, 0.68333054
5230.0, 0.68325573
5240.0, 0.68318105
5250.0, 0.6831064
5260.0, 0.683032
5270.0, 0.6829576
5280.0, 0.6828833
5290.0, 0.68280923
5300.0, 0.6827352
5310.0, 0.68266124
5320.0, 0.68258744
5330.0, 0.6825137
5340.0, 0.68244016
5350.0, 0.68236667
5360.0, 0.6822933
5370.0, 0.68222004
5380.0, 0.68214685
5390.0, 0.68207383
5400.0, 0.6820009
5410.0, 0.68192804
5420.0, 0.6818553
5430.0, 0.6817827
5440.0, 0.6817102
5450.0, 0.68163776
5460.0, 0.6815655
5470.0, 0.68149334
5480.0, 0.6814212
5490.0, 0.6813493
5500.0, 0.68127745
5510.0, 0.6812057
5520.0, 0.68113405
5530.0, 0.6810625
5540.0, 0.68099105
5550.0, 0.68091977
5560.0, 0.68084854
5570.0, 0.68077743
5580.0, 0.68070644
5590.0, 0.6806355
5600.0, 0.68056476
5610.0, 0.68049407
5620.0, 0.6804235
5630.0, 0.68035305
5640.0, 0.68028265
5650.0, 0.68021244
5660.0, 0.6801423
5670.0, 0.6800722
5680.0, 0.6800023
5690.0, 0.6799324
5700.0, 0.67986274
5710.0, 0.67979306
5720.0, 0.67972356
5730.0, 0.6796542
5740.0, 0.67958486
5750.0, 0.67951566
5760.0, 0.6794466
5770.0, 0.67937756
5780.0, 0.67930865
5790.0, 0.67923987
5800.0, 0.6791712
5810.0, 0.67910266
5820.0, 0.6790342
5830.0, 0.6789658
5840.0, 0.67889756
5850.0, 0.6788294
5860.0, 0.6787613
5870.0, 0.6786934
5880.0, 0.6786255
5890.0, 0.6785578
5900.0, 0.67849016
5910.0, 0.67842263
5920.0, 0.67835516
5930.0, 0.67828786
5940.0, 0.6782206
5950.0, 0.6781535
5960.0, 0.67808646
5970.0, 0.6780195
5980.0, 0.6779527
5990.0, 0.677886
6000.0, 0.6778194
6010.0, 0.67775285
6020.0, 0.67768645
6030.0, 0.6776202
6040.0, 0.67755395
6050.0, 0.67748785
6060.0, 0.67742187
6070.0, 0.67735595
6080.0, 0.67729014
6090.0, 0.67722446
6100.0, 0.67715883
6110.0, 0.6770933
6120.0, 0.67702794
6130.0, 0.6769627
6140.0, 0.67689747
6150.0, 0.6768324
6160.0, 0.67676735
6170.0, 0.67670244
6180.0, 0.67663765
6190.0, 0.676573
6200.0, 0.67650837
6210.0, 0.6764439
6220.0, 0.6763795
6230.0, 0.6763152
6240.0, 0.676251
6250.0, 0.6761869
6260.0, 0.6761229
6270.0, 0.676059
6280.0, 0.6759952
6290.0, 0.6759315
6300.0, 0.6758679
6310.0, 0.6758044
6320.0, 0.67574096
6330.0, 0.67567766
6340.0, 0.6756145
6350.0, 0.67555135
6360.0, 0.67548835
6370.0, 0.6754254
6380.0, 0.6753626
6390.0, 0.6752999
6400.0, 0.6752373
6410.0, 0.6751748
6420.0, 0.6751123
6430.0, 0.67505
6440.0, 0.67498773
6450.0, 0.6749256
6460.0, 0.6748636
6470.0, 0.67480165
6480.0, 0.6747398
6490.0, 0.6746781
6500.0, 0.6746164
6510.0, 0.6745549
6520.0, 0.6744934
6530.0, 0.67443204
6540.0, 0.67437077
6550.0, 0.6743096
6560.0, 0.6742485
6570.0, 0.67418754
6580.0, 0.6741267
6590.0, 0.6740659
6600.0, 0.6740052
6610.0, 0.6739446
6620.0, 0.6738841
6630.0, 0.6738237
6640.0, 0.6737634
6650.0, 0.67370313
6660.0, 0.67364305
6670.0, 0.67358303
6680.0, 0.67352307
6690.0, 0.6734632
6700.0, 0.6734035
6710.0, 0.67334384
6720.0, 0.6732843
6730.0, 0.67322487
6740.0, 0.67316544
6750.0, 0.6731062
6760.0, 0.673047
6770.0, 0.67298794
6780.0, 0.6729289
6790.0, 0.67287004
6800.0, 0.6728112
6810.0, 0.6727525
6820.0, 0.6726939
6830.0, 0.6726354
6840.0, 0.67257696
6850.0, 0.6725186
6860.0, 0.6724604
6870.0, 0.6724022
6880.0, 0.67234415
6890.0, 0.67228615
6900.0, 0.6722283
6910.0, 0.6721705
6920.0, 0.6721128
6930.0, 0.6720552
