Energy (in eV), SEEE yield of material te2k-NASCAP at isotropic incidence
   X,       Y
4490.0, 1.0805166
4500.0, 1.0787098
4510.0, 1.0769098
4520.0, 1.0751169
4530.0, 1.0733305
4540.0, 1.0715511
4550.0, 1.0697781
4560.0, 1.0680121
4570.0, 1.0662525
4580.0, 1.0644996
4590.0, 1.0627532
4600.0, 1.0610135
4610.0, 1.05928
4620.0, 1.057553
4630.0, 1.0558326
4640.0, 1.0541186
4650.0, 1.0524106
4660.0, 1.0507092
4670.0, 1.049014
4680.0, 1.047325
4690.0, 1.045642
4700.0, 1.0439655
4710.0, 1.0422949
4720.0, 1.0406305
4730.0, 1.038972
4740.0, 1.0373197
4750.0, 1.0356731
4760.0, 1.0340327
4770.0, 1.0323981
4780.0, 1.0307696
4790.0, 1.0291468
4800.0, 1.0275297
4810.0, 1.0259186
4820.0, 1.0243131
4830.0, 1.0227133
4840.0, 1.0211194
4850.0, 1.019531
4860.0, 1.0179483
4870.0, 1.0163713
4880.0, 1.0147995
4890.0, 1.0132333
4900.0, 1.0116729
4910.0, 1.0101178
4920.0, 1.0085683
4930.0, 1.007024
4940.0, 1.0054852
4950.0, 1.0039518
4960.0, 1.0024234
4970.0, 1.0009007
4980.0, 0.99938315
4990.0, 0.9978709
5000.0, 0.99636376
5010.0, 0.9948618
5020.0, 0.99336493
5030.0, 0.99187344
5040.0, 0.99038684
5050.0, 0.9889054
5060.0, 0.987429
5070.0, 0.9859575
5080.0, 0.9844912
5090.0, 0.9830298
5100.0, 0.9815734
5110.0, 0.98012185
5120.0, 0.9786751
5130.0, 0.97723335
5140.0, 0.97579646
5150.0, 0.9743643
5160.0, 0.97293687
5170.0, 0.9715144
5180.0, 0.9700966
5190.0, 0.96868336
5200.0, 0.967275
5210.0, 0.9658712
5220.0, 0.9644722
5230.0, 0.96307755
5240.0, 0.9616878
5250.0, 0.96030253
5260.0, 0.95892155
5270.0, 0.9575454
5280.0, 0.95617366
5290.0, 0.9548064
5300.0, 0.95344365
5310.0, 0.9520853
5320.0, 0.9507313
5330.0, 0.9493817
5340.0, 0.9480365
