Energy (in eV), SEEP yield of material np2k-NASCAP at isotropic incidence
   X,       Y
97800.0, 5.326657
98000.0, 5.327637
98200.0, 5.3286104
98400.0, 5.3295755
98600.0, 5.3305354
98800.0, 5.3314867
99000.0, 5.3324313
99200.0, 5.3333693
99400.0, 5.3342996
99600.0, 5.3352237
99800.0, 5.33614
100000.0, 5.3370495
