Energy (in eV), SEEE yield of material osr2k-NASCAP at isotropic incidence
   X,       Y
5170.0, 1.5312476
5180.0, 1.5289044
5190.0, 1.5265687
5200.0, 1.5242404
5210.0, 1.5219198
5220.0, 1.519607
5230.0, 1.5173018
5240.0, 1.5150034
5250.0, 1.512713
5260.0, 1.5104296
5270.0, 1.5081537
5280.0, 1.5058849
5290.0, 1.5036237
5300.0, 1.5013695
5310.0, 1.4991227
5320.0, 1.4968826
5330.0, 1.4946502
5340.0, 1.4924246
5350.0, 1.490206
5360.0, 1.4879944
5370.0, 1.4857899
5380.0, 1.4835925
5390.0, 1.4814019
5400.0, 1.479218
5410.0, 1.4770411
5420.0, 1.4748712
5430.0, 1.472708
5440.0, 1.4705511
5450.0, 1.4684016
5460.0, 1.4662586
5470.0, 1.4641223
5480.0, 1.4619924
5490.0, 1.4598694
5500.0, 1.4577526
5510.0, 1.4556423
5520.0, 1.4535389
5530.0, 1.4514418
5540.0, 1.4493512
5550.0, 1.447267
5560.0, 1.4451891
5570.0, 1.4431176
5580.0, 1.4410526
5590.0, 1.4389938
5600.0, 1.436941
5610.0, 1.4348948
5620.0, 1.4328549
5630.0, 1.430821
5640.0, 1.4287932
5650.0, 1.4267715
5660.0, 1.424756
5670.0, 1.4227465
5680.0, 1.4207431
5690.0, 1.4187455
5700.0, 1.4167542
5710.0, 1.4147688
5720.0, 1.4127892
5730.0, 1.4108157
5740.0, 1.408848
5750.0, 1.4068862
5760.0, 1.40493
5770.0, 1.4029799
5780.0, 1.4010353
5790.0, 1.3990967
5800.0, 1.3971637
5810.0, 1.3952364
5820.0, 1.3933147
5830.0, 1.3913989
5840.0, 1.3894883
5850.0, 1.3875837
5860.0, 1.3856846
5870.0, 1.3837911
5880.0, 1.3819029
5890.0, 1.3800205
5900.0, 1.3781433
5910.0, 1.3762717
5920.0, 1.3744054
5930.0, 1.3725445
5940.0, 1.370689
5950.0, 1.3688391
5960.0, 1.3669943
5970.0, 1.3651549
5980.0, 1.3633206
5990.0, 1.3614918
6000.0, 1.3596679
6010.0, 1.3578492
6020.0, 1.3560364
6030.0, 1.3542283
6040.0, 1.3524253
6050.0, 1.3506274
6060.0, 1.3488348
6070.0, 1.3470473
6080.0, 1.3452647
6090.0, 1.343487
6100.0, 1.3417149
6110.0, 1.3399472
6120.0, 1.3381847
6130.0, 1.3364269
6140.0, 1.3346745
6150.0, 1.3329265
6160.0, 1.3311838
6170.0, 1.329446
6180.0, 1.3277127
6190.0, 1.3259842
6200.0, 1.3242612
6210.0, 1.3225423
6220.0, 1.3208284
6230.0, 1.3191192
6240.0, 1.3174148
6250.0, 1.3157151
6260.0, 1.3140202
6270.0, 1.3123296
6280.0, 1.3106438
6290.0, 1.3089626
6300.0, 1.3072864
6310.0, 1.3056145
6320.0, 1.303947
6330.0, 1.3022841
6340.0, 1.300626
6350.0, 1.2989722
6360.0, 1.2973231
6370.0, 1.2956785
6380.0, 1.294038
6390.0, 1.2924023
6400.0, 1.2907706
6410.0, 1.2891439
6420.0, 1.287521
6430.0, 1.285903
6440.0, 1.284289
6450.0, 1.2826793
6460.0, 1.281074
6470.0, 1.2794732
6480.0, 1.2778765
6490.0, 1.2762841
6500.0, 1.2746959
6510.0, 1.2731118
6520.0, 1.271532
6530.0, 1.2699566
6540.0, 1.2683853
6550.0, 1.2668179
6560.0, 1.265255
6570.0, 1.2636961
6580.0, 1.2621413
6590.0, 1.2605906
6600.0, 1.2590437
6610.0, 1.2575012
6620.0, 1.2559627
6630.0, 1.2544279
6640.0, 1.2528976
6650.0, 1.2513711
6660.0, 1.2498485
6670.0, 1.2483299
6680.0, 1.2468153
6690.0, 1.2453047
