Energy (in eV), backscattering yield of material gr2k-NASCAP at incidence 0.0 degree
   X,       Y
4490.0, 0.10659123
4500.0, 0.106509835
4510.0, 0.1064286
4520.0, 0.10634753
4530.0, 0.106266625
4540.0, 0.106185876
4550.0, 0.10610529
4560.0, 0.10602487
4570.0, 0.1059446
4580.0, 0.1058645
4590.0, 0.10578456
4600.0, 0.10570478
4610.0, 0.10562515
4620.0, 0.105545685
4630.0, 0.10546638
4640.0, 0.10538723
4650.0, 0.10530824
4660.0, 0.10522941
4670.0, 0.10515074
4680.0, 0.105072215
4690.0, 0.10499386
4700.0, 0.104915656
4710.0, 0.104837604
4720.0, 0.104759715
4730.0, 0.104681976
4740.0, 0.1046044
4750.0, 0.104526974
4760.0, 0.104449704
4770.0, 0.10437258
4780.0, 0.10429562
4790.0, 0.10421881
4800.0, 0.10414216
4810.0, 0.10406566
4820.0, 0.10398931
4830.0, 0.10391311
4840.0, 0.103837065
4850.0, 0.103761174
4860.0, 0.10368543
4870.0, 0.103609845
4880.0, 0.10353441
4890.0, 0.10345912
4900.0, 0.10338398
4910.0, 0.10330899
4920.0, 0.10323416
4930.0, 0.103159465
4940.0, 0.10308493
4950.0, 0.103010535
4960.0, 0.1029363
4970.0, 0.1028622
4980.0, 0.10278826
4990.0, 0.102714464
5000.0, 0.102640815
5010.0, 0.10256731
5020.0, 0.10249396
5030.0, 0.10242075
5040.0, 0.10234769
5050.0, 0.10227477
5060.0, 0.102202
5070.0, 0.10212937
5080.0, 0.10205689
5090.0, 0.10198455
5100.0, 0.101912364
5110.0, 0.10184032
5120.0, 0.10176841
5130.0, 0.101696655
5140.0, 0.10162504
5150.0, 0.10155357
5160.0, 0.101482235
5170.0, 0.101411045
5180.0, 0.10134
5190.0, 0.101269096
5200.0, 0.10119834
5210.0, 0.101127714
5220.0, 0.10105724
5230.0, 0.1009869
5240.0, 0.1009167
5250.0, 0.10084664
5260.0, 0.100776725
5270.0, 0.10070695
5280.0, 0.10063731
5290.0, 0.10056781
5300.0, 0.10049845
5310.0, 0.10042923
5320.0, 0.10036015
5330.0, 0.1002912
5340.0, 0.100222394
5350.0, 0.10015372
5360.0, 0.10008519
5370.0, 0.100016795
5380.0, 0.09994853
5390.0, 0.09988041
5400.0, 0.099812426
5410.0, 0.09974457
5420.0, 0.099676855
5430.0, 0.09960928
5440.0, 0.09954183
5450.0, 0.09947452
5460.0, 0.099407345
5470.0, 0.0993403
5480.0, 0.09927339
5490.0, 0.09920662
5500.0, 0.09913998
5510.0, 0.09907347
5520.0, 0.09900709
5530.0, 0.09894086
5540.0, 0.09887474
5550.0, 0.098808765
5560.0, 0.09874292
5570.0, 0.0986772
5580.0, 0.09861162
5590.0, 0.09854617
5600.0, 0.09848085
5610.0, 0.09841566
5620.0, 0.0983506
5630.0, 0.09828567
5640.0, 0.09822087
5650.0, 0.0981562
5660.0, 0.098091654
5670.0, 0.09802724
5680.0, 0.09796295
5690.0, 0.097898796
5700.0, 0.09783477
5710.0, 0.09777087
5720.0, 0.0977071
5730.0, 0.09764346
5740.0, 0.09757993
5750.0, 0.097516544
5760.0, 0.09745328
5770.0, 0.097390145
5780.0, 0.097327136
5790.0, 0.097264245
5800.0, 0.09720149
5810.0, 0.09713885
5820.0, 0.09707634
5830.0, 0.09701396
5840.0, 0.0969517
5850.0, 0.09688956
5860.0, 0.09682755
5870.0, 0.09676567
5880.0, 0.0967039
5890.0, 0.09664226
5900.0, 0.096580744
5910.0, 0.09651935
5920.0, 0.09645808
5930.0, 0.09639693
5940.0, 0.0963359
5950.0, 0.096274994
5960.0, 0.09621421
5970.0, 0.09615355
5980.0, 0.09609301
5990.0, 0.09603259
6000.0, 0.09597229
6010.0, 0.095912114
6020.0, 0.095852055
6030.0, 0.095792115
6040.0, 0.095732294
6050.0, 0.0956726
6060.0, 0.09561302
6070.0, 0.095553555
6080.0, 0.09549422
6090.0, 0.09543499
6100.0, 0.09537589
6110.0, 0.0953169
6120.0, 0.09525803
6130.0, 0.09519928
6140.0, 0.09514064
6150.0, 0.09508213
6160.0, 0.09502373
6170.0, 0.09496544
6180.0, 0.09490728
6190.0, 0.09484923
6200.0, 0.09479129
6210.0, 0.09473347
6220.0, 0.09467577
6230.0, 0.09461818
6240.0, 0.094560705
6250.0, 0.09450335
6260.0, 0.09444611
6270.0, 0.09438898
6280.0, 0.09433196
6290.0, 0.09427506
6300.0, 0.09421827
6310.0, 0.0941616
6320.0, 0.094105035
6330.0, 0.09404859
6340.0, 0.093992256
6350.0, 0.09393603
6360.0, 0.09387992
6370.0, 0.093823925
6380.0, 0.09376804
6390.0, 0.09371226
6400.0, 0.0936566
6410.0, 0.09360105
6420.0, 0.09354561
6430.0, 0.09349028
6440.0, 0.09343506
6450.0, 0.093379945
6460.0, 0.09332495
6470.0, 0.093270056
6480.0, 0.09321528
6490.0, 0.09316061
6500.0, 0.09310605
6510.0, 0.0930516
6520.0, 0.09299725
6530.0, 0.09294302
6540.0, 0.09288889
6550.0, 0.092834875
6560.0, 0.09278096
6570.0, 0.09272716
6580.0, 0.092673466
6590.0, 0.09261988
6600.0, 0.0925664
6610.0, 0.092513025
6620.0, 0.09245976
6630.0, 0.0924066
6640.0, 0.092353545
6650.0, 0.092300594
6660.0, 0.092247754
6670.0, 0.09219502
6680.0, 0.09214238
6690.0, 0.09208986
6700.0, 0.09203744
6710.0, 0.09198512
6720.0, 0.09193291
6730.0, 0.0918808
6740.0, 0.09182879
6750.0, 0.09177689
6760.0, 0.091725096
6770.0, 0.091673404
6780.0, 0.091621816
6790.0, 0.09157033
6800.0, 0.091518946
6810.0, 0.09146766
6820.0, 0.091416486
6830.0, 0.09136541
6840.0, 0.091314435
6850.0, 0.09126356
6860.0, 0.091212794
6870.0, 0.09116212
6880.0, 0.091111556
6890.0, 0.09106109
6900.0, 0.09101073
6910.0, 0.09096046
6920.0, 0.09091029
6930.0, 0.09086023
6940.0, 0.09081026
6950.0, 0.0907604
6960.0, 0.09071063
6970.0, 0.09066097
6980.0, 0.090611406
6990.0, 0.090561934
7000.0, 0.090512566
7010.0, 0.090463296
7020.0, 0.09041412
7030.0, 0.09036505
7040.0, 0.09031607
7050.0, 0.0902672
7060.0, 0.09021842
7070.0, 0.090169735
7080.0, 0.09012115
7090.0, 0.09007266
7100.0, 0.09002427
7110.0, 0.089975975
7120.0, 0.08992778
7130.0, 0.08987968
7140.0, 0.08983167
7150.0, 0.089783765
7160.0, 0.08973595
7170.0, 0.08968823
7180.0, 0.08964061
7190.0, 0.089593075
7200.0, 0.089545645
7210.0, 0.089498304
7220.0, 0.08945107
7230.0, 0.08940391
7240.0, 0.08935686
7250.0, 0.0893099
7260.0, 0.08926303
7270.0, 0.089216255
7280.0, 0.08916958
7290.0, 0.08912299
7300.0, 0.0890765
7310.0, 0.089030094
7320.0, 0.08898379
7330.0, 0.08893757
7340.0, 0.08889145
7350.0, 0.08884542
7360.0, 0.08879948
7370.0, 0.08875363
7380.0, 0.08870788
7390.0, 0.088662215
7400.0, 0.08861664
7410.0, 0.08857115
7420.0, 0.088525765
7430.0, 0.088480465
7440.0, 0.088435255
7450.0, 0.088390134
7460.0, 0.0883451
7470.0, 0.08830017
7480.0, 0.088255316
7490.0, 0.08821055
7500.0, 0.08816589
7510.0, 0.0881213
7520.0, 0.088076815
7530.0, 0.08803241
7540.0, 0.08798809
7550.0, 0.08794387
7560.0, 0.08789973
7570.0, 0.08785568
7580.0, 0.087811716
7590.0, 0.08776785
7600.0, 0.08772406
7610.0, 0.08768036
7620.0, 0.08763675
7630.0, 0.08759323
7640.0, 0.08754978
7650.0, 0.087506436
7660.0, 0.08746317
7670.0, 0.087419994
7680.0, 0.08737691
7690.0, 0.087333895
7700.0, 0.08729098
7710.0, 0.08724815
7720.0, 0.087205395
7730.0, 0.08716273
7740.0, 0.08712016
7750.0, 0.08707767
7760.0, 0.08703526
7770.0, 0.086992934
7780.0, 0.0869507
7790.0, 0.08690855
7800.0, 0.086866476
7810.0, 0.08682449
7820.0, 0.08678259
7830.0, 0.08674077
7840.0, 0.08669904
7850.0, 0.08665739
7860.0, 0.08661582
7870.0, 0.08657434
7880.0, 0.086532936
7890.0, 0.086491615
7900.0, 0.08645038
7910.0, 0.086409226
7920.0, 0.08636815
7930.0, 0.086327165
7940.0, 0.086286254
7950.0, 0.08624543
7960.0, 0.086204685
7970.0, 0.08616402
7980.0, 0.086123444
7990.0, 0.08608294
8000.0, 0.08604252
8010.0, 0.086002186
8020.0, 0.08596192
8030.0, 0.08592175
8040.0, 0.08588165
8050.0, 0.08584163
8060.0, 0.08580169
8070.0, 0.08576184
8080.0, 0.08572206
8090.0, 0.08568236
8100.0, 0.08564274
8110.0, 0.0856032
8120.0, 0.08556374
8130.0, 0.08552436
8140.0, 0.08548505
8150.0, 0.08544583
8160.0, 0.08540668
8170.0, 0.08536761
8180.0, 0.08532862
8190.0, 0.08528971
8200.0, 0.08525088
8210.0, 0.08521212
8220.0, 0.085173436
8230.0, 0.085134834
8240.0, 0.08509631
8250.0, 0.08505786
8260.0, 0.08501949
8270.0, 0.084981196
8280.0, 0.084942974
8290.0, 0.084904835
8300.0, 0.08486677
8310.0, 0.08482878
8320.0, 0.08479086
8330.0, 0.08475303
8340.0, 0.08471526
8350.0, 0.08467758
8360.0, 0.08463997
8370.0, 0.08460243
8380.0, 0.08456497
8390.0, 0.08452758
8400.0, 0.08449027
8410.0, 0.08445303
8420.0, 0.08441587
8430.0, 0.08437878
8440.0, 0.084341764
8450.0, 0.084304824
8460.0, 0.08426795
8470.0, 0.08423116
8480.0, 0.084194444
8490.0, 0.084157795
8500.0, 0.08412122
8510.0, 0.08408472
8520.0, 0.08404829
8530.0, 0.08401194
8540.0, 0.08397566
8550.0, 0.08393945
8560.0, 0.08390331
8570.0, 0.083867244
8580.0, 0.08383125
8590.0, 0.08379533
8600.0, 0.08375949
8610.0, 0.08372371
8620.0, 0.083688
8630.0, 0.08365237
8640.0, 0.0836168
8650.0, 0.08358131
8660.0, 0.083545886
8670.0, 0.08351054
8680.0, 0.08347526
8690.0, 0.08344005
8700.0, 0.083404906
8710.0, 0.08336984
8720.0, 0.08333484
8730.0, 0.08329991
8740.0, 0.08326505
8750.0, 0.083230264
8760.0, 0.083195545
8770.0, 0.08316089
8780.0, 0.083126314
8790.0, 0.0830918
8800.0, 0.08305736
8810.0, 0.08302298
8820.0, 0.08298867
8830.0, 0.08295444
8840.0, 0.08292027
8850.0, 0.08288617
8860.0, 0.08285213
8870.0, 0.08281817
8880.0, 0.08278427
8890.0, 0.08275045
8900.0, 0.08271668
8910.0, 0.08268299
8920.0, 0.082649365
8930.0, 0.08261581
8940.0, 0.08258231
8950.0, 0.08254889
8960.0, 0.08251553
8970.0, 0.08248223
8980.0, 0.08244901
8990.0, 0.08241585
9000.0, 0.08238276
9010.0, 0.08234973
9020.0, 0.08231677
9030.0, 0.08228388
9040.0, 0.08225105
9050.0, 0.08221828
9060.0, 0.08218559
9070.0, 0.082152955
9080.0, 0.08212038
9090.0, 0.08208788
9100.0, 0.08205544
9110.0, 0.08202307
9120.0, 0.08199076
9130.0, 0.08195852
9140.0, 0.08192634
9150.0, 0.08189423
9160.0, 0.081862174
9170.0, 0.08183019
9180.0, 0.08179826
9190.0, 0.081766404
9200.0, 0.08173461
9210.0, 0.08170288
9220.0, 0.081671216
9230.0, 0.08163961
9240.0, 0.081608064
9250.0, 0.081576586
9260.0, 0.08154517
9270.0, 0.081513815
9280.0, 0.08148253
9290.0, 0.0814513
9300.0, 0.08142013
9310.0, 0.08138903
9320.0, 0.081357986
9330.0, 0.081327006
9340.0, 0.081296094
9350.0, 0.08126523
9360.0, 0.08123444
9370.0, 0.08120371
9380.0, 0.08117304
9390.0, 0.081142426
9400.0, 0.08111188
9410.0, 0.08108139
9420.0, 0.08105097
9430.0, 0.0810206
9440.0, 0.08099029
9450.0, 0.08096005
9460.0, 0.08092987
9470.0, 0.080899745
9480.0, 0.08086968
9490.0, 0.08083968
9500.0, 0.080809735
9510.0, 0.08077985
9520.0, 0.080750026
9530.0, 0.08072026
9540.0, 0.080690555
9550.0, 0.08066091
9560.0, 0.08063132
9570.0, 0.0806018
9580.0, 0.08057233
9590.0, 0.080542915
9600.0, 0.08051357
9610.0, 0.08048427
9620.0, 0.08045504
9630.0, 0.080425866
9640.0, 0.08039675
9650.0, 0.08036769
9660.0, 0.08033869
9670.0, 0.08030975
9680.0, 0.08028086
9690.0, 0.08025204
9700.0, 0.08022326
9710.0, 0.080194555
9720.0, 0.0801659
9730.0, 0.0801373
9740.0, 0.08010876
9750.0, 0.08008028
9760.0, 0.08005185
9770.0, 0.08002348
9780.0, 0.07999517
9790.0, 0.07996691
9800.0, 0.07993871
9810.0, 0.07991057
9820.0, 0.07988248
9830.0, 0.07985445
9840.0, 0.079826474
9850.0, 0.07979856
9860.0, 0.07977069
9870.0, 0.079742886
9880.0, 0.07971513
9890.0, 0.07968743
9900.0, 0.07965979
9910.0, 0.07963221
9920.0, 0.07960468
9930.0, 0.0795772
9940.0, 0.07954978
9950.0, 0.07952241
9960.0, 0.0794951
9970.0, 0.07946784
9980.0, 0.07944064
9990.0, 0.07941349
10000.0, 0.0793864
10010.0, 0.07935936
10020.0, 0.079332374
10030.0, 0.07930544
10040.0, 0.07927856
10050.0, 0.07925174
10060.0, 0.07922497
10070.0, 0.07919825
10080.0, 0.07917158
10090.0, 0.07914498
10100.0, 0.079118416
10110.0, 0.079091914
10120.0, 0.07906546
10130.0, 0.07903906
10140.0, 0.079012714
10150.0, 0.07898642
10160.0, 0.07896018
10170.0, 0.07893399
10180.0, 0.078907855
10190.0, 0.07888177
10200.0, 0.07885574
10210.0, 0.07882976
10220.0, 0.07880383
10230.0, 0.078777954
10240.0, 0.07875213
10250.0, 0.07872636
10260.0, 0.07870064
10270.0, 0.07867497
10280.0, 0.07864935
10290.0, 0.07862379
10300.0, 0.07859827
10310.0, 0.0785728
10320.0, 0.07854739
10330.0, 0.07852203
10340.0, 0.07849671
10350.0, 0.078471445
10360.0, 0.07844624
10370.0, 0.07842107
10380.0, 0.07839596
10390.0, 0.0783709
10400.0, 0.07834589
10410.0, 0.07832093
10420.0, 0.07829602
10430.0, 0.07827116
10440.0, 0.07824635
10450.0, 0.07822158
10460.0, 0.07819687
10470.0, 0.07817221
10480.0, 0.07814759
10490.0, 0.078123026
10500.0, 0.07809851
10510.0, 0.078074045
10520.0, 0.07804963
10530.0, 0.07802526
10540.0, 0.07800094
10550.0, 0.07797667
10560.0, 0.077952445
10570.0, 0.07792827
10580.0, 0.07790414
10590.0, 0.07788006
10600.0, 0.077856034
10610.0, 0.07783205
10620.0, 0.07780812
10630.0, 0.077784225
10640.0, 0.07776039
10650.0, 0.0777366
10660.0, 0.077712856
10670.0, 0.077689156
10680.0, 0.07766551
10690.0, 0.07764191
10700.0, 0.07761835
10710.0, 0.07759485
10720.0, 0.077571385
10730.0, 0.077547975
10740.0, 0.0775246
10750.0, 0.07750128
10760.0, 0.077478014
10770.0, 0.07745478
10780.0, 0.077431604
10790.0, 0.07740847
10800.0, 0.07738538
10810.0, 0.077362336
