Energy (in eV), SEEE yield of material np2k-NASCAP at isotropic incidence
   X,       Y
4210.0, 3.9711277E-12
4220.0, 3.889081E-12
4230.0, 3.8089133E-12
4240.0, 3.7305857E-12
4250.0, 3.654044E-12
4260.0, 3.5792471E-12
4270.0, 3.5061546E-12
4280.0, 3.434717E-12
4290.0, 3.3649004E-12
4300.0, 3.296657E-12
4310.0, 3.2299543E-12
4320.0, 3.164749E-12
4330.0, 3.1010084E-12
4340.0, 3.0386913E-12
4350.0, 2.9777684E-12
4360.0, 2.9182004E-12
4370.0, 2.859959E-12
4380.0, 2.803006E-12
4390.0, 2.7473165E-12
4400.0, 2.6928538E-12
4410.0, 2.6395928E-12
4420.0, 2.5875003E-12
4430.0, 2.536552E-12
4440.0, 2.4867161E-12
4450.0, 2.4379702E-12
4460.0, 2.3902844E-12
4470.0, 2.3436372E-12
4480.0, 2.297999E-12
4490.0, 2.2533505E-12
4500.0, 2.209664E-12
4510.0, 2.1669186E-12
4520.0, 2.125094E-12
4530.0, 2.0841644E-12
4540.0, 2.044113E-12
4550.0, 2.0049147E-12
4560.0, 1.9665537E-12
4570.0, 1.9290064E-12
4580.0, 1.8922574E-12
4590.0, 1.8562847E-12
4600.0, 1.8210737E-12
4610.0, 1.7866032E-12
4620.0, 1.7528594E-12
4630.0, 1.7198222E-12
4640.0, 1.6874785E-12
4650.0, 1.6558093E-12
4660.0, 1.624802E-12
4670.0, 1.5944383E-12
4680.0, 1.5647069E-12
4690.0, 1.53559E-12
4700.0, 1.5070767E-12
4710.0, 1.4791504E-12
4720.0, 1.4518003E-12
4730.0, 1.4250114E-12
4740.0, 1.3987727E-12
4750.0, 1.3730697E-12
4760.0, 1.3478915E-12
4770.0, 1.3232278E-12
4780.0, 1.2990644E-12
4790.0, 1.2753926E-12
4800.0, 1.2521991E-12
4810.0, 1.2294751E-12
4820.0, 1.2072085E-12
4830.0, 1.185391E-12
4840.0, 1.1640109E-12
4850.0, 1.1430603E-12
4860.0, 1.1225277E-12
4870.0, 1.102406E-12
4880.0, 1.0826843E-12
4890.0, 1.0633555E-12
4900.0, 1.0444094E-12
4910.0, 1.0258395E-12
4920.0, 1.0076354E-12
4930.0, 9.897913E-13
4940.0, 9.722975E-13
4950.0, 9.551481E-13
4960.0, 9.383342E-13
4970.0, 9.2185E-13
4980.0, 9.0568693E-13
4990.0, 8.898396E-13
5000.0, 8.742995E-13
5010.0, 8.5906136E-13
5020.0, 8.4411883E-13
5030.0, 8.2946464E-13
5040.0, 8.15094E-13
5050.0, 8.009992E-13
5060.0, 7.8717604E-13
5070.0, 7.7361734E-13
5080.0, 7.6031884E-13
5090.0, 7.472737E-13
5100.0, 7.344781E-13
5110.0, 7.219254E-13
5120.0, 7.096117E-13
5130.0, 6.9753085E-13
5140.0, 6.856791E-13
5150.0, 6.740508E-13
5160.0, 6.6264214E-13
5170.0, 6.5144754E-13
5180.0, 6.4046376E-13
5190.0, 6.2968527E-13
5200.0, 6.19109E-13
5210.0, 6.0872943E-13
5220.0, 5.9854395E-13
5230.0, 5.885474E-13
5240.0, 5.787369E-13
5250.0, 5.6910764E-13
5260.0, 5.5965665E-13
5270.0, 5.503803E-13
5280.0, 5.4127465E-13
5290.0, 5.3233676E-13
5300.0, 5.2356253E-13
5310.0, 5.149494E-13
5320.0, 5.0649345E-13
5330.0, 4.981922E-13
5340.0, 4.900418E-13
5350.0, 4.8204E-13
5360.0, 4.741831E-13
5370.0, 4.664689E-13
5380.0, 4.588938E-13
5390.0, 4.514559E-13
5400.0, 4.4415155E-13
5410.0, 4.3697893E-13
5420.0, 4.299348E-13
5430.0, 4.2301712E-13
5440.0, 4.162229E-13
5450.0, 4.095503E-13
5460.0, 4.029963E-13
5470.0, 3.965592E-13
5480.0, 3.902361E-13
5490.0, 3.8402533E-13
5500.0, 3.7792417E-13
5510.0, 3.7193078E-13
5520.0, 3.6604332E-13
5530.0, 3.6025916E-13
5540.0, 3.5457688E-13
5550.0, 3.48994E-13
5560.0, 3.4350908E-13
5570.0, 3.381197E-13
5580.0, 3.3282462E-13
5590.0, 3.276215E-13
5600.0, 3.2250897E-13
5610.0, 3.1748492E-13
5620.0, 3.1254808E-13
5630.0, 3.076964E-13
5640.0, 3.029286E-13
5650.0, 2.9824274E-13
5660.0, 2.9363773E-13
5670.0, 2.8911148E-13
5680.0, 2.8466303E-13
5690.0, 2.8029047E-13
5700.0, 2.759928E-13
5710.0, 2.7176815E-13
5720.0, 2.6761557E-13
5730.0, 2.6353342E-13
5740.0, 2.5952062E-13
5750.0, 2.5557556E-13
5760.0, 2.5169715E-13
5770.0, 2.478844E-13
5780.0, 2.4413566E-13
5790.0, 2.404501E-13
5800.0, 2.3682626E-13
5810.0, 2.332633E-13
5820.0, 2.2975976E-13
5830.0, 2.2631486E-13
5840.0, 2.2292727E-13
5850.0, 2.1959616E-13
5860.0, 2.1632026E-13
5870.0, 2.1309884E-13
5880.0, 2.0993062E-13
5890.0, 2.068149E-13
5900.0, 2.0375044E-13
5910.0, 2.0073662E-13
5920.0, 1.9777219E-13
5930.0, 1.9485658E-13
5940.0, 1.9198866E-13
5950.0, 1.8916777E-13
5960.0, 1.8639284E-13
5970.0, 1.8366328E-13
5980.0, 1.8097805E-13
5990.0, 1.7833658E-13
6000.0, 1.7573786E-13
6010.0, 1.7318124E-13
6020.0, 1.7066608E-13
6030.0, 1.6819142E-13
6040.0, 1.6575677E-13
6050.0, 1.6336119E-13
6060.0, 1.610042E-13
6070.0, 1.5868491E-13
6080.0, 1.5640294E-13
6090.0, 1.541573E-13
6100.0, 1.5194759E-13
6110.0, 1.4977304E-13
6120.0, 1.4763315E-13
6130.0, 1.4552716E-13
6140.0, 1.4345469E-13
6150.0, 1.4141493E-13
6160.0, 1.3940749E-13
6170.0, 1.3743168E-13
6180.0, 1.3548707E-13
6190.0, 1.3357296E-13
6200.0, 1.3168903E-13
6210.0, 1.2983454E-13
6220.0, 1.2800916E-13
6230.0, 1.2621223E-13
6240.0, 1.2444346E-13
6250.0, 1.2270214E-13
6260.0, 1.2098792E-13
6270.0, 1.1930043E-13
6280.0, 1.17639E-13
6290.0, 1.1600338E-13
6300.0, 1.1439298E-13
6310.0, 1.12807496E-13
6320.0, 1.1124637E-13
6330.0, 1.0970937E-13
6340.0, 1.0819589E-13
6350.0, 1.0670568E-13
6360.0, 1.0523825E-13
6370.0, 1.0379332E-13
6380.0, 1.0237037E-13
6390.0, 1.0096919E-13
6400.0, 9.958926E-14
6410.0, 9.823035E-14
6420.0, 9.6892024E-14
6430.0, 9.557402E-14
6440.0, 9.4275885E-14
6450.0, 9.299743E-14
6460.0, 9.173818E-14
6470.0, 9.0497956E-14
6480.0, 8.9276304E-14
6490.0, 8.8073076E-14
6500.0, 8.68878E-14
6510.0, 8.5720256E-14
6520.0, 8.457022E-14
6530.0, 8.3437285E-14
6540.0, 8.232128E-14
6550.0, 8.122182E-14
6560.0, 8.013874E-14
6570.0, 7.9071684E-14
6580.0, 7.802046E-14
6590.0, 7.698473E-14
6600.0, 7.596433E-14
6610.0, 7.495893E-14
6620.0, 7.396837E-14
6630.0, 7.299232E-14
6640.0, 7.203064E-14
6650.0, 7.1083E-14
6660.0, 7.0149276E-14
6670.0, 6.922914E-14
6680.0, 6.8322464E-14
6690.0, 6.7428966E-14
6700.0, 6.654848E-14
6710.0, 6.5680744E-14
6720.0, 6.482564E-14
