Energy (in eV), backscattering yield of material ka2k-NASCAP at isotropic incidence
   X,       Y
4710.0, 0.24483252
4720.0, 0.24472703
4730.0, 0.2446217
4740.0, 0.24451657
4750.0, 0.2444116
4760.0, 0.2443068
4770.0, 0.2442022
4780.0, 0.24409775
4790.0, 0.2439935
4800.0, 0.24388945
4810.0, 0.24378553
4820.0, 0.24368182
4830.0, 0.24357827
4840.0, 0.24347492
4850.0, 0.24337174
4860.0, 0.24326871
4870.0, 0.24316588
4880.0, 0.24306323
4890.0, 0.24296074
4900.0, 0.24285844
4910.0, 0.24275629
4920.0, 0.24265435
4930.0, 0.24255256
4940.0, 0.24245095
4950.0, 0.2423495
4960.0, 0.24224825
4970.0, 0.24214716
4980.0, 0.24204624
4990.0, 0.24194549
5000.0, 0.24184492
5010.0, 0.24174452
5020.0, 0.24164431
5030.0, 0.24154425
5040.0, 0.24144436
5050.0, 0.24134465
5060.0, 0.2412451
5070.0, 0.24114574
5080.0, 0.24104655
5090.0, 0.2409475
5100.0, 0.24084866
5110.0, 0.24074996
5120.0, 0.24065144
5130.0, 0.24055308
5140.0, 0.24045491
5150.0, 0.24035689
5160.0, 0.24025905
5170.0, 0.24016136
5180.0, 0.24006386
5190.0, 0.23996653
5200.0, 0.23986936
5210.0, 0.23977235
5220.0, 0.2396755
5230.0, 0.23957883
5240.0, 0.23948231
5250.0, 0.23938596
5260.0, 0.23928979
5270.0, 0.2391938
5280.0, 0.23909794
5290.0, 0.23900226
5300.0, 0.23890676
5310.0, 0.2388114
5320.0, 0.23871621
5330.0, 0.23862119
5340.0, 0.23852633
5350.0, 0.23843165
5360.0, 0.23833711
5370.0, 0.23824275
5380.0, 0.23814854
5390.0, 0.2380545
5400.0, 0.2379606
5410.0, 0.2378669
5420.0, 0.23777333
5430.0, 0.23767994
5440.0, 0.23758669
5450.0, 0.23749363
5460.0, 0.23740073
5470.0, 0.23730797
5480.0, 0.23721537
5490.0, 0.23712294
5500.0, 0.23703067
5510.0, 0.23693855
5520.0, 0.23684661
5530.0, 0.2367548
5540.0, 0.23666316
5550.0, 0.2365717
5560.0, 0.23648039
5570.0, 0.2363892
5580.0, 0.23629822
5590.0, 0.23620738
5600.0, 0.23611669
5610.0, 0.23602614
5620.0, 0.23593578
5630.0, 0.23584555
5640.0, 0.2357555
5650.0, 0.2356656
5660.0, 0.23557584
5670.0, 0.23548625
5680.0, 0.23539682
5690.0, 0.23530753
5700.0, 0.2352184
5710.0, 0.23512942
5720.0, 0.2350406
5730.0, 0.23495196
5740.0, 0.23486343
5750.0, 0.23477507
5760.0, 0.23468687
5770.0, 0.23459883
5780.0, 0.23451093
5790.0, 0.23442318
5800.0, 0.23433559
5810.0, 0.23424815
5820.0, 0.23416084
5830.0, 0.23407371
5840.0, 0.23398675
5850.0, 0.23389989
5860.0, 0.23381321
5870.0, 0.2337267
5880.0, 0.2336403
5890.0, 0.23355407
5900.0, 0.23346798
5910.0, 0.23338206
5920.0, 0.23329628
5930.0, 0.23321064
5940.0, 0.23312517
5950.0, 0.23303983
5960.0, 0.23295465
5970.0, 0.2328696
5980.0, 0.2327847
5990.0, 0.23269998
6000.0, 0.23261538
6010.0, 0.23253094
6020.0, 0.23244664
6030.0, 0.23236248
6040.0, 0.23227848
6050.0, 0.23219462
6060.0, 0.23211092
6070.0, 0.23202735
6080.0, 0.23194394
6090.0, 0.23186067
6100.0, 0.23177752
6110.0, 0.23169455
6120.0, 0.23161171
6130.0, 0.23152901
6140.0, 0.23144646
6150.0, 0.23136406
6160.0, 0.2312818
6170.0, 0.2311997
6180.0, 0.2311177
6190.0, 0.23103587
6200.0, 0.23095419
6210.0, 0.23087265
6220.0, 0.23079124
6230.0, 0.23071
6240.0, 0.23062888
6250.0, 0.2305479
6260.0, 0.23046707
6270.0, 0.23038638
6280.0, 0.23030584
6290.0, 0.23022541
6300.0, 0.23014516
6310.0, 0.23006503
6320.0, 0.22998504
6330.0, 0.2299052
6340.0, 0.2298255
6350.0, 0.22974592
6360.0, 0.22966652
6370.0, 0.22958723
6380.0, 0.22950809
6390.0, 0.22942905
6400.0, 0.2293502
6410.0, 0.22927146
6420.0, 0.22919287
6430.0, 0.22911441
6440.0, 0.2290361
6450.0, 0.22895792
6460.0, 0.22887987
6470.0, 0.22880197
6480.0, 0.2287242
6490.0, 0.22864658
6500.0, 0.22856908
6510.0, 0.22849171
6520.0, 0.22841449
6530.0, 0.2283374
6540.0, 0.22826046
6550.0, 0.22818364
6560.0, 0.22810696
6570.0, 0.22803043
6580.0, 0.227954
6590.0, 0.22787775
6600.0, 0.2278016
6610.0, 0.22772558
6620.0, 0.22764972
6630.0, 0.22757399
6640.0, 0.22749838
6650.0, 0.2274229
6660.0, 0.22734757
6670.0, 0.22727238
6680.0, 0.22719729
6690.0, 0.22712234
6700.0, 0.22704753
6710.0, 0.22697286
6720.0, 0.22689831
6730.0, 0.2268239
6740.0, 0.22674961
6750.0, 0.22667545
6760.0, 0.22660145
6770.0, 0.22652756
6780.0, 0.2264538
6790.0, 0.22638017
6800.0, 0.22630666
6810.0, 0.22623329
6820.0, 0.22616006
6830.0, 0.22608696
6840.0, 0.22601397
6850.0, 0.22594112
6860.0, 0.22586839
6870.0, 0.22579582
6880.0, 0.22572334
6890.0, 0.22565103
6900.0, 0.22557881
6910.0, 0.22550672
6920.0, 0.22543478
6930.0, 0.22536296
6940.0, 0.22529125
6950.0, 0.22521967
6960.0, 0.22514823
6970.0, 0.22507691
6980.0, 0.22500573
6990.0, 0.22493465
7000.0, 0.22486372
7010.0, 0.22479291
7020.0, 0.22472222
7030.0, 0.22465166
7040.0, 0.22458123
7050.0, 0.22451091
7060.0, 0.22444072
7070.0, 0.22437066
7080.0, 0.22430073
7090.0, 0.22423092
7100.0, 0.22416124
7110.0, 0.22409166
7120.0, 0.22402222
7130.0, 0.22395289
7140.0, 0.2238837
7150.0, 0.22381464
7160.0, 0.22374569
7170.0, 0.22367685
7180.0, 0.22360815
7190.0, 0.22353956
7200.0, 0.22347112
7210.0, 0.22340277
7220.0, 0.22333457
7230.0, 0.22326645
7240.0, 0.22319849
7250.0, 0.22313064
7260.0, 0.2230629
7270.0, 0.22299528
7280.0, 0.2229278
7290.0, 0.22286043
7300.0, 0.22279318
7310.0, 0.22272605
7320.0, 0.22265904
7330.0, 0.22259213
7340.0, 0.22252536
7350.0, 0.2224587
7360.0, 0.22239217
7370.0, 0.22232576
7380.0, 0.22225948
7390.0, 0.2221933
7400.0, 0.22212724
7410.0, 0.22206129
7420.0, 0.22199546
7430.0, 0.22192974
7440.0, 0.22186416
7450.0, 0.22179869
7460.0, 0.22173333
7470.0, 0.2216681
7480.0, 0.22160298
7490.0, 0.22153796
7500.0, 0.22147308
7510.0, 0.2214083
7520.0, 0.22134367
7530.0, 0.2212791
7540.0, 0.22121468
7550.0, 0.22115037
7560.0, 0.22108616
7570.0, 0.2210221
7580.0, 0.22095811
7590.0, 0.22089426
7600.0, 0.22083053
7610.0, 0.22076692
7620.0, 0.2207034
7630.0, 0.22063999
7640.0, 0.22057672
7650.0, 0.22051355
7660.0, 0.22045049
7670.0, 0.22038755
7680.0, 0.22032471
7690.0, 0.220262
7700.0, 0.2201994
7710.0, 0.2201369
7720.0, 0.22007452
7730.0, 0.22001225
7740.0, 0.21995011
7750.0, 0.21988805
7760.0, 0.21982612
7770.0, 0.21976429
7780.0, 0.21970259
7790.0, 0.21964099
7800.0, 0.2195795
7810.0, 0.21951811
7820.0, 0.21945684
7830.0, 0.21939568
7840.0, 0.21933463
7850.0, 0.2192737
7860.0, 0.21921287
7870.0, 0.21915215
7880.0, 0.21909153
7890.0, 0.21903104
7900.0, 0.21897063
7910.0, 0.21891035
7920.0, 0.21885017
7930.0, 0.21879011
7940.0, 0.21873014
7950.0, 0.2186703
7960.0, 0.21861055
7970.0, 0.2185509
7980.0, 0.21849139
7990.0, 0.21843195
8000.0, 0.21837264
8010.0, 0.21831343
8020.0, 0.21825434
8030.0, 0.21819535
8040.0, 0.21813644
8050.0, 0.21807767
8060.0, 0.218019
8070.0, 0.21796042
8080.0, 0.21790196
8090.0, 0.21784359
8100.0, 0.21778533
8110.0, 0.21772718
8120.0, 0.21766914
8130.0, 0.21761121
8140.0, 0.21755336
8150.0, 0.21749564
8160.0, 0.21743801
8170.0, 0.21738048
8180.0, 0.21732306
8190.0, 0.21726575
8200.0, 0.21720855
8210.0, 0.21715143
8220.0, 0.21709444
8230.0, 0.21703754
8240.0, 0.21698073
8250.0, 0.21692404
8260.0, 0.21686745
8270.0, 0.21681096
8280.0, 0.21675457
8290.0, 0.21669827
8300.0, 0.2166421
8310.0, 0.21658601
8320.0, 0.21653004
8330.0, 0.21647415
8340.0, 0.21641837
8350.0, 0.21636268
8360.0, 0.21630712
8370.0, 0.21625164
8380.0, 0.21619627
8390.0, 0.216141
8400.0, 0.21608582
8410.0, 0.21603073
8420.0, 0.21597576
8430.0, 0.21592088
8440.0, 0.21586612
8450.0, 0.21581145
8460.0, 0.21575686
8470.0, 0.21570238
8480.0, 0.21564801
8490.0, 0.21559373
8500.0, 0.21553953
8510.0, 0.21548545
8520.0, 0.21543147
8530.0, 0.21537758
8540.0, 0.21532379
8550.0, 0.2152701
8560.0, 0.2152165
8570.0, 0.21516299
8580.0, 0.21510959
8590.0, 0.2150563
8600.0, 0.21500309
8610.0, 0.21494998
8620.0, 0.21489698
8630.0, 0.21484405
8640.0, 0.21479122
8650.0, 0.21473852
8660.0, 0.21468587
8670.0, 0.21463336
8680.0, 0.21458091
8690.0, 0.21452858
8700.0, 0.21447632
8710.0, 0.21442416
8720.0, 0.21437213
8730.0, 0.21432017
8740.0, 0.2142683
8750.0, 0.21421652
8760.0, 0.21416484
8770.0, 0.21411325
8780.0, 0.21406177
8790.0, 0.21401036
8800.0, 0.21395907
8810.0, 0.21390787
8820.0, 0.21385673
8830.0, 0.21380572
8840.0, 0.21375479
8850.0, 0.21370395
8860.0, 0.2136532
8870.0, 0.21360256
8880.0, 0.213552
8890.0, 0.21350153
8900.0, 0.21345116
8910.0, 0.21340087
8920.0, 0.21335068
8930.0, 0.21330059
8940.0, 0.21325058
8950.0, 0.21320067
8960.0, 0.21315083
8970.0, 0.2131011
8980.0, 0.21305145
8990.0, 0.2130019
9000.0, 0.21295245
9010.0, 0.21290308
9020.0, 0.2128538
9030.0, 0.21280462
9040.0, 0.21275552
9050.0, 0.21270649
9060.0, 0.21265757
9070.0, 0.21260874
9080.0, 0.21256
9090.0, 0.21251135
9100.0, 0.21246277
9110.0, 0.2124143
9120.0, 0.21236591
9130.0, 0.21231763
9140.0, 0.2122694
9150.0, 0.2122213
9160.0, 0.21217325
9170.0, 0.2121253
9180.0, 0.21207745
9190.0, 0.21202968
9200.0, 0.21198201
9210.0, 0.2119344
9220.0, 0.2118869
9230.0, 0.21183948
9240.0, 0.21179214
9250.0, 0.2117449
9260.0, 0.21169773
9270.0, 0.21165065
9280.0, 0.21160369
9290.0, 0.21155678
9300.0, 0.21150996
9310.0, 0.21146324
9320.0, 0.2114166
9330.0, 0.21137002
9340.0, 0.21132357
9350.0, 0.21127719
9360.0, 0.21123089
9370.0, 0.21118465
9380.0, 0.21113855
9390.0, 0.21109247
9400.0, 0.21104653
9410.0, 0.21100064
9420.0, 0.21095484
9430.0, 0.21090914
9440.0, 0.21086352
9450.0, 0.21081798
9460.0, 0.21077251
9470.0, 0.21072716
9480.0, 0.21068186
9490.0, 0.21063665
9500.0, 0.21059154
9510.0, 0.2105465
9520.0, 0.21050154
9530.0, 0.21045665
9540.0, 0.21041186
9550.0, 0.21036716
9560.0, 0.21032253
9570.0, 0.21027799
9580.0, 0.21023351
9590.0, 0.21018913
9600.0, 0.21014485
9610.0, 0.2101006
9620.0, 0.2100565
9630.0, 0.21001242
9640.0, 0.20996846
9650.0, 0.20992456
9660.0, 0.20988075
9670.0, 0.20983702
9680.0, 0.20979337
9690.0, 0.2097498
9700.0, 0.2097063
9710.0, 0.2096629
9720.0, 0.20961958
9730.0, 0.20957631
9740.0, 0.20953315
9750.0, 0.20949006
9760.0, 0.20944704
9770.0, 0.20940413
9780.0, 0.20936127
9790.0, 0.20931849
9800.0, 0.2092758
9810.0, 0.20923318
9820.0, 0.20919067
9830.0, 0.2091482
9840.0, 0.20910582
9850.0, 0.20906353
9860.0, 0.2090213
9870.0, 0.20897916
9880.0, 0.20893708
9890.0, 0.20889509
9900.0, 0.20885319
9910.0, 0.20881134
9920.0, 0.20876959
9930.0, 0.20872791
9940.0, 0.20868632
9950.0, 0.20864479
9960.0, 0.20860335
9970.0, 0.20856197
9980.0, 0.20852067
9990.0, 0.20847946
10000.0, 0.20843832
10010.0, 0.20839725
10020.0, 0.20835628
10030.0, 0.20831536
10040.0, 0.20827451
10050.0, 0.20823376
10060.0, 0.20819308
10070.0, 0.20815246
10080.0, 0.20811191
10090.0, 0.20807147
10100.0, 0.20803107
10110.0, 0.20799077
10120.0, 0.20795053
10130.0, 0.20791037
10140.0, 0.20787029
10150.0, 0.20783027
10160.0, 0.20779033
10170.0, 0.20775047
10180.0, 0.20771068
10190.0, 0.20767097
10200.0, 0.20763132
10210.0, 0.20759174
10220.0, 0.20755225
10230.0, 0.20751283
10240.0, 0.20747349
10250.0, 0.2074342
10260.0, 0.20739502
10270.0, 0.20735589
10280.0, 0.20731682
10290.0, 0.20727783
10300.0, 0.20723893
10310.0, 0.20720008
10320.0, 0.20716132
10330.0, 0.20712262
10340.0, 0.207084
10350.0, 0.20704545
10360.0, 0.20700698
10370.0, 0.20696856
10380.0, 0.20693022
10390.0, 0.20689195
10400.0, 0.20685375
10410.0, 0.20681563
10420.0, 0.20677759
10430.0, 0.2067396
10440.0, 0.2067017
10450.0, 0.20666385
10460.0, 0.20662609
10470.0, 0.20658837
10480.0, 0.20655075
10490.0, 0.20651318
10500.0, 0.2064757
10510.0, 0.20643829
10520.0, 0.20640095
10530.0, 0.20636366
10540.0, 0.20632645
10550.0, 0.2062893
10560.0, 0.20625223
10570.0, 0.20621523
10580.0, 0.20617831
10590.0, 0.20614143
10600.0, 0.20610464
10610.0, 0.2060679
10620.0, 0.20603125
10630.0, 0.20599464
10640.0, 0.20595813
10650.0, 0.2059217
10660.0, 0.20588529
10670.0, 0.20584898
10680.0, 0.20581271
10690.0, 0.20577654
10700.0, 0.2057404
10710.0, 0.20570438
10720.0, 0.20566839
10730.0, 0.20563248
10740.0, 0.20559663
10750.0, 0.20556086
10760.0, 0.20552514
10770.0, 0.2054895
10780.0, 0.2054539
10790.0, 0.20541841
10800.0, 0.20538296
10810.0, 0.20534758
10820.0, 0.20531225
10830.0, 0.20527701
10840.0, 0.20524184
10850.0, 0.20520672
10860.0, 0.20517167
10870.0, 0.20513669
10880.0, 0.20510176
10890.0, 0.20506692
10900.0, 0.20503211
10910.0, 0.20499739
10920.0, 0.20496272
10930.0, 0.20492814
10940.0, 0.2048936
10950.0, 0.20485914
10960.0, 0.20482475
10970.0, 0.20479041
10980.0, 0.20475614
10990.0, 0.20472193
11000.0, 0.20468779
11010.0, 0.20465371
11020.0, 0.20461969
11030.0, 0.20458575
11040.0, 0.20455185
11050.0, 0.20451802
11060.0, 0.20448427
11070.0, 0.20445056
11080.0, 0.20441693
11090.0, 0.20438337
11100.0, 0.20434986
11110.0, 0.20431642
11120.0, 0.20428303
11130.0, 0.20424971
11140.0, 0.20421645
11150.0, 0.20418327
11160.0, 0.20415011
11170.0, 0.20411704
11180.0, 0.20408404
11190.0, 0.20405109
11200.0, 0.2040182
11210.0, 0.20398538
11220.0, 0.20395263
11230.0, 0.20391992
11240.0, 0.20388728
11250.0, 0.20385471
11260.0, 0.20382218
11270.0, 0.20378974
11280.0, 0.20375733
11290.0, 0.20372501
11300.0, 0.20369272
11310.0, 0.20366052
11320.0, 0.20362836
11330.0, 0.20359628
11340.0, 0.20356424
11350.0, 0.20353226
11360.0, 0.20350038
11370.0, 0.20346852
11380.0, 0.20343672
11390.0, 0.203405
11400.0, 0.20337333
11410.0, 0.20334171
11420.0, 0.20331016
11430.0, 0.20327868
11440.0, 0.20324722
11450.0, 0.20321585
11460.0, 0.20318455
11470.0, 0.20315328
11480.0, 0.2031221
11490.0, 0.20309095
11500.0, 0.20305987
11510.0, 0.20302884
11520.0, 0.20299788
11530.0, 0.20296697
11540.0, 0.20293613
11550.0, 0.20290534
11560.0, 0.20287462
11570.0, 0.20284395
