Energy (in eV), SEEP yield of material osr2k-NASCAP at incidence 0.0 degree
   X,       Y
95000.0, 2.660875
95200.0, 2.6614094
95400.0, 2.66194
95600.0, 2.662467
95800.0, 2.6629896
96000.0, 2.663509
96200.0, 2.6640244
96400.0, 2.664536
96600.0, 2.665044
96800.0, 2.6655478
97000.0, 2.6660488
97200.0, 2.6665454
97400.0, 2.6670387
97600.0, 2.6675277
97800.0, 2.6680143
98000.0, 2.6684964
98200.0, 2.6689754
98400.0, 2.6694498
98600.0, 2.6699219
98800.0, 2.67039
99000.0, 2.6708546
99200.0, 2.6713157
99400.0, 2.671773
99600.0, 2.6722271
99800.0, 2.672678
100000.0, 2.673125
