Energy (in eV), backscattering yield of material gr2k-NASCAP at isotropic incidence
   X,       Y
3850.0, 0.26843104
3860.0, 0.2683132
3870.0, 0.26819554
3880.0, 0.2680781
3890.0, 0.26796085
3900.0, 0.26784378
3910.0, 0.26772696
3920.0, 0.2676103
3930.0, 0.26749387
3940.0, 0.26737761
3950.0, 0.26726156
3960.0, 0.26714572
3970.0, 0.2670301
3980.0, 0.26691464
3990.0, 0.26679936
4000.0, 0.26668432
4010.0, 0.26656947
4020.0, 0.26645482
4030.0, 0.26634035
4040.0, 0.26622608
4050.0, 0.266112
4060.0, 0.26599813
4070.0, 0.26588446
4080.0, 0.26577097
4090.0, 0.2656577
4100.0, 0.2655446
4110.0, 0.2654317
4120.0, 0.265319
4130.0, 0.2652065
4140.0, 0.26509416
4150.0, 0.26498204
4160.0, 0.2648701
4170.0, 0.26475838
4180.0, 0.26464683
4190.0, 0.2645355
4200.0, 0.26442432
4210.0, 0.26431334
4220.0, 0.2642026
4230.0, 0.264092
4240.0, 0.26398158
4250.0, 0.2638714
4260.0, 0.26376137
4270.0, 0.26365155
4280.0, 0.2635419
4290.0, 0.26343247
4300.0, 0.2633232
4310.0, 0.2632141
4320.0, 0.26310524
4330.0, 0.26299655
4340.0, 0.26288804
4350.0, 0.2627797
4360.0, 0.2626716
4370.0, 0.26256365
4380.0, 0.2624559
4390.0, 0.26234832
4400.0, 0.26224095
4410.0, 0.26213372
4420.0, 0.26202673
4430.0, 0.2619199
4440.0, 0.26181325
4450.0, 0.2617068
4460.0, 0.26160052
4470.0, 0.2614944
4480.0, 0.2613885
4490.0, 0.2612828
4500.0, 0.26117724
4510.0, 0.26107186
4520.0, 0.2609667
4530.0, 0.26086172
4540.0, 0.2607569
4550.0, 0.26065227
4560.0, 0.26054782
4570.0, 0.26044354
4580.0, 0.26033947
4590.0, 0.26023558
4600.0, 0.26013184
4610.0, 0.26002827
4620.0, 0.25992492
4630.0, 0.25982174
4640.0, 0.25971872
4650.0, 0.2596159
4660.0, 0.25951326
4670.0, 0.25941077
4680.0, 0.25930846
4690.0, 0.25920635
4700.0, 0.2591044
4710.0, 0.25900266
4720.0, 0.25890106
4730.0, 0.25879964
4740.0, 0.2586984
4750.0, 0.25859734
4760.0, 0.2584965
4770.0, 0.2583958
4780.0, 0.25829524
4790.0, 0.25819486
4800.0, 0.2580947
4810.0, 0.2579947
4820.0, 0.25789487
4830.0, 0.2577952
4840.0, 0.25769573
4850.0, 0.2575964
4860.0, 0.25749728
4870.0, 0.2573983
4880.0, 0.25729954
4890.0, 0.2572009
4900.0, 0.25710246
4910.0, 0.25700417
4920.0, 0.25690606
4930.0, 0.25680813
4940.0, 0.25671038
4950.0, 0.25661278
4960.0, 0.25651535
4970.0, 0.2564181
4980.0, 0.256321
4990.0, 0.2562241
5000.0, 0.25612736
5010.0, 0.25603077
5020.0, 0.2559344
5030.0, 0.25583816
5040.0, 0.25574207
5050.0, 0.25564617
5060.0, 0.25555044
5070.0, 0.25545487
5080.0, 0.25535947
5090.0, 0.25526422
5100.0, 0.25516918
