Energy (in eV), SEEP yield of material ka2k-NASCAP at isotropic incidence
   X,       Y
74000.0, 5.1530957
74200.0, 5.1552467
74400.0, 5.157386
74600.0, 5.15951
74800.0, 5.161622
75000.0, 5.1637206
75200.0, 5.165807
75400.0, 5.1678786
75600.0, 5.169937
75800.0, 5.1719847
76000.0, 5.174019
76200.0, 5.17604
76400.0, 5.178048
76600.0, 5.1800437
76800.0, 5.1820273
77000.0, 5.183998
77200.0, 5.1859565
77400.0, 5.1879034
77600.0, 5.1898375
77800.0, 5.1917586
78000.0, 5.1936684
78200.0, 5.195565
78400.0, 5.197452
78600.0, 5.199325
78800.0, 5.2011867
79000.0, 5.2030377
79200.0, 5.204876
79400.0, 5.206702
79600.0, 5.2085185
79800.0, 5.210321
80000.0, 5.2121134
80200.0, 5.213895
80400.0, 5.215664
80600.0, 5.2174215
80800.0, 5.219168
81000.0, 5.2209044
81200.0, 5.222629
81400.0, 5.224343
81600.0, 5.226045
81800.0, 5.2277365
82000.0, 5.2294173
82200.0, 5.231087
82400.0, 5.2327466
82600.0, 5.2343946
82800.0, 5.236033
83000.0, 5.23766
83200.0, 5.239277
83400.0, 5.2408834
83600.0, 5.24248
83800.0, 5.244064
84000.0, 5.2456403
84200.0, 5.2472053
84400.0, 5.2487593
84600.0, 5.250304
84800.0, 5.2518396
85000.0, 5.2533636
85200.0, 5.254878
85400.0, 5.256383
85600.0, 5.2578773
85800.0, 5.2593627
86000.0, 5.260837
86200.0, 5.2623024
86400.0, 5.263758
86600.0, 5.2652054
86800.0, 5.266641
87000.0, 5.268069
87200.0, 5.2694855
87400.0, 5.2708936
87600.0, 5.272292
87800.0, 5.273681
88000.0, 5.2750616
88200.0, 5.2764325
88400.0, 5.277795
88600.0, 5.279147
88800.0, 5.28049
89000.0, 5.281825
89200.0, 5.28315
89400.0, 5.2844667
89600.0, 5.285774
89800.0, 5.2870727
90000.0, 5.288362
90200.0, 5.289644
90400.0, 5.290916
90600.0, 5.292179
90800.0, 5.2934346
91000.0, 5.2946806
91200.0, 5.2959185
91400.0, 5.2971478
91600.0, 5.298369
91800.0, 5.299581
92000.0, 5.300785
92200.0, 5.3019805
92400.0, 5.303168
92600.0, 5.3043466
92800.0, 5.3055177
93000.0, 5.30668
93200.0, 5.3078346
93400.0, 5.308981
93600.0, 5.310121
93800.0, 5.3112507
94000.0, 5.3123727
94200.0, 5.3134885
94400.0, 5.3145943
94600.0, 5.315694
94800.0, 5.3167844
95000.0, 5.3178678
95200.0, 5.3189435
95400.0, 5.32001
95600.0, 5.3210707
95800.0, 5.322123
96000.0, 5.323168
96200.0, 5.324205
96400.0, 5.325235
96600.0, 5.3262577
96800.0, 5.327272
97000.0, 5.3282795
97200.0, 5.3292794
97400.0, 5.330273
97600.0, 5.331258
97800.0, 5.332236
98000.0, 5.3332067
98200.0, 5.334172
98400.0, 5.3351274
98600.0, 5.336077
98800.0, 5.33702
99000.0, 5.3379555
99200.0, 5.338884
99400.0, 5.3398046
99600.0, 5.3407197
99800.0, 5.3416276
100000.0, 5.342528
