#    time,   allInteract,  allInteract,  allInteract,  allInteract,  allInteract,  allInteract,  allInteract,  allInteract,  allInteract, 0-photoemission, 0-photoemission, 0-photoemission, 0-photoemission, 0-photoemission, 0-photoemission, 0-photoemission, 0-photoemission, 0-photoemission, 1-secondary emission from electrons of Ambiant_Electrons, 1-secondary emission from electrons of Ambiant_Electrons, 1-secondary emission from electrons of Ambiant_Electrons, 1-secondary emission from electrons of Ambiant_Electrons, 1-secondary emission from electrons of Ambiant_Electrons, 1-secondary emission from electrons of Ambiant_Electrons, 1-secondary emission from electrons of Ambiant_Electrons, 1-secondary emission from electrons of Ambiant_Electrons, 1-secondary emission from electrons of Ambiant_Electrons, 2-secondary emission from protons of Ambiant_Protons, 2-secondary emission from protons of Ambiant_Protons, 2-secondary emission from protons of Ambiant_Protons, 2-secondary emission from protons of Ambiant_Protons, 2-secondary emission from protons of Ambiant_Protons, 2-secondary emission from protons of Ambiant_Protons, 2-secondary emission from protons of Ambiant_Protons, 2-secondary emission from protons of Ambiant_Protons, 2-secondary emission from protons of Ambiant_Protons, 
#        ,   allNodes,  node0,  node1,  node2,  node3,  node4,  node5,  node6,  node7,  allNodes,  node0,  node1,  node2,  node3,  node4,  node5,  node6,  node7,  allNodes,  node0,  node1,  node2,  node3,  node4,  node5,  node6,  node7,  allNodes,  node0,  node1,  node2,  node3,  node4,  node5,  node6,  node7, 
260.97244, -0.0020629114, -2.2320032E-4, -2.01326E-5, -5.3070876E-6, -2.2375847E-5, -2.8865545E-5, -0.0015897363, -1.4446462E-4, -2.882909E-5, -0.0013343339, -1.605437E-4, -2.3596435E-7, 0.0, -1.683278E-5, -4.578783E-6, -0.0011399165, 0.0, -1.2226179E-5, -5.782521E-4, -4.2057833E-5, -1.1502928E-5, -3.809174E-6, -2.8415075E-6, -1.2467924E-5, -4.197393E-4, -7.665742E-5, -9.175953E-6, -1.5032549E-4, -2.0598767E-5, -8.393709E-6, -1.4979139E-6, -2.701559E-6, -1.1818837E-5, -3.0080551E-5, -6.7807196E-5, -7.4269556E-6, 
261.4565, -0.0020643834, -2.2391409E-4, -1.9485726E-5, -5.4260913E-6, -2.22815E-5, -2.899936E-5, -0.0015906254, -1.4510314E-4, -2.8547998E-5, -0.0013343339, -1.605437E-4, -2.3596435E-7, 0.0, -1.683278E-5, -4.578783E-6, -0.0011399165, 0.0, -1.2226179E-5, -5.7636364E-4, -4.1919095E-5, -1.14673785E-5, -3.7973934E-6, -2.8329523E-6, -1.2429395E-5, -4.1836157E-4, -7.640944E-5, -9.146402E-6, -1.536857E-4, -2.14513E-5, -7.782383E-6, -1.6286979E-6, -2.6157672E-6, -1.1991183E-5, -3.2347238E-5, -6.869371E-5, -7.175417E-6, 
271.9116, -0.0020630858, -2.2366612E-4, -1.9913927E-5, -5.3636336E-6, -2.2286504E-5, -2.9380513E-5, -0.0015879496, -1.457676E-4, -2.8757744E-5, -0.0013343338, -1.605437E-4, -2.3596435E-7, 0.0, -1.6832782E-5, -4.578783E-6, -0.0011399165, 0.0, -1.2226179E-5, -5.737683E-4, -4.1727788E-5, -1.1419233E-5, -3.780872E-6, -2.8214677E-6, -1.2377211E-5, -4.1647523E-4, -7.606022E-5, -9.106276E-6, -1.5498344E-4, -2.1394626E-5, -8.258728E-6, -1.5827616E-6, -2.6322564E-6, -1.2424517E-5, -3.1557913E-5, -6.9707356E-5, -7.425291E-6, 
279.66968, -0.002061558, -2.2385328E-4, -1.9746281E-5, -5.348045E-6, -2.22697E-5, -2.9154975E-5, -0.0015853985, -1.4691288E-4, -2.8874181E-5, -0.0013343339, -1.605437E-4, -2.3596435E-7, 0.0, -1.683278E-5, -4.578783E-6, -0.0011399165, 0.0, -1.2226179E-5, -5.6878454E-4, -4.1329495E-5, -1.1311971E-5, -3.7435302E-6, -2.7985411E-6, -1.22609445E-5, -4.131074E-4, -7.521751E-5, -9.015187E-6, -1.5843935E-4, -2.1980088E-5, -8.198345E-6, -1.6045148E-6, -2.6383777E-6, -1.2315247E-5, -3.2374603E-5, -7.1695365E-5, -7.632816E-6, 
298.2867, -0.0020616113, -2.238134E-4, -1.9977175E-5, -5.2772343E-6, -2.2365512E-5, -2.9203731E-5, -0.0015843045, -1.4773592E-4, -2.8933759E-5, -0.0013343338, -1.605437E-4, -2.3596435E-7, 0.0, -1.6832782E-5, -4.578783E-6, -0.0011399165, 0.0, -1.2226179E-5, -5.664256E-4, -4.1103332E-5, -1.1253642E-5, -3.7218924E-6, -2.7880187E-6, -1.2197733E-5, -4.1172586E-4, -7.467333E-5, -8.961693E-6, -1.6085178E-4, -2.2166392E-5, -8.487568E-6, -1.555342E-6, -2.7447147E-6, -1.2427215E-5, -3.266208E-5, -7.306259E-5, -7.745888E-6, 
309.19302, -0.0020618576, -2.2444391E-4, -1.9818099E-5, -5.2612804E-6, -2.2492048E-5, -2.9534991E-5, -0.0015821982, -1.4915403E-4, -2.8955094E-5, -0.0013343339, -1.605437E-4, -2.3596435E-7, 0.0, -1.683278E-5, -4.578783E-6, -0.0011399165, 0.0, -1.2226179E-5, -5.618865E-4, -4.073516E-5, -1.1146969E-5, -3.6840443E-6, -2.7663289E-6, -1.2082105E-5, -4.0882282E-4, -7.377975E-5, -8.869335E-6, -1.6563726E-4, -2.316503E-5, -8.435166E-6, -1.5772363E-6, -2.8929378E-6, -1.2874105E-5, -3.3458917E-5, -7.537428E-5, -7.859583E-6, 
320.75186, -0.0020606024, -2.2426125E-4, -2.007489E-5, -5.378638E-6, -2.2528111E-5, -2.9593553E-5, -0.001581951, -1.4781166E-4, -2.9003448E-5, -0.0013343339, -1.605437E-4, -2.3596435E-7, 0.0, -1.683278E-5, -4.578783E-6, -0.0011399165, 0.0, -1.2226179E-5, -5.615362E-4, -4.0621697E-5, -1.1126921E-5, -3.6754366E-6, -2.7639298E-6, -1.2060366E-5, -4.0892145E-4, -7.3517294E-5, -8.849036E-6, -1.6473257E-4, -2.309585E-5, -8.712002E-6, -1.7032014E-6, -2.931403E-6, -1.2954405E-5, -3.3113116E-5, -7.429437E-5, -7.928233E-6, 
332.57407, -0.0020609014, -2.243952E-4, -2.0032641E-5, -5.4248867E-6, -2.2458958E-5, -2.9946234E-5, -0.0015813073, -1.4832841E-4, -2.9007637E-5, -0.0013343339, -1.605437E-4, -2.3596435E-7, 0.0, -1.683278E-5, -4.578783E-6, -0.0011399165, 0.0, -1.2226179E-5, -5.586068E-4, -4.039899E-5, -1.1054454E-5, -3.6499607E-6, -2.7488563E-6, -1.198183E-5, -4.0708532E-4, -7.290065E-5, -8.786776E-6, -1.6796045E-4, -2.3452512E-5, -8.742223E-6, -1.7749257E-6, -2.877323E-6, -1.338562E-5, -3.43054E-5, -7.5427764E-5, -7.994684E-6, 
347.3159, -0.002060498, -2.2437454E-4, -1.999247E-5, -5.219564E-6, -2.252263E-5, -2.9521887E-5, -0.0015808643, -1.4893874E-4, -2.9063905E-5, -0.0013343339, -1.605437E-4, -2.3596435E-7, 0.0, -1.683278E-5, -4.578783E-6, -0.0011399165, 0.0, -1.2226179E-5, -5.5801845E-4, -4.029636E-5, -1.1028904E-5, -3.6399476E-6, -2.7431104E-6, -1.19541455E-5, -4.0699632E-4, -7.2597715E-5, -8.761927E-6, -1.6814565E-4, -2.3534489E-5, -8.727602E-6, -1.5796167E-6, -2.9467387E-6, -1.2988959E-5, -3.395142E-5, -7.634103E-5, -8.075801E-6, 
363.04065, -0.0020612094, -2.2515474E-4, -2.0108548E-5, -5.2433697E-6, -2.2470513E-5, -2.9729359E-5, -0.0015790457, -1.5024633E-4, -2.9210416E-5, -0.0013343339, -1.605437E-4, -2.3596435E-7, 0.0, -1.683278E-5, -4.578783E-6, -0.0011399165, 0.0, -1.2226179E-5, -5.546683E-4, -4.002806E-5, -1.0945166E-5, -3.6099188E-6, -2.7245715E-6, -1.1863374E-5, -4.0492025E-4, -7.18896E-5, -8.687371E-6, -1.722068E-4, -2.4582963E-5, -8.927419E-6, -1.633451E-6, -2.9131606E-6, -1.3287203E-5, -3.4209006E-5, -7.835673E-5, -8.296866E-6, 
