Energy (in eV), backscattering yield of material te2k-NASCAP at incidence 40.0 degree
   X,       Y
8250.0, 0.16557644
8260.0, 0.16552554
8270.0, 0.16547473
8280.0, 0.165424
8290.0, 0.16537338
8300.0, 0.16532287
8310.0, 0.16527243
8320.0, 0.16522211
8330.0, 0.16517188
8340.0, 0.16512172
8350.0, 0.16507168
8360.0, 0.16502173
8370.0, 0.16497189
8380.0, 0.16492212
8390.0, 0.16487247
8400.0, 0.16482289
8410.0, 0.16477342
8420.0, 0.16472404
8430.0, 0.16467474
8440.0, 0.16462556
8450.0, 0.16457646
8460.0, 0.16452746
8470.0, 0.16447854
8480.0, 0.16442972
8490.0, 0.164381
8500.0, 0.16433236
8510.0, 0.16428383
8520.0, 0.16423538
8530.0, 0.16418703
8540.0, 0.16413876
8550.0, 0.16409059
8560.0, 0.16404252
8570.0, 0.16399452
8580.0, 0.16394664
8590.0, 0.16389883
8600.0, 0.16385113
8610.0, 0.1638035
8620.0, 0.16375597
8630.0, 0.16370854
8640.0, 0.16366118
8650.0, 0.16361393
8660.0, 0.16356677
8670.0, 0.16351968
8680.0, 0.1634727
8690.0, 0.1634258
8700.0, 0.16337898
8710.0, 0.16333227
8720.0, 0.16328564
8730.0, 0.16323909
8740.0, 0.16319264
8750.0, 0.16314629
8760.0, 0.1631
8770.0, 0.16305383
8780.0, 0.16300772
8790.0, 0.16296172
8800.0, 0.1629158
8810.0, 0.16286996
8820.0, 0.16282423
8830.0, 0.16277856
8840.0, 0.16273299
8850.0, 0.1626875
8860.0, 0.1626421
8870.0, 0.16259679
8880.0, 0.16255157
8890.0, 0.16250643
8900.0, 0.16246139
8910.0, 0.16241641
8920.0, 0.16237155
8930.0, 0.16232675
8940.0, 0.16228203
8950.0, 0.16223742
8960.0, 0.1621929
8970.0, 0.16214843
8980.0, 0.16210407
8990.0, 0.16205978
9000.0, 0.1620156
9010.0, 0.1619715
9020.0, 0.16192746
9030.0, 0.16188352
9040.0, 0.16183966
9050.0, 0.16179588
9060.0, 0.1617522
9070.0, 0.1617086
9080.0, 0.16166507
9090.0, 0.16162163
9100.0, 0.16157827
9110.0, 0.161535
9120.0, 0.16149181
9130.0, 0.1614487
9140.0, 0.16140567
9150.0, 0.16136274
9160.0, 0.16131987
9170.0, 0.1612771
9180.0, 0.16123441
9190.0, 0.16119179
9200.0, 0.16114925
9210.0, 0.16110681
9220.0, 0.16106445
9230.0, 0.16102216
9240.0, 0.16097994
9250.0, 0.16093782
9260.0, 0.16089578
9270.0, 0.1608538
9280.0, 0.16081193
9290.0, 0.16077012
9300.0, 0.1607284
9310.0, 0.16068676
9320.0, 0.16064519
9330.0, 0.1606037
9340.0, 0.1605623
9350.0, 0.16052097
9360.0, 0.16047972
9370.0, 0.16043857
9380.0, 0.16039748
9390.0, 0.16035648
9400.0, 0.16031554
9410.0, 0.16027468
9420.0, 0.16023393
9430.0, 0.16019322
9440.0, 0.1601526
9450.0, 0.16011207
9460.0, 0.16007161
9470.0, 0.16003123
9480.0, 0.15999092
9490.0, 0.1599507
9500.0, 0.15991054
9510.0, 0.15987048
9520.0, 0.15983048
9530.0, 0.15979056
