Energy (in eV), backscattering yield of material gr2k-NASCAP at incidence 10.0 degree
   X,       Y
5030.0, 0.106028445
5040.0, 0.10595396
5050.0, 0.10587962
5060.0, 0.10580543
5070.0, 0.10573138
5080.0, 0.10565749
5090.0, 0.105583735
5100.0, 0.10551013
5110.0, 0.105436675
5120.0, 0.10536336
5130.0, 0.1052902
5140.0, 0.10521717
5150.0, 0.1051443
5160.0, 0.10507157
5170.0, 0.104998976
5180.0, 0.10492654
5190.0, 0.10485424
5200.0, 0.10478209
5210.0, 0.10471007
5220.0, 0.10463821
5230.0, 0.104566485
5240.0, 0.1044949
5250.0, 0.10442346
5260.0, 0.10435216
5270.0, 0.10428101
5280.0, 0.10421
5290.0, 0.10413912
5300.0, 0.10406839
5310.0, 0.1039978
5320.0, 0.103927344
5330.0, 0.10385703
5340.0, 0.10378686
5350.0, 0.10371683
5360.0, 0.10364694
5370.0, 0.10357718
5380.0, 0.10350756
5390.0, 0.10343809
5400.0, 0.10336875
5410.0, 0.10329955
5420.0, 0.103230484
5430.0, 0.10316156
5440.0, 0.10309276
5450.0, 0.10302411
5460.0, 0.102955595
5470.0, 0.10288721
5480.0, 0.102818966
5490.0, 0.10275086
5500.0, 0.10268289
5510.0, 0.10261505
5520.0, 0.10254734
5530.0, 0.10247978
5540.0, 0.10241234
5550.0, 0.10234504
5560.0, 0.102277875
5570.0, 0.10221084
5580.0, 0.10214394
5590.0, 0.10207718
5600.0, 0.10201054
5610.0, 0.10194404
5620.0, 0.101877674
5630.0, 0.10181143
5640.0, 0.10174533
5650.0, 0.101679355
5660.0, 0.101613514
5670.0, 0.10154779
5680.0, 0.10148221
5690.0, 0.10141676
5700.0, 0.10135145
5710.0, 0.10128625
5720.0, 0.10122119
5730.0, 0.10115626
5740.0, 0.10109145
5750.0, 0.10102677
5760.0, 0.10096223
5770.0, 0.10089782
5780.0, 0.10083353
5790.0, 0.10076936
5800.0, 0.10070533
5810.0, 0.10064142
5820.0, 0.100577645
5830.0, 0.10051399
5840.0, 0.10045046
5850.0, 0.10038707
5860.0, 0.10032379
5870.0, 0.100260645
5880.0, 0.10019762
5890.0, 0.10013472
5900.0, 0.10007195
5910.0, 0.10000931
5920.0, 0.09994678
5930.0, 0.09988438
5940.0, 0.09982211
5950.0, 0.09975995
5960.0, 0.099697925
5970.0, 0.099636026
5980.0, 0.09957424
5990.0, 0.099512585
6000.0, 0.09945105
6010.0, 0.09938964
6020.0, 0.09932835
6030.0, 0.09926718
6040.0, 0.09920613
6050.0, 0.09914521
6060.0, 0.0990844
