Energy (in eV), backscattering yield of material np2k-NASCAP at incidence 30.0 degree
   X,       Y
5720.0, 0.12071826
5730.0, 0.12064182
5740.0, 0.12056551
5750.0, 0.12048935
5760.0, 0.12041334
5770.0, 0.12033747
5780.0, 0.12026175
5790.0, 0.120186165
5800.0, 0.120110735
5810.0, 0.12003544
5820.0, 0.119960286
5830.0, 0.11988528
5840.0, 0.11981042
5850.0, 0.119735695
5860.0, 0.119661115
5870.0, 0.119586684
5880.0, 0.11951239
5890.0, 0.11943823
5900.0, 0.11936421
5910.0, 0.119290344
5920.0, 0.119216606
5930.0, 0.11914302
5940.0, 0.11906956
5950.0, 0.11899625
5960.0, 0.118923075
5970.0, 0.11885004
5980.0, 0.11877714
5990.0, 0.11870439
6000.0, 0.11863177
6010.0, 0.11855929
6020.0, 0.118486956
6030.0, 0.118414745
6040.0, 0.118342675
6050.0, 0.118270755
6060.0, 0.11819896
6070.0, 0.1181273
6080.0, 0.11805579
6090.0, 0.11798441
6100.0, 0.11791316
6110.0, 0.11784205
6120.0, 0.11777107
6130.0, 0.117700234
6140.0, 0.11762952
6150.0, 0.11755895
6160.0, 0.11748852
6170.0, 0.117418215
6180.0, 0.117348045
6190.0, 0.11727802
6200.0, 0.117208116
6210.0, 0.11713834
6220.0, 0.117068715
6230.0, 0.11699921
6240.0, 0.11692984
6250.0, 0.116860606
6260.0, 0.1167915
6270.0, 0.116722524
6280.0, 0.11665367
6290.0, 0.116584964
6300.0, 0.11651639
6310.0, 0.11644794
6320.0, 0.11637962
6330.0, 0.11631144
6340.0, 0.11624338
6350.0, 0.11617545
6360.0, 0.11610765
6370.0, 0.116039984
6380.0, 0.115972444
6390.0, 0.11590503
6400.0, 0.115837745
6410.0, 0.11577059
6420.0, 0.11570357
6430.0, 0.11563667
6440.0, 0.1155699
6450.0, 0.11550325
6460.0, 0.11543675
6470.0, 0.11537035
6480.0, 0.11530409
6490.0, 0.11523795
6500.0, 0.11517195
6510.0, 0.11510607
6520.0, 0.11504031
6530.0, 0.11497468
6540.0, 0.11490917
6550.0, 0.114843786
6560.0, 0.11477853
6570.0, 0.1147134
6580.0, 0.114648394
6590.0, 0.114583515
6600.0, 0.114518754
6610.0, 0.11445411
6620.0, 0.114389606
6630.0, 0.11432522
6640.0, 0.11426096
6650.0, 0.11419681
6660.0, 0.11413279
6670.0, 0.114068896
6680.0, 0.11400511
6690.0, 0.11394146
6700.0, 0.11387794
6710.0, 0.113814525
6720.0, 0.11375123
6730.0, 0.11368807
6740.0, 0.11362501
6750.0, 0.113562085
6760.0, 0.11349928
6770.0, 0.113436595
6780.0, 0.11337403
6790.0, 0.11331159
6800.0, 0.11324926
6810.0, 0.113187045
6820.0, 0.11312496
6830.0, 0.11306299
6840.0, 0.11300114
6850.0, 0.1129394
6860.0, 0.11287779
6870.0, 0.11281629
6880.0, 0.11275491
6890.0, 0.11269365
6900.0, 0.11263251
6910.0, 0.11257148
6920.0, 0.11251057
6930.0, 0.11244978
6940.0, 0.112389095
6950.0, 0.11232854
6960.0, 0.11226809
6970.0, 0.112207755
6980.0, 0.11214755
6990.0, 0.11208744
7000.0, 0.11202747
7010.0, 0.11196759
7020.0, 0.11190784
7030.0, 0.111848205
7040.0, 0.11178867
7050.0, 0.111729264
7060.0, 0.111669965
7070.0, 0.11161078
7080.0, 0.11155171
7090.0, 0.11149275
7100.0, 0.11143391
7110.0, 0.111375175
7120.0, 0.111316554
7130.0, 0.11125805
7140.0, 0.111199655
7150.0, 0.11114137
7160.0, 0.1110832
7170.0, 0.11102514
7180.0, 0.11096719
7190.0, 0.11090935
7200.0, 0.11085163
7210.0, 0.110794015
7220.0, 0.110736504
7230.0, 0.11067911
7240.0, 0.11062183
7250.0, 0.110564664
7260.0, 0.11050759
7270.0, 0.11045063
7280.0, 0.11039379
7290.0, 0.11033705
7300.0, 0.110280424
7310.0, 0.110223904
7320.0, 0.110167496
7330.0, 0.11011119
7340.0, 0.11005499
7350.0, 0.109998904
7360.0, 0.10994293
7370.0, 0.109887056
7380.0, 0.109831296
7390.0, 0.10977564
7400.0, 0.10972009
7410.0, 0.109664634
7420.0, 0.1096093
7430.0, 0.109554075
7440.0, 0.10949895
7450.0, 0.109443925
7460.0, 0.10938901
7470.0, 0.10933421
7480.0, 0.1092795
7490.0, 0.1092249
7500.0, 0.109170415
7510.0, 0.10911602
7520.0, 0.10906174
7530.0, 0.10900756
7540.0, 0.10895348
7550.0, 0.10889951
7560.0, 0.10884564
7570.0, 0.10879188
7580.0, 0.108738214
7590.0, 0.10868466
7600.0, 0.10863121
7610.0, 0.108577855
7620.0, 0.1085246
7630.0, 0.108471446
7640.0, 0.108418405
7650.0, 0.10836546
7660.0, 0.10831262
7670.0, 0.10825988
7680.0, 0.10820724
7690.0, 0.10815471
7700.0, 0.10810227
7710.0, 0.10804994
7720.0, 0.1079977
7730.0, 0.10794556
7740.0, 0.107893534
7750.0, 0.1078416
7760.0, 0.10778977
7770.0, 0.107738025
7780.0, 0.10768639
7790.0, 0.107634865
7800.0, 0.107583426
7810.0, 0.107532084
7820.0, 0.10748085
7830.0, 0.107429706
7840.0, 0.10737867
7850.0, 0.10732773
