Energy (in eV), SEEP yield of material gr2k-NASCAP at incidence 0.0 degree
   X,       Y
83800.0, 2.624173
84000.0, 2.6249568
84200.0, 2.6257353
84400.0, 2.626509
84600.0, 2.6272774
84800.0, 2.6280413
85000.0, 2.6287997
85200.0, 2.629553
85400.0, 2.6303015
85600.0, 2.6310453
85800.0, 2.631784
86000.0, 2.632518
86200.0, 2.6332467
86400.0, 2.6339712
86600.0, 2.6346903
86800.0, 2.6354048
87000.0, 2.6361148
87200.0, 2.6368196
87400.0, 2.63752
87600.0, 2.638216
87800.0, 2.6389067
88000.0, 2.6395936
88200.0, 2.6402752
88400.0, 2.640952
88600.0, 2.6416252
88800.0, 2.6422932
89000.0, 2.6429567
89200.0, 2.6436157
89400.0, 2.6442704
89600.0, 2.6449208
89800.0, 2.6455667
90000.0, 2.6462078
90200.0, 2.646845
90400.0, 2.6474776
90600.0, 2.648106
90800.0, 2.6487298
91000.0, 2.6493495
91200.0, 2.649965
91400.0, 2.650576
91600.0, 2.6511834
91800.0, 2.6517859
92000.0, 2.6523845
92200.0, 2.6529787
92400.0, 2.653569
92600.0, 2.6541553
92800.0, 2.654737
93000.0, 2.6553152
93200.0, 2.655889
93400.0, 2.656459
93600.0, 2.6570249
93800.0, 2.6575866
94000.0, 2.6581447
94200.0, 2.6586988
94400.0, 2.6592486
94600.0, 2.6597946
94800.0, 2.660337
95000.0, 2.6608748
95200.0, 2.6614094
95400.0, 2.66194
95600.0, 2.662467
95800.0, 2.6629894
96000.0, 2.663509
96200.0, 2.664024
96400.0, 2.6645358
96600.0, 2.6650438
96800.0, 2.6655478
97000.0, 2.6660485
97200.0, 2.6665454
97400.0, 2.667039
97600.0, 2.6675282
97800.0, 2.668014
98000.0, 2.6684966
98200.0, 2.6689754
98400.0, 2.66945
98600.0, 2.6699216
98800.0, 2.6703901
99000.0, 2.6708546
99200.0, 2.671316
99400.0, 2.671773
99600.0, 2.6722274
99800.0, 2.6726778
100000.0, 2.673125
