Energy (in eV), backscattering yield of material sc2k-NASCAP at incidence 10.0 degree
   X,       Y
4330.0, 0.15376844
4340.0, 0.15368325
4350.0, 0.15359822
4360.0, 0.15351337
4370.0, 0.15342867
4380.0, 0.15334417
4390.0, 0.15325981
4400.0, 0.15317565
4410.0, 0.15309162
4420.0, 0.15300779
4430.0, 0.1529241
4440.0, 0.1528406
4450.0, 0.15275726
4460.0, 0.15267408
4470.0, 0.15259105
4480.0, 0.15250821
4490.0, 0.15242553
4500.0, 0.15234302
4510.0, 0.15226065
4520.0, 0.15217847
4530.0, 0.15209644
4540.0, 0.15201457
4550.0, 0.15193287
4560.0, 0.15185133
4570.0, 0.15176997
4580.0, 0.15168874
4590.0, 0.15160768
4600.0, 0.1515268
4610.0, 0.15144606
4620.0, 0.1513655
4630.0, 0.15128508
4640.0, 0.15120484
4650.0, 0.15112475
4660.0, 0.15104482
4670.0, 0.15096503
4680.0, 0.15088543
4690.0, 0.15080597
4700.0, 0.15072668
4710.0, 0.15064754
4720.0, 0.15056856
4730.0, 0.15048973
4740.0, 0.15041107
4750.0, 0.15033256
4760.0, 0.15025419
4770.0, 0.15017599
4780.0, 0.15009795
4790.0, 0.15002006
4800.0, 0.14994232
4810.0, 0.14986475
4820.0, 0.14978734
4830.0, 0.14971006
4840.0, 0.14963295
4850.0, 0.14955598
4860.0, 0.14947917
4870.0, 0.14940251
4880.0, 0.14932601
4890.0, 0.14924966
4900.0, 0.14917347
4910.0, 0.14909741
4920.0, 0.1490215
4930.0, 0.14894576
4940.0, 0.14887019
4950.0, 0.14879474
4960.0, 0.14871944
4970.0, 0.1486443
4980.0, 0.1485693
4990.0, 0.14849445
5000.0, 0.14841975
5010.0, 0.1483452
5020.0, 0.1482708
5030.0, 0.14819655
5040.0, 0.14812244
5050.0, 0.1480485
5060.0, 0.14797468
5070.0, 0.14790103
5080.0, 0.1478275
5090.0, 0.14775415
5100.0, 0.14768091
5110.0, 0.14760783
5120.0, 0.1475349
5130.0, 0.14746211
5140.0, 0.14738947
5150.0, 0.14731699
5160.0, 0.14724463
5170.0, 0.14717242
5180.0, 0.14710036
5190.0, 0.14702845
5200.0, 0.14695665
5210.0, 0.14688502
5220.0, 0.14681353
5230.0, 0.14674218
5240.0, 0.14667097
5250.0, 0.1465999
5260.0, 0.14652897
5270.0, 0.14645818
5280.0, 0.14638755
5290.0, 0.14631705
5300.0, 0.14624667
5310.0, 0.14617646
5320.0, 0.14610638
5330.0, 0.14603643
5340.0, 0.14596662
5350.0, 0.14589697
5360.0, 0.14582744
5370.0, 0.14575805
5380.0, 0.1456888
5390.0, 0.14561969
5400.0, 0.14555071
5410.0, 0.14548187
5420.0, 0.14541318
5430.0, 0.14534461
5440.0, 0.14527619
5450.0, 0.14520788
5460.0, 0.14513974
5470.0, 0.14507172
5480.0, 0.14500384
5490.0, 0.14493608
5500.0, 0.14486848
5510.0, 0.144801
5520.0, 0.14473365
5530.0, 0.14466645
5540.0, 0.14459936
5550.0, 0.14453243
5560.0, 0.14446561
5570.0, 0.14439894
5580.0, 0.14433238
5590.0, 0.14426598
5600.0, 0.1441997
5610.0, 0.14413355
5620.0, 0.14406753
5630.0, 0.14400165
5640.0, 0.14393589
5650.0, 0.14387028
5660.0, 0.14380479
5670.0, 0.14373942
5680.0, 0.1436742
5690.0, 0.14360909
5700.0, 0.14354412
5710.0, 0.14347929
5720.0, 0.14341457
5730.0, 0.14334999
5740.0, 0.14328553
5750.0, 0.1432212
5760.0, 0.143157
5770.0, 0.14309292
5780.0, 0.14302899
5790.0, 0.14296517
5800.0, 0.14290148
5810.0, 0.14283793
5820.0, 0.14277448
5830.0, 0.14271116
5840.0, 0.14264798
5850.0, 0.14258492
5860.0, 0.142522
5870.0, 0.14245918
5880.0, 0.1423965
5890.0, 0.14233395
5900.0, 0.1422715
5910.0, 0.1422092
5920.0, 0.14214703
5930.0, 0.14208497
5940.0, 0.14202303
5950.0, 0.14196122
5960.0, 0.14189953
5970.0, 0.14183795
5980.0, 0.1417765
5990.0, 0.1417152
6000.0, 0.14165398
6010.0, 0.1415929
6020.0, 0.14153196
6030.0, 0.14147112
6040.0, 0.1414104
6050.0, 0.1413498
6060.0, 0.14128934
6070.0, 0.14122897
6080.0, 0.14116876
6090.0, 0.14110863
6100.0, 0.14104864
6110.0, 0.14098877
6120.0, 0.14092903
6130.0, 0.14086938
6140.0, 0.14080986
6150.0, 0.14075047
6160.0, 0.14069119
6170.0, 0.14063203
6180.0, 0.14057298
6190.0, 0.14051406
6200.0, 0.14045525
6210.0, 0.14039655
6220.0, 0.14033799
6230.0, 0.14027953
6240.0, 0.14022118
6250.0, 0.14016296
6260.0, 0.14010485
6270.0, 0.14004685
6280.0, 0.13998897
6290.0, 0.13993122
6300.0, 0.13987358
6310.0, 0.13981603
6320.0, 0.13975863
6330.0, 0.13970132
6340.0, 0.13964413
6350.0, 0.13958704
6360.0, 0.13953008
6370.0, 0.13947323
6380.0, 0.1394165
6390.0, 0.13935988
6400.0, 0.13930337
6410.0, 0.13924699
6420.0, 0.13919069
6430.0, 0.13913453
6440.0, 0.13907845
6450.0, 0.13902251
6460.0, 0.13896666
6470.0, 0.13891093
6480.0, 0.13885532
6490.0, 0.13879982
6500.0, 0.13874443
6510.0, 0.13868913
6520.0, 0.13863398
6530.0, 0.1385789
6540.0, 0.13852395
6550.0, 0.13846911
6560.0, 0.13841438
6570.0, 0.13835974
6580.0, 0.13830523
6590.0, 0.13825081
6600.0, 0.13819651
6610.0, 0.13814233
6620.0, 0.13808824
6630.0, 0.13803425
6640.0, 0.1379804
6650.0, 0.13792664
6660.0, 0.13787296
6670.0, 0.13781942
6680.0, 0.13776599
6690.0, 0.13771264
6700.0, 0.13765942
6710.0, 0.1376063
6720.0, 0.13755327
6730.0, 0.13750038
6740.0, 0.13744758
6750.0, 0.13739488
6760.0, 0.13734227
6770.0, 0.13728979
6780.0, 0.1372374
6790.0, 0.13718511
6800.0, 0.13713293
6810.0, 0.13708086
6820.0, 0.13702889
6830.0, 0.13697703
6840.0, 0.13692527
6850.0, 0.1368736
6860.0, 0.13682204
6870.0, 0.13677059
6880.0, 0.13671924
6890.0, 0.136668
6900.0, 0.13661684
6910.0, 0.1365658
6920.0, 0.13651486
6930.0, 0.136464
6940.0, 0.13641326
6950.0, 0.13636263
6960.0, 0.13631208
6970.0, 0.13626164
6980.0, 0.13621132
6990.0, 0.13616107
7000.0, 0.13611093
7010.0, 0.13606091
7020.0, 0.13601097
7030.0, 0.13596112
7040.0, 0.13591139
7050.0, 0.13586175
7060.0, 0.13581221
7070.0, 0.13576277
7080.0, 0.13571343
7090.0, 0.13566418
7100.0, 0.13561502
7110.0, 0.13556597
7120.0, 0.13551703
7130.0, 0.13546817
7140.0, 0.13541941
7150.0, 0.13537076
