Energy (in eV), SEEE yield of material ka2k-NASCAP at isotropic incidence
   X,       Y
6580.0, 0.4219376
6590.0, 0.4214518
6600.0, 0.42096734
6610.0, 0.4204841
6620.0, 0.42000213
6630.0, 0.4195214
6640.0, 0.41904196
6650.0, 0.41856375
6660.0, 0.41808686
6670.0, 0.4176111
6680.0, 0.41713664
6690.0, 0.4166634
6700.0, 0.4161915
6710.0, 0.4157207
6720.0, 0.41525114
6730.0, 0.4147828
6740.0, 0.41431573
6750.0, 0.4138497
6760.0, 0.41338506
6770.0, 0.41292155
6780.0, 0.41245925
6790.0, 0.41199806
6800.0, 0.41153806
6810.0, 0.41107932
6820.0, 0.41062167
6830.0, 0.41016522
6840.0, 0.40970993
6850.0, 0.4092558
6860.0, 0.40880278
6870.0, 0.408351
6880.0, 0.4079003
6890.0, 0.40745074
6900.0, 0.4070024
6910.0, 0.40655506
6920.0, 0.40610892
6930.0, 0.40566388
6940.0, 0.40521997
6950.0, 0.4047772
6960.0, 0.40433547
6970.0, 0.4038949
6980.0, 0.40345535
6990.0, 0.40301695
7000.0, 0.40257972
7010.0, 0.40214345
7020.0, 0.40170836
7030.0, 0.4012743
7040.0, 0.40084127
7050.0, 0.40040934
7060.0, 0.39997855
7070.0, 0.39954877
7080.0, 0.39912006
7090.0, 0.39869237
7100.0, 0.39826575
7110.0, 0.3978401
7120.0, 0.39741564
7130.0, 0.3969922
7140.0, 0.39656973
7150.0, 0.39614823
7160.0, 0.39572787
7170.0, 0.39530846
7180.0, 0.39489013
7190.0, 0.39447275
7200.0, 0.39405644
7210.0, 0.39364108
7220.0, 0.39322674
7230.0, 0.3928134
7240.0, 0.39240104
7250.0, 0.3919897
7260.0, 0.39157945
7270.0, 0.39117
7280.0, 0.39076164
7290.0, 0.3903543
7300.0, 0.38994774
7310.0, 0.38954234
7320.0, 0.38913777
7330.0, 0.38873428
7340.0, 0.3883317
7350.0, 0.38793
7360.0, 0.38752937
7370.0, 0.3871297
7380.0, 0.38673088
7390.0, 0.3863331
7400.0, 0.3859361
7410.0, 0.3855402
7420.0, 0.38514513
7430.0, 0.38475102
7440.0, 0.38435784
7450.0, 0.38396552
7460.0, 0.38357422
7470.0, 0.38318378
7480.0, 0.3827943
7490.0, 0.38240567
7500.0, 0.38201797
7510.0, 0.3816311
7520.0, 0.38124517
7530.0, 0.38086015
7540.0, 0.380476
7550.0, 0.38009286
7560.0, 0.37971047
7570.0, 0.37932897
7580.0, 0.37894836
7590.0, 0.37856862
7600.0, 0.3781899
7610.0, 0.37781176
7620.0, 0.37743476
7630.0, 0.37705848
7640.0, 0.37668306
7650.0, 0.37630853
7660.0, 0.37593484
7670.0, 0.375562
7680.0, 0.37519008
7690.0, 0.37481886
7700.0, 0.37444866
7710.0, 0.3740791
7720.0, 0.37371054
7730.0, 0.3733427
7740.0, 0.3729758
7750.0, 0.37260962
7760.0, 0.37224433
7770.0, 0.37187982
7780.0, 0.37151614
7790.0, 0.37115332
7800.0, 0.37079123
7810.0, 0.37043
7820.0, 0.37006953
7830.0, 0.36970997
7840.0, 0.3693511
7850.0, 0.3689931
7860.0, 0.36863583
7870.0, 0.3682794
7880.0, 0.3679238
7890.0, 0.36756894
7900.0, 0.36721483
7910.0, 0.36686152
7920.0, 0.36650902
7930.0, 0.36615732
7940.0, 0.36580634
7950.0, 0.3654561
7960.0, 0.36510667
7970.0, 0.364758
7980.0, 0.36441016
7990.0, 0.364063
8000.0, 0.3637166
8010.0, 0.36337098
8020.0, 0.3630261
8030.0, 0.36268198
8040.0, 0.3623386
8050.0, 0.361996
8060.0, 0.36165413
8070.0, 0.361313
8080.0, 0.3609725
8090.0, 0.3606329
8100.0, 0.36029398
8110.0, 0.3599558
8120.0, 0.35961822
8130.0, 0.3592815
8140.0, 0.35894543
8150.0, 0.35861015
8160.0, 0.35827556
8170.0, 0.35794166
8180.0, 0.3576085
8190.0, 0.35727602
8200.0, 0.35694432
8210.0, 0.35661328
8220.0, 0.35628286
8230.0, 0.3559533
8240.0, 0.35562438
8250.0, 0.3552961
8260.0, 0.35496855
8270.0, 0.3546417
8280.0, 0.35431558
8290.0, 0.35399002
8300.0, 0.35366526
8310.0, 0.35334113
8320.0, 0.35301772
8330.0, 0.352695
8340.0, 0.35237288
8350.0, 0.35205153
8360.0, 0.35173082
8370.0, 0.35141075
8380.0, 0.35109133
8390.0, 0.3507726
8400.0, 0.3504546
8410.0, 0.35013723
8420.0, 0.3498204
8430.0, 0.34950432
8440.0, 0.34918892
8450.0, 0.34887415
8460.0, 0.34856004
8470.0, 0.34824654
8480.0, 0.34793377
8490.0, 0.34762156
8500.0, 0.34731
8510.0, 0.34699908
8520.0, 0.34668878
8530.0, 0.34637922
8540.0, 0.34607023
8550.0, 0.34576178
8560.0, 0.34545407
8570.0, 0.34514704
8580.0, 0.34484047
8590.0, 0.34453464
8600.0, 0.3442294
8610.0, 0.34392485
8620.0, 0.34362084
8630.0, 0.34331742
8640.0, 0.3430147
8650.0, 0.34271252
8660.0, 0.34241098
8670.0, 0.34211004
8680.0, 0.3418097
8690.0, 0.34151003
