Energy (in eV), backscattering yield of material ka2k-NASCAP at incidence 80.0 degree
   X,       Y
4280.0, 0.66769135
4290.0, 0.66759056
4300.0, 0.6674899
4310.0, 0.66738933
4320.0, 0.66728896
4330.0, 0.66718864
4340.0, 0.6670885
4350.0, 0.6669885
4360.0, 0.6668886
4370.0, 0.6667888
4380.0, 0.66668916
4390.0, 0.6665896
4400.0, 0.66649026
4410.0, 0.666391
4420.0, 0.66629183
4430.0, 0.6661929
4440.0, 0.666094
4450.0, 0.66599524
4460.0, 0.6658966
4470.0, 0.6657981
4480.0, 0.6656998
4490.0, 0.66560155
4500.0, 0.66550344
4510.0, 0.66540545
4520.0, 0.6653076
4530.0, 0.6652099
4540.0, 0.66511226
4550.0, 0.6650148
4560.0, 0.66491747
4570.0, 0.66482025
4580.0, 0.66472316
4590.0, 0.6646262
4600.0, 0.6645293
4610.0, 0.66443264
4620.0, 0.664336
4630.0, 0.6642396
4640.0, 0.66414326
4650.0, 0.66404706
4660.0, 0.663951
4670.0, 0.663855
4680.0, 0.6637592
4690.0, 0.66366345
4700.0, 0.6635679
4710.0, 0.6634724
4720.0, 0.6633771
4730.0, 0.6632819
4740.0, 0.66318685
4750.0, 0.6630919
4760.0, 0.66299707
4770.0, 0.66290236
4780.0, 0.66280776
4790.0, 0.66271335
4800.0, 0.662619
4810.0, 0.6625248
4820.0, 0.6624307
4830.0, 0.66233677
4840.0, 0.66224295
4850.0, 0.66214925
4860.0, 0.6620557
4870.0, 0.6619622
4880.0, 0.6618689
4890.0, 0.6617757
4900.0, 0.6616826
4910.0, 0.6615896
4920.0, 0.6614968
4930.0, 0.6614041
4940.0, 0.6613115
4950.0, 0.66121906
4960.0, 0.6611267
4970.0, 0.66103446
4980.0, 0.6609424
4990.0, 0.6608504
5000.0, 0.66075855
5010.0, 0.6606668
5020.0, 0.6605753
5030.0, 0.6604838
5040.0, 0.6603924
5050.0, 0.66030115
5060.0, 0.6602101
5070.0, 0.66011906
5080.0, 0.6600282
5090.0, 0.65993744
5100.0, 0.65984684
5110.0, 0.6597563
5120.0, 0.65966594
5130.0, 0.6595757
5140.0, 0.6594856
5150.0, 0.6593955
5160.0, 0.65930563
5170.0, 0.65921587
5180.0, 0.6591262
5190.0, 0.6590367
5200.0, 0.6589473
5210.0, 0.658858
5220.0, 0.65876883
5230.0, 0.6586798
5240.0, 0.65859085
5250.0, 0.65850204
5260.0, 0.65841335
5270.0, 0.65832484
5280.0, 0.6582364
5290.0, 0.65814805
5300.0, 0.65805984
5310.0, 0.65797174
5320.0, 0.6578838
5330.0, 0.65779597
5340.0, 0.6577082
5350.0, 0.65762067
5360.0, 0.65753317
5370.0, 0.6574458
5380.0, 0.6573585
5390.0, 0.65727144
5400.0, 0.6571844
5410.0, 0.6570975
5420.0, 0.6570108
5430.0, 0.6569241
5440.0, 0.6568376
5450.0, 0.65675116
5460.0, 0.6566649
5470.0, 0.6565787
5480.0, 0.65649265
5490.0, 0.6564067
5500.0, 0.6563209
5510.0, 0.6562352
5520.0, 0.6561496
5530.0, 0.65606415
5540.0, 0.6559788
5550.0, 0.65589356
5560.0, 0.65580845
5570.0, 0.6557235
5580.0, 0.65563864
5590.0, 0.6555539
5600.0, 0.65546924
5610.0, 0.6553847
5620.0, 0.65530026
5630.0, 0.655216
5640.0, 0.6551318
5650.0, 0.6550478
5660.0, 0.65496385
5670.0, 0.65488
5680.0, 0.6547963
5690.0, 0.65471274
5700.0, 0.65462923
5710.0, 0.6545459
5720.0, 0.65446264
5730.0, 0.65437955
5740.0, 0.6542965
5750.0, 0.6542136
5760.0, 0.6541308
5770.0, 0.6540482
5780.0, 0.65396565
5790.0, 0.6538832
5800.0, 0.6538009
5810.0, 0.6537187
5820.0, 0.65363663
5830.0, 0.6535546
5840.0, 0.6534728
5850.0, 0.65339106
5860.0, 0.6533094
5870.0, 0.6532279
5880.0, 0.6531465
5890.0, 0.65306526
5900.0, 0.6529841
5910.0, 0.652903
5920.0, 0.6528221
5930.0, 0.65274125
5940.0, 0.65266055
5950.0, 0.65257996
5960.0, 0.6524995
5970.0, 0.6524191
5980.0, 0.65233886
5990.0, 0.6522587
6000.0, 0.6521787
6010.0, 0.6520988
6020.0, 0.65201896
6030.0, 0.6519393
6040.0, 0.6518597
6050.0, 0.65178025
6060.0, 0.6517009
6070.0, 0.65162164
6080.0, 0.65154254
6090.0, 0.6514635
6100.0, 0.6513846
6110.0, 0.65130585
6120.0, 0.6512272
6130.0, 0.6511486
6140.0, 0.6510701
6150.0, 0.6509918
6160.0, 0.6509136
6170.0, 0.65083545
6180.0, 0.65075743
6190.0, 0.6506796
6200.0, 0.6506018
6210.0, 0.6505241
6220.0, 0.65044653
6230.0, 0.6503691
6240.0, 0.65029174
6250.0, 0.65021455
6260.0, 0.6501374
6270.0, 0.6500604
6280.0, 0.6499835
6290.0, 0.64990675
6300.0, 0.64983004
6310.0, 0.6497535
6320.0, 0.64967704
6330.0, 0.6496007
6340.0, 0.64952445
6350.0, 0.64944834
6360.0, 0.64937234
6370.0, 0.64929646
6380.0, 0.64922065
6390.0, 0.64914495
6400.0, 0.64906937
6410.0, 0.6489939
6420.0, 0.64891857
6430.0, 0.6488433
6440.0, 0.6487682
6450.0, 0.64869314
6460.0, 0.6486182
6470.0, 0.6485434
6480.0, 0.6484687
6490.0, 0.6483941
6500.0, 0.6483196
6510.0, 0.6482452
6520.0, 0.64817095
6530.0, 0.6480968
6540.0, 0.6480228
6550.0, 0.6479488
6560.0, 0.64787495
6570.0, 0.6478012
6580.0, 0.6477276
6590.0, 0.64765406
6600.0, 0.6475807
6610.0, 0.64750737
6620.0, 0.6474342
6630.0, 0.6473611
6640.0, 0.6472881
6650.0, 0.64721525
6660.0, 0.64714247
6670.0, 0.6470698
6680.0, 0.6469972
6690.0, 0.6469248
6700.0, 0.64685243
6710.0, 0.6467802
6720.0, 0.6467081
6730.0, 0.64663607
6740.0, 0.6465641
6750.0, 0.6464923
6760.0, 0.6464206
6770.0, 0.646349
6780.0, 0.6462775
6790.0, 0.64620614
6800.0, 0.64613485
6810.0, 0.6460636
6820.0, 0.6459926
6830.0, 0.6459216
6840.0, 0.6458507
6850.0, 0.64577997
6860.0, 0.64570934
6870.0, 0.64563876
6880.0, 0.6455683
6890.0, 0.645498
6900.0, 0.6454277
6910.0, 0.6453576
6920.0, 0.6452876
6930.0, 0.64521766
6940.0, 0.6451478
6950.0, 0.64507806
6960.0, 0.64500844
6970.0, 0.64493895
6980.0, 0.64486957
6990.0, 0.64480025
7000.0, 0.64473104
7010.0, 0.6446619
7020.0, 0.64459294
7030.0, 0.64452404
7040.0, 0.64445525
7050.0, 0.64438653
7060.0, 0.644318
7070.0, 0.6442495
7080.0, 0.6441811
7090.0, 0.6441128
7100.0, 0.64404464
7110.0, 0.64397657
7120.0, 0.64390856
7130.0, 0.64384073
7140.0, 0.64377296
7150.0, 0.64370525
7160.0, 0.6436377
7170.0, 0.64357024
7180.0, 0.64350283
7190.0, 0.6434356
7200.0, 0.6433684
7210.0, 0.64330137
7220.0, 0.6432344
7230.0, 0.64316756
7240.0, 0.6431008
7250.0, 0.6430341
7260.0, 0.6429676
7270.0, 0.64290106
7280.0, 0.6428347
7290.0, 0.64276844
7300.0, 0.64270234
7310.0, 0.64263624
7320.0, 0.6425703
7330.0, 0.64250445
7340.0, 0.64243865
7350.0, 0.642373
7360.0, 0.64230746
7370.0, 0.642242
7380.0, 0.6421766
7390.0, 0.64211136
7400.0, 0.6420462
7410.0, 0.6419811
7420.0, 0.64191616
7430.0, 0.6418513
7440.0, 0.6417865
7450.0, 0.64172184
7460.0, 0.64165723
7470.0, 0.6415928
7480.0, 0.6415284
7490.0, 0.6414641
7500.0, 0.6413999
7510.0, 0.64133584
7520.0, 0.6412719
7530.0, 0.641208
7540.0, 0.6411442
7550.0, 0.6410805
7560.0, 0.6410169
7570.0, 0.6409534
7580.0, 0.64089
7590.0, 0.6408267
7600.0, 0.64076346
7610.0, 0.64070034
7620.0, 0.64063734
7630.0, 0.6405744
7640.0, 0.6405116
7650.0, 0.64044887
7660.0, 0.6403862
7670.0, 0.6403237
7680.0, 0.64026123
7690.0, 0.64019895
7700.0, 0.64013666
7710.0, 0.64007455
7720.0, 0.64001244
7730.0, 0.6399505
7740.0, 0.63988864
7750.0, 0.6398269
7760.0, 0.6397652
7770.0, 0.63970363
7780.0, 0.6396421
7790.0, 0.6395807
7800.0, 0.63951945
7810.0, 0.63945824
7820.0, 0.63939714
7830.0, 0.6393361
7840.0, 0.6392752
7850.0, 0.6392144
7860.0, 0.63915366
7870.0, 0.639093
7880.0, 0.6390325
7890.0, 0.63897204
7900.0, 0.63891166
7910.0, 0.6388514
7920.0, 0.6387912
7930.0, 0.6387312
7940.0, 0.63867116
7950.0, 0.6386113
7960.0, 0.6385515
7970.0, 0.6384918
7980.0, 0.6384322
7990.0, 0.63837266
8000.0, 0.63831323
8010.0, 0.6382539
8020.0, 0.6381947
8030.0, 0.6381355
8040.0, 0.6380765
8050.0, 0.6380175
8060.0, 0.63795865
8070.0, 0.6378999
8080.0, 0.63784117
8090.0, 0.6377826
8100.0, 0.63772404
8110.0, 0.6376656
8120.0, 0.63760734
8130.0, 0.6375491
8140.0, 0.6374909
8150.0, 0.63743293
8160.0, 0.63737494
8170.0, 0.63731706
8180.0, 0.6372593
8190.0, 0.6372016
8200.0, 0.637144
8210.0, 0.6370865
8220.0, 0.6370291
8230.0, 0.6369718
8240.0, 0.63691455
8250.0, 0.6368574
8260.0, 0.63680035
8270.0, 0.63674337
8280.0, 0.6366865
8290.0, 0.6366297
8300.0, 0.636573
8310.0, 0.6365164
8320.0, 0.6364599
8330.0, 0.6364035
8340.0, 0.6363471
8350.0, 0.6362909
8360.0, 0.6362347
8370.0, 0.6361787
8380.0, 0.63612264
8390.0, 0.63606673
8400.0, 0.63601094
8410.0, 0.6359552
8420.0, 0.6358996
8430.0, 0.63584405
8440.0, 0.6357886
8450.0, 0.63573325
8460.0, 0.63567793
8470.0, 0.63562274
8480.0, 0.63556767
8490.0, 0.63551265
8500.0, 0.6354577
8510.0, 0.63540286
8520.0, 0.6353481
8530.0, 0.6352934
8540.0, 0.6352389
8550.0, 0.63518435
8560.0, 0.6351299
8570.0, 0.6350756
8580.0, 0.6350214
8590.0, 0.63496727
8600.0, 0.6349132
8610.0, 0.6348592
8620.0, 0.6348053
8630.0, 0.6347515
8640.0, 0.6346978
8650.0, 0.63464415
8660.0, 0.6345906
8670.0, 0.63453716
8680.0, 0.63448375
8690.0, 0.63443047
8700.0, 0.6343773
8710.0, 0.6343242
8720.0, 0.63427114
8730.0, 0.63421816
8740.0, 0.6341653
8750.0, 0.63411254
8760.0, 0.63405985
8770.0, 0.6340072
8780.0, 0.6339547
8790.0, 0.63390225
8800.0, 0.6338499
8810.0, 0.63379765
8820.0, 0.63374543
8830.0, 0.63369334
8840.0, 0.6336413
8850.0, 0.6335893
8860.0, 0.6335375
8870.0, 0.63348573
8880.0, 0.63343406
8890.0, 0.63338244
8900.0, 0.6333309
8910.0, 0.63327944
8920.0, 0.6332281
8930.0, 0.63317686
8940.0, 0.63312566
8950.0, 0.6330745
8960.0, 0.6330235
8970.0, 0.63297254
8980.0, 0.6329217
8990.0, 0.6328709
9000.0, 0.63282025
9010.0, 0.63276964
9020.0, 0.6327191
9030.0, 0.6326686
9040.0, 0.63261825
9050.0, 0.63256794
9060.0, 0.63251776
9070.0, 0.6324676
9080.0, 0.6324176
9090.0, 0.6323676
9100.0, 0.6323177
9110.0, 0.63226795
9120.0, 0.63221824
9130.0, 0.6321686
9140.0, 0.632119
9150.0, 0.6320695
9160.0, 0.6320202
9170.0, 0.6319708
9180.0, 0.6319216
9190.0, 0.6318724
9200.0, 0.63182336
9210.0, 0.63177437
9220.0, 0.63172543
9230.0, 0.6316766
9240.0, 0.63162786
9250.0, 0.63157916
9260.0, 0.6315306
9270.0, 0.63148206
9280.0, 0.63143367
9290.0, 0.63138527
9300.0, 0.631337
9310.0, 0.63128877
9320.0, 0.63124067
9330.0, 0.6311926
9340.0, 0.63114464
9350.0, 0.6310968
9360.0, 0.631049
9370.0, 0.63100123
9380.0, 0.63095355
9390.0, 0.630906
9400.0, 0.6308585
9410.0, 0.6308111
9420.0, 0.6307637
9430.0, 0.6307165
9440.0, 0.6306693
9450.0, 0.6306222
9460.0, 0.6305752
9470.0, 0.6305282
9480.0, 0.63048136
9490.0, 0.6304345
9500.0, 0.6303878
9510.0, 0.6303412
9520.0, 0.6302946
9530.0, 0.6302481
9540.0, 0.6302017
9550.0, 0.6301553
9560.0, 0.6301091
9570.0, 0.6300629
9580.0, 0.6300168
9590.0, 0.6299707
9600.0, 0.62992483
9610.0, 0.62987894
9620.0, 0.6298331
9630.0, 0.6297874
9640.0, 0.6297417
9650.0, 0.62969613
9660.0, 0.62965065
9670.0, 0.62960523
9680.0, 0.6295599
9690.0, 0.6295146
9700.0, 0.6294694
9710.0, 0.6294243
9720.0, 0.6293792
9730.0, 0.6293342
9740.0, 0.6292893
9750.0, 0.6292445
9760.0, 0.62919974
9770.0, 0.62915504
9780.0, 0.62911046
9790.0, 0.62906593
9800.0, 0.62902147
9810.0, 0.62897706
9820.0, 0.6289328
9830.0, 0.62888855
9840.0, 0.6288444
9850.0, 0.6288003
9860.0, 0.6287563
9870.0, 0.62871236
9880.0, 0.6286685
9890.0, 0.6286247
9900.0, 0.6285809
9910.0, 0.6285373
9920.0, 0.6284937
9930.0, 0.6284502
9940.0, 0.62840676
9950.0, 0.62836343
9960.0, 0.62832016
9970.0, 0.6282769
9980.0, 0.6282338
9990.0, 0.6281907
10000.0, 0.6281477
10010.0, 0.62810475
10020.0, 0.62806195
10030.0, 0.62801915
10040.0, 0.6279764
10050.0, 0.6279338
10060.0, 0.62789124
10070.0, 0.62784874
10080.0, 0.6278063
10090.0, 0.6277639
10100.0, 0.62772167
10110.0, 0.62767947
10120.0, 0.62763727
10130.0, 0.62759525
10140.0, 0.6275532
10150.0, 0.6275113
10160.0, 0.6274694
10170.0, 0.62742764
10180.0, 0.6273859
10190.0, 0.6273443
10200.0, 0.6273027
10210.0, 0.6272612
10220.0, 0.62721974
10230.0, 0.6271784
10240.0, 0.62713706
10250.0, 0.6270959
10260.0, 0.6270547
10270.0, 0.6270136
10280.0, 0.6269726
10290.0, 0.6269316
10300.0, 0.6268908
10310.0, 0.62684995
10320.0, 0.6268092
10330.0, 0.6267685
10340.0, 0.62672794
10350.0, 0.62668735
10360.0, 0.62664694
10370.0, 0.6266065
10380.0, 0.6265662
10390.0, 0.6265259
10400.0, 0.6264857
10410.0, 0.6264456
10420.0, 0.62640554
10430.0, 0.62636554
10440.0, 0.6263256
10450.0, 0.62628573
10460.0, 0.626246
10470.0, 0.6262062
10480.0, 0.6261666
10490.0, 0.626127
10500.0, 0.6260875
10510.0, 0.626048
10520.0, 0.6260086
10530.0, 0.6259693
10540.0, 0.6259301
10550.0, 0.6258909
10560.0, 0.62585175
10570.0, 0.6258127
10580.0, 0.6257737
10590.0, 0.6257348
10600.0, 0.62569594
10610.0, 0.62565714
10620.0, 0.62561846
10630.0, 0.6255798
10640.0, 0.6255412
10650.0, 0.6255027
10660.0, 0.6254642
10670.0, 0.6254258
10680.0, 0.6253875
10690.0, 0.6253492
10700.0, 0.625311
10710.0, 0.6252729
10720.0, 0.62523484
10730.0, 0.6251969
10740.0, 0.6251589
10750.0, 0.62512106
10760.0, 0.62508327
10770.0, 0.6250455
10780.0, 0.6250078
10790.0, 0.6249702
10800.0, 0.62493265
10810.0, 0.62489516
10820.0, 0.6248578
10830.0, 0.6248204
10840.0, 0.6247831
10850.0, 0.6247459
10860.0, 0.6247087
10870.0, 0.62467164
10880.0, 0.62463456
10890.0, 0.6245976
10900.0, 0.6245607
10910.0, 0.6245239
10920.0, 0.6244871
10930.0, 0.6244504
10940.0, 0.6244137
10950.0, 0.62437713
10960.0, 0.6243406
10970.0, 0.6243041
10980.0, 0.6242677
10990.0, 0.6242314
11000.0, 0.6241951
11010.0, 0.62415886
11020.0, 0.62412274
11030.0, 0.6240866
11040.0, 0.6240506
11050.0, 0.6240146
11060.0, 0.62397873
11070.0, 0.6239429
11080.0, 0.6239071
11090.0, 0.6238714
11100.0, 0.62383574
11110.0, 0.62380016
11120.0, 0.6237646
11130.0, 0.6237291
11140.0, 0.6236937
11150.0, 0.62365836
11160.0, 0.6236231
11170.0, 0.62358785
11180.0, 0.6235527
11190.0, 0.6235176
11200.0, 0.6234825
11210.0, 0.62344754
11220.0, 0.6234126
11230.0, 0.62337774
11240.0, 0.62334293
11250.0, 0.6233082
11260.0, 0.6232735
11270.0, 0.6232389
11280.0, 0.62320435
11290.0, 0.62316984
11300.0, 0.6231354
11310.0, 0.623101
11320.0, 0.62306666
11330.0, 0.6230324
11340.0, 0.6229982
11350.0, 0.6229641
11360.0, 0.62293
11370.0, 0.62289596
11380.0, 0.622862
11390.0, 0.62282807
11400.0, 0.6227942
11410.0, 0.6227604
11420.0, 0.6227267
11430.0, 0.62269306
11440.0, 0.6226594
11450.0, 0.6226258
11460.0, 0.62259233
11470.0, 0.6225589
11480.0, 0.6225255
11490.0, 0.6224922
11500.0, 0.62245893
11510.0, 0.62242573
11520.0, 0.6223926
11530.0, 0.6223595
11540.0, 0.6223265
11550.0, 0.6222935
11560.0, 0.6222606
11570.0, 0.6222277
11580.0, 0.62219495
11590.0, 0.62216216
11600.0, 0.6221295
11610.0, 0.62209684
11620.0, 0.6220643
11630.0, 0.62203175
11640.0, 0.6219993
11650.0, 0.6219669
11660.0, 0.62193453
11670.0, 0.6219023
