Energy (in eV), backscattering yield of material osr2k-NASCAP at incidence 40.0 degree
   X,       Y
4180.0, 0.23460408
4190.0, 0.23450077
4200.0, 0.23439766
4210.0, 0.23429476
4220.0, 0.23419203
4230.0, 0.23408948
4240.0, 0.23398714
4250.0, 0.23388499
4260.0, 0.23378304
4270.0, 0.23368125
4280.0, 0.23357967
4290.0, 0.23347828
4300.0, 0.23337707
4310.0, 0.23327607
4320.0, 0.23317523
4330.0, 0.2330746
4340.0, 0.23297416
4350.0, 0.23287389
4360.0, 0.23277381
4370.0, 0.23267391
4380.0, 0.23257421
4390.0, 0.2324747
4400.0, 0.23237537
4410.0, 0.23227622
4420.0, 0.23217727
4430.0, 0.2320785
4440.0, 0.2319799
4450.0, 0.2318815
4460.0, 0.23178329
4470.0, 0.23168524
4480.0, 0.23158738
4490.0, 0.23148972
4500.0, 0.23139223
4510.0, 0.23129492
4520.0, 0.23119779
4530.0, 0.23110084
4540.0, 0.23100407
4550.0, 0.2309075
4560.0, 0.2308111
4570.0, 0.23071489
4580.0, 0.23061883
4590.0, 0.23052298
4600.0, 0.2304273
4610.0, 0.2303318
4620.0, 0.23023649
4630.0, 0.23014133
4640.0, 0.23004636
4650.0, 0.22995158
4660.0, 0.22985697
4670.0, 0.22976252
4680.0, 0.22966827
4690.0, 0.22957419
4700.0, 0.22948028
4710.0, 0.22938655
4720.0, 0.229293
4730.0, 0.22919962
4740.0, 0.22910643
4750.0, 0.2290134
4760.0, 0.22892053
4770.0, 0.22882785
4780.0, 0.22873534
4790.0, 0.22864303
4800.0, 0.22855085
4810.0, 0.22845887
4820.0, 0.22836706
4830.0, 0.22827542
4840.0, 0.22818394
4850.0, 0.22809266
4860.0, 0.22800152
4870.0, 0.22791056
4880.0, 0.22781979
4890.0, 0.22772916
4900.0, 0.22763872
4910.0, 0.22754845
4920.0, 0.22745833
4930.0, 0.2273684
4940.0, 0.22727863
4950.0, 0.22718903
4960.0, 0.22709961
4970.0, 0.22701034
4980.0, 0.22692125
4990.0, 0.22683232
5000.0, 0.22674355
5010.0, 0.22665496
5020.0, 0.22656652
5030.0, 0.22647826
5040.0, 0.22639017
5050.0, 0.22630225
5060.0, 0.22621447
5070.0, 0.2261269
5080.0, 0.22603944
5090.0, 0.22595218
5100.0, 0.22586507
5110.0, 0.22577812
5120.0, 0.22569135
5130.0, 0.22560473
5140.0, 0.22551827
5150.0, 0.225432
5160.0, 0.22534585
5170.0, 0.2252599
5180.0, 0.22517408
5190.0, 0.22508845
5200.0, 0.22500296
5210.0, 0.22491765
5220.0, 0.22483248
5230.0, 0.2247475
5240.0, 0.22466265
5250.0, 0.22457796
5260.0, 0.22449344
5270.0, 0.22440907
5280.0, 0.22432488
5290.0, 0.22424082
5300.0, 0.22415695
5310.0, 0.22407322
5320.0, 0.22398965
5330.0, 0.22390623
5340.0, 0.22382298
5350.0, 0.22373988
5360.0, 0.22365695
5370.0, 0.22357416
5380.0, 0.22349153
5390.0, 0.22340906
5400.0, 0.22332674
5410.0, 0.22324456
5420.0, 0.22316256
5430.0, 0.22308072
5440.0, 0.22299902
5450.0, 0.22291747
5460.0, 0.22283608
5470.0, 0.22275484
5480.0, 0.22267376
5490.0, 0.22259283
5500.0, 0.22251205
5510.0, 0.22243144
5520.0, 0.22235094
5530.0, 0.22227064
5540.0, 0.22219045
5550.0, 0.22211045
5560.0, 0.22203058
5570.0, 0.22195086
5580.0, 0.22187129
5590.0, 0.22179188
5600.0, 0.2217126
5610.0, 0.22163351
5620.0, 0.22155452
5630.0, 0.2214757
5640.0, 0.22139704
5650.0, 0.22131851
5660.0, 0.22124015
5670.0, 0.22116192
5680.0, 0.22108385
5690.0, 0.22100593
5700.0, 0.22092815
5710.0, 0.22085051
5720.0, 0.22077303
5730.0, 0.22069569
5740.0, 0.22061849
5750.0, 0.22054145
5760.0, 0.22046454
5770.0, 0.22038777
5780.0, 0.22031118
5790.0, 0.2202347
5800.0, 0.22015838
5810.0, 0.22008222
5820.0, 0.22000618
5830.0, 0.21993029
5840.0, 0.21985455
5850.0, 0.21977894
5860.0, 0.2197035
5870.0, 0.21962816
5880.0, 0.21955298
5890.0, 0.21947797
5900.0, 0.21940306
5910.0, 0.21932831
5920.0, 0.21925373
5930.0, 0.21917926
5940.0, 0.21910493
5950.0, 0.21903075
5960.0, 0.21895671
5970.0, 0.2188828
5980.0, 0.21880904
5990.0, 0.21873543
6000.0, 0.21866195
6010.0, 0.21858859
6020.0, 0.2185154
6030.0, 0.21844234
6040.0, 0.2183694
6050.0, 0.21829662
6060.0, 0.21822397
6070.0, 0.21815145
6080.0, 0.21807909
6090.0, 0.21800683
6100.0, 0.21793474
6110.0, 0.21786277
6120.0, 0.21779096
6130.0, 0.21771926
6140.0, 0.2176477
6150.0, 0.21757628
6160.0, 0.21750501
6170.0, 0.21743387
6180.0, 0.21736284
6190.0, 0.21729197
6200.0, 0.21722122
6210.0, 0.21715061
6220.0, 0.21708015
6230.0, 0.2170098
6240.0, 0.21693958
6250.0, 0.21686952
6260.0, 0.21679957
6270.0, 0.21672976
6280.0, 0.21666008
6290.0, 0.21659055
6300.0, 0.21652114
6310.0, 0.21645185
6320.0, 0.21638271
6330.0, 0.2163137
6340.0, 0.2162448
6350.0, 0.21617606
6360.0, 0.21610743
6370.0, 0.21603893
6380.0, 0.21597058
6390.0, 0.21590234
6400.0, 0.21583425
6410.0, 0.21576628
6420.0, 0.21569842
6430.0, 0.21563071
6440.0, 0.21556312
6450.0, 0.21549568
6460.0, 0.21542834
6470.0, 0.21536113
6480.0, 0.21529406
6490.0, 0.21522711
6500.0, 0.2151603
6510.0, 0.2150936
6520.0, 0.21502705
6530.0, 0.2149606
6540.0, 0.2148943
6550.0, 0.21482812
6560.0, 0.21476206
6570.0, 0.21469612
6580.0, 0.21463032
6590.0, 0.21456462
6600.0, 0.21449907
6610.0, 0.21443366
6620.0, 0.21436833
6630.0, 0.21430315
6640.0, 0.21423809
6650.0, 0.21417317
6660.0, 0.21410833
6670.0, 0.21404365
6680.0, 0.2139791
6690.0, 0.21391465
6700.0, 0.21385033
6710.0, 0.21378614
6720.0, 0.21372207
6730.0, 0.21365812
6740.0, 0.21359429
6750.0, 0.21353059
6760.0, 0.213467
6770.0, 0.21340354
6780.0, 0.2133402
6790.0, 0.21327695
6800.0, 0.21321386
6810.0, 0.21315089
6820.0, 0.21308802
6830.0, 0.21302529
6840.0, 0.21296266
6850.0, 0.21290016
6860.0, 0.21283779
6870.0, 0.2127755
6880.0, 0.21271338
6890.0, 0.21265134
6900.0, 0.21258943
6910.0, 0.21252765
6920.0, 0.21246597
6930.0, 0.2124044
6940.0, 0.21234298
6950.0, 0.21228166
6960.0, 0.21222045
6970.0, 0.21215937
6980.0, 0.2120984
6990.0, 0.21203755
7000.0, 0.21197681
7010.0, 0.21191621
7020.0, 0.2118557
7030.0, 0.2117953
7040.0, 0.21173504
7050.0, 0.21167488
7060.0, 0.21161483
7070.0, 0.2115549
7080.0, 0.2114951
7090.0, 0.21143539
7100.0, 0.2113758
7110.0, 0.21131633
7120.0, 0.21125698
7130.0, 0.21119775
7140.0, 0.2111386
7150.0, 0.2110796
7160.0, 0.21102068
7170.0, 0.2109619
7180.0, 0.21090321
7190.0, 0.21084464
7200.0, 0.2107862
7210.0, 0.21072784
7220.0, 0.21066962
7230.0, 0.2106115
7240.0, 0.2105535
7250.0, 0.21049559
7260.0, 0.2104378
7270.0, 0.21038012
7280.0, 0.21032257
7290.0, 0.2102651
7300.0, 0.21020776
7310.0, 0.21015052
7320.0, 0.2100934
7330.0, 0.21003638
7340.0, 0.20997949
7350.0, 0.20992269
7360.0, 0.209866
7370.0, 0.20980941
7380.0, 0.20975293
7390.0, 0.20969658
7400.0, 0.20964031
7410.0, 0.20958416
7420.0, 0.20952812
7430.0, 0.2094722
7440.0, 0.20941636
7450.0, 0.20936064
7460.0, 0.20930503
7470.0, 0.20924953
7480.0, 0.20919414
7490.0, 0.20913884
7500.0, 0.20908365
7510.0, 0.20902857
7520.0, 0.20897359
7530.0, 0.20891872
7540.0, 0.20886396
7550.0, 0.2088093
7560.0, 0.20875475
7570.0, 0.20870028
7580.0, 0.20864594
7590.0, 0.2085917
7600.0, 0.20853756
7610.0, 0.20848353
7620.0, 0.2084296
7630.0, 0.20837577
7640.0, 0.20832205
7650.0, 0.20826843
7660.0, 0.20821492
7670.0, 0.2081615
7680.0, 0.20810819
7690.0, 0.20805497
7700.0, 0.20800187
7710.0, 0.20794888
7720.0, 0.20789596
7730.0, 0.20784317
7740.0, 0.20779045
7750.0, 0.20773786
7760.0, 0.20768537
7770.0, 0.20763297
7780.0, 0.20758067
7790.0, 0.20752847
7800.0, 0.20747638
7810.0, 0.20742439
7820.0, 0.20737249
7830.0, 0.20732068
7840.0, 0.207269
7850.0, 0.20721738
7860.0, 0.2071659
7870.0, 0.2071145
7880.0, 0.20706318
7890.0, 0.207012
7900.0, 0.20696089
7910.0, 0.20690988
7920.0, 0.20685898
7930.0, 0.20680816
7940.0, 0.20675746
7950.0, 0.20670684
7960.0, 0.20665632
7970.0, 0.2066059
7980.0, 0.20655559
7990.0, 0.20650536
8000.0, 0.20645522
8010.0, 0.2064052
8020.0, 0.20635527
8030.0, 0.20630541
8040.0, 0.20625567
8050.0, 0.20620604
8060.0, 0.20615648
8070.0, 0.20610702
8080.0, 0.20605765
8090.0, 0.20600839
8100.0, 0.2059592
8110.0, 0.20591015
8120.0, 0.20586117
8130.0, 0.20581228
8140.0, 0.20576347
8150.0, 0.20571478
8160.0, 0.20566617
8170.0, 0.20561765
8180.0, 0.20556922
8190.0, 0.2055209
8200.0, 0.20547268
8210.0, 0.20542453
8220.0, 0.20537648
8230.0, 0.20532854
8240.0, 0.20528066
8250.0, 0.20523289
8260.0, 0.20518522
8270.0, 0.20513763
8280.0, 0.20509014
8290.0, 0.20504272
8300.0, 0.20499542
8310.0, 0.20494819
8320.0, 0.20490107
8330.0, 0.20485403
8340.0, 0.20480709
8350.0, 0.20476021
8360.0, 0.20471345
8370.0, 0.20466676
8380.0, 0.20462018
8390.0, 0.20457369
8400.0, 0.20452727
8410.0, 0.20448096
8420.0, 0.20443472
8430.0, 0.20438859
8440.0, 0.20434254
8450.0, 0.20429657
8460.0, 0.20425071
8470.0, 0.20420493
8480.0, 0.20415923
8490.0, 0.20411363
8500.0, 0.2040681
8510.0, 0.20402268
8520.0, 0.20397732
8530.0, 0.20393206
8540.0, 0.20388691
8550.0, 0.20384182
8560.0, 0.20379682
8570.0, 0.2037519
8580.0, 0.2037071
8590.0, 0.20366235
8600.0, 0.2036177
8610.0, 0.20357314
8620.0, 0.20352866
8630.0, 0.20348428
8640.0, 0.20343997
8650.0, 0.20339574
8660.0, 0.20335162
8670.0, 0.20330757
8680.0, 0.20326361
8690.0, 0.20321973
8700.0, 0.20317593
8710.0, 0.20313223
8720.0, 0.2030886
8730.0, 0.20304506
8740.0, 0.2030016
8750.0, 0.20295823
8760.0, 0.20291494
8770.0, 0.20287174
8780.0, 0.20282862
8790.0, 0.20278558
8800.0, 0.20274262
8810.0, 0.20269975
8820.0, 0.20265697
8830.0, 0.20261426
8840.0, 0.20257163
8850.0, 0.20252909
8860.0, 0.20248663
8870.0, 0.20244426
8880.0, 0.20240197
8890.0, 0.20235975
8900.0, 0.20231761
8910.0, 0.20227557
8920.0, 0.2022336
8930.0, 0.20219173
8940.0, 0.20214991
8950.0, 0.20210819
8960.0, 0.20206654
8970.0, 0.20202497
8980.0, 0.2019835
8990.0, 0.20194209
9000.0, 0.20190077
9010.0, 0.20185952
9020.0, 0.20181836
9030.0, 0.20177728
9040.0, 0.20173627
9050.0, 0.20169535
9060.0, 0.20165451
9070.0, 0.20161374
9080.0, 0.20157306
9090.0, 0.20153244
9100.0, 0.2014919
9110.0, 0.20145147
9120.0, 0.20141108
9130.0, 0.20137079
9140.0, 0.20133057
9150.0, 0.20129044
9160.0, 0.20125037
9170.0, 0.2012104
9180.0, 0.20117049
9190.0, 0.20113066
9200.0, 0.2010909
9210.0, 0.20105124
9220.0, 0.20101164
9230.0, 0.20097212
9240.0, 0.20093267
9250.0, 0.2008933
9260.0, 0.20085402
9270.0, 0.2008148
9280.0, 0.20077567
9290.0, 0.2007366
9300.0, 0.2006976
9310.0, 0.2006587
9320.0, 0.20061986
9330.0, 0.20058109
9340.0, 0.20054242
9350.0, 0.2005038
9360.0, 0.20046526
9370.0, 0.2004268
9380.0, 0.20038842
9390.0, 0.2003501
9400.0, 0.20031187
9410.0, 0.2002737
9420.0, 0.20023562
9430.0, 0.20019759
9440.0, 0.20015965
9450.0, 0.20012179
9460.0, 0.20008399
9470.0, 0.20004627
9480.0, 0.20000863
9490.0, 0.19997105
9500.0, 0.19993354
9510.0, 0.19989611
9520.0, 0.19985875
9530.0, 0.19982147
9540.0, 0.19978426
9550.0, 0.19974712
9560.0, 0.19971006
9570.0, 0.19967306
9580.0, 0.19963613
9590.0, 0.19959928
9600.0, 0.1995625
9610.0, 0.19952579
