Energy (in eV), SEEP yield of material osr2k-NASCAP at incidence 90.0 degree
20800.0, 312.6311
21000.0, 313.74033
21200.0, 319.8372
21400.0, 320.94406
21600.0, 322.0413
21800.0, 328.17776
22000.0, 329.2727
22200.0, 335.44058
22400.0, 336.53323
22600.0, 337.6165
22800.0, 343.82217
23000.0, 344.9032
23200.0, 345.975
23400.0, 352.21744
23600.0, 353.287
23800.0, 359.55865
24000.0, 360.6259
24200.0, 361.68433
24400.0, 367.99097
24600.0, 369.0471
24800.0, 370.09457
25000.0, 376.43536
25200.0, 377.48053
25400.0, 383.84857
25600.0, 384.8914
25800.0, 385.92584
26000.0, 392.32635
26200.0, 393.35852
26400.0, 394.38242
26600.0, 400.81464
26800.0, 401.83627
27000.0, 402.84982
27200.0, 409.31296
27400.0, 410.32422
27600.0, 416.81192
27800.0, 417.8208
28000.0, 418.82184
28200.0, 425.3391
28400.0, 426.33777
28600.0, 427.32883
28800.0, 433.87485
29000.0, 434.8635
29200.0, 435.84467
29400.0, 442.41864
29600.0, 443.39737
29800.0, 449.9938
30000.0, 450.97006
30200.0, 451.93918
30400.0, 458.56226
30600.0, 459.5288
30800.0, 460.48828
31000.0, 467.13736
31200.0, 468.09436
31400.0, 469.04434
31600.0, 475.71893
31800.0, 476.6664
32000.0, 477.607
32200.0, 484.3063
32400.0, 485.24445
32600.0, 491.9636
32800.0, 492.89926
33000.0, 493.82816
33200.0, 500.57095
33400.0, 501.4973
33600.0, 502.4171
33800.0, 509.18295
34000.0, 510.10022
34200.0, 511.0109
34400.0, 517.79926
34600.0, 518.7075
34800.0, 519.60925
35000.0, 526.41956
35200.0, 527.31885
35400.0, 534.1467
35600.0, 535.04346
35800.0, 535.93384
36000.0, 542.7827
36200.0, 543.67053
36400.0, 544.55225
36600.0, 551.4215
36800.0, 552.3006
37000.0, 553.17365
37200.0, 560.0628
37400.0, 560.93317
37600.0, 561.7977
37800.0, 568.70636
38000.0, 569.5681
38200.0, 570.4241
38400.0, 577.3516
38600.0, 578.2051
38800.0, 585.1479
39000.0, 585.9986
39200.0, 586.84357
39400.0, 593.80444
39600.0, 594.6467
39800.0, 595.48334
40000.0, 602.4619
40200.0, 603.29584
40400.0, 604.12427
40600.0, 611.12006
40800.0, 611.9458
41000.0, 612.766
41200.0, 619.77844
41400.0, 620.5959
41600.0, 621.408
41800.0, 628.4369
42000.0, 629.24634
42200.0, 636.2885
42400.0, 637.09515
42600.0, 637.89655
42800.0, 644.95435
43000.0, 645.753
43200.0, 646.5463
43400.0, 653.6194
43600.0, 654.4101
43800.0, 655.19556
44000.0, 662.2834
44200.0, 663.06616
44400.0, 663.8438
44600.0, 670.9461
44800.0, 671.7211
45000.0, 672.49097
45200.0, 679.60736
45400.0, 680.3745
45600.0, 687.5024
45800.0, 688.2668
46000.0, 689.0263
46200.0, 696.1677
46400.0, 696.9243
46600.0, 697.6761
46800.0, 704.83075
47000.0, 705.57965
47200.0, 706.3239
47400.0, 713.49115
47600.0, 714.23267
47800.0, 714.96924
48000.0, 722.1491
48200.0, 722.88293
48400.0, 723.6122
48600.0, 730.8041
48800.0, 731.53046
49000.0, 738.7324
49200.0, 739.45593
49400.0, 740.1749
49600.0, 747.38855
49800.0, 748.1047
50000.0, 748.8163
50200.0, 756.041
50400.0, 756.7499
50600.0, 757.4543
50800.0, 764.68994
51000.0, 765.3915
51200.0, 766.0885
51400.0, 773.335
51600.0, 774.02924
51800.0, 774.7192
52000.0, 781.97595
52200.0, 782.6631
52400.0, 783.3459
52600.0, 790.6128
52800.0, 791.29285
53000.0, 798.5683
53200.0, 799.2453
53400.0, 799.91815
53600.0, 807.2033
53800.0, 807.8733
54000.0, 808.5391
54200.0, 815.83356
54400.0, 816.4965
54600.0, 817.15533
54800.0, 824.459
55000.0, 825.115
55200.0, 825.76685
55400.0, 833.07935
55600.0, 833.72845
55800.0, 834.3734
56000.0, 841.6946
56200.0, 842.33673
56400.0, 849.6652
56600.0, 850.30444
56800.0, 850.9399
57000.0, 858.2764
57200.0, 858.90894
57400.0, 859.5375
57600.0, 866.88214
57800.0, 867.5079
58000.0, 868.12964
58200.0, 875.48206
58400.0, 876.1008
58600.0, 876.716
58800.0, 884.07605
59000.0, 884.6883
59200.0, 885.29675
59400.0, 892.6641
59600.0, 893.26965
59800.0, 900.6432
60000.0, 901.246
60200.0, 901.845
60400.0, 909.2255
60600.0, 909.8216
60800.0, 910.414
61000.0, 917.8013
61200.0, 918.3908
61400.0, 918.97675
61600.0, 926.3707
61800.0, 926.95374
62000.0, 927.5332
62200.0, 934.9332
62400.0, 935.5099
62600.0, 942.91565
62800.0, 943.48944
63000.0, 944.0595
63200.0, 951.47144
63400.0, 952.03864
63600.0, 952.60236
63800.0, 960.0199
64000.0, 960.58075
64200.0, 961.13824
64400.0, 968.5616
64600.0, 969.1161
64800.0, 969.66724
65000.0, 977.0959
65200.0, 977.64417
65400.0, 985.07764
65600.0, 985.6232
65800.0, 986.16516
66000.0, 993.60406
66200.0, 994.14307
66400.0, 994.6789
66600.0, 1002.12256
66800.0, 1002.6556
67000.0, 1003.1852
67200.0, 1010.63367
67400.0, 1011.1606
67600.0, 1011.68414
67800.0, 1019.1372
68000.0, 1019.6579
68200.0, 1027.1155
68400.0, 1027.6332
68600.0, 1028.1477
68800.0, 1035.6094
69000.0, 1036.1212
69200.0, 1036.6298
69400.0, 1044.0958
69600.0, 1044.6014
69800.0, 1045.1041
70000.0, 1052.5742
70200.0, 1053.074
70400.0, 1053.5706
70600.0, 1061.0446
70800.0, 1061.5382
71000.0, 1069.016
71200.0, 1069.5068
71400.0, 1069.9948
71600.0, 1077.476
71800.0, 1077.961
72000.0, 1078.4429
72200.0, 1085.9279
72400.0, 1086.4069
72600.0, 1086.883
72800.0, 1094.3715
73000.0, 1094.8445
73200.0, 1095.315
73400.0, 1102.8064
73600.0, 1103.2738
73800.0, 1110.7687
74000.0, 1111.2332
74200.0, 1111.695
74400.0, 1119.1926
74600.0, 1119.6514
74800.0, 1120.1074
75000.0, 1127.6082
75200.0, 1128.0613
75400.0, 1128.5116
75600.0, 1136.015
75800.0, 1136.4624
76000.0, 1143.9686
76200.0, 1144.4132
76400.0, 1144.8549
76600.0, 1152.3639
76800.0, 1152.8027
77000.0, 1153.239
77200.0, 1160.7501
77400.0, 1161.1835
77600.0, 1161.6141
77800.0, 1169.1276
78000.0, 1169.5554
78200.0, 1177.0714
78400.0, 1177.4963
78600.0, 1177.9186
78800.0, 1185.4365
79000.0, 1185.8561
79200.0, 1186.2727
79400.0, 1193.793
79600.0, 1194.2068
79800.0, 1194.6182
80000.0, 1202.1399
80200.0, 1202.5486
80400.0, 1210.0725
80600.0, 1210.4783
80800.0, 1210.8813
81000.0, 1218.4072
81200.0, 1218.8075
81400.0, 1219.2051
81600.0, 1226.7322
81800.0, 1227.1272
82000.0, 1227.5195
82200.0, 1235.0485
82400.0, 1235.438
82600.0, 1242.9685
82800.0, 1243.3553
83000.0, 1243.7396
83200.0, 1251.2716
83400.0, 1251.6531
83600.0, 1252.0321
83800.0, 1259.5652
84000.0, 1259.9414
84200.0, 1260.3151
84400.0, 1267.8495
84600.0, 1268.2203
84800.0, 1275.7562
85000.0, 1276.1244
85200.0, 1276.4902
85400.0, 1284.0269
85600.0, 1284.3898
85800.0, 1284.7505
86000.0, 1292.2881
86200.0, 1292.6459
86400.0, 1300.1848
86600.0, 1300.5398
86800.0, 1300.8925
87000.0, 1308.4321
87200.0, 1308.782
87400.0, 1309.1296
87600.0, 1316.67
87800.0, 1317.0149
88000.0, 1317.3577
88200.0, 1324.8982
88400.0, 1325.238
88600.0, 1332.7799
88800.0, 1333.117
89000.0, 1333.4517
89200.0, 1340.994
89400.0, 1341.3258
89600.0, 1341.6558
89800.0, 1349.1985
90000.0, 1349.5253
90200.0, 1357.0688
90400.0, 1357.3932
90600.0, 1357.7153
90800.0, 1365.2588
91000.0, 1365.5781
91200.0, 1365.8954
91400.0, 1373.4391
91600.0, 1373.7538
91800.0, 1381.2979
92000.0, 1381.6095
92200.0, 1381.9192
92400.0, 1389.4635
92600.0, 1389.7704
92800.0, 1390.0752
93000.0, 1397.6195
93200.0, 1397.9215
93400.0, 1405.466
93600.0, 1405.7655
93800.0, 1406.0625
94000.0, 1413.6072
94200.0, 1413.9017
94400.0, 1414.1942
94600.0, 1421.7384
94800.0, 1422.0283
95000.0, 1429.5726
95200.0, 1429.8596
95400.0, 1430.1448
95600.0, 1437.689
95800.0, 1437.9712
96000.0, 1438.2515
96200.0, 1445.7952
96400.0, 1446.0728
96600.0, 1453.6167
96800.0, 1453.8915
97000.0, 1454.1647
97200.0, 1461.7078
97400.0, 1461.978
97600.0, 1462.2463
97800.0, 1469.7891
98000.0, 1470.0547
98200.0, 1477.5974
98400.0, 1477.8602
98600.0, 1478.1215
98800.0, 1485.6632
99000.0, 1485.9215
99200.0, 1486.1783
99400.0, 1493.7191
99600.0, 1493.973
99800.0, 1501.5139
100000.0, 1501.765
