Energy (in eV), SEEE yield of material sc2k-NASCAP at isotropic incidence
   X,       Y
4400.0, 5.017504
4410.0, 5.0104666
4420.0, 5.0034494
4430.0, 4.996454
4440.0, 4.989478
4450.0, 4.9825234
4460.0, 4.97559
4470.0, 4.9686775
4480.0, 4.961785
4490.0, 4.954913
4500.0, 4.9480605
4510.0, 4.94123
4520.0, 4.934419
4530.0, 4.9276276
4540.0, 4.920857
4550.0, 4.914106
4560.0, 4.9073753
4570.0, 4.9006634
4580.0, 4.893972
4590.0, 4.8873
4600.0, 4.880648
4610.0, 4.8740153
4620.0, 4.8674016
4630.0, 4.8608074
4640.0, 4.8542333
4650.0, 4.8476777
4660.0, 4.841141
4670.0, 4.834624
4680.0, 4.8281255
4690.0, 4.821646
4700.0, 4.8151855
4710.0, 4.808743
4720.0, 4.8023205
4730.0, 4.795916
4740.0, 4.78953
4750.0, 4.783163
4760.0, 4.776812
4770.0, 4.7704816
4780.0, 4.764169
4790.0, 4.757875
4800.0, 4.7515984
4810.0, 4.7453403
4820.0, 4.739099
4830.0, 4.7328773
4840.0, 4.726672
4850.0, 4.7204857
4860.0, 4.714317
4870.0, 4.708164
4880.0, 4.70203
4890.0, 4.6959133
4900.0, 4.689814
4910.0, 4.6837316
4920.0, 4.677667
4930.0, 4.6716194
4940.0, 4.6655884
4950.0, 4.6595755
4960.0, 4.653579
4970.0, 4.6475997
4980.0, 4.6416364
4990.0, 4.6356907
5000.0, 4.6297607
5010.0, 4.6238494
5020.0, 4.617953
5030.0, 4.6120734
5040.0, 4.6062107
5050.0, 4.6003637
5060.0, 4.594534
5070.0, 4.5887194
5080.0, 4.5829215
5090.0, 4.5771403
5100.0, 4.5713744
5110.0, 4.565624
5120.0, 4.5598907
5130.0, 4.554174
5140.0, 4.5484715
5150.0, 4.542785
5160.0, 4.5371146
5170.0, 4.5314593
5180.0, 4.5258203
5190.0, 4.5201964
5200.0, 4.5145884
5210.0, 4.5089946
5220.0, 4.5034175
5230.0, 4.497855
5240.0, 4.4923077
5250.0, 4.4867754
5260.0, 4.4812593
5270.0, 4.4757566
5280.0, 4.4702697
5290.0, 4.4647975
5300.0, 4.4593406
5310.0, 4.4538984
5320.0, 4.44847
5330.0, 4.443058
5340.0, 4.437659
5350.0, 4.4322753
5360.0, 4.4269056
5370.0, 4.4215517
5380.0, 4.4162107
5390.0, 4.410885
5400.0, 4.405573
5410.0, 4.400275
5420.0, 4.3949924
5430.0, 4.3897233
5440.0, 4.3844676
5450.0, 4.379226
5460.0, 4.373999
5470.0, 4.368786
5480.0, 4.3635864
5490.0, 4.358401
5500.0, 4.3532286
5510.0, 4.3480706
5520.0, 4.342926
5530.0, 4.337795
5540.0, 4.3326774
5550.0, 4.327574
5560.0, 4.3224826
5570.0, 4.3174057
5580.0, 4.3123426
5590.0, 4.3072915
5600.0, 4.302254
5610.0, 4.2972302
5620.0, 4.2922196
5630.0, 4.2872205
5640.0, 4.2822356
5650.0, 4.277265
5660.0, 4.272305
5670.0, 4.2673593
5680.0, 4.2624254
5690.0, 4.2575054
5700.0, 4.2525973
5710.0, 4.247702
5720.0, 4.24282
5730.0, 4.23795
5740.0, 4.2330933
5750.0, 4.228247
5760.0, 4.2234154
5770.0, 4.2185955
5780.0, 4.2137876
5790.0, 4.2089925
5800.0, 4.2042093
5810.0, 4.199438
5820.0, 4.1946797
5830.0, 4.189934
5840.0, 4.1851983
5850.0, 4.1804757
5860.0, 4.175765
5870.0, 4.171067
5880.0, 4.16638
5890.0, 4.161706
5900.0, 4.1570425
5910.0, 4.1523914
5920.0, 4.147752
5930.0, 4.1431236
5940.0, 4.138508
5950.0, 4.133903
5960.0, 4.12931
5970.0, 4.1247287
5980.0, 4.1201587
5990.0, 4.1155996
6000.0, 4.111052
6010.0, 4.106517
6020.0, 4.1019917
6030.0, 4.0974784
6040.0, 4.092976
6050.0, 4.0884852
6060.0, 4.0840054
6070.0, 4.079536
6080.0, 4.075078
6090.0, 4.0706315
6100.0, 4.066196
6110.0, 4.061771
6120.0, 4.0573573
6130.0, 4.0529537
6140.0, 4.048562
6150.0, 4.0441794
6160.0, 4.0398088
6170.0, 4.035449
6180.0, 4.031099
6190.0, 4.0267606
6200.0, 4.022432
6210.0, 4.0181146
6220.0, 4.0138063
6230.0, 4.0095105
6240.0, 4.0052238
6250.0, 4.0009475
6260.0, 3.9966822
6270.0, 3.9924264
6280.0, 3.9881816
6290.0, 3.9839466
6300.0, 3.9797218
6310.0, 3.975507
6320.0, 3.9713025
6330.0, 3.9671085
6340.0, 3.9629242
6350.0, 3.9587493
6360.0, 3.954586
6370.0, 3.950431
6380.0, 3.946287
6390.0, 3.9421525
6400.0, 3.9380271
6410.0, 3.9339125
6420.0, 3.9298067
6430.0, 3.9257119
6440.0, 3.9216259
6450.0, 3.9175503
6460.0, 3.9134834
6470.0, 3.9094267
6480.0, 3.9053795
6490.0, 3.9013414
6500.0, 3.8973136
6510.0, 3.8932946
6520.0, 3.8892853
6530.0, 3.885285
6540.0, 3.8812947
6550.0, 3.877313
6560.0, 3.873341
6570.0, 3.8693786
6580.0, 3.8654249
6590.0, 3.8614805
6600.0, 3.857545
6610.0, 3.8536193
6620.0, 3.8497024
6630.0, 3.8457944
6640.0, 3.8418956
6650.0, 3.838006
6660.0, 3.8341253
6670.0, 3.8302531
6680.0, 3.8263905
6690.0, 3.8225355
6700.0, 3.8186913
6710.0, 3.8148544
6720.0, 3.8110273
6730.0, 3.807208
6740.0, 3.803398
6750.0, 3.7995963
6760.0, 3.7958033
6770.0, 3.7920194
6780.0, 3.7882433
6790.0, 3.7844765
6800.0, 3.7807188
6810.0, 3.7769685
6820.0, 3.7732272
6830.0, 3.769494
6840.0, 3.7657697
6850.0, 3.7620537
6860.0, 3.7583456
6870.0, 3.7546465
6880.0, 3.7509553
6890.0, 3.7472732
6900.0, 3.7435985
6910.0, 3.739932
6920.0, 3.736274
6930.0, 3.7326243
6940.0, 3.7289824
6950.0, 3.7253485
6960.0, 3.721723
6970.0, 3.7181058
6980.0, 3.7144966
6990.0, 3.7108953
7000.0, 3.707302
7010.0, 3.703716
7020.0, 3.7001388
7030.0, 3.6965692
7040.0, 3.6930082
7050.0, 3.6894536
7060.0, 3.6859078
7070.0, 3.6823697
7080.0, 3.6788392
7090.0, 3.6753163
7100.0, 3.6718013
7110.0, 3.6682942
7120.0, 3.664795
7130.0, 3.6613026
7140.0, 3.6578183
7150.0, 3.6543415
7160.0, 3.6508727
7170.0, 3.647411
7180.0, 3.6439574
7190.0, 3.6405108
7200.0, 3.6370718
7210.0, 3.6336396
7220.0, 3.6302154
7230.0, 3.6267986
7240.0, 3.6233895
7250.0, 3.619987
7260.0, 3.616593
7270.0, 3.6132052
7280.0, 3.6098247
7290.0, 3.6064522
7300.0, 3.603086
7310.0, 3.5997283
7320.0, 3.5963767
7330.0, 3.5930328
7340.0, 3.5896955
7350.0, 3.586366
7360.0, 3.5830429
7370.0, 3.579727
